,État du bâtiment,Salon,Type de cuisine,Chambres,Dressing,Toilettes,Bureau,Meublé,Surface du terrain,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO?,Consommation théorique totale d'énergie primaire,Attestation de conformité des citernes à mazout,Type de chauffage,Pompe à chaleur,Double vitrage,Permis de bâtir obtenu,Obligation de construire,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Site internet,À partir de,Année de construction,Nombre de façades,Visite virtuelle,Surface habitable,Salles de bains,Espace professionnel,Cave,Porte blindée,Raccordement à l'égout,"Eau, gaz & électricité",Ascenseur,Accessible aux personnes avec un handicap,Accès sécurisé / alarme,Niveau E (performance énergétique globale),Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Revenu cadastral,Surface du salon,Surface de la cuisine,Surface de la cave,Largeur de la façade à rue,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Buanderie,Surface de bureau,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Surface du jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Nombre d'annexes,Concierge,Parlophone,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Salle à manger,Largeur du terrain à rue,Quartier ou lieu-dit,Surface de la chambre 4,Grenier,Surface constructible totale au sol,Disponible le,Salles de douche,Terrasse,Surface du grenier,Référence externe,Type de construction,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Combien de feux ouverts ?,Jardin,Surface de l'espace professionnel,Attestation as-built,Isolé,Surface de la chambre 5,Nom de l'agent,Pourcentage loué
43,,,Pas équipée,3,,2,,Non,292 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,,,440.000 €,Non,"Meyskensstraat 222
1780 - Wemmel",1782537 - 457,,,,,138 m²,1,,,,,Oui,,,,,,,,,30 m²,,,,2,1,,,,,,,,,,,175 m²,Ouest,21 m²,,,,,,,,,,,,10.32 m,,,,,,,,,,,,,,,,,,Non,,,,
44,,,Pas équipée,3,,2,,Non,297 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,,,445.000 €,Non,"Meyskensstraat 222
1780 - Wemmel",1782535 - 457,,,,,145 m²,1,,,,,Oui,,,,,,,,,30 m²,,,,2,1,,,,,,,,,,,175 m²,Ouest,21 m²,,,,,,,,,,,,10.32 m,,,,,,,,,,,,,,,,,,Non,,,,
45,,,,60 m²,,,,,581 kWh/m²,F,20210305-0002380480-RES-1,Non communiqué,Non communiqué,Non,,,,,Non,,Non,Zone non inondable,,105.000 €,,,"Arsenaalstraat 36
1730 - Asse",Matthias LIMBOURG,,2,,,,,,,,,,,,,,,,Oui,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,"nl :
Bezoekdagen: het goed kan bezocht worden op zaterdag 25 september 2021 en zaterdag 2, 9 en 16 oktober 2021, telkens van 10u-12u. Gelieve de coronamaatregelen in acht te nemen.",Après la signature de l’acte,265 €,,,,,,,,
46,Bon,,,2,,,Oui,Non,367 m²,785 kWh/m²,F,20210916-0002464957-RES-1,Non communiqué,Non communiqué,,Gaz,Non,Oui,,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",270.000 €,Non,"Ninoofsesteenweg, 255
1700 - Dilbeek",,À définir,1918,3,,125 m²,1,Oui,,Non,Non connecté,Oui,,,,785,Non,Non,Non,550 €,22 m²,14 m²,,,,,,,,,,9 m²,,,,,,,60 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Excellent état,,Hyper équipée,3,Non,2,Non,Non,762 m²,244 kWh/m²,C,2476184,Non communiqué,Non communiqué,,Gaz,Non,Oui,,,,,,Zone non inondable,,539.000 €,Non,,,,1993,4,,180 m²,1,Non,,Non,,Oui,Non,Non,Non,,Non,Non,Non,,,15 m²,,12 m,1,2,,19 m²,15 m²,15 m²,,,Oui,Non,Non,Oui,600 m²,,60 m²,Sud,1,Non,Oui,Non,Non,Non,Oui,Non,Oui,,,,,,,,1,,113 m²,,Toutes sortes,,,,,1,,,,Oui,,,
48,Excellent état,,Hyper équipée,3,Non,2,Non,Non,667 m²,Non communiqué,Non communiqué,23060-G-2012_9953/EPB08968/A001/D01/SD001,Non communiqué,Non communiqué,,Gaz,Non,Oui,Oui,,Oui,,,Zone non inondable,,499.000 €,Non,,,À définir,2012,3,,150 m²,1,Non,,Non,Connecté,Oui,Non,Non,Oui,108,Oui,Non,Non,1.251 €,25 m²,13 m²,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",20 m²,12 m²,11 m²,Oui,,Non,Non,Non,Non,400 m²,,24 m²,,,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,,,,Oui,,,,,,,Toutes sortes,,,,,,,,,Oui,,,
49,Excellent état,Oui,Équipée,3,,3,Oui,Non,2667 m²,278 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,Mazout,,Oui,,,,,,Zone d'inondation reconnue,"Zone d'habitat (résidentiel, urbain ou rural)",649.000 €,,"Schoolstraat 101
1745 - Opwijk",Gino Brondeel,Après la signature de l’acte,1998,4,,,2,,,,,,,,,,,,,1.740 €,,,,,1,2,"Zone d'habitat (résidentiel, urbain ou rural)",35 m²,,,Oui,,,,,,,,,,,,,,,,,,,Oui,,,,,,,1,Oui,,,,,,,,,,,,,,,
50,,Oui,,3,Non,2,Non,Non,175 m²,171 kWh/m²,B,20210423-0002405614-RES-1,Non communiqué,Non communiqué,,Gaz,Non,Oui,,,,,,,,299.000 €,Non,,,Immédiatement,,2,,,1,Non,Oui,Non,,Non,,,,,Non,Non,Non,706 €,,,,,,,,,,,Oui,,Non,Non,Non,Non,,,,,,,,,,,,,,Oui,,,,Oui,,,1,,,,Toutes sortes,,,,,,,,,,,,
51,Bon,Oui,Équipée,3,,2,,Non,321 m²,333 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,Mazout,,Oui,,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",295.000 €,,"Schoolstraat 101
1745 - Opwijk",Gino Brondeel,,,3,,,1,,Oui,,,,,,,,,,,864 €,,,,,1,1,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,
52,Bon,Oui,Équipée,4,,2,,Non,440 m²,93 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,Électrique,Oui,Oui,,,,,,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",460.000 €,,"Schoolstraat 101
1745 - Opwijk",Gino Brondeel,Après la signature de l’acte,,3,,,1,,,,,Non,,,,,Oui,,,,,,,,1,4,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Oui,,,,,,,,,,,,,Oui,,,,Oui,,Oui,,,,,,,,Oui,,,,,,,,,,,,,,,
53,,Oui,Équipée,3,,1,,Non,115 m²,370 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,Gaz,,Oui,,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",245.000 €,,"Schoolstraat 101
1745 - Opwijk",Gino Brondeel,Après la signature de l’acte,,3,,,1,,,,,Oui,,,,,,,,557 €,,,,,1,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,Sud,,,,,,,,,,Oui,,,,Oui,,,,Oui,,,,,,,,,,,,,,,
54,,,,1,,,,,389 kWh/m²,D,20210818-0002453063-RES-1,Non communiqué,Non communiqué,Oui,,,,,Oui,,Non,Zone non inondable,,355.000 €,,1.209 €,"Kerkstraat, 74
2060 - ANTWERPEN",Gert VERHEIRSTRAETEN,,Après la signature de l’acte,,,216 m²,2,416 m²,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Excellent état,,,3,Non,1,Non,,,359 kWh/m²,D,20210810-0002449795-RES-1,Non communiqué,Non communiqué,,,,Non,Oui,Non,Non,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",299.000 €,Non,"Kerkstraat 68
9255 - Buggenhout",202108-611CC,,,,,,1,,,,Connecté,Non,,,,,,,,,34 m²,14 m²,19 m²,,1,,,14 m²,20 m²,26 m²,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,10 m²,,,,,,,,,,,,,,
56,Bon,,Américaine équipée,3,Oui,,Non,Non,590 m²,399 kWh/m²,D,7102021,399 kg CO?/m²,Non communiqué,,Mazout,Non,Oui,,,,,,Zone non inondable,,359.000 €,Non,,,Après la signature de l’acte,,3,,181 m²,1,Non,,Non,Connecté,Oui,Non,Non,Non,,Non,Non,Non,,,25 m²,,9 m,,,"Zone d'habitat (résidentiel, urbain ou rural)",38 m²,16 m²,12 m²,,,Non,Non,Non,Non,400 m²,Sud-est,40 m²,Sud-est,,Non,Non,Non,Non,Non,Non,Non,Oui,,,,,,,,,,,,Toutes sortes,,,,,,,,,,,,
57,Bon,,15 m²,18 m²,,Oui,,,Connecté,D,0002313092-RES-1,Non communiqué,Non communiqué,Mazout,,Oui,,Oui,Non,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",275.000 €,684 €,"Grote Baan 170
9310 - Herdersem",4360625,,Après la signature de l’acte,1968,3,130 m²,28 m²,2,,,,Non,Oui,,,,,,,,Non,Équipée,3,,,1,2,Pays,15 m²,5 m²,1,,,,,,,,,,,,,,,,,,,,,,,,196 m²,,,,379 kWh/m²,,,,,,,,,,,,,,,
58,Excellent état,,,4,,,,,303 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,Zone non inondable,,399.000 €,Non,"Mechelsesteenweg 123 bus 1
9200 - Dendermonde",4391219,,,3,,190 m²,,,,,,,,,,,,Oui,,,,,,,,2,,19 m²,15 m²,14 m²,,,,,,,,,,,,,,,,,,,,,,,13 m²,,,,,Oui,,,,,,,,,,,,,,,
59,,,,3,Non,,Non,,160 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Non,,,,,,,,418.900 €,Non,"206 Moorselestraat
8930 - Menen",,,,,,,,,,,Non connecté,Non,,,,,,,,,,,,,,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,PB-Opwijk,,,,,,,,,,,,,
60,À rafraîchir,,15 m²,14 m²,,60 m²,,,Non,F,Non communiqué,1 kg CO?/m²,Non communiqué,Gaz,,Zone non inondable,,,,,,,,Zone agricole,359.000 €,830 €,"Grote Markt 10
1500 - Halle",4382276,,Après la signature de l’acte,1930,4,120 m²,16 m²,1,,,,,2716 m²,,,,,,,,Non,Oui,3,,,2,6,Pays,13 m²,6 m²,1,,,,,,,Oui,,,,,,,,,,,,,Semi-équipée,,,,,,1 juillet 2021 - 00:00,1,897 kWh/m²,1 m²,,,,,,,,,,,,,,
61,Bon,,Hyper équipée,3,,2,,Non,682 m²,282 kWh/m²,C,20210815-0002451723-RES-1,Non communiqué,Non communiqué,,Mazout,,Oui,,,,Non,,Zone inondable potentielle,Zone agricole,545.000 €,Non,"Alsembergsesteenweg 660
1653 - Dworp",6556 - 3282,,2003,4,,240 m²,1,,Oui,,,Oui,,,,,,,,1.453 €,15 m²,15 m²,,,3,2,,21 m²,15 m²,15 m²,,,,,,,,,28 m²,,,,,,,,,,,Oui,,,,,,,1,,,,,,,,,,,,Non,,,,
62,Excellent état,,Hyper équipée,3,,3,Oui,,4716 m²,172 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,Mazout,,Oui,Oui,,Non,Non,,Zone inondable potentielle,Zone agricole,1.275.000 €,Non,"Grote Markt 10
1500 - Halle",4520545,À définir,2009,4,,,2,,,,,Non,Non,Non,Oui,,,Oui,,,31 m²,39 m²,,,2,7,Pays,29 m²,25 m²,11 m²,,11 m²,,,,,,,,,,,,,Oui,,,Oui,,Oui,71.67 m,,,,,,2,Oui,,,,,,,,,,,,,,,
63,À rafraîchir,,Équipée,4,,2,,,1077 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Mazout,,,,,,,,,,499.000 €,Non,"Claesplein 18
1502 - Lembeek",4499895,À définir,1850,4,,264 m²,1,,Oui,,,Non,,,,,,,,699 €,60 m²,12 m²,,,,,Urbain,18 m²,20 m²,26 m²,,,,,,,,,40 m²,,,,,,,,,,,Oui,,,34 m²,,,,,,,,,,,,,,,,,,,,
64,Bon,,,6,Non,2,Non,Non,8000 m²,313 kWh/m²,D,20200716-0002294716-1,Non communiqué,Non communiqué,,,,Oui,Oui,Non,Oui,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",548.000 €,Non,"Galgstraat 87
1600 - St-Pieters-Leeuw",Hunselstraat 55,,,,,210 m²,1,,,,Non connecté,Non,,,,,,,,1.044 €,40 m²,16 m²,20 m²,22 m,1,8,Pays,12 m²,15 m²,9 m²,,,Non,Non,Non,Non,,Sud-est,,,,,,,,,,,,,,,32 m²,,360 m²,,,,90 m²,,Toutes sortes,,,,,,Oui,,,,22 m²,,
65,Bon,,,6,Non,2,Non,Non,8000 m²,313 kWh/m²,D,20200716-0002294716-1,Non communiqué,Non communiqué,,,,Oui,Oui,Non,Oui,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",548.000 €,Non,"Galgstraat 87
1600 - St-Pieters-Leeuw",Hunselstraat 55C,,,,,210 m²,1,,,,Non connecté,Non,,,,,,,,1.044 €,40 m²,16 m²,20 m²,22 m,1,8,Pays,12 m²,15 m²,9 m²,,,Non,Non,Non,Non,,Sud-est,,,,,,,,,,,,,,,32 m²,,360 m²,,,,90 m²,,Toutes sortes,,,,,,Oui,,,,22 m²,,
66,Bon,,Équipée,5,,4,,,1026 m²,261 kWh/m²,C,20211003-0002471493-RES,1 kg CO?/m²,Non communiqué,,Mazout,,Oui,,,,,,Zone non inondable,,580.000 €,Non,"Jozef de Vleminckstraat 4B
1853 - Strombeek-Bever",4495611,Après la signature de l’acte,1960,3,,246 m²,3,,,,,Oui,Non,Oui,,,,,,1.155 €,71 m²,12 m²,8 m²,8 m,1,5,Isolé,15 m²,13 m²,16 m²,,,,,,,550 m²,,,,,,,,,,,Non,,,11.32 m,,12 m²,,,1 janvier 2022 - 00:00,2,Oui,10 m²,,,,,,,,,,,,15 m²,,
67,À rafraîchir,Oui,,2,,3,,Non,251 m²,627 kWh/m²,F,20210315-0002387637-RES-1,Non communiqué,Non communiqué,,Gaz,,Oui,Oui,,,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",329.000 €,Oui,"Ninoofsesteenweg 85
1700 - Dilbeek",4305156,Après la signature de l’acte,1950,2,,180 m²,1,,,,Connecté,Oui,,,,,,,,,,24 m²,,7 m,,,Centre commercial,,,,,,,,,,108 m²,,,,,,,,,,,,,,7 m,,,,,,1,Oui,,,,,,,,,,42 m²,,,,,
68,Bon,,Hyper équipée,3,,,,Non,11142 m²,478 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,Mazout,Non,Oui,Oui,,Non,Non,Non,Zone non inondable,Zone d'intérêt paysager,1.500.000 €,Non,"Ninoofsesteenweg, 255
1700 - Dilbeek",,Après la signature de l’acte,1949,4,,721 m²,2,,,Oui,Non connecté,Oui,Non,Non,Oui,478,Oui,Oui,Non,2.196 €,,17 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,
69,À rafraîchir,,Semi-équipée,3,,2,,Non,1501 m²,724 kWh/m²,F,2470425,Non communiqué,Non communiqué,"Oui, conforme",Mazout,,Oui,Oui,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",389.000 €,Non,"Ninoofsesteenweg 67
1500 - Halle",567 - 346,Après la signature de l’acte,1972,4,,156 m²,1,,Oui,,,Oui,,,Oui,,,,,1.581 €,,,,8 m,3,3,,,,,,,,,,,,,,,,,,,,,,,,,14 m,,,,,,,,,,,,,,,,,,Non,,,,
70,Bon,,,3,Oui,3,Oui,Non,1000 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Non,Oui,Oui,,Oui,,,,,895.000 €,Non,,,Après la signature de l’acte,2005,4,,242 m²,1,Oui,,Non,Connecté,Non,Non,Non,Oui,,Non,Non,Oui,,31 m²,36 m²,17 m²,20 m,,1,,36 m²,23 m²,15 m²,Oui,,Non,Non,Non,Non,,,1 m²,,,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,,,,Oui,,,1,,,,Villa,,,,,1,,,,,,,
71,Bon,,Américaine hyper-équipée,3,,2,,,598 m²,204 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,Gaz,,Oui,Oui,,Non,Non,Non,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",545.000 €,Non,"Ninoofsesteenweg 84
1750 - Lennik",4496219,Après la signature de l’acte,2004,4,,180 m²,,,,,Connecté,,,,,,,,,1.248 €,35 m²,15 m²,,10 m,,,,20 m²,18 m²,16 m²,,,,,,,480 m²,,25 m²,,,,,,,,,,,,18 m,Lennik,,,,,,,,,,,,,,,,,,,,,
72,Bon,,,3,,2,,,746 m²,396 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,Mazout,,Oui,Oui,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",369.000 €,Non,"Ninoofsesteenweg 84
1750 - Lennik",4395488,Après la signature de l’acte,1960,3,,293 m²,,,,,Connecté,,,,,,,,,781 €,40 m²,29 m²,49 m²,8 m,,,,21 m²,17 m²,9 m²,,,,,,,,,18 m²,,,,,,,,,,,,,Lennik,,,,,,,,,,,,,,,,,,,,,
73,Bon,,,4,,2,Oui,,597 m²,215 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,Gaz,,Oui,Oui,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",439.000 €,Non,"Ninoofsesteenweg 84
1750 - Lennik",4431917,À définir,1998,4,,180 m²,2,,,,Connecté,,,,,,,,,1.182 €,39 m²,14 m²,9 m²,13 m,,,,17 m²,16 m²,14 m²,,10 m²,,,,,,,24 m²,,,,Oui,,,,,,,,25 m,Lennik,,,,,,,,,,,,,,,,,,,,,
74,,,Équipée,2,,2,,,295 m²,488 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,Gaz,,Oui,,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",349.850 €,Non,"Ninoofsesteenweg 84
1750 - Lennik",4426760,À définir,1900,3,,140 m²,1,,,,Connecté,,,,,,,,,686 €,27 m²,,13 m²,11 m,,2,,14 m²,8 m²,,,,,,,,,,50 m²,,,,,,,,,,,,19 m,Lennik,,,,,,,,,,,,,,,,,,,,,
75,À rénover,,,3,,1,Non,Non,66675 m²,733 kWh/m²,F,20210325-0002392679-RES-1,Non communiqué,Non communiqué,,Charbon,,Non,Oui,,Non,Non,Non,,Zone agricole,895.000 €,Non,"Parklaan 103
9300 - Aalst",,,1965,4,,280 m²,1,,,Non,Non connecté,Non,,,,,,,,,35 m²,15 m²,80 m²,10 m,1,4,Pays,12 m²,15 m²,17 m²,,,,,,,,Sud,,,,,,,,,,,,,,,,,955 m²,,,,,,,,,,,,Oui,,,,,,
76,Bon,,,3,,1,Non,Non,887 m²,415 kWh/m²,E,20210901-0002459002-RES-1,Non communiqué,Non communiqué,,,,Oui,Oui,,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",480.000 €,Non,"Bergensesteenweg 89
1500 - Halle",GVdH/0142/TK/08/2021,,1968,4,,150 m²,1,,,Non,Connecté,Non,,,,,,,,1.440 €,50 m²,16 m²,50 m²,10 m,1,4,,,,,,,,,,,737 m²,Sud-ouest,,,,,,,,,,,,,17 m,,,,150 m²,,,Oui,,,Villa,,,,,1,,,,,,,
77,À rafraîchir,,,3,,1,,,905 m²,618 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,,,Oui,,,Non,,,Zone inondable potentielle,,299.000 €,Non,"Oudesmidsestraat 20
1700 - Dilbeek",4431868,À définir,,2,,231 m²,1,,,,,Non,,,,,,,,969 €,30 m²,9 m²,,7 m,1,2,,18 m²,19 m²,10 m²,,,,,,,,,,,,,,,,,,,,,7 m,,,Oui,,,,Oui,,,,,,,,,,,,,,,
78,,,,15 m²,,Oui,Oui,1350 m²,17 m,F,200223-0002374099-RES-1,Non communiqué,Non communiqué,Mazout,,Oui,,Oui,175 m²,,Non,Non,Zone non inondable,Zone agricole,390.000 €,1.127 €,"Stationstraat 32
9400 - Ninove",4403984,,Après la signature de l’acte,1967,4,162 m²,24 m²,1,,,,Non,1350 m²,,,,,,,,Non,12 m²,4,,12 m,1,4,Pays,15 m²,14 m²,14 m²,,,,,,,Oui,,,,,,,,,,,,,,Connecté,,1,Non,Non,,1,595 kWh/m²,,,,,,,,,,,,,,,
79,Excellent état,,,3,Non,,Non,,1104 m²,892 kWh/m²,F,20210928--000246836-1,Non communiqué,Non communiqué,,,,Non,,Non,Non,Non,,,,328.000 €,Non,"Oude Vest 127
9200 - Dendermonde",,,,,,,1,,,,Non connecté,Non,,,,,,,,,15 m²,14 m²,20 m²,,,,,15 m²,20 m²,23 m²,,,Non,Non,Non,Non,900 m²,,,,,,,,,,,,,Oui,,,,,,,,,75 m²,ninoofsesteenweg372s,Toutes sortes,,,,,,,,,,,Christiaens Marc,
80,,,,4,Non,2,Oui,Non,650 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Mazout,Non,Oui,Oui,,,,Non,Zone non inondable,,315.000 €,Non,,,Immédiatement,1952,3,,137 m²,1,Oui,Oui,Non,,Non,,,,,Non,Non,Non,,15 m²,19 m²,,,,,,14 m²,14 m²,19 m²,,8 m²,Oui,Non,Non,Oui,500 m²,Sud-ouest,20 m²,Sud-ouest,,,,,,,,,,Oui,,,7 m²,Oui,,,,,,,,,,,,,,,,,,,
81,Bon,,Équipée,4,,2,,Non,1868 m²,378 kWh/m²,D,20210923-0002467682-RES-1,Non communiqué,Non communiqué,,Électrique,,Oui,Oui,,Oui,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",575.000 €,Non,"Alsembergsesteenweg 660
1653 - Dworp",6577 - 3284,,1994,4,,280 m²,1,,,,,Oui,,,,,,,,1.720 €,,32 m²,90 m²,,2,3,,29 m²,24 m²,17 m²,,,,,,,,,,,,,,,,,,,,,,,15 m²,,,,,Oui,,,,,,,,,,,Non,,,,
82,Bon,,Équipée,3,,1,,Non,1660 m²,300 kWh/m²,C,20210918-002465863-RES-1,Non communiqué,Non communiqué,,Mazout,,Oui,,,,,,,,549.000 €,Non,"Alsembergsesteenweg 660
1653 - Dworp",6578 - 3285,,1995,4,,200 m²,1,,Oui,,,,,,,,,,,1.660 €,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,Non,,,,
83,Bon,,19 m²,19 m²,,15 m²,Oui,1412 m²,Oui,C,20130727-0001413056-00000028-1,Non communiqué,Non communiqué,Non,,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,1.050.000 €,2.833 €,"Alsembergsesteenweg 660
1653 - Dworp",6319 - 3197,,,1990,4,426 m²,47 m²,1,,Non,,,Oui,,,Oui,,,,,Non,1,3,,,1,,,16 m²,10 m²,2,,Oui,,,,,,,,,,,,,,,,210 kWh/m²,,,,,,,,,4,Oui,,,,,,,,Équipée,,,Mazout,,,,
84,,,,3,,,,Non,437 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,,,395.000 €,Non,"Volpestraat 18
1500 - Halle",2620 -,,1967,3,,195 m²,,,,,,,,,,,,,,909 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,
85,Excellent état,,Équipée,2,Non,,Non,,349 m²,399 kWh/m²,D,20210928-0002469995-RES-1,Non communiqué,Non communiqué,,,,Oui,,,,,,,,272.000 €,Non,"Edingsesteenweg 91
1755 - Gooik",P/VW328,,1968,,,105 m²,1,,,,Connecté,Non,,,,,,,,,,,,,1,,Pays,,,,,,Non,Non,Non,Non,,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,
86,2,3,,1,,,,,675 kWh/m²,F,20190618-0002170423-RES-1,Non communiqué,Non communiqué,"Oui, conforme",Mazout,Non,Non,,,,Non,Zone non inondable,,150.000 €,,,"Gustaaf Vandersteenstraat, 10
1750 - Lennik",Elke ROGGEMANS,,1964,À rénover,Urbain,,,Oui,,Oui,,,,,,,,,Non,,Non,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,673 m²,,,,,,,,Non,Après la signature de l’acte,,825 €,,,,,,,,
87,,,,3,,,,,226 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,,,420.994 €,Non,"Kerkstraat, 38
1755 - Oetingen",4533487,À la livraison,,3,,132 m²,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,4,3,1,1760 m²,,,,,F,20210820-0002454138-RES-1,Non communiqué,Non communiqué,Zone inondable potentielle,370.000 €,,,,,,,,,,654 €,,,Hanne NEYENS,,,À rénover,,164 m²,Oui,Équipée,715 kWh/m²,,,,,,,,,,,,,"Heldenplein, 10
1540 - Herne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,"nl :
op woe. 13/10 & 20/10 & op zat. 9/10 & 16/10 telkens van 14u-16u",Après la signature de l’acte,Non,,,,,,,,
89,,,,3,,2,,,396 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,Oui,Oui,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",419.000 €,,"Ninoofsesteenweg 1024P
1703 - Schepdaal",Lieselot Vanhove,À la livraison,,3,,192 m²,1,,,,Connecté,Oui,,,,,Oui,,,,,,,,,2,"Zone d'habitat (résidentiel, urbain ou rural)",10 m²,10 m²,13 m²,,,,,,,,Sud,,,,,,,,,,,,,,Strijland,,,,,,,,,,,,,,,Oui,,,,,,
90,,,,3,,2,,,259 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,Oui,Oui,,,,,,,393.000 €,,"Ninoofsesteenweg 1024P
1703 - Schepdaal",Lieselot Vanhove,À la livraison,,2,,197 m²,1,,,,Connecté,Oui,,,,,Oui,,,,43 m²,,,,1,1,"Zone d'habitat (résidentiel, urbain ou rural)",10 m²,10 m²,13 m²,,,,,,,,Sud,,,,,,,,,,,,,,Strijland,,,,,,,,,,,,,,,Oui,,,,,,
91,,,,3,,2,,,262 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,Oui,Oui,,,,Non,,,399.000 €,,"Ninoofsesteenweg 1024P
1703 - Schepdaal",Lieselot Vanhove,À la livraison,,2,,212 m²,,,,,Connecté,Oui,,,,,Oui,,,,,,,,1,1,"Zone d'habitat (résidentiel, urbain ou rural)",10 m²,10 m²,15 m²,,,,,,,,Sud,,,,,,,,,,,,,,,,,,,,,38 m²,,,,,,,,Oui,,,,,,
