,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Surface habitable,Surface du salon,Salle à manger,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Salles de bains,Toilettes,Surface de bureau,Bureau,Meublé,Porte blindée,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Terrasse,Accès sécurisé / alarme,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Référence externe,À partir de,Site internet,Parkings extérieurs,Salles de douche,Surface du jardin,Surface de la terrasse,Surface constructible totale au sol,Type de zone inondable,Dressing,Espace professionnel,Cave,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Orientation de la terrasse,Attestation as-built,Attestation de conformité des citernes à mazout,Type de construction,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Grenier,Parlophone,Piscine,Disponible le,Largeur de la façade à rue,Type d’environnement,Visite virtuelle,Surface de la chambre 5,Largeur du terrain à rue,Ascenseur,Accessible aux personnes avec un handicap,Quartier ou lieu-dit,Lieu de la vente,Séance unique,Modalités de visite,Orientation du jardin,Pompe à chaleur,Panneaux solaires,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Mise à prix,Surface de la cave,Concierge,Interphone vidéo,Panneaux photovoltaïques,Chauffe-eau commun,Procédure pour violation de la réglementation urbanistique,Combien de feux ouverts ?,Buanderie,Salon,Jardin,Nombre d'annexes,Climatisation,Isolé,Nom de l'agent,Revenu mensuel actuel,Surface de l'espace professionnel,Niveau E (performance énergétique globale),Obligation de construire,Jacuzzi,Sauna,Internet,Surface du grenier,Charges mensuelles
132,1978,Bon,4,,165 m²,,,Américaine hyper-équipée,16 m²,3,13 m²,12 m²,18 m²,,1,,,,,,,Connecté,Oui,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,535.000 €,1.978 €,Non,"Winderickxplein 25
1652 - Alsemberg",4444348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,1972,Excellent état,3,,174 m²,,,,,4,18 m²,25 m²,14 m²,,1,,,,,,784 m²,,,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,445.000 €,,Non,"Winderickxplein 25
1652 - Alsemberg",4529793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,1972,Excellent état,3,,174 m²,,,,,4,18 m²,25 m²,14 m²,,1,,,,,,784 m²,,,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,445.000 €,,Non,"Winderickxplein 25
1652 - Alsemberg",4529794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,1973,À rénover,4,,200 m²,,,,,5,,,,,3,,,,,,,Connecté,Oui,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,525.000 €,3.212 €,Non,"Winderickxplein 25
1652 - Alsemberg",4427188,,,,2,,,,,,,Oui,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,4,1,,,,,,6,,,,,4,4,,,,,8000 m²,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,990.000 €,3.743 €,Oui,"Ninoofsesteenweg 85
1700 - Dilbeek",,Après la signature de l’acte,4393957,5,,,,,Zone non inondable,,,Oui,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,Oui,Non,Non,,,,,,,Non,,,Oui,,,,,,,,,,,,,,
137,1938,À rénover,2,,160 m²,34 m²,,Équipée,,3,7 m²,13 m²,13 m²,,1,2,,,,,300 m²,Connecté,Oui,Oui,,587 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Gaz,,300.000 €,427 €,,"Winderickxplein 9
1652 - Alsemberg",,Après la signature de l’acte,,,,,,,Zone non inondable,,,,,,,Oui,Est,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,6.6 m,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,Dichtbij centrum,,,,Est,,,Oui,Non,Non,,30 m²,,,,,Non,,Oui,,Oui,,,,,,,,,,,,,
138,1970,Fraîchement rénové,3,1,200 m²,28 m²,Oui,Américaine hyper-équipée,10 m²,3,17 m²,15 m²,15 m²,,1,2,12 m²,Oui,Non,Oui,784 m²,Connecté,Oui,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,445.000 €,2.094 €,,"Rue Vallée Bailly 83
1420 - Braine l'Alleud",,,,1,,717 m²,20 m²,,Zone non inondable,,,,Oui,Oui,,Oui,Nord-ouest,,,,Zone d'habitat mixte (habitat & activité économique),,Oui,,,8 m,"Zone d'habitat (résidentiel, urbain ou rural)",,,28 m,,,,,,,,,,Oui,Oui,,,40 m²,,,,,,1,Oui,,,,,,HECHT,,,,,,,,20 m²,
139,1961,À rafraîchir,4,1,250 m²,,,Semi-équipée,,5,11 m²,14 m²,16 m²,20 m²,2,2,,,,,3873 m²,Connecté,Oui,Oui,,513 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Gaz,,1.200.000 €,4.656 €,,"Winderickxplein 9
1652 - Alsemberg",,Après la signature de l’acte,,3,,,,,Zone inondable potentielle,Oui,,,,,Oui,,Sud-ouest,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,21 m²,30 m,,,Schaveys,,,,Sud,,,Oui,Non,Non,,,,Oui,,,Non,2,,,Oui,,,,,,,,,,,,,
140,,Excellent état,3,3,315 m²,30 m²,Oui,Équipée,,4,19 m²,22 m²,22 m²,25 m²,2,2,45 m²,Oui,,,1670 m²,,Oui,,,205 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,675.000 €,1.416 €,,"Winderickxplein 9
1652 - Alsemberg",,Après la signature de l’acte,,5,,,30 m²,,Zone d'inondation reconnue,,Oui,,,,,,Sud-ouest,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,17.5 m,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,Kanaal - Vaart,,,,Sud-ouest,,,Oui,Non,Non,,10 m²,,,,,Non,1,Oui,,Oui,,,,,,,,,,,,60 m²,
141,,À rénover,2,,110 m²,39 m²,,Semi-équipée,,2,,,,,,1,,,Non,,230 m²,,,,,396 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,259.000 €,453 €,Non,"Postweg 119
1602 - Vlezenbeek",1695 - 6826823,,,,1,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,Sud,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,
