,À partir de,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Surface habitable,Type de cuisine,Chambres,Salles de bains,Toilettes,Meublé,Surface du terrain,Terrain à front de rue,Terrain arrière,Largeur du terrain à rue,"Eau, gaz & électricité",Jardin,Orientation du jardin,Surface de la terrasse,Piscine,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Double vitrage,Permis de bâtir obtenu,Droit d'achat prioritaire possible,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Largeur de la façade à rue,Visite virtuelle,Surface du salon,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Cave,Raccordement à l'égout,Surface du jardin,Surface constructible totale au sol,Autorisation de lotissement,Procédure pour violation de la réglementation urbanistique,Salle à manger,Surface de la chambre 4,Surface de la chambre 5,Surface de bureau,Bureau,Grenier,Porte blindée,Terrasse,Référence externe,Combien de feux ouverts ?,Dressing,Buanderie,Espace professionnel,Surface de la cave,Surface du grenier,Terrain boisé,Terrain plat,Nombre d'annexes,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Attestation de conformité des citernes à mazout,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Orientation de la terrasse,Salles de douche,Surface de l'espace professionnel,Quartier ou lieu-dit,Obligation de construire,Salon,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Isolé,Disponible le,Niveau E (performance énergétique globale),Nom du bien
122,,1956,,3,1,,,,,3,1,2,Non,,,,,Non,,,,,452 kWh/m²,E,0002410694-RES-1,Non communiqué,Non communiqué,,Gaz,Oui,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",235.000 €,592 €,Non,"Moenstraat 39
2450 - Meerhout",2021TK049,,,24 m²,,,,,,Non connecté,,,,Non,Oui,,,,Non,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Après la signature de l’acte,1973,,4,,,,,Équipée,3,1,,Non,,,,,,,,35 m²,,271 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,,Non,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",349.000 €,1.082 €,Non,"Herenthoutseweg 5
2200 - Herentals",WB-ZIL56,,,,,12 m²,15 m²,14 m²,,,,,Non,Non,,,,,Non,,,,,,Non,,,45 m²,45 m²,,,,,,,,,,,,,,Non,Non,,,,,,,,,Non,,,,,,,,,
124,,,,3,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,3,,,,350 m²,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,279.000 €,,,"Molenhoek 47
2480 - Dessel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,1,Non,1100 m²,,,,Non,,,,,1189 kWh/m²,F,0002427351-RES-1,Non communiqué,Non communiqué,,,Non,,,,,49.000 €,,Non,"Moenstraat 39
2450 - Meerhout",2021TK031,,,,,,,,,Non connecté,,,,,,,,,Non,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,
126,,,Excellent état,4,,,,4,,437 m²,,,,Oui,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,35,,,,,,425.000 €,,Non,,"Koolmijnlaan 147
3582 - Beringen",4374665,,,244 m²,,,,,,,,,,,,,,,,,,,Non communiqué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zone non inondable,
127,,1997,Bon,4,2,,Pays,420 m²,Équipée,5,2,3,Non,2336 m²,,,,Non,Oui,Sud-est,,Non,169 kWh/m²,B,20210504-000240738-RES-2,Non communiqué,Non communiqué,,,Oui,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",635.000 €,1.327 €,Non,"Graaf De Broquevillestraat 35
2400 - Mol",07/2040,18 m,,,,,,,Oui,Non connecté,,,Oui,Non,,,,,Non,,Oui,,,,,,,,,,,,,Non,Non,Non,Non,,Non,,,,,,,,,Villa,,,,,,Oui,,,,,,,,
128,Après la signature de l’acte,2019,,3,,1,,217 m²,Équipée,3,1,2,Non,376 m²,,,12 m,Oui,,,,,25 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,Oui,Non,Zone non inondable,,419.000 €,730 €,Non,"Voogdijstraat 12
2400 - Mol",2872 - 256,9 m,,,,,,,,,,,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,
129,À définir,,Bon,,1,,,284 m²,Hyper équipée,6,,2,Non,1335 m²,,,,Oui,Oui,Sud-ouest,,,186 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",449.000 €,1.103 €,Non,"Statiestraat 47
2400 - Mol",,,,47 m²,22 m²,18 m²,16 m²,13 m²,,Connecté,,,Oui,Non,,12 m²,14 m²,,,Oui,,Oui,,,Non,,,,,,,,,,,,,,,,,,,Non,,,,,Sud-ouest,,,,,,,,,,,,,
130,À définir,,Bon,,,1,,363 m²,Équipée,6,,2,Non,2035 m²,,,,Oui,Oui,Est,,,614 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,Mazout,Oui,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",598.000 €,878 €,Non,"Statiestraat 47
2400 - Mol",,,,64 m²,15 m²,19 m²,18 m²,18 m²,Oui,Connecté,,,Non,Non,,17 m²,17 m²,,,Oui,,Oui,,,Non,,,,,,,,,,,,,,,,,,,Non,,,,,Est,,,,,,,,,,,,,
131,,1962,À rafraîchir,4,1,1,,,,3,1,1,Non,618 m²,,,,Oui,,,,,871 kWh/m²,F,20210823-0002454932-RES-1.,Non communiqué,Non communiqué,Non,,Oui,Oui,Non,Zone non inondable,,265.000 €,,Non,"Voogdijstraat 12
2400 - Mol",2870 - 255,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Après la signature de l’acte,2008,Excellent état,4,1,3,Paysage,400 m²,Hyper équipée,4,1,,Non,1150 m²,Oui,Non,20 m,Oui,,Est,28 m²,Non,143 kWh/m²,B,    ,Non communiqué,Non communiqué,,Gaz,Oui,Oui,,,,498.000 €,,Non,,,14 m,,20 m²,19 m²,24 m²,22 m²,16 m²,,,1000 m²,179 m²,,Non,Oui,16 m²,,34 m²,Oui,,Non,,,,Oui,Oui,Oui,100 m²,124 m²,Non,Oui,,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Oui,,Non,Oui,Non,Non,,Est,1,,,,,,,,,,,,
133,,2005,,,,,,Hyper équipée,22 m²,22 m²,2,15 m²,,Non,Non,Non,,Oui,Nord-est,175 kWh/m²,,,B,20210914-0002464048-RES-1,Non communiqué,Non communiqué,Gaz,,Oui,Oui,Toutes sortes,Non,"Zone d'habitat (résidentiel, urbain ou rural)",464.000 €,1.056 €,Non,"Brasemstraat 8
2400 - Mol",MH0074,,,270 m²,,4,12 m²,12 m²,Non,,Oui,,,Non,Zone non inondable,,,,Oui,30 m²,,,,,,2,,,60 m²,716 m²,Non,Connecté,,,,,,,,,,,,,,,,,Non,,,,,Non,,,,,,,,,
134,Après la signature de l’acte,,Bon,3,,9,,262 m²,,3,2,2,,245 m²,,,,Oui,,,,,295 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,,Oui,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",279.000 €,,Non,"Antwerpsesteenweg 51/5
2350 - Vosselaar",4425266,,,,,,,,,,100 m²,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,140 m²,,,Oui,,,,,,,,
135,À définir,,,4,1,,,164 m²,Équipée,3,1,1,Non,830 m²,,,,,Oui,Sud-ouest,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,Oui,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",289.000 €,260 €,Non,"Markt 37
2450 - Meerhout",spir6084,,,32 m²,18 m²,12 m²,9 m²,54 m²,,,,,Non,Non,,,,,Non,,,,,1,Non,,,6 m²,,,,,,,,,,,,,,,Non,Non,,,,,,1,,,Non,,,,,,,,,
136,,1971,À rénover,,1,3,,,,4,1,2,Non,1026 m²,,,12 m,Oui,,,,,564 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,,Oui,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",229.900 €,,Non,"Stationsstraat 69
2440 - Geel",V&G/G/3600,,,34 m²,13 m²,22 m²,13 m²,13 m²,Oui,Connecté,,,Non,Non,,13 m²,,,Non,,Non,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,3,,,,,Équipée,6,1,2,Non,645 m²,,,,Non,Oui,Sud,,,231 kWh/m²,C,0001632218-4,Non communiqué,Non communiqué,,,Oui,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",285.000 €,,Non,"Moenstraat 39
2450 - Meerhout",2021TK034,,,,,,,,,Non connecté,,,,Non,,,,,Non,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,
138,À la livraison,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Oui,Non,,,,,Oui,"Antwerpsesteenweg 359
2500 - Lier",,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
