,À partir de,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Surface habitable,Type de cuisine,Chambres,Salles de bains,Toilettes,Meublé,Surface du terrain,Terrain à front de rue,Terrain arrière,Largeur du terrain à rue,"Eau, gaz & électricité",Jardin,Orientation du jardin,Surface de la terrasse,Piscine,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Double vitrage,Permis de bâtir obtenu,Droit d'achat prioritaire possible,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Largeur de la façade à rue,Visite virtuelle,Surface du salon,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Cave,Raccordement à l'égout,Surface du jardin,Surface constructible totale au sol,Autorisation de lotissement,Procédure pour violation de la réglementation urbanistique,Salle à manger,Surface de la chambre 4,Surface de la chambre 5,Surface de bureau,Bureau,Grenier,Porte blindée,Terrasse,Référence externe,Combien de feux ouverts ?,Dressing,Buanderie,Espace professionnel,Surface de la cave,Surface du grenier,Terrain boisé,Terrain plat,Nombre d'annexes,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Attestation de conformité des citernes à mazout,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Orientation de la terrasse,Salles de douche,Surface de l'espace professionnel,Quartier ou lieu-dit,Obligation de construire,Salon,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Isolé,Disponible le,Niveau E (performance énergétique globale),Nom du bien
0,À définir,1992,Excellent état,4,2,3,"Zone d'habitat (résidentiel, urbain ou rural)",300 m²,Équipée,3,1,2,Non,2392 m²,Oui,Oui,35 m,Oui,Oui,Sud,37 m²,Oui,301 kWh/m²,C,20201123-0002342816-RES-1,Non communiqué,Non communiqué,Non,Mazout,Oui,Oui,Non,Zone non inondable,Parc résidentiel,519.000 €,1.368 €,Non,"Bredabaan 260
2930 - Brasschaat",40776 - TUR-21-KWO-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Après la signature de l’acte,1962,À rénover,4,1,2,Urbain,44 m²,16 m²,16 m²,1,Oui,743 m²,11.5 m,,,Connecté,493 m²,,,,,F,20210321-0002390441-RES-1,Non communiqué,Non communiqué,Non,Mazout,Oui,Oui,128 m²,Non,"Zone d'habitat (résidentiel, urbain ou rural)",249.000 €,476 €,Non,"Sint Jobsstraat 3
2200 - Herentals",4312386,,7.5 m,128 m²,Semi-équipée,3,16 m²,8 m²,1,Non,Non,652 kWh/m²,Non,Non,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,À définir,1954,,4,2,15,,260 m²,Américaine équipée,5,1,,,15000 m²,,,,Non,,,,,227 kWh/m²,C,20210319-0002390005-RES-1,Non communiqué,Non communiqué,,Mazout,Oui,Oui,Non,Zone non inondable,,595.000 €,2.117 €,Non,"Hoogstraat 20
9340 - Lede",,,,25 m²,,14 m²,12 m²,10 m²,,,,,Non,,Oui,9 m²,8 m²,10 m²,Oui,Oui,Non,Oui,4498130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Après la signature de l’acte,1942,Bon,4,,,,,,3,1,,Non,1483 m²,,,,Oui,Oui,Sud-ouest,,,659 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Non,Mazout,,Oui,Non,,Zone agricole,319.000 €,,Non,"Kempenlaan 32
2300 - Turnhout",37114 - TUR-21-GME-1,,,,15 m²,17 m²,14 m²,10 m²,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,1974,Bon,4,1,1,"Zone d'habitat (résidentiel, urbain ou rural)",150 m²,Équipée,3,1,,Non,1100 m²,Oui,Oui,16 m,Oui,,,,Non,612 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,Oui,,Zone inondable potentielle,,310.000 €,1.000 €,Non,,,10 m,,16 m²,16 m²,12 m²,12 m²,15 m²,,,700 m²,,,,Oui,,,,Non,,Non,,,1,Non,Oui,Non,50 m²,150 m²,Non,Oui,1,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,"Oui, conforme",Non,Non,Non,Non,Toutes sortes,,,,,,,,,,,,,,
5,À définir,1955,Bon,4,1,2,Urbain,32 m²,14 m²,17 m²,1,Oui,,19 m,,,Connecté,531 kWh/m²,,,,,F,20210923-0002468218-RES-1,Non communiqué,Non communiqué,Gaz,,Oui,Oui,127 m²,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",319.000 €,532 €,Non,"Vrijheid 8
2370 - Arendonk",4518825,,9 m,144 m²,Américaine équipée,3,13 m²,13 m²,1,Oui,Oui,,Non,Non,,,,,,,740 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,2013,Excellent état,,3,,,90 m²,30 m²,2,3,Oui,Non,50 m,,,Non connecté,Oui,Sud-ouest,Oui,,110 kWh/m²,B,13036-G-5157/EP03168/K022/D01/SD001,Non communiqué,Non communiqué,Oui,,,Oui,Villa,Non,Parc résidentiel,2.195.000 €,3.041 €,Non,"PARKLAAN 46
2300 - Turnhout",04/12362,,26 m,520 m²,Équipée,3,,,,,Oui,,,Non,Zone non inondable,,,,,190 m²,,Non,Non,,,,,,Non,,,,,,Non,Non,Oui,Non,,Oui,,,,,,,,,Non,,,,,,,,,,,,,,
7,À définir,,Bon,,,,,164 m²,Équipée,3,,2,Non,227 m²,,,,Oui,Oui,Sud-ouest,,,318 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",299.000 €,542 €,Non,"Statiestraat 47
2400 - Mol",,,,,,,,,Oui,Connecté,,,Non,Non,,,,,,Oui,,Oui,,,Non,,,,,,,,,,,,,,,,,,,Non,,,,,Sud-ouest,,,,,,,,,,,,,
8,Après la signature de l’acte,2007,Excellent état,4,1,5,Pays,290 m²,Hyper équipée,4,,3,,1196 m²,,,22.68 m,,,,,,111 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,Oui,,,,499.000 €,,Oui,"Markt 5
2480 - Dessel",4454762,12.3 m,,40 m²,14 m²,13 m²,13 m²,29 m²,,,,145 m²,,,,14 m²,,14 m²,Oui,Oui,,Oui,,,,,,,,,,,,,,,Oui,,,,,,,,,Oui,,,,1,30 m²,,,,,,,,,,,
9,Selon le locataire,1976,Bon,4,2,6,,6,,16 m²,3,Non,2023 m²,44 m,,,Oui,Oui,,,,,C,20150608-0001766891-1,Non communiqué,Non communiqué,Gaz,,Oui,Oui,Oui,Non,Parc résidentiel,785.000 €,1.497 €,Non,"Grote Markt 22
2300 - Turnhout",4492475,,23 m,401 m²,,,13 m²,29 m²,26 m²,,,,,Non,Zone non inondable,,21 m²,2,,,,,261 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retie,,,,,,,,,,
10,Après la signature de l’acte,1970,À rénover,4,1,4,Urbain,215 m²,Équipée,4,2,2,,969 m²,,,16 m,Non,,,35 m²,,746 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,Mazout,,,,,,315.000 €,1.137 €,Non,"Markt 5
2480 - Dessel",4402355,12.45 m,,,,26 m²,15 m²,12 m²,Oui,Connecté,,121 m²,,,,12 m²,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
11,Selon le locataire,1959,À rafraîchir,4,1,4,,130 m²,Semi-équipée,3,1,1,Non,482 m²,,,14 m,Oui,,,,,455 kWh/m²,E,20210615-0002429575-RES-1,Non communiqué,Non communiqué,,Gaz,,,,,,225.000 €,,Non,"Markt 5
2480 - Dessel",4396446,6 m,,51 m²,26 m²,,,,Oui,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
12,À définir,1895,Bon,2,1,5,Pays,Américaine semi-équipée,4,37 m²,2,Oui,20614 m²,Oui,,,,,,,,,D,202110811-8,Non communiqué,Non communiqué,Gaz,,Oui,Oui,Non,Non,Zone agricole,719.000 €,475 €,Non,"Grote Markt 22
2300 - Turnhout",4491104,,,350 m²,,,12 m²,10 m²,29 m²,Oui,,,,Oui,Zone non inondable,,2,,,,Non,,383 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oud-Turnhout,,,,,,,,,,
13,À définir,,Bon,,,,,,Équipée,4,,2,Non,1515 m²,,,,Oui,Oui,Sud-est,,,185 kWh/m²,B,20201026-0002332461-RES-1,Non communiqué,Non communiqué,Non,Mazout,Oui,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",445.000 €,,Non,"Statiestraat 47
2400 - Mol",,,,45 m²,18 m²,12 m²,12 m²,17 m²,Oui,Connecté,,,Non,Non,,,,,,Oui,,,,,Non,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,
14,,1976,Bon,2,,,,121 m²,Équipée,3,1,2,Non,110 m²,,,,,,,25 m²,,369 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,,Non,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",219.000 €,708 €,Non,"Herenthoutseweg 5
2200 - Herentals",WB-ASB1,,,,,9 m²,12 m²,14 m²,,,,,Non,Non,,,,,Non,,,,,,Non,,,,25 m²,,,,,,,,,,,,,,Non,Non,,,,,,,,,Non,,,,,,,,,
15,À définir,1974,Excellent état,4,1,3,Urbain,250 m²,Hyper équipée,5,2,3,Non,1132 m²,,,,Non,,,,,360 kWh/m²,D,20210628-0002432034-RES-4,Non communiqué,Non communiqué,,Électrique,Oui,Oui,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",485.000 €,,Non,"Markt 12
2470 - Retie",4395207,,,,,,,,,,,,,,,,,,Oui,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,2,,,,,,,,,,,,
16,Après la signature de l’acte,2021,Excellent état,3,,2,,176 m²,Américaine hyper-équipée,3,1,2,,341 m²,,,11 m,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,,,Zone non inondable,,445.000 €,,Non,"Fehrenbachstraat, 53
2440 - Geel",4531729,8 m,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Après la signature de l’acte,2021,Excellent état,3,,2,,176 m²,Américaine hyper-équipée,3,1,2,,341 m²,,,11 m,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,,,Zone non inondable,,445.000 €,,Non,"Fehrenbachstraat, 53
2440 - Geel",4531722,8 m,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Après la signature de l’acte,2002,,4,,,,312 m²,,5,,,Non,900 m²,Non,Non,,Non,,,,,251 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,,,,,449.000 €,839 €,Non,,,,,,,,,,Oui,,1 m²,,,,,,,,Non,Oui,Non,,,,Non,Oui,Non,,,Non,Non,1,,,,,,,,,,,,Non,Non,Non,Non,Toutes sortes,,,,,,,,,,,,,,
19,Après la signature de l’acte,1955,,4,2,2,,600 m²,,5,3,,Non,5000 m²,,,,Non,,,,Oui,233 kWh/m²,C,233,Non communiqué,Non communiqué,,Gaz,,Oui,Non,Zone inondable potentielle,Zone d'extension d'habitat,1.100.000 €,2.654 €,Non,"Grote Markt 22
2300 - Turnhout",,,,,,,,,Oui,,,600 m²,Non,Non,,,,,Oui,Oui,,Oui,3117879,,,,,,,,,,,,,,Oui,,Oui,,,,,,,,,,,,,Mol,,Oui,,,,,,,,
20,,,,,2,,,Oui,3,Oui,5,Oui,8418 m²,Non,Non,Non,,8418 m²,,Oui,,119 kWh/m²,B,20201107-0002334821-RES-1,Non communiqué,Non communiqué,Non,,,Oui,Toutes sortes,Zone non inondable,Zone de parc,1.850.000 €,2.694 €,Non,"Binnensingel 70 / 2
3920 - Lommel",spir2019 [3037206],,,624 m²,,,,,,Non,Oui,Sud,,Non,,Équipée,,,,Oui,,,Non,,,3,Non,,,,Non,Connecté,,Non,Non,Non,Non,Non,,Oui,,,,Oui,Oui,,,,Non,,,,,Non,Oui,,,,,,,,
21,,,À rénover,2,,,,242 m²,,3,1,,Non,242 m²,Oui,Non,,Non,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Non,,,,,185.000 €,,Non,,,12 m,,,,,,,,,124 m²,,,,,,,,Non,,Non,,,,Non,,Non,,,Non,Non,,,,,,,,,,,,,Non,Non,Non,Non,Toutes sortes,,,,,,,,,,,,,,
22,,,,2,,,,,,2,1,,Non,225 m²,Non,Non,,Non,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Non,Oui,,,,265.000 €,,Non,,,,,,,,,,,,90 m²,,,Non,,,,,Non,,Non,,,,Non,,Non,,,Non,Non,,,,,,,,,,,,,Non,Non,Non,Non,Toutes sortes,,,,,Non,,,,,,,,,
23,À la livraison,,Excellent état,3,1,,,140 m²,,3,1,,,235 m²,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",308.775 €,,Non,"Rondplein 13/2
2400 - Mol",4233551,,,,,,,,,,,,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,
24,,,,3,,,"Zone d'habitat (résidentiel, urbain ou rural)",126 m²,,3,,,,458 m²,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,284.022 €,,,"Lochtemanweg 6
3580 - Beringen",Michiel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1950,À rénover,4,1,131 m²,,,2,,1,525 m²,,,1476 kWh/m²,,,,,,,,,F,20180901-0002086781-1,Non communiqué,Non communiqué,Non,,,,,,60.000 €,,,Non,"Ezaart 138/3
2400 - Mol",Kirsten VAN AELST,,,,,,,,,,,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,"nl :
woe. 22/9 van 17u-19u en zat. 18/9 en 25/9 van 14u-16u of na voorafgaande afspraak met het notariskantoor",Après la signature de l’acte,508 €,,,,
26,1977,4,,1,3,,,,,848 m²,556 kWh/m²,,,F,,,,,,,,,20210808-0002449330-RES-1,Non communiqué,Non communiqué,Oui,Oui,,,,Non,170.000 €,810 €,,,"Ezaart 138/3
2400 - Mol",Nele Peetermans,,,,1,,,,,,,,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,Non,"nl :
zat. 9/10, 16/10 en woe. 13/10 van 14u-16u of na voorafgaandelijke afspraak met het notariaat",Après la signature de l’acte,Non,,,,
27,Après la signature de l’acte,1952,Excellent état,3,,,,110 m²,Équipée,3,,,Non,510 m²,,,,,,,,,191 kWh/m²,B,2429566-RES-1,Non communiqué,Non communiqué,"Oui, conforme",Gaz,Oui,Oui,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",330.000 €,,Non,"Markt 20
2440 - Geel",40865 - GEE-021-JVR-,,,,,,,,Oui,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Après la signature de l’acte,2007,Excellent état,4,1,,,321 m²,Équipée,3,2,2,Non,578 m²,,,,Oui,Oui,Ouest,,,121 kWh/m²,B,20210902-0002458934-RES-2,Non communiqué,Non communiqué,"Oui, conforme",,Oui,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",549.000 €,,Non,"Markt 20
2440 - Geel",40866 - GEE-21-DHO-0,,,,,,,,Oui,,,,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Après la signature de l’acte,1976,Bon,4,1,2,Pays,200 m²,,3,1,1,,984 m²,,,,Non,,,,,538 kWh/m²,F,20210625-0002434064-RES-1,Non communiqué,Non communiqué,,Mazout,Oui,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",299.000 €,902 €,Non,"Gasthuisstraat 21
2340 - Beerse",4533456,12.5 m,,22 m²,12 m²,14 m²,10 m²,10 m²,,,,,Non,Non,Oui,,,,,Oui,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dessel,,,,,,,,,,
30,Selon le locataire,1967,Bon,4,,1,"Zone d'habitat (résidentiel, urbain ou rural)",226 m²,Semi-équipée,3,1,1,Non,378 m²,Oui,Non,35 m,Oui,,Ouest,,Non,552 kWh/m²,F,20140414-0001574453-00000001-4,Non communiqué,Non communiqué,,Gaz,Oui,,,,"Zone d'habitat (résidentiel, urbain ou rural)",315.000 €,,Non,,,11 m,,37 m²,14 m²,16 m²,20 m²,12 m²,,,250 m²,130 m²,,,,,,,Non,,Non,,,1,Non,,Non,35 m²,28 m²,Non,Non,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,Non,Non,Non,Non,,,,,,,,,,,,Oui,,,
31,,,Fraîchement rénové,4,,,,140 m²,Équipée,3,,,Non,795 m²,,,,Oui,,,,,198 kWh/m²,B,20210715-0002442156-RES-1,Non communiqué,Non communiqué,Non,Gaz,Oui,Oui,Non,Zone non inondable,,329.000 €,,Non,"Markt 20
2440 - Geel",38595 - GEE-21-SDP-1,,,,,,,,Oui,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,À définir,,Bon,,1,1,,,Équipée,4,,1,Non,1100 m²,,,,Oui,,,,,368 kWh/m²,D,368,Non communiqué,Non communiqué,,Mazout,Oui,,,,,375.000 €,,Non,"Bleekstraat, 19
2480 - Dessel",,,,,,,,,Oui,Connecté,,,,,,,,,,,,Oui,,,Non,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,
33,Immédiatement,1935,À rafraîchir,3,1,4,Pays,160 m²,Américaine équipée,4,1,,,869 m²,,,,Non,,,,,576 kWh/m²,F,20210804-0002448213-RES-1,Non communiqué,Non communiqué,,Mazout,Oui,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",179.000 €,,Non,"Bisschopslaan 16
2340 - Beerse",,,,,,,,,Oui,Connecté,669 m²,,,,,,,,,,,,4445484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Après la signature de l’acte,1931,À rafraîchir,4,1,5,Pays,157 m²,Équipée,3,1,1,,757 m²,,,18 m,Oui,,,,,398 kWh/m²,D,20210623-0002433233RES1,Non communiqué,Non communiqué,,Gaz,,,,,,215.000 €,,Non,"Bisschopslaan 16
2340 - Beerse",,,,,,,,,,Connecté,490 m²,,,,,,,,,Oui,,,4401269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,2005,Excellent état,4,2,6,Isolé,210 m²,Américaine hyper-équipée,2,1,,Non,871 m²,,,40 m,Oui,,,,,236 kWh/m²,C,20161223-0001921398-1,Non communiqué,Non communiqué,,Gaz,Oui,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",425.000 €,1.302 €,Non,"Bisschopslaan 16
2340 - Beerse",,,,,,,,,Oui,Connecté,661 m²,20 m²,Oui,,,,,,,Oui,,,4430694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Après la signature de l’acte,1952,À rénover,3,1,,Urbain,,,3,1,1,Non,,,,,Oui,,,,,428 kWh/m²,E,20120423-0001102356-00000002-5,Non communiqué,Non communiqué,,Gaz,Oui,,,Zone non inondable,,239.000 €,,Non,"Vrijheid 8
2370 - Arendonk",4400517,,,,,,,,Oui,,784 m²,,,,,,,,,Oui,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Après la signature de l’acte,2009,,2,,,,,,3,1,2,,150 m²,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,,,,,222.000 €,,Non,,,,,,,16 m²,12 m²,10 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vlakbij centrum,,,,,,,,,,
38,,,,4,,,,,,7,3,,,400 m²,,,,,,,,,301 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,,,,,,,299.000 €,,Non,"Zuiderring 106
2400 - Mol",4322627,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,4,,,,,,6,1,,,892 m²,,,,,,,,,380 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,,,,,,,349.000 €,,Non,"Zuiderring 106
2400 - Mol",4307574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,1952,Excellent état,,,,,185 m²,Équipée,3,1,1,Non,683 m²,Non,Non,,Oui,Oui,Nord,,,228 kWh/m²,C,20211008-0002474435-RES-1,Non communiqué,Non communiqué,,Gaz,Oui,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",295.000 €,609 €,Non,"Brasemstraat 8
2400 - Mol",MH0086,,,,,,,,Oui,Non connecté,,,Oui,Non,,,,,Non,,,,,,Non,Oui,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,1 septembre 2022 - 00:00,,
41,Après la signature de l’acte,1958,À rénover,3,1,2,Urbain,176 m²,Semi-équipée,3,1,1,Non,281 m²,,,8 m,Oui,,,,,490 kWh/m²,E,20210319-0002389653-RES-1,Non communiqué,Non communiqué,,Gaz,,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",250.000 €,,Non,"Markt 5
2480 - Dessel",4322483,8 m,,,,,,,Oui,Connecté,63 m²,92 m²,,,,,,,,Oui,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,À définir,,Bon,,,,,195 m²,Semi-équipée,3,,1,Non,1178 m²,,,,Oui,Oui,Sud-ouest,,,965 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Non,Mazout,Oui,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",282.000 €,,Non,"Statiestraat 47
2400 - Mol",,,,,,,,,Oui,Connecté,,,Non,Non,,,,,,,,Oui,,,Non,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,
43,À définir,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Oui,,Zone non inondable,,,,Non,"Kapelanielaan 9c
9140 - Temse",,,,,,,,,,,,,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,À définir,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Oui,,Zone non inondable,,,,Non,"Kapelanielaan 9c
9140 - Temse",,,,,,,,,,,,,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,3,1,,,,Semi-équipée,3,1,1,Non,220 m²,,,,,,,,,493 kWh/m²,E,20171218-0002019047-1,Non communiqué,Non communiqué,Non,Mazout,,Oui,Non,Zone non inondable,,260.000 €,758 €,Non,"Voogdijstraat 12
2400 - Mol",2836 - 235,,,32 m²,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Après la signature de l’acte,1934,À rénover,3,,,,128 m²,,3,1,1,Non,1195 m²,,,,,,,25 m²,,1097 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,Mazout,Non,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",179.000 €,312 €,Non,"Herenthoutseweg 5
2200 - Herentals",WB-PAS45,,,,,10 m²,9 m²,18 m²,,,,,Non,Non,,,,,Non,,,,,,Non,,,10 m²,,,,,,,,,,,,,,,Non,Non,,,,,,,,,Non,,,,,,,,,
47,,1960,À rafraîchir,3,2,3,Urbain,280 m²,Américaine équipée,5,2,,Non,470 m²,,,,Oui,,,,,729 kWh/m²,F,20210727-0002445640-RES-1,Non communiqué,Non communiqué,,Gaz,,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",270.000 €,,Non,"Markt 5
2480 - Dessel",4431355,,,,,,,,,,307 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Après la signature de l’acte,1968,Bon,3,,,,175 m²,Équipée,4,1,,Non,864 m²,,,,,,,25 m²,,246 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,,Non,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",329.000 €,1.070 €,Non,"Herenthoutseweg 5
2200 - Herentals",WB-PAS55,,,,,12 m²,13 m²,15 m²,,,,,Non,Non,,13 m²,9 m²,,Non,,,,,,Non,,,15 m²,,,,,,,,,,,,,,,Non,Non,,,,,,,,,Non,,,,,,,,,
49,Après la signature de l’acte,1995,,,,,,264 m²,Équipée,3,1,2,Non,790 m²,,,,,,,30 m²,,221 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,,Non,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",465.000 €,1.251 €,Non,"Herenthoutseweg 5
2200 - Herentals",WB-PERE25,,,,,15 m²,12 m²,12 m²,,,,,Non,Non,,,,,Non,,,,,,Non,,,61 m²,45 m²,,,,,,,,,,,,,,Non,Non,,,,,,,,,Non,,,,,,,,,
50,À la livraison,2021,,2,1,,Urbain,190 m²,,3,1,2,,184 m²,,,8 m,Oui,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,Oui,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",229.000 €,,Non,"Markt 12
2470 - Retie",4521802,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
51,À la livraison,2021,,2,1,,,190 m²,,3,2,2,,184 m²,,,8 m,Oui,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,"Oui, conforme",Gaz,Oui,Oui,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",307.805 €,,Non,"Markt 12
2470 - Retie",4521835,,,,,17 m²,14 m²,10 m²,,,100 m²,,Oui,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,2,,,,,,,,,,,,
