,À partir de,Année de construction,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface habitable,Type de cuisine,Chambres,Salles de bains,Toilettes,Meublé,Surface du terrain,Jardin,Orientation du jardin,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Niveau E (performance énergétique globale),Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Site internet,État du bâtiment,Salon,Salle à manger,Dressing,Buanderie,Bureau,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,"Eau, gaz & électricité",Surface du jardin,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Type de construction,Revenu cadastral,Largeur de la façade à rue,Surface du salon,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Largeur du terrain à rue,Type de chauffage,Cave,Visite virtuelle,Raccordement à l'égout,Surface constructible totale au sol,Obligation de construire,Surface de la terrasse,Salles de douche,Type d’environnement,Grenier,Terrasse,Attestation de conformité des citernes à mazout,Orientation de la terrasse,Surface de bureau,Disponible le,Surface du grenier,Référence externe,Surface de la chambre 4,Isolé,Surface de la cave,Surface de l'espace professionnel,Nombre d'annexes,Surface de la chambre 5,Quartier ou lieu-dit,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Nom de l'agent,Combien de feux ouverts ?,Revenu mensuel actuel,Pourcentage loué,Nom du bien
84,,,3,1,4,135 m²,Équipée,3,1,2,Non,820 m²,,Sud,513 kWh/m²,F,0002460023,Non communiqué,Non communiqué,Non,,,,,,,,359.000 €,Non,"Britselei 42
2000 - Antwerpen",10171 - 3596256,Bon,,,,,,,,,,,,,600 m²,,,,,,,,,,,,,,,,Oui,,,,,,,,,11 m,Mazout,Oui,,,,,25 m²,,,,,,,,,,,,,,,,,,,,,,,1,,,
85,,1955,4,1,2,144 m²,Équipée,3,1,2,Non,980 m²,,Sud,644 kWh/m²,F,20211007-0002473938-RES-1,Non communiqué,Non communiqué,,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",539.000 €,Non,"Handelslei 42
2960 - Sint-Job-in-'Goor",,Bon,,,,,Non,,Non,,,,,Oui,400 m²,,,,,,,,,,,,,,,,Oui,,1.539 €,11.8 m,43 m²,10 m²,10 m²,12 m²,20 m²,44.5 m,,,,Non connecté,87 m²,,,,,,,,,,,,3570,,,13 m²,,,,,,,,,,1,,,
86,,,2,1,2,150 m²,Équipée,3,1,2,Non,230 m²,,Sud-ouest,251 kWh/m²,C,0002440036,Non communiqué,Non communiqué,Non,,,,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",349.000 €,Non,"Britselei 42
2000 - Antwerpen",10190 - 3596201,Bon,,,,,,,Oui,,,,,,100 m²,,,,,,,,,,,,,,,,Oui,,1.209 €,,34 m²,,,,,,Gaz,,,,,,25 m²,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Après la signature de l’acte,1970,3,1,,205 m²,Semi-équipée,3,1,2,Non,350 m²,Oui,Sud-ouest,421 kWh/m²,E,20210816-0002451853-RES-1,Non communiqué,Non communiqué,Non,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",375.000 €,Non,"Zegeplein 3
2930 - Brasschaat",,À rafraîchir,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,Oui,,1.033 €,7 m,30 m²,10 m²,18 m²,16 m²,7 m²,10 m,Gaz,,,,,,,,,,,,,,,,3369 - 1821,,,,,,,,,,,,,1,,,
88,Après la signature de l’acte,1960,3,,,150 m²,,3,1,1,Non,638 m²,,Ouest,546 kWh/m²,F,2459233,Non communiqué,Non communiqué,,,,,,,,,349.000 €,Non,,,À rénover,Oui,,Non,,Non,Non,Non,Non,Non,Non,Non,Oui,523 m²,,,,,,,,,,,,Non,Non,Non,Non,Oui,Toutes sortes,951 €,11 m,,,,,,,Gaz,Oui,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,
89,,,3,1,1,137 m²,Équipée,3,,2,Non,,,Sud-ouest,393 kWh/m²,D,0002209159,Non communiqué,Non communiqué,Non,,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",349.000 €,Non,"Britselei 42
2000 - Antwerpen",10202 - 3596273,Bon,,,,,,,,,,,,,80 m²,,,,,,,,,,,,,,,,Oui,,1.023 €,,33 m²,,,,,,Gaz,Oui,,,,,30 m²,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Après la signature de l’acte,1920,2,,,110 m²,Équipée,2,1,1,Non,365 m²,,,520 kWh/m²,F,202105050002403391,Non communiqué,Non communiqué,,,,,,,Zone non inondable,,212.000 €,Non,,,À rénover,Oui,,Non,Oui,Non,Non,Non,Non,Non,Oui,Oui,Oui,300 m²,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,,394 €,,,15 m²,14 m²,9 m²,,6 m,Gaz,Oui,,,,,12 m²,,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,,Non,,,,,,,,,,,,,,,,,,,,,
91,,1989,4,,,240 m²,Équipée,4,2,2,Non,666 m²,,Sud,206 kWh/m²,C,20210618-0002431121-RES-1,Non communiqué,Non communiqué,,,,,,,Zone non inondable,,622.000 €,Non,,,Bon,,,Non,,Non,Non,Oui,Oui,Non,Non,Oui,Oui,450 m²,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Oui,,,15 m,,,18 m²,18 m²,17 m²,22 m,Gaz,,,Connecté,,,40 m²,2,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Sud,,,,,11 m²,,,,,,,,,,,,1,,,
92,Après la signature de l’acte,,2,,,30 m²,3,1,1,Oui,186 m²,4.73 m,,441 kWh/m²,E,20210228- 0002379710,Non communiqué,Non communiqué,Non,Non,,Non,Non,Zone non inondable,,Zone d'habitat mixte (habitat & activité économique),249.000 €,312 €,850,1314327 - 1314206,,Bon,,,,,,,,,,,,100 m²,Sud,,,,,,,,,,,,,,,,Oui,,Oui,,Hyper équipée,,,,,Oui,,Non,215 m²,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,"Theo Verellenlaan 19
2990 - Wuustwezel",,
93,,1965,2,,,135 m²,Équipée,2,2,1,Non,102 m²,,Est,562 kWh/m²,F,20120424-0001103258-00000004-5,Non communiqué,Non communiqué,,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",263.500 €,Non,"Bredabaan 661
2930 - Brasschaat",,À rafraîchir,,,,,Non,,Non,,,,,Oui,45 m²,,,,,,,,,,,,,,,,Oui,,758 €,6 m,33 m²,12 m²,12 m²,8 m²,,6 m,,,,Connecté,65 m²,,10 m²,,,,,,,,,,3633,,,,,,,,,,,,,,,,
