,À partir de,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Type d’environnement,Surface habitable,Salon,Salle à manger,Combien de feux ouverts ?,Type de cuisine,Chambres,Dressing,Salles de bains,Buanderie,Grenier,Meublé,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Surface de la terrasse,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Sauna,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Attestation de conformité des citernes à mazout,Type de chauffage,Double vitrage,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Salles de douche,Bureau,Cave,Largeur du terrain à rue,Terrasse,Revenu cadastral,Site internet,Parkings intérieurs,Surface du salon,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Toilettes,Surface de bureau,Porte blindée,Ascenseur,Piscine,Surface de la cave,Concierge,Accessible aux personnes avec un handicap,Pompe à chaleur,Obligation de construire,Charges mensuelles,Référence externe,Parkings extérieurs,Surface de la chambre 4,Surface de la chambre 5,Surface constructible totale au sol,Quartier ou lieu-dit,Panneaux solaires,Climatisation,Terrain à front de rue,Jacuzzi,Visite virtuelle,Disponible le,Espace professionnel,Terrain boisé,Terrain arrière,Terrain plat,Internet,Panneaux photovoltaïques,Chauffe-eau commun,Type de construction,Pourcentage loué,Nom de l'agent,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Orientation de la terrasse,Nombre d'annexes,Revenu mensuel actuel,Nom du bien,Niveau E (performance énergétique globale),Surface de l'espace professionnel,Jardin
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,À définir,,Bon,,,,300 m²,,,,Équipée,2,Non,,,,Non,,Connecté,Oui,,,,,,,,188 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,,Gaz,Oui,Oui,,Non,,,,775.000 €,Non,"Blancefloerlaan 50
2050 - Antwerpen",,,Oui,,Oui,2.374 €,,,,,,,,1,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sud,,,,,,
52,,1898,Bon,5.5 m,2,Urbain,354 m²,Oui,,,Équipée,6,,2,,,Non,149 m²,Connecté,Oui,40 m²,Nord,,,,,,334 kWh/m²,D,20210820-0002454317-RES-1,Non communiqué,Non communiqué,,,,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",845.000 €,Non,"Bredabaan 235
2930 - Brasschaat",,Non,,5.5 m,,1.122 €,01/8683,,,,,,,3,,Non,,,51 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,Excellent état,5.5 m,,,,2,203 m²,Équipée,4,3,3,Non,Oui,Non,78 m²,,,,,,Non,5.5 m,,,,,,,,,,,,,,,,,,Non connecté,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,À définir,,À rénover,,,,800 m²,,,,Semi-équipée,1,Non,,,Oui,Non,335 m²,Connecté,Oui,100 m²,Sud-ouest,,,,,,352 kWh/m²,D,20210809-0002449246-RES-1,Non communiqué,Non communiqué,,,,,,,,Oui,Zone non inondable,Zone d'habitat mixte (habitat & activité économique),3.250.000 €,Oui,"Kapelsesteenweg 348
2930 - Brasschaat",,,Oui,,,,,,,,,,,1,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Selon le locataire,,,,2,,240 m²,,,,Semi-équipée,5,,,,,Non,,,Oui,,,15 m²,,,,,252 kWh/m²,C,20170710-0001977320-1,Non communiqué,Non communiqué,Non,,Gaz,Oui,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",995.000 €,Oui,"Italiëlei 207
2000 - Antwerpen",,,Oui,,,2.500 €,33192 - ANT-21-YOU-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Après la signature de l’acte,,Bon,5 m,2,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Équipée,3,,3,Oui,,,119 m²,Connecté,Oui,,,,,,,,208 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Non,,Gaz,Oui,,Non,Non,Non,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",1.075.000 €,Oui,"Daniel Herreynslaan 2
2610 - Wilrijk",,,Oui,,,1.038 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3550,,,,
57,Après la signature de l’acte,,Bon,,2,Urbain,193 m²,,,,,4,,2,,,Non,47 m²,Connecté,Oui,,,25 m²,,,,,351 kWh/m²,D,1534522,Non communiqué,Non communiqué,,,Gaz,Oui,,Non,Oui,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",549.000 €,Non,"Lange Lobroekstraat 67
2060 - Antwerpen",2,,,4 m,,513 €,,1,,,,,,2,,,Non,,,,Oui,,,,4433421,,,,47 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Après la signature de l’acte,1930,À restaurer,5 m,1,,210 m²,Oui,,,,5,Non,2,,Oui,Non,67 m²,,Oui,,,10 m²,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Non,Oui,,,,,,375.000 €,Non,,,Non,Oui,,,,,,,,,,,,,Non,,,,,,Non,,,,,,,,,Non,,Non,,,,Non,Non,Non,Non,,Non,Non,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,Oui,,,,3,Non,1,,,,50 m²,Non connecté,Oui,,,,,,,,507 kWh/m²,F,20210628-0002435121-RES-1,Non communiqué,Non communiqué,,,,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",445.000 €,Non,"Britselei, 24
2000 - Anvers",,Non,,,Oui,441 €,VLASMARKT 6,1,,,,,,,,,,,,,,,Non,,,,,,,,,,Non,,,,,Non,Non,Non,,,,,,,,,,,,,,,,,
61,Après la signature de l’acte,,À rénover,,2,Urbain,380 m²,,,,,4,,4,,,Non,114 m²,Connecté,,,,4 m²,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,Non,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.100.000 €,Oui,"Gentplaats 7
2000 - Antwerpen",4,,,6 m,,,4427811,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,À rénover,,1,"Zone d'habitat (résidentiel, urbain ou rural)",191 m²,,,,,4,,,,,,61 m²,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",350.000 €,,"Oever 21
2000 - Antwerpen",,,,,,,Mick Kartono,,,,,,,,,,,,,,,,,,,,,,,Studentenbuurt,,,,,,,,,,,,,,,,,,,,,,,,Prinsesstraat 6,,,
63,Après la signature de l’acte,,À rénover,,2,Urbain,665 m²,,,,,9,,4,,,Non,145 m²,Connecté,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.500.000 €,Oui,"Gentplaats 7
2000 - Antwerpen",4,,,18 m,Oui,,4430449,,,,,,,6,,,,,,,,,,,,,,,145 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,50 m²,Non connecté,Oui,,,,,,,,507 kWh/m²,F,20210628-0002435121-RES-1,Non communiqué,Non communiqué,,,,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",445.000 €,Oui,"Britselei, 24
2000 - Anvers",,,,,,441 €,VLASMARKT 6,,,,,,,,,,,,,,,,Non,,,,,,,,,,Non,,,,,Non,Non,Non,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,Urbain,Non,Non,Non,Non connecté,Oui,96 kWh/m²,A,20200408-0002264501-RES-1,,,,,,,Non communiqué,,,,,,,,,,,,,,,,Non,,Non communiqué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Selon le locataire,2014,Excellent état,,,,,,,,,,,,,,,,,Oui,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",1.750.000 €,Oui,"Italiëlei 207
2000 - Antwerpen",,,,,,,38525 - ANT-21-MMI-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,Fraîchement rénové,,2,,,,,,Équipée,28,,,,,Non,,,Oui,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,Oui,,,,,,,3.300.000 €,Oui,"Mechelsesteenweg 109 Bus 8
2018 - Antwerpen",21,,Oui,,,,8869 - 20121490,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,À la livraison,,,,2,"Zone d'habitat (résidentiel, urbain ou rural)",177 m²,,,,,2,,,,,,177 m²,,Oui,,,36 m²,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,,695.000 €,,"Maria Henriettalei 8
2018 - Antwerpen",,,,,,,Zoë P.World,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REGENCY GARDENS,,,
71,Après la signature de l’acte,2005,Bon,,2,,280 m²,,,,Équipée,5,,3,,,Non,75 m²,,,,,25 m²,,,Oui,,314 kWh/m²,D,20210518-0002416904-res-1,Non communiqué,Non communiqué,Non,,Gaz,Oui,,Non,Non,Non,Zone non inondable,,875.000 €,Non,"Museumstraat 50
2000 - Antwerpen",,,Oui,,,,834710 - 93364111,,,,,,,3,,,,,,,,,,,,,,,,Zuid,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,2013,Excellent état,,2,Urbain,16 m²,,,,Semi-équipée,1,,1,,,Non,,,Oui,,,,,,,,92 kWh/m²,A,11002-G-2011_46257/EP02627/A001/D01/SD001,Non communiqué,Non communiqué,"Oui, conforme",,Gaz,Oui,,Non,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",105.000 €,Oui,"Plantin en Moretuslei 135A
2140 - Borgerhout",,,,,,401 €,8704 - 1577,,,,,,,1,,,Oui,,,,,,,153 €,,,,,,,,,,,,1 septembre 2021 - 00:00,,,,,,,,,,,,,,,,,,Smart City Blocks,79,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Après la signature de l’acte,,Bon,4 m,2,,130 m²,,,,Équipée,2,,2,,,Non,183 m²,,Oui,,,89 m²,,,,,350 kWh/m²,D,20210623-0002432116-Res-1,Non communiqué,Non communiqué,Non,,Gaz,Oui,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",795.000 €,Non,"Coquilhatstraat, 37-39
2000 - Antwerpen",,,,4 m,,,5360 - 1041,8,,,,,,2,,,Oui,,,,,,,,,,,,,'t ZUID,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Après la signature de l’acte,2009,Bon,,,,216 m²,,,,Équipée,3,,2,,,Non,,,Oui,80 m²,,,,,,,133 kWh/m²,B,2446466,Non communiqué,Non communiqué,Non,,Gaz,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",795.000 €,Non,"Museumstraat 50
2000 - Antwerpen",,,Oui,,Oui,,834786 - 93364104,1,75 m²,,,,,,,,,,,,,,,132 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Après la signature de l’acte,,Bon,,2,,190 m²,,,,Équipée,3,,1,,,Non,,,,,,5 m²,,,,,237 kWh/m²,C,20210613-0002428162-RES-1,Non communiqué,Non communiqué,Non,,Gaz,Oui,Oui,Non,,,,"Zone d'habitat (résidentiel, urbain ou rural)",399.900 €,Non,"Britselei 42
2000 - Antwerpen",1,,Oui,,,781 €,10182 - 3596171,,26 m²,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,Bon,,2,Urbain,280 m²,,,,Équipée,5,,3,,,Non,,,Oui,,,54 m²,,,,,314 kWh/m²,D,2416904-RES-1,Non communiqué,Non communiqué,Non,,Gaz,Oui,,,,,,,875.000 €,Non,"Plantin en Moretuslei 135A
2140 - Borgerhout",,,,,,1.281 €,8828 - 1700,,40 m²,13 m²,24 m²,23 m²,15 m²,5,,,,,45 m²,,,,,,,,15 m²,12 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,À rafraîchir,,2,,71 m²,,,,Semi-équipée,2,,1,,,Non,,,,,,,,,,,159 kWh/m²,B,20210420-0002059664-RES-2,Non communiqué,Non communiqué,Non,,Gaz,Oui,,,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",189.000 €,Oui,"Plantin en Moretuslei 135A
2140 - Borgerhout",,,,,,,8826 - 1698,,24 m²,6 m²,13 m²,9 m²,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680,,,,
79,,1950,,,2,,390 m²,,,1,Équipée,3,,1,,,Non,,,Oui,92 m²,,13 m²,,,,,218 kWh/m²,C,202102180002375795-Res-1,Non communiqué,Non communiqué,Non,,Gaz,Oui,Oui,Oui,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",576.000 €,Non,"Coquilhatstraat, 37-39
2000 - Antwerpen",,,Oui,,,,5366 - 1106,3,,,,,,2,,,,,,,,,,,,2,,,,MORKHOVEN,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,1902,Bon,,2,,,,,,Équipée,,,,,,Oui,251 m²,,,,,,,,,,128 kWh/m²,B,20141022-0001686427-00000001-1,Non communiqué,Non communiqué,Non,,Gaz,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",1.170.000 €,Oui,"Museumstraat 50
2000 - Antwerpen",,,,,,,833999 - 93363842,,,,,,,,,,,,,,,,,,,,,,,Het Zuid,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,1898,Excellent état,2.6 m,1,Urbain,120 m²,,,,Équipée,4,,1,,,Oui,40 m²,Connecté,Oui,,,6 m²,,,,,436 kWh/m²,E,Non communiqué,66 kg CO₂/m²,Non communiqué,,"Oui, conforme",Gaz,Oui,,,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",395.000 €,,"Lombardenvest 63 / 12
2000 - Antwerpen",,,,,,532 €,,,,,,,,1,,,,,,,,,,,,,,,,Modewijk,,,,,,,,,,,,,,,,Michel Parein,,,,,,,,,,,
83,,2016,Excellent état,4.69 m,2,Urbain,198 m²,,Oui,,Hyper équipée,3,,1,,,,128 m²,Connecté,Oui,17 m²,,12 m²,,Oui,Oui,,70.37 kWh/m²,A,11002-G-2012/53652/EP16787/A001/D01/SD006,Non communiqué,Non communiqué,,,Gaz,Oui,,Non,Non,,Zone non inondable,Zone d'habitat mixte (habitat & activité économique),599.000 €,Non,"Leopoldstraat 77
2000 - Anvers",,Oui,,4.69 m,,1.503 €,4450385,,32 m²,10 m²,16 m²,12 m²,16 m²,2,26 m²,,Oui,,,,,,,,,1,,,128 m²,,,,,,,,,,,,,,,,,,,,,,,,,,40,26 m²,
84,À définir,2018,Excellent état,7 m,2,Urbain,208 m²,,Oui,,Hyper équipée,4,,3,,,Non,138 m²,Connecté,Oui,53 m²,,,,,Oui,,179 kWh/m²,B,1928765,Non communiqué,Non communiqué,,,Gaz,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",950.000 €,Non,"Leopoldstraat 77
2000 - Anvers",,Oui,,7 m,,,4321642,2,56 m²,,32 m²,15 m²,15 m²,2,5 m²,,Non,Non,3 m²,,,,,,,,5 m²,,85 m²,Antwerpen-Centrum,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Après la signature de l’acte,,Bon,5 m,2,,249 m²,Oui,,,Hyper équipée,4,,3,,,,70 m²,Connecté,Oui,,,16 m²,Oui,,,,400 kWh/m²,D,2459028,Non communiqué,Non communiqué,,,,,Oui,Non,Oui,Non,Zone non inondable,,519.900 €,Non,"Leopoldstraat 77
2000 - Anvers",,,,5 m,,731 €,4526513,1,,,9 m²,12 m²,10 m²,3,,,Non,,45 m²,,,,,,,2,8 m²,,70 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Après la signature de l’acte,1850,Excellent état,,2,Urbain,201 m²,,,,Hyper équipée,3,,2,,,,,,Non,,,17 m²,Oui,Oui,,,360 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,,Gaz,Oui,,Non,Non,,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",585.000 €,Non,"Fehrenbachstraat, 53
2440 - Geel",1,,Oui,5.26 m,,676 €,4455041,2,,,,,,2,,,Non,Non,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,À définir,,2,,,203 m²,45 m²,Hyper équipée,25 m²,4,,25 m²,,20 m²,,,12 m²,2,75 m²,Non,78 m²,,,5.5 m,Connecté,Oui,15 m²,Non,Oui,354 kWh/m²,D,Non communiqué,Non communiqué,Gaz,,,,Oui,,Non communiqué,Oui,,,,Antwerpen-Centrum,1900,Excellent état,,,,20 m²,,Urbain,,,,,,Oui,,5.5 m,,15 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Après la signature de l’acte,2,2,Urbain,430 m²,Équipée,4,,,,4,4,Oui,Non,7 m,,,,,,,Oui,,,,,,,,,,,,,,,,,,60 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Après la signature de l’acte,,Bon,10 m,2,Urbain,230 m²,,,,Équipée,3,,2,,,Non,65 m²,Connecté,Oui,,,24 m²,Oui,Oui,Oui,,222 kWh/m²,C,20210707-0002438820-RES-1,Non communiqué,Non communiqué,Non,,,Oui,,,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",725.000 €,Non,"Edegemsestraat 56
2640 - Mortsel",2,,Oui,10 m,,694 €,4449100,1,30 m²,15 m²,21 m²,12 m²,22 m²,3,,,Non,Non,,,Non,,,,,,,,65 m²,,,,,,,28 février 2022 - 00:00,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,Selon le locataire,,,,,,Fraîchement rénové,,,,7.4 m,2,3,Urbain,260 m²,,,Américaine hyper-équipée,310 m²,,,,,,Oui,212 kWh/m²,279,Non communiqué,,,,,,C,Non communiqué,,,,,,,,,,,,,,,,,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,Excellent état,5 m,2,,217 m²,,,,,5,,5,,,Non,47 m²,Connecté,Oui,,,,Oui,,,,390 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,,Gaz,,Oui,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",565.000 €,Oui,"Leopoldstraat 77
2000 - Anvers",,,,5 m,,671 €,4262577,,,,,,,,,,Non,,,,,,,2.400 €,,,,,47 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,Après la signature de l’acte,,,,,,,Urbain,354 m²,48 m²,,Équipée,7 m²,4,18 m²,10 m²,,10 m²,9 m²,2,,,,,Oui,20 m²,Oui,60 m²,Non,,,,,,,,,,,,,,,,,Bon,1,,1950,2,Non,3,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,192 m²,,,,Équipée,4,,1,,,Non,,,,,,,,,,,439 kWh/m²,E,2018050400020556451,Non communiqué,Non communiqué,Non,,,Oui,,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",565.000 €,Non,"Museumstraat 50
2000 - Antwerpen",,,Oui,,,699 €,834746 - 93364121,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Après la signature de l’acte,,,Bon,,,,,,2,,Urbain,269 m²,4,,,,,,,3,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selon le locataire,Antwerpen-Centrum,3,,,434 m²,Semi-équipée,,5,5,Non,112 m²,14 m,Oui,Oui,485 kWh/m²,,,,,,,E,,,,,,,,,,,,,,,,,,Non communiqué,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Après la signature de l’acte,,Bon,6.5 m,2,Urbain,440 m²,Oui,Oui,,Hyper équipée,4,,2,,Oui,,,,Non,,,,,Oui,,,435 kWh/m²,E,2303284,Non communiqué,Non communiqué,,,Mazout,,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.350.000 €,Oui,"Grote steenweg, 511
2600 - Berchem",,Oui,Oui,6.5 m,Oui,,,,,11 m²,25 m²,36 m²,23 m²,,,,Non,,,,,,,,4105208,,36 m²,,,Regio Centrum Antwerpen,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Après la signature de l’acte,,,,,,,,,,,,,,,,,,1850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,Après la signature de l’acte,À rafraîchir,,2,Urbain,,,,,,,266 m²,3,3,Oui,Non,120 m²,,Oui,,45 m²,453 kWh/m²,E,Non communiqué,,,Non communiqué,Non communiqué,Non,,,,,,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Après la signature de l’acte,,À rafraîchir,,2,Urbain,266 m²,,,,,3,,3,,,Non,245 m²,,Oui,45 m²,,,,,,,453 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Non,,Gaz,,Oui,Non,Non,Non,,,749.000 €,Oui,"Britselei 56
2000 - Antwerpen",,Oui,Oui,,,,,,,,,,,,125 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Après la signature de l’acte,,Bon,,2,Urbain,159 m²,,,,,2,,1,,,Non,45 m²,,Oui,,,2 m²,Oui,,,,252 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,,,Oui,,Non,Non,Non,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",485.000 €,Oui,"Gitschotellei 153-157
2600 - Berchem",,,,,,1.177 €,4426924,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,Après la signature de l’acte,Bon,2,Urbain,159 m²,,,,2,,1,Non,45 m²,Oui,2 m²,Non,Non,252 kWh/m²,,,,,,Oui,C,,,,,,,,,,,,,,,,,,Non communiqué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Après la signature de l’acte,,Bon,,2,,,,,,,2,,2,,,,,Connecté,Oui,,,,,,,,921 kWh/m²,F,20190816-0002174399-RES-1,Non communiqué,Non communiqué,,,Électrique,Oui,Oui,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",575.000 €,Oui,"Van Halmaelelei 18
2930 - Brasschaat",2,,Oui,,Oui,872 €,,1,,,,,,3,,,,,,,,,,,4392610,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Après la signature de l’acte,,1908,,6 m,2,500 m²,Équipée,Non,Non,Non,100 m²,Non,Non,,,,,,6 m,,,,,,,,,,,,,,,,À rafraîchir,Urbain,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,Après la signature de l’acte,,7 m,2,2,,350 m²,Oui,,18 m²,,,16 m²,4,,Oui,,,Non,,,,,140 m²,Oui,47 m²,271 kWh/m²,C,,,1902727,Non communiqué,,Non communiqué,Gaz,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,18 m²,,,,,Bon,,,Oui,Hyper équipée,4,,,,,,,,,,,,1.450.000 €,,28 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,À la livraison,,,,1,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,2,,,,,,1800 m²,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,,286.900 €,Oui,"Generaal Lemanstraat 55
2018 - Antwerpen",,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,Eilandje,,,,,,,,,,,,,,,,,,,,,,,,Doktoren,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 m,2,384 m²,25 m²,,,Oui,Équipée,14 m²,2,30 m²,17 m²,,2,Oui,4 m,100 m²,,,,,,228 m²,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
