,À partir de,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Type d’environnement,Surface habitable,Salon,Salle à manger,Combien de feux ouverts ?,Type de cuisine,Chambres,Dressing,Salles de bains,Buanderie,Grenier,Meublé,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Surface de la terrasse,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Sauna,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Attestation de conformité des citernes à mazout,Type de chauffage,Double vitrage,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Salles de douche,Bureau,Cave,Largeur du terrain à rue,Terrasse,Revenu cadastral,Site internet,Parkings intérieurs,Surface du salon,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Toilettes,Surface de bureau,Porte blindée,Ascenseur,Piscine,Surface de la cave,Concierge,Accessible aux personnes avec un handicap,Pompe à chaleur,Obligation de construire,Charges mensuelles,Référence externe,Parkings extérieurs,Surface de la chambre 4,Surface de la chambre 5,Surface constructible totale au sol,Quartier ou lieu-dit,Panneaux solaires,Climatisation,Terrain à front de rue,Jacuzzi,Visite virtuelle,Disponible le,Espace professionnel,Terrain boisé,Terrain arrière,Terrain plat,Internet,Panneaux photovoltaïques,Chauffe-eau commun,Type de construction,Pourcentage loué,Nom de l'agent,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Orientation de la terrasse,Nombre d'annexes,Revenu mensuel actuel,Nom du bien,Niveau E (performance énergétique globale),Surface de l'espace professionnel,Jardin
10,,1879,Excellent état,,1,"Zone d'habitat (résidentiel, urbain ou rural)",350 m²,,,3,Hyper équipée,6,Oui,2,,,Non,350 m²,Connecté,Oui,82 m²,,,Oui,,Oui,,311 kWh/m²,D,2314867,Non communiqué,Non communiqué,Non,"Oui, conforme",Gaz,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",1.350.000 €,,"Leopoldstraat 49
2000 - Antwerpen",,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,Antwerpen Zuid,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,
11,Après la signature de l’acte,1904,,,2,"Zone d'habitat (résidentiel, urbain ou rural)",540 m²,,,3,Équipée,5,,3,,,Non,241 m²,Connecté,Oui,,,,Oui,Oui,Oui,,206 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Non,"Oui, conforme",Gaz,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",2.500.000 €,Non,"Leopoldstraat 49
2000 - Antwerpen",,,Oui,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Après la signature de l’acte,Huis Happaert,Oud Antwerpen,Excellent état,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,À définir,,Excellent état,,2,,211 m²,Oui,,,Américaine hyper-équipée,2,,2,,Oui,,139 m²,,Oui,,,,,,,,415 kWh/m²,E,20210812-0002450804-RES-1,Non communiqué,Non communiqué,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",1.050.000 €,Non,"Jordaenskaai, 21
2000 - Antwerpen",,Oui,,,Oui,1.616 €,4444484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,À définir,,Excellent état,14.35 m,2,,725 m²,,,,,8,,6,,,Non,650 m²,,Oui,,,,,Oui,,,161 kWh/m²,B,20161012-0001902293-1,Non communiqué,Non communiqué,,,Gaz,,,,,,Zone non inondable,,3.400.000 €,Non,"Frankrijklei 93
2000 - Antwerpen",6,Oui,Oui,14.35 m,Oui,,4396861,,,,,,,9,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Après la signature de l’acte,,,,2,,251 m²,,,,Américaine hyper-équipée,3,,1,,,,90 m²,,Oui,,,20 m²,Oui,,,,664 kWh/m²,F,-20150521-0001761571-1,Non communiqué,Non communiqué,,,Gaz,,,,,,,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",995.000 €,Non,"Jordaenskaai, 21
2000 - Antwerpen",,,Oui,18 m,,2.859 €,4494866,,40 m²,13 m²,,,,,,Oui,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Après la signature de l’acte,,Excellent état,,2,,4,,,,,36 m²,,2,,229 m²,,7 m,,,,,,,,,,E,2303284,Non communiqué,Non communiqué,Mazout,,,Non,,,,Non,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",,1.350.000 €,1.650 €,"Jordaenskaai, 21
2000 - Antwerpen",4148177,Oui,,Oui,Oui,435 kWh/m²,Non,,2,,,25 m²,23 m²,36 m²,,,,,,,,,,,,,,2,,,,,,,,440 m²,,,,,,,,,,,,,,,,,,,,,,
17,À la livraison,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,Non,Non,Non,Zone non inondable,,,Non,"Jordaenskaai, 21
2000 - Antwerpen",,,,,,,4365608,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,1987,Excellent état,,2,,45 m²,,,,,1,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Électrique,,,,,,Zone non inondable,,165.000 €,Non,"Londenstraat 38
2000 - Antwerpen",,,,,,,4488727,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,17 avril 2021 - 00:00,,,,,,,,,,,,,,,,,,,,,
