,À partir de,Année de construction,État du bâtiment,Nombre de façades,Type d’environnement,Surface habitable,Surface du salon,Salle à manger,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Dressing,Salles de bains,Toilettes,Buanderie,Bureau,Espace professionnel,Surface de la cave,Surface du grenier,Isolé,Meublé,Porte blindée,Surface du terrain,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Surface de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Niveau E (performance énergétique globale),Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Largeur de la façade à rue,Parkings intérieurs,Largeur du terrain à rue,Attestation as-built,Adresse,Site internet,Parkings extérieurs,Surface de bureau,Orientation du jardin,Orientation de la terrasse,Type de construction,Cave,Jardin,Visite virtuelle,Surface constructible totale au sol,Quartier ou lieu-dit,Combien de feux ouverts ?,Attestation de conformité des citernes à mazout,Salles de douche,Référence externe,Lieu de la vente,Séance unique,Modalités de visite,Salon,Terrasse,Mise à prix,Grenier,Obligation de construire,Disponible le,Nombre d'annexes,Surface de l'espace professionnel,Charges mensuelles,Nom de l'agent,Pourcentage loué,Revenu mensuel actuel,Nom du bien
52,,,,,,167 m²,43 m²,Oui,Hyper équipée,19 m²,2,21 m²,14 m²,,,,Non,1,1,,Oui,,,,,,,300 m²,Non,Non,Non,Non,Connecté,Oui,,,,,,,,,,,,,,97 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,,,,Zone non inondable,,598.000 €,,Non,,1,,,"Nijverheidsstraat 48
2570 - Duffel",,,17 m²,Nord-ouest,,,,Oui,,,,,,,N2650/09/001,,,,,,,,Non,,,,,,,,
53,Après la signature de l’acte,1986,,4,,330 m²,90 m²,Oui,Hyper équipée,18 m²,4,,,,,,,1,2,,,,15 m²,40 m²,,Non,,811 m²,,,,,Connecté,Oui,,75 m²,,Non,Non,,Oui,,Oui,,,Non,,403 kWh/m²,E,20210915-0002464480-RES-1,Non communiqué,Non communiqué,,Gaz,,,,,Oui,Oui,Oui,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",985.000 €,4.563 €,Non,17 m,2,25.35 m,,"Kapelstraat 89/1
2540 - Hove",,2,,,,,,,,220 m²,,,,1,4496943,,,,,,,,,,,60 m²,,,,,
54,,,,,,167 m²,43 m²,Oui,,19 m²,3,17 m²,21 m²,14 m²,,,Non,1,1,,Non,,,,,,,300 m²,Non,Non,Non,Non,Connecté,Oui,,,,,,,,,,,,,,97 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,,,,Zone non inondable,,598.000 €,,Non,,1,,,"Nijverheidsstraat 48
2570 - Duffel",,,,Nord-ouest,,,,Oui,,,,,,,N2650/09/001(2),,,,,,,,Non,,,,,,,,
55,Après la signature de l’acte,1956,À rénover,2,"Zone d'habitat (résidentiel, urbain ou rural)",176 m²,30 m²,,,7 m²,3,18 m²,6 m²,12 m²,,,Non,1,1,,Non,,,,,Non,,198 m²,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,20210126-0002364580-RES1,Non communiqué,Non communiqué,,,Non,,,,Non,Oui,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",419.000 €,,Non,,,,,"Kerkstraat 15
2640 - Mortsel",2021-06,,,,,,,,,,,,Non,,,,,,,,,,Non,,,,,,,,
56,Selon le locataire,1930,À rafraîchir,2,,280 m²,,,,,6,,,,,,,3,,,,,,,,,,84 m²,,,,,,Oui,,,,Non,Oui,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,Oui,,,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",550.000 €,,Oui,,,,,"Prins Boudewijnlaan, 112-114
2610 - Wilrijk",4306268,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,
57,Selon le locataire,1930,À rafraîchir,2,,320 m²,,,,,6,,,,,,,3,,,,,,,,,,80 m²,,,,,,Oui,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,Oui,Oui,,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",675.000 €,,Oui,,,,,"Prins Boudewijnlaan, 112-114
2610 - Wilrijk",4306264,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,
58,,1955,Excellent état,4,,750 m²,,,,,6,,,,,,Oui,3,,Oui,Oui,,,,,Oui,,8008 m²,,,,,Connecté,Oui,,,,,,,Oui,Oui,,,,Oui,,328 kWh/m²,D,UC: 2362931,Non communiqué,Non communiqué,,Gaz,,,,,Oui,Oui,Non,Non,,Zone non inondable,Zone agricole,3.900.000 €,,Non,,5,,Non,"Hovestraat 19
2650 - Edegem",Engel & Völkers Antwerpen-Zuid,10,,,Nord-ouest,,Oui,,,,,1,,,,,,,,,,,,,,,,I-00U8YM-W-026176,,,
59,Immédiatement,,Excellent état,3,,127 m²,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,Oui,Non,Non,,,,425.000 €,,Non,,1,,,"Prins Boudewijnlaan 53
2650 - Edegem",4421642,1,,,,,,,,,Zuidrand Antwerpen,,,,,,,,,Oui,,,,,,,,,,,
60,Selon le locataire,1930,,2,,300 m²,,,,,6,,,,,,,3,,,,,,,,,,116 m²,,,,,,Oui,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,Oui,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",695.000 €,,Oui,,,,,"Prins Boudewijnlaan, 112-114
2610 - Wilrijk",4306272,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,
61,Selon le locataire,,À rafraîchir,2,,,,,,,18,,,,,,,,,,,,,,,,,280 m²,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,,,,,1.850.000 €,,Oui,,,,,"Prins Boudewijnlaan, 112-114
2610 - Wilrijk",4306273,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,
