,À partir de,Année de construction,État du bâtiment,Nombre de façades,Type d’environnement,Surface habitable,Surface du salon,Salle à manger,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Dressing,Salles de bains,Toilettes,Buanderie,Bureau,Espace professionnel,Surface de la cave,Surface du grenier,Isolé,Meublé,Porte blindée,Surface du terrain,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Surface de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Niveau E (performance énergétique globale),Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Largeur de la façade à rue,Parkings intérieurs,Largeur du terrain à rue,Attestation as-built,Adresse,Site internet,Parkings extérieurs,Surface de bureau,Orientation du jardin,Orientation de la terrasse,Type de construction,Cave,Jardin,Visite virtuelle,Surface constructible totale au sol,Quartier ou lieu-dit,Combien de feux ouverts ?,Attestation de conformité des citernes à mazout,Salles de douche,Référence externe,Lieu de la vente,Séance unique,Modalités de visite,Salon,Terrasse,Mise à prix,Grenier,Obligation de construire,Disponible le,Nombre d'annexes,Surface de l'espace professionnel,Charges mensuelles,Nom de l'agent,Pourcentage loué,Revenu mensuel actuel,Nom du bien
77,Immédiatement,1950,Excellent état,2,Centre commercial,100 m²,35 m²,,Semi-équipée,82 m²,3,20 m²,16 m²,,,,Non,2,,,Non,Non,,,,Non,Non,100 m²,Non,Non,Non,Non,,Oui,30 m²,16 m²,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,227 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,227,Gaz,Non,Non,Non,Oui,Oui,,,,,,,298.000 €,562 €,Non,5 m,,,,,,,,,,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,,,
78,Après la signature de l’acte,1963,À rénover,2,"Zone d'habitat (résidentiel, urbain ou rural)",205 m²,,,Équipée,,6,,,,,,Non,3,3,,Non,,,,,Non,,198 m²,,,,,,,75 m²,,Non,Non,Non,Oui,Non,,Non,,,Non,,491 kWh/m²,E,20210803-0002447472-RES-1,Non communiqué,Non communiqué,,Gaz,Non,,,,Oui,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",385.000 €,1.306 €,Non,,,,,"Tavernierkaai 2 b 29
2000 - Antwerpen",,,,Nord,,,,,,90 m²,,,Non,3,spir4447,,,,,,,,Non,,,,,,,,
79,1940,Fraîchement rénové,2,Urbain,93 m²,2,,,,,1,,,,,,,Oui,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,C,20210921-0002467068-RES-1,Non communiqué,Non communiqué,Gaz,,Non,Non,,Oui,,Non,,Non,Zone non inondable,,227.000 €,,,Non,"Groenelaan, 30
2830 - WILLEBROEK",,,,,Celien VAN DOORSLAER,,,,240 kWh/m²,,,,Sud,,,,,,,,Non,"nl :
Elke zaterdag van 15 tot 16 uur en dit vanaf zaterdag 16 oktober 2021 tot en met zaterdag 13 november 2021",Après la signature de l’acte,,,319 €,122 m²,,,,,,,,,
80,Selon le locataire,,Bon,2,,150 m²,37 m²,,Équipée,,4,15 m²,12 m²,15 m²,12 m²,,,2,3,,,,,,,Non,,111 m²,,,,,Connecté,Oui,,30 m²,,,,Oui,,,,,,,,319 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,,,,,,367.000 €,1.157 €,Oui,6.8 m,1,6.8 m,,"Mechelsesteenweg,157
2018 - Antwerpen",,1,,,,,Oui,,,,,,,2,4349475,,,,,,,,,,,,,,,,
81,À définir,1911,Excellent état,3,,242 m²,,,,,4,,,,,,Non,1,2,,Non,Non,,,,Non,Non,360 m²,Non,Non,Non,Non,,Non,210 m²,,,,,,,,,,,,,Non communiqué,Non communiqué,20210615-0002429095-RES-1,296 kg CO₂/m²,Non communiqué,,,Non,Non,Oui,Non,Non,,,,,,,550.000 €,894 €,Non,,,,,,,,,,,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,,,
82,À la livraison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,Oui,Non,Non,Non,Zone non inondable,,,,Non,,1,,,"Leopold De Waelplaatst 5
2000 - Antwerpen",4165707,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,1864,Bon,4,,408 m²,,,Équipée,,6,,,,,,,5,,Oui,,,,,,,,680 m²,,,,,Connecté,Oui,,,,,,,,,,,,,,341 kWh/m²,D,2338967,Non communiqué,Non communiqué,,Gaz,,,,,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",795.000 €,,,,,,Non,"Hovestraat 19
2650 - Edegem",Engel & Völkers Antwerpen-Zuid,,,Sud,,,,Oui,,,,,,,,,,,,,,Oui,,,,,,,,,
84,Après la signature de l’acte,,À rénover,3,Isolé,304 m²,,,,,9,,,,,,,2,,,,,,,,Non,,265 m²,,,,,Connecté,Oui,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,,,,,299.000 €,,Oui,,,,,"Mechelsesteenweg,157
2018 - Antwerpen",,,,,,,,,,,,,,,4451890,,,,,Oui,,,,,,,,,,,
85,Après la signature de l’acte,1936,Bon,2,,244 m²,,,Semi-équipée,,4,,,,,,,2,2,,,,,,,Non,,208 m²,,,,,,,126 m²,,,,,,,,,,,,,244 kWh/m²,C,20210110-0002336528-RES-1,Non communiqué,Non communiqué,,Mazout,,,,,,Oui,Non,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",369.000 €,1.199 €,Non,5 m,1,5 m,Non,"Italiëlei 207
2000 - Antwerpen",39929 - ANT-21-SUA-0,,,Ouest,,,Oui,,,,,,"Oui, conforme",,,,,,,,,,,,,,,,,,
86,,1959,Bon,2,Urbain,196 m²,,,Équipée,,4,,,,,,,2,2,,,,,,,Non,,354 m²,,,,,,,,,,,,,,,,,,,,188 kWh/m²,B,20160623-0001874203-1,Non communiqué,Non communiqué,,Gaz,,,,,,Oui,Oui,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",335.000 €,1.814 €,Non,,,,,"Kioskplaats 60/62
2660 - Hoboken",D2660-21031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,1967,Bon,2,Urbain,192 m²,,,Équipée,,3,,,,,,,1,2,,,,,,,Non,,358 m²,,,,,,,,,,,,,,,,,,,,163 kWh/m²,B,20210909-0002461999-RES-1,Non communiqué,Non communiqué,,Gaz,,,,,,Oui,Oui,Non,Non,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",369.000 €,1.150 €,Non,,,,,"Kioskplaats 60/62
2660 - Hoboken",D2660-21043,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Après la signature de l’acte,1937,À rénover,3,,90 m²,,,Pas équipée,,2,,,,,,,1,1,,,,,,,Non,,112 m²,,,,,,,60 m²,,,,,,,,,,,,,764 kWh/m²,F,20210818-0002452912-RES-1,Non communiqué,Non communiqué,,Gaz,,,,,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",160.000 €,470 €,Non,,,10 m,Non,"Italiëlei 207
2000 - Antwerpen",36310 - ANT-21-AGI-0,,,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Après la signature de l’acte,1939,À rafraîchir,2,,71 m²,,,Équipée,,2,,,,,,,1,,,,,,,,Non,,44 m²,,,,,,,,,,,,,,,,,,,,537 kWh/m²,F,20111009-0000939872-00000001-2,Non communiqué,Non communiqué,,Gaz,,,,,,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",185.000 €,359 €,Non,,,,Non,"Italiëlei 207
2000 - Antwerpen",39418 - ANT-21-AGI-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,Bon,2,Urbain,125 m²,,,Équipée,,3,,,,,,,1,,,,,,,,Non,,95 m²,,,,,,,,,,,,,,,,,,,,581 kWh/m²,F,20201104-0002336165-RES-,581 kg CO₂/m²,Non communiqué,,Gaz,,,,,,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",219.000 €,324 €,Non,,,,,"Kioskplaats 60/62
2660 - Hoboken",D2660-20043,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Après la signature de l’acte,1929,Bon,2,Urbain,138 m²,,,Hyper équipée,,3,,,,,,,1,,,,,,,,Non,,180 m²,,,,,,Oui,90 m²,,,,Oui,,Oui,,Oui,,,,,208 kWh/m²,C,20210308-0002384030-RES-1,Non communiqué,Non communiqué,,Gaz,,,,,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",259.000 €,,Non,,,,Non,"Italiëlei 207
2000 - Antwerpen",34318 - ANT-21-AGI-0,,,Sud-ouest,,,Oui,,,,,1,,,,,,,,,,,,,,,,,,,
92,Après la signature de l’acte,1956,Bon,2,Urbain,123 m²,,,Équipée,,3,,,,,,,1,1,,,,,,,Non,,,,,,,,Oui,35 m²,,,,,,,,Oui,,,,,551 kWh/m²,F,20210907-0002461121-RES-1,Non communiqué,Non communiqué,,Gaz,,,,,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",265.000 €,560 €,Non,,,,Non,"Italiëlei 207
2000 - Antwerpen",12607 - ANT-21-THU-0,,,Sud-est,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,
93,À définir,1960,Bon,2,,167 m²,30 m²,,Équipée,10 m²,3,18 m²,11 m²,9 m²,,,Non,1,2,,Non,Non,,51 m²,,Non,Non,175 m²,Non,Non,Non,Non,Connecté,Oui,70 m²,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,375 kWh/m²,D,20210909-0002462261-RES1,Non communiqué,Non communiqué,,Gaz,Non,Non,Non,Non,Oui,,,,,Zone non inondable,,345.000 €,745 €,Non,7 m,,,,,,,,Sud-ouest,,Toutes sortes,Oui,,,,,,,,,,,,,,,,,,,,,,,,
94,Après la signature de l’acte,,À rafraîchir,2,,200 m²,,,,,4,,,,,,,2,2,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,261 kWh/m²,C,20210608-0002426464-res-1,Non communiqué,Non communiqué,,,,,,,Oui,Oui,Non,Non,Non,Zone non inondable,,340.000 €,851 €,Oui,,,,Non,"Bredabaan 433
2930 - Braschaat",,,,Est,,,Oui,Oui,,,,,,,1543 - 137,,,,,,,,,,,,,,,,
95,Immédiatement,,Excellent état,1,Urbain,165 m²,19 m²,Oui,Équipée,19 m²,3,12 m²,115 m²,115 m²,,,Non,1,2,Oui,Non,Non,,,,Non,Non,131 m²,Oui,Non,Oui,Oui,Connecté,Oui,57 m²,20 m²,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non communiqué,Non communiqué,Non communiqué,11 kg CO₂/m²,Non communiqué,70,Gaz,Non,Non,Non,Non,Oui,Oui,Oui,Non,Non,Zone non inondable,,309.000 €,,Non,6 m,,,,,,,,Sud,Sud,Toutes sortes,,,,,,,,1,,,,,,,,,,,1,12 m²,,,,,
96,Après la signature de l’acte,1970,Excellent état,2,"Zone d'habitat (résidentiel, urbain ou rural)",180 m²,,,Hyper équipée,,5,,,,,,Non,2,2,,Non,Non,,,,Non,Non,330 m²,Non,Non,Non,Non,Connecté,Oui,180 m²,22 m²,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non communiqué,Non communiqué,20211006-0002473800-RES-1,Non communiqué,Non communiqué,,Gaz,Non,Non,Non,Non,Oui,Oui,,,,Zone non inondable,,395.000 €,1.338 €,Non,6 m,1,6 m,,,,4,,,,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,2,,126 m²,,,Équipée,,3,14 m²,12 m²,12 m²,,,,2,2,,,,,,,Non,,80 m²,,,,,,,,12 m²,,,,,,,,,,,,357 kWh/m²,D,20210217-0002374908-RES-1,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,Non,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",265.000 €,,Non,,,,Non,"Italiëlei 207
2000 - Antwerpen",36285 - ANT-21-AGI-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,1950,Fraîchement rénové,,,125 m²,36 m²,,Équipée,,3,,,,,,,1,2,,,,,,,Non,,78 m²,,,,,,,4 m²,18 m²,,,,,,,,,,,,516 kWh/m²,F,20210615-0002429621-RES-1,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,,,,,,245.000 €,,Non,,,,Non,"Frans de L'arbrelaan, 57
2170 - Merksem",1314323 - 1314203,,,,,,Oui,,,,,,,1,,,,,,,,,,,,,,,,,
99,Immédiatement,,À rénover,2,Urbain,200 m²,65 m²,,Semi-équipée,13 m²,4,15 m²,18 m²,16 m²,15 m²,,Non,2,2,,Non,,20 m²,,,Non,,180 m²,,,,,,,80 m²,,,,,,,,,,,,,530 kWh/m²,F,20210510-0002413630-RES-1,Non communiqué,Non communiqué,,Gaz,Non,,,,Non,,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",329.000 €,1.363 €,Oui,7 m,,7 m,,"Boterlaanbaan 323
2100 - Deurne",spir822,,,Nord-ouest,,,,,,100 m²,,,Non,,,,,,,,,,Non,,,,,,,,
100,,1930,Excellent état,2,"Zone d'habitat (résidentiel, urbain ou rural)",130 m²,,Oui,,,3,,,,,,Non,1,1,,Non,Non,,,Oui,Non,Non,330 m²,Non,Non,Non,Non,Connecté,Non,200 m²,40 m²,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non communiqué,Non communiqué,20161215-0001919161-1,Non communiqué,Non communiqué,288,,Non,Non,Non,Non,Oui,,,,,Zone non inondable,,287.000 €,475 €,Non,5 m,,,,,,,,,,Toutes sortes,,,,,,,"Oui, conforme",,,,,,Oui,,,Oui,,,,,,,,,
101,Immédiatement,,À rafraîchir,2,"Zone d'habitat (résidentiel, urbain ou rural)",140 m²,40 m²,,Semi-équipée,12 m²,3,16 m²,12 m²,9 m²,,,,1,1,,,,,,,,,119 m²,,,,,,Oui,40 m²,,,,,,,,,,,,,451 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,,,,,,248.000 €,694 €,,,,,,"Provincieweg 243
9550 - Herzele",,,,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Après la signature de l’acte,1976,Bon,2,,149 m²,29 m²,,Américaine hyper-équipée,7 m²,3,17 m²,10 m²,7 m²,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312 kWh/m²,D,0002436981,Non communiqué,Non communiqué,,Mazout,,,,,Oui,,,,,,,360.000 €,887 €,Non,,1,,,"Emile Vanderveldelaan 1
2845 - Niel",4447933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,106 m²,25 m²,,Pas équipée,8 m²,3,11 m²,10 m²,10 m²,,,Non,1,2,Oui,Non,,,,,Non,,125 m²,Non,Non,Non,Non,Non connecté,Oui,60 m²,,,,,,,,,,,,,518 kWh/m²,F,20210510-0002412955-RES-1,Non communiqué,Non communiqué,,Gaz,,,,,Non,,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",179.000 €,674 €,Non,3 m,,5 m,,"Boterlaanbaan 323
2100 - Deurne",spir819C,,,Nord-ouest,,,,,,62 m²,,,,,,,,,,,,,Non,,,,,,,,
104,,,À rafraîchir,,Urbain,180 m²,,,Équipée,,4,13 m²,22 m²,17 m²,17 m²,,Non,,,,Non,,,,,,,245 m²,Non,Non,Non,Non,Connecté,Oui,,,,,,,,,,,,,,351 kWh/m²,D,20210818-0002453209-RES-1,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",299.000 €,,Non,5.5 m,,5.5 m,,"Boterlaanbaan 323
2100 - Deurne",HD61,,,Nord,,,,Oui,,110 m²,,,,,,,,,,,,,Non,,,,,,,,
105,Immédiatement,,Fraîchement rénové,2,Urbain,140 m²,46 m²,,,18 m²,2,17 m²,15 m²,,,,Non,1,,,Non,Non,,16 m²,,Non,Non,130 m²,Non,Non,Non,Non,,Oui,40 m²,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Non,Non,Non,Non,Non,,,,,,,257.000 €,374 €,Non,,,,,,,,,Sud-ouest,,,,,,90 m²,,,,,,,,,,,,,,,,,,,,,
106,Immédiatement,,À rénover,3,,100 m²,,,,20 m²,2,15 m²,10 m²,,,,Non,1,,,Non,Non,,,,Non,Non,85 m²,Non,Non,Non,Non,,Non,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,723 kg CO₂/m²,Non communiqué,,Gaz,Non,Non,Non,Non,Non,Oui,Oui,,Non,,,179.000 €,290 €,Non,,,,Non,,,,,,,Toutes sortes,,,,,,,,,,,,,Oui,,,,Non,,,,,,,,
107,Selon le locataire,1973,Excellent état,2,,,40 m²,,Américaine équipée,,2,,,,,,,2,2,,,,,,,,,93 m²,,,,,Connecté,Oui,,,,,,Oui,,,,,,,,246 kWh/m²,C,20180713-0002075721-1,Non communiqué,Non communiqué,,Gaz,,,,,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",398.000 €,3.045 €,Oui,,,,Non,"Driesheide 99
2980 - Halle",,,,,,,Oui,,,,,,Non,,,,,,,,,,,,,,,,100,1900,
108,,2011,Bon,2,,140 m²,36 m²,,Équipée,7 m²,3,19 m²,17 m²,11 m²,,,,1,2,,,,,,,Non,,190 m²,,,,,,Oui,50 m²,12 m²,,,,,,,,,,,,143 kWh/m²,B,11002-G-2009_37958/EP02332/A001/D15/SD001,Non communiqué,Non communiqué,86,Gaz,,,,,,,,Non,,Zone non inondable,,359.000 €,1.059 €,Non,,,,Non,"Strijdersstraat 8
2650 - Edegem",1845 - 1446,,,Ouest,,,,,,,,,,,,,,,,,,,,,,,95 €,,,,Residentie Odin
109,Après la signature de l’acte,,À rénover,2,,110 m²,30 m²,,Équipée,,2,,,,,,,1,1,,,,,,,Non,,,,,,,,,115 m²,,,,,,,,,,,,,567 kWh/m²,F,20210917-0002465738-RES-1,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,,,,,,199.900 €,,Non,,,,Non,"Britselei 42
2000 - Antwerpen",10237 - 3596294,,,Sud-est,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,
110,Après la signature de l’acte,1946,À rénover,2,Isolé,138 m²,,,Hyper équipée,,3,16 m²,11 m²,3 m²,,,,1,1,,,,,,,Non,,110 m²,,,,,,Oui,,,,,,,,,,,,,,515 kWh/m²,F,2431991-RES-1,Non communiqué,Non communiqué,,Gaz,,,,,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",234.000 €,587 €,Non,,,,Non,"Tolhuisstraat 10
2627 - Schelle",4489108,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,
111,Après la signature de l’acte,,Bon,2,,180 m²,50 m²,,Semi-équipée,,2,,,,,,,1,2,,,,,,,Non,,,,,,,,,34 m²,,,Oui,,,,,,,,,,227 kWh/m²,C,20210513-0002415020-RES-1,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,,,,,,298.000 €,,Non,,,,Non,"Britselei 42
2000 - Antwerpen",10227 - 3596288,,,Est,,,,,,,,,,1,,,,,,,,,,,,,,,,,
112,À définir,,Bon,,,120 m²,27 m²,,Équipée,12 m²,4,20 m²,20 m²,12 m²,12 m²,,Non,,1,,,,,,,Non,,60 m²,,,,,Connecté,Oui,,,,,,,,,,,,,,360 kWh/m²,D,20170521-0001963034-1,Non communiqué,Non communiqué,,Gaz,Non,,,,Oui,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",235.000 €,691 €,Non,,,,,"Santvoortbeeklaan, 25
2100 - Antwerpen",,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,
113,Après la signature de l’acte,1918,Excellent état,2,,420 m²,,,Hyper équipée,,3,,,,,,,3,3,,,,,,,Non,,240 m²,,,,,,Oui,,34 m²,,,,Oui,,,,,,,,125 kWh/m²,B,2170365-RES-2,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,Non,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",575.000 €,750 €,Oui,,1,,Non,"Theo Verellenlaan 19
2990 - Wuustwezel",1314308 - 1314202,,,Sud-est,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,
114,Après la signature de l’acte,1964,Excellent état,2,"Zone d'habitat (résidentiel, urbain ou rural)",Hyper équipée,,,3,,1,,,,,,,1,217 m²,,,,,,,,,6 m,,,,,,,30 m²,Oui,,,202 kWh/m²,,,,,,,,,C,2408024-RES-1,Non communiqué,Non communiqué,Oui,,,,,,,Oui,164 m²,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",359.000 €,745 €,Non,"Goedehoopstraat 21
2000 - Anvers",6 m,,80 m²,,4406651,,,,,,,,,164 m²,Non,,,,2,,,,,,,,,,,,,,,,,
115,,1960,À rénover,2,,154 m²,25 m²,Oui,Américaine semi-équipée,10 m²,3,18 m²,12 m²,32 m²,,,,1,1,,,,,,,Non,,265 m²,,,,,Connecté,Oui,129 m²,,,,,,,,,,,,,510 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,,,,,,235.000 €,,Non,,,5 m,,"Prins Boudewijnlaan, 112-114
2610 - Wilrijk",4498791,,,,,,Oui,,,154 m²,,,,1,,,,,,,,Oui,,,,,,,,,
116,À définir,2017,Excellent état,2,,,,,Hyper équipée,,3,,,,,,Non,1,2,,Non,Non,,,,Non,Non,111 m²,Oui,Non,Non,Non,Connecté,Oui,34 m²,16 m²,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,118 kWh/m²,B,e 11002-G-2013_57903/EP16735/A005/D03/SD001,Non communiqué,Non communiqué,64,Gaz,Non,Non,Non,Non,Oui,Oui,,Non,Non,Zone non inondable,,349.000 €,949 €,Non,5 m,1,,,,,,,Nord-est,,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,,,
117,,1950,Excellent état,,,231 m²,20 m²,,,16 m²,4,18 m²,18 m²,18 m²,18 m²,,Non,2,,,Non,,,,,Non,,231 m²,Non,Non,Non,Non,Non connecté,Oui,,,,,,,,,,,,,,690 kWh/m²,F,20210620-002431572R-ES-1,Non communiqué,Non communiqué,,,,,,,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",299.000 €,,Non,16.5 m,,,,"Driekoningenstraat 110
2600 - Berchem",TTW0220,,,,,,,,,231 m²,,,,,,,,,,,,,Non,,,,,,,,
118,,1976,Bon,3,Isolé,198 m²,,,Hyper équipée,,5,,,,,,,1,2,,Oui,,,,,,,386 m²,,,,,,Oui,,,,,,,,,,,,,,454 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",369.000 €,1.241 €,Non,,1,6 m,,"Kioskplaats 3
2660 - Hoboken",4527484,3,,,,,Oui,,,,,,,,,,,,,Oui,,,,,,,,,,,
119,Après la signature de l’acte,,Excellent état,2,"Zone d'habitat (résidentiel, urbain ou rural)",Américaine hyper-équipée,,,3,,3,,,,,,,3,Oui,,,,,,,,Oui,8 m,,,,,Oui,34 m²,,Non,,Oui,,,Oui,,125 kWh/m²,,,,,B,2170365-RES-2,Non communiqué,Non communiqué,420 m²,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",575.000 €,750 €,Oui,"Goedehoopstraat 21
2000 - Anvers",,1,Connecté,,4514660,,,,,,,Oui,,420 m²,Zone non inondable,,,,4,,,,,,,,,,,,,,,,,
120,,1930,Bon,2,,139 m²,25 m²,,Équipée,19 m²,5,,,,,,,1,1,,Non,,8 m²,,,Non,Non,165 m²,,,,,Connecté,Oui,90 m²,,,,,,,,,,,,,465 kWh/m²,E,20210715-0002442169-RES-1,Non communiqué,Non communiqué,,,,,,,Oui,,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",375.000 €,553 €,Non,5 m,,5 m,,"Bredabaan 661
2930 - Brasschaat",,,,Ouest,,,,,,75 m²,,,,,3605,,,,,,,,,,,,,,,,
121,Après la signature de l’acte,,Bon,2,,115 m²,,,Équipée,,3,,,,,,,1,1,,,,,,,Non,,179 m²,,,,,,Oui,,,,,,,,,,,,,,306 kWh/m²,D,20160201-0001831403-1,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,,,,,,295.000 €,,Non,,,,Non,"Antwerpsestraat 36/38
2850 - Boom",2242 - 21/21067/123,,,,,,Oui,,,,,,,,,,,,,Oui,,,,,,,,,,,
122,Après la signature de l’acte,,À rénover,2,,110 m²,20 m²,,Américaine hyper-équipée,11 m²,3,16 m²,15 m²,,,,,1,1,,,,,,,Non,,94 m²,,,,,Connecté,Oui,,15 m²,,,,,,,,,,,,360 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,,,,,,225.000 €,,Non,,,4.5 m,,"Prins Boudewijnlaan, 112-114
2610 - Wilrijk",4424679,,,,,,Oui,,,64 m²,,,,1,,,,,,,,,,,,,,,,,
123,Après la signature de l’acte,1986,Excellent état,2,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,3,,,,,,Non,1,1,Oui,Non,Non,,,,Non,Non,150 m²,Oui,Non,Non,Non,Connecté,Oui,1 m²,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Non,Non,Non,Non,Oui,Oui,,,,,,260.000 €,,Non,,,,,,,,,,,Toutes sortes,Oui,,,,,,,,,,,,Oui,,,,,,,,,,,,
124,,,,,,171 m²,,,,,3,,,,,,,3,,,,,,,,Non,,181 m²,,,,,,,72 m²,14 m²,,,,,,,,,,,,50 kWh/m²,A,EPB NIEUWBOUW,Non communiqué,Non communiqué,,,,,,,,,,,,,,616.160 €,,Oui,,,,Non,"Korenmarkt 8
2800 - Mechelen",834624 - 93363880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,À définir,1971,,2,,156 m²,,,,,3,,,,,,,1,1,,,,,,,,,165 m²,,,,,,Oui,,,,,,,,,,,,,,276 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",339.000 €,959 €,Non,,1,,,"Kioskplaats 3
2660 - Hoboken",4514251,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,
