,À partir de,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Surface habitable,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Cave,Meublé,Surface du terrain,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Double vitrage,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Disponible le,Quartier ou lieu-dit,Parkings extérieurs,Visite virtuelle,Permis de bâtir obtenu,Surface du salon,Surface de la chambre 4,Salles de douche,Toilettes,Bureau,Grenier,Porte blindée,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Surface de la terrasse,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Interphone vidéo,Piscine,Type d’environnement,Terrasse,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Largeur de la façade à rue,Surface de bureau,Largeur du terrain à rue,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Salle à manger,Surface constructible totale au sol,Surface de la chambre 5,Surface de l'espace professionnel,Accès sécurisé / alarme,Surface de la cave,Référence externe,Panneaux solaires,Salon,Combien de feux ouverts ?,Dressing,Buanderie,Espace professionnel,Terrain arrière,Terrain plat,Jardin,Orientation du jardin,Orientation de la terrasse,Climatisation,Nom de l'agent,Concierge,Terrain à front de rue,Terrain boisé,Attestation de conformité des citernes à mazout,Pompe à chaleur,Panneaux photovoltaïques,Chauffe-eau commun,Surface du grenier,Jacuzzi,Sauna,Internet,Description libre du PEB,Type de construction,Obligation de construire,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Durée maximale de la rente,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Niveau E (performance énergétique globale),Isolé
83,,1930,,2,,Oui,,3,2,,,,9 m²,,Non,Non connecté,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,Non,Non,Non,,"Ch. de Waterloo 1302
1180 - Uccle",,,,,,130 m²,,,,,,Oui,,264 m²,Oui,17 m²,,Non communiqué,,,,,,,,Autre type de zone,495.000 €,3 m,Oui,,Non,Non,Zone non inondable,9 m²,,,,,Non,,Non,,,,,20 m²,,,,,,,,,,,,Non,Non,Oui,,,,,,,,,,,,,,,,,,,,,,
84,Après la signature de l’acte,1960,Excellent état,2,1,465 m²,Américaine hyper-équipée,20 m²,5,28 m²,28 m²,28 m²,4,Oui,,,104 kWh/m²,C,C+,21 kg CO₂/m²,Non communiqué,,,Oui,1.699.000 €,4.049 €,Non,"Chaussée de Waterloo 1382
1180 - Uccle",4327566,,,,,,50 m²,35 m²,,4,Oui,,Oui,Connecté,Oui,,80 m²,Oui,Non,,Oui,Non,,,Zone non inondable,,,,,,,,,,20 m²,100 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Après la signature de l’acte,,Bon,,,540 m²,Équipée,,7,,,,2,Oui,Non,235 m²,290 kWh/m²,F,20180830-0000534314-01-8,58 kg CO₂/m²,Non communiqué,Non,Gaz,Non,2.290.000 €,4.743 €,Non,"Avenue Louise 404a
1050 - Ixelles",4685664,,,,,Oui,,,1,,Oui,,Non,Non connecté,Non,110 m²,,Oui,Non,Oui,Non,Non,,,,,,,35 m,Non,Non,Non,Oui,,,,Oui,,,Non,Oui,1,Non,,,Non,Oui,,,,,,Non,Non,Non,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,
86,Après la signature de l’acte,1968,,4,3,542 m²,Hyper équipée,,4,19 m²,19 m²,12 m²,3,Oui,,2084 m²,113 kWh/m²,C,Non communiqué,22 kg CO₂/m²,Non communiqué,,Gaz,,2.850.000 €,9.890 €,Non,"Chaussée de Waterloo 1382
1180 - Uccle",4512787,,,5,,,58 m²,38 m²,,5,Oui,,,Connecté,Oui,2000 m²,60 m²,Oui,Oui,Oui,Oui,Oui,,,,,30 m,53 m²,,,,,Oui,741 m²,,,Oui,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Après la signature de l’acte,1980,Fraîchement rénové,4,2,55 m²,5,,35 m²,16 m²,45 m²,20 m²,9,Oui,,Connecté,C,20170919-0000512355-01-0,Non communiqué,Non communiqué,Gaz,,Oui,600 m²,12.441 €,Non,"Avenue Legrand 30
1050 - Ixelles",4046776,,,,2,600 m²,,Hyper équipée,16 m²,,Oui,Oui,,Oui,Oui,Non,,,Non,Oui,,115 kWh/m²,,,,,,,,,,,,,2.950.000 €,5,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Après la signature de l’acte,1964,À rénover,,1,163 m²,,11 m²,4,20 m²,14 m²,11 m²,1,Oui,Non,321 m²,480 kWh/m²,G,20210826-0000594559-01-7,123 kg CO₂/m²,Non communiqué,Non,,Oui,Faire offre à partir de 440.000 €,1.988 €,Non,"Rue de Stalle 288C
1180 - Uccle",14710 - 4138438,,,,,,,6 m²,,2,,,,,Oui,150 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sud-est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Après la signature de l’acte,,Excellent état,4,1,312 m²,Hyper équipée,,4,30 m²,17 m²,20 m²,4,Oui,,1400 m²,209 kWh/m²,D,20210909,41 kg CO₂/m²,Non communiqué,,Gaz,Oui,1.995.000 €,,Non,"Avenue Louise 200
1050 - Bruxelles",4011890,,,2,,,,16 m²,,,Oui,,Oui,,Oui,,100 m²,Non,Non,Oui,Oui,Non,,,Zone non inondable,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Après la signature de l’acte,1949,À rafraîchir,4,2,500 m²,Équipée,,6,35 m²,20 m²,20 m²,4,Oui,Non,2855 m²,373 kWh/m²,G,20160603-0000320844-01,80 kg CO₂/m²,Non communiqué,,Gaz,Oui,3.850.000 €,,Non,"Avenue Louise 200
1050 - Bruxelles",3571011,,,3,,,,18 m²,,,Oui,Oui,,Connecté,Oui,,,Non,Non,Oui,Oui,Non,,Oui,,,,18 m²,,,,,,777 m²,25 m²,,Oui,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Après la signature de l’acte,1902,,3,,80 m²,Américaine semi-équipée,16 m²,2,14 m²,12 m²,,2,Oui,Non,,500 kWh/m²,G,20201103-TEST,100 kg CO₂/m²,Non communiqué,Non,Gaz,Oui,260.000 €,1.122 €,Non,"Rue de Stalle 288C
1180 - Uccle",14629 - GELEYTSBEEK,,,,,,13 m²,,,2,,,,,Oui,,9 m²,,,,,,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,1985,,2,,Oui,,4,2,,,,18 m²,,Non,Non connecté,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,Non,Non,Non,,"Ch. de Waterloo 1302
1180 - Uccle",,,,,,240 m²,,,,,,Oui,,Non communiqué,Oui,60 m²,35 m²,Non,Non,Oui,,,,,,Autre type de zone,875.000 €,,Oui,,Non,Non,Zone non inondable,13 m²,,,,Non,Non,,Non,,,,,12 m²,,,,,,,,,,,,Non,Non,Oui,,,,,,,,,,,,,,,,,,,,,,
93,Après la signature de l’acte,1933,À rafraîchir,4,1,354 m²,Hyper équipée,,5,,,,3,Oui,Non,730 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Mazout,,1.150.000 €,2.800 €,Non,"Avenue René Gobert 26
1180 - Bruxelles",,,,2,,Oui,,,3,4,,,,Connecté,Non,450 m²,10 m²,,,,,,,,Zone non inondable,,11 m,,,,,,,,,,Oui,,4363742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Immédiatement,,,,36,,,,,,,,,,,,B,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,,"Rue Fort d'Andoy 5
5100 - Wierde",3834763,,1 avril 2021 - 00:00,Bruxelles,5,79 kWh/m²,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Après la signature de l’acte,1980,Excellent état,4,2,330 m²,Hyper équipée,,4,17 m²,12 m²,12 m²,3,Oui,,1117 m²,312 kWh/m²,F,20120625-0000096662-01-5,67 kg CO₂/m²,Non communiqué,,Gaz,,1.990.000 €,6.437 €,Non,"Avenue Delleur, 8
1170 - Watermael-Boitsfort",030/27659,,,,,,80 m²,,1,,Oui,Oui,,Connecté,Oui,,40 m²,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Après la signature de l’acte,1958,À rafraîchir,4,3,500 m²,Équipée,,5,,,,3,Oui,,3237 m²,493 kWh/m²,G,20140124-0000198293-01-6,106 kg CO₂/m²,Non communiqué,,Mazout,,3.450.000 €,9.226 €,Non,"Avenue Delleur, 8
1170 - Watermael-Boitsfort",030/27477,,,,,,,,,,Oui,,,Connecté,Oui,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Après la signature de l’acte,2021,,,,300 m²,Hyper équipée,5 m²,6,20 m²,16 m²,16 m²,3,Oui,Non,,114 kWh/m²,C,20210526-0000589474-01-2,23 kg CO₂/m²,Non communiqué,Non,Gaz,Oui,900.000 €,2.600 €,Non,"Venelle de la réserve 2
1300 - Wavre",5529 - 5168,,,,,,70 m²,14 m²,1,4,,,Oui,,Oui,,20 m²,,,,,,,,,,,,,,,,,,12 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,À définir,2015,Excellent état,4,1,310 m²,Équipée,,4,16 m²,16 m²,12 m²,3,,Non,,Non communiqué,Non communiqué,Non communiqué,21 kg CO₂/m²,Non communiqué,Non,Gaz,Oui,1.995.000 €,,Non,"Avenue Louise 404a
1050 - Ixelles",5575157,,,1,,,56 m²,11 m²,,2,Oui,,Non,Non connecté,Non,,21 m²,Non,Non,Oui,Non,Oui,,,,,,9 m²,,Non,Non,Non,Oui,310 m²,,,Oui,,,Non,,1,Oui,Oui,,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,
99,Après la signature de l’acte,,Excellent état,4,2,310 m²,Américaine hyper-équipée,,4,25 m²,20 m²,12 m²,3,Oui,,1080 m²,Non communiqué,Non communiqué,En cours,Non communiqué,Non communiqué,,Gaz,Oui,1.995.000 €,,,"2 av des Hêtres
1640 - Rhode-St-Genese",,,,2,,,50 m²,12 m²,,2,Oui,,,,Oui,,,,,Oui,,Oui,,Oui,,,,,,,,,Oui,,,,Oui,,,,,1,Oui,Oui,,Oui,,,,,,Antoine BINARD,,,,"Oui, conforme",,,,,,,,,,,,,,,,,,,,,,,,,
100,,1970,Excellent état,2,2,50 m²,Américaine équipée,5 m²,1,12 m²,,,1,Oui,Oui,,191 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,,Oui,2.350.000 €,7.744 €,Oui,"Avenue Legrand 30
1050 - Ixelles",4456269,,,2,,,22 m²,,1,1,,,Oui,Connecté,Oui,,,Oui,,Oui,Oui,,,,Zone non inondable,,,,13 m,,,,,400 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Immédiatement,1900,À rénover,2,,,Pas équipée,,6,,,,,Oui,Non,274 m²,1468 kWh/m²,G,Non communiqué,232 kg CO₂/m²,Non communiqué,Non,Gaz,,1.080.000 €,3.574 €,Non,"Rue Hector Denis 47A
1050 - Ixelles",,,,,,,,,,,,,,,,150 m²,,,,,,,,,,,,,,,,,,,,,,,7774 - 9519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Après la signature de l’acte,1930,Fraîchement rénové,4,2,285 m²,Hyper équipée,25 m²,5,29 m²,12 m²,15 m²,3,Oui,Non,833 m²,364 kWh/m²,G,20190122-0000542494-01-8,72 kg CO₂/m²,Non communiqué,,Gaz,Oui,1.085.000 €,,Non,"Avenue Capouillet 58 A
1410 - Waterloo",,,,5,,,30 m²,14 m²,,,Oui,,,Connecté,Oui,,40 m²,,,,,Oui,,,,,,20 m²,,,,,Oui,,10 m²,,Oui,,,,,2,,Oui,Oui,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,
103,,1987,,4,3,450 m²,Hyper équipée,,6,,,,3,,Non,1500 m²,194 kWh/m²,D,D+ 20170302-000377412-01-4,41 kg CO₂/m²,Non communiqué,Non,Gaz,Non,1.850.000 €,14.856 €,Non,"Chausse de St. Job, 546
1180 - Bruxelles",Julian Tuchnaider,,,2,,,,,2,4,,,,,,1400 m²,40 m²,,,,,,,,,,,,,,,,,,,,,,,Non,Oui,,,,,,,,Sud,,,1009941JTal,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,
104,Après la signature de l’acte,1897,Excellent état,4,1,450 m²,Équipée,,4,,,,3,Oui,,1850 m²,407 kWh/m²,G,20201123-00005763301,107 kg CO₂/m²,Non communiqué,,Mazout,,2.250.000 €,,Non,"Avenue Delleur, 8
1170 - Watermael-Boitsfort",030/27589,,,2,,,,,,,Oui,Oui,,Connecté,Oui,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Après la signature de l’acte,1885,Bon,4,2,600 m²,Hyper équipée,30 m²,7,100 m²,50 m²,50 m²,8,Oui,Non,9800 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,3.900.000 €,,Non,"Place de Saint-Job 14
1180 - Uccle",,,,6,,,100 m²,20 m²,5,6,Oui,Oui,Oui,Connecté,Oui,9000 m²,130 m²,Oui,Non,Oui,Oui,Non,,,Zone non inondable,,,25 m²,50 m,Non,,,Oui,700 m²,30 m²,50 m²,Oui,,4192174,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Après la signature de l’acte,2003,,,1,125 m²,,,3,14 m²,12 m²,12 m²,1,,Non,189 m²,186 kWh/m²,D,20210519-0000589095-01-0,37 kg CO₂/m²,Non communiqué,Non,,Oui,475.000 €,1.513 €,Non,"Rue de Stalle 288C
1180 - Uccle",14676 - 4138415,,,1,,,,,,,,,,,Oui,,19 m²,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,Oui,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Après la signature de l’acte,,À rafraîchir,,1,290 m²,,9 m²,7,,,,4,,,140 m²,302 kWh/m²,F,20210722-0000592961-01-8,73 kg CO₂/m²,Non communiqué,,Mazout,,895.000 €,3.507 €,Oui,"Rue de Laeken 91
1000 - Bruxelles",,,,,,,,,,,Oui,,,,,,,Oui,,Oui,,,,Oui,,,,,,,,,,,,,,,798/17337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Après la signature de l’acte,1981,Excellent état,4,,267 m²,Équipée,,4,,,,3,,,650 m²,279 kWh/m²,F,20170816-0000510334-01-5,Non communiqué,Non communiqué,,Gaz,,1.500.000 €,,Non,"Rue Darwin 56
1050 - Ixelles",V10000662,,,,,,,,,4,Non,,,,,,,Non,,,,,,Oui,Zone riveraine délimitée,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,Non,,,,,Oui,,,,,,,,,,,Oui,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,Bon,4,1,350 m²,Hyper équipée,18 m²,5,33 m²,27 m²,15 m²,3,Oui,,984 m²,319 kWh/m²,F,Non communiqué,63 kg CO₂/m²,Non communiqué,,Gaz,Oui,1.890.000 €,5.981 €,Non,"Rue Emile Feron 153
1060 - Saint-Gilles",4500083,,,2,,,85 m²,12 m²,2,4,Oui,Oui,,Connecté,Oui,,140 m²,Non,Oui,,Oui,Non,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Non,Non,Non,Oui,,10 m²,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,1,160 m²,Équipée,10 m²,4,,,,3,,Non,115 m²,464 kWh/m²,G,En cours,93 kg CO₂/m²,Non communiqué,,Gaz,Oui,645.000 €,2.280 €,Non,"Avenue des Trembles 3b
1640 - Rhode-St-Genese",,,,1,,,52 m²,,,4,Non,,Non,Non connecté,Non,45 m²,,,,,,,,,,,,,,,,Non,,200 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Après la signature de l’acte,1965,Excellent état,4,,312 m²,Hyper équipée,,4,,,,4,Oui,,1349 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,,1.995.000 €,5.081 €,Non,"Avenue Delleur, 8
1170 - Watermael-Boitsfort",030/27685,,,1,,,70 m²,,,,Oui,Oui,,Connecté,Oui,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Après la signature de l’acte,1983,Excellent état,4,,,Hyper équipée,20 m²,5,18 m²,15 m²,15 m²,3,Oui,Non,1750 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,2.150.000 €,,Non,"Avenue René Gobert 26
1180 - Bruxelles",,,,,,,40 m²,12 m²,1,3,Oui,Oui,Oui,Connecté,Oui,,50 m²,Non,Non,Oui,Oui,Non,,,Zone non inondable,,,10 m²,20 m,,,,Oui,500 m²,,,,,4074776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Après la signature de l’acte,2007,Excellent état,4,1,465 m²,,,5,,,,3,Oui,,1400 m²,176 kWh/m²,D,20200916-0000574866-01-1,35 kg CO₂/m²,Non communiqué,"Oui, conforme",Gaz,Oui,2.750.000 €,,Non,"av Van Bever 13
1180 - Bruxelles",489/7194,,,3,,,43 m²,,2,,Oui,,,Connecté,,,,Non,,,Oui,Oui,,Oui,,,,14 m²,,,,,,,,,Oui,,,,,1,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Après la signature de l’acte,1860,,4,2,550 m²,,25 m²,8,25 m²,16 m²,16 m²,6,Oui,,2000 m²,367 kWh/m²,G,20210511,73 kg CO₂/m²,Non communiqué,,Gaz,Oui,2.790.000 €,,Non,"Avenue Louise 200
1050 - Bruxelles",4323744,,,3,,,50 m²,14 m²,6,7,Oui,Oui,,,,1650 m²,50 m²,Non,Non,,,Oui,,,,,,13 m²,,,,,Oui,,14 m²,30 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Immédiatement,1953,À rénover,4,3,500 m²,,,7,,,,5,Oui,,4700 m²,757 kWh/m²,G,20200709-0000571412-01-6,152 kg CO₂/m²,Non communiqué,,Mazout,,4.500.000 €,,Non,"Avenue Legrand 30
1050 - Ixelles",4334269,,,4,,,,,,,Oui,,,Connecté,Oui,,,Non,Non,,,Oui,,Oui,,,,,50 m,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Après la signature de l’acte,1950,Bon,4,3,500 m²,Équipée,,7,,,,5,Oui,,4700 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,,4.500.000 €,10.146 €,Non,"Avenue Delleur, 8
1170 - Watermael-Boitsfort",030/10512,,,,,,,,,,Oui,Oui,,,,,,Non,,,,Oui,,Oui,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,1957,Excellent état,4,2,786 m²,,,6,,,,6,Oui,,7452 m²,323 kWh/m²,F,20200311-0000566627-01-1,64 kg CO₂/m²,Non communiqué,,Gaz,Oui,5.900.000 €,,Non,"Avenue J. Burgers, 2 b24
1180 - Uccle",010/15996,,,,,,,,,,Oui,Oui,,,,,,Non,,,,,,Oui,,,,,,,,,,,,,Oui,,,,,1,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,2,,200 m²,Équipée,,4,15 m²,15 m²,,1,,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,425.000 €,,Non,"Rue Des Carmélites 88
1180 - Uccle",14919JAMB,,,,,,30 m²,,2,4,,,,,,,,,,Oui,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,Oui,,,,,,,Non,,,,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,
119,Après la signature de l’acte,1961,Excellent état,4,,500 m²,Hyper équipée,,5,,,,4,Oui,,2500 m²,235 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,,,2.990.000 €,,Non,"Avenue Louise 544
1050 - Ixelles",,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,Oui,,3782451,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,Bon,4,2,650 m²,Équipée,,5,,,,4,Oui,,10000 m²,555 kWh/m²,G,20170425-0000502616-01-5,146 kg CO₂/m²,Non communiqué,,,,3.900.000 €,6.445 €,Non,"Avenue Delleur, 8
1170 - Watermael-Boitsfort",030/26109,,,,,,100 m²,,,,Oui,Oui,,Connecté,Oui,,,Oui,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,4,2,170 m²,Pas équipée,,3,,,,1,Oui,Non,622 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,795.000 €,3.120 €,Non,"Rue Washington 128b
1050 - Bruxelles",9042 - 252,,,,,,50 m²,,,2,,,,,,500 m²,40 m²,,,,,,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,Sud-est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,1933,,2,,197 m²,Équipée,,4,,,,3,,Non,108 m²,318 kWh/m²,F,20210405,63 kg CO₂/m²,Non communiqué,Non,Gaz,Non,495.000 €,1.197 €,Non,"Rue du Bois 1
7090 - Hennuyères",1008,,,,,,,,,,,,,,,30 m²,15 m²,,,,,,,,,,,,,,,,,,,,,,,Non,Oui,,,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,
123,Après la signature de l’acte,1955,,4,1,360 m²,,14 m²,7,30 m²,19 m²,16 m²,4,Oui,,2697 m²,519 kWh/m²,G,20111124000003472901,157 kg CO₂/m²,Non communiqué,,,,1.975.000 €,,Non,"Avenue Louise 200
1050 - Bruxelles",4137819,,,4,,,50 m²,14 m²,4,5,,Oui,,,Oui,2200 m²,,,,,,,,Oui,Zone non inondable,,,,,,,,Oui,,16 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Après la signature de l’acte,,Excellent état,4,2,300 m²,Américaine hyper-équipée,,4,25 m²,20 m²,12 m²,3,Oui,Non,1080 m²,140 kWh/m²,C,483450-N-1-1-2-2,21 kg CO₂/m²,Non communiqué,,Gaz,,1.995.000 €,,Non,"Avenue Capouillet 58 A
1410 - Waterloo",,,,2,,,50 m²,12 m²,,,Oui,,,,Oui,,,,,Oui,,Oui,,Oui,,,,,,,,,,,,,Oui,,,,,1,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Immédiatement,,,,36,,,,,,,,,,,,B,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,,"Rue Fort d'Andoy 5
5100 - Wierde",3834763,,1 avril 2021 - 00:00,Bruxelles,5,79 kWh/m²,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Après la signature de l’acte,1905,À rafraîchir,4,2,,,,6,,,,4,Oui,Non,1300 m²,483 kWh/m²,G,Non communiqué,125 kg CO₂/m²,Non communiqué,,Mazout,,2.200.000 €,,Non,"Ch. de Waterloo 1354
1180 - Uccle",,4 mai 2021 - 00:00,,4,,,,,4,3,,,,,,,,Non,,Oui,,Non,,,,,,,,,,,,585 m²,,,,,4050262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Après la signature de l’acte,,Excellent état,4,,480 m²,,,5,,,,3,,,1160 m²,208 kWh/m²,D,Non communiqué,44 kg CO₂/m²,Non communiqué,,,,2.390.000 €,,Non,"Chaussée de Waterloo 1382
1180 - Uccle",4448363,,,,,,,,2,,,,,,,500 m²,,Non,Oui,,,Non,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,3,,,,,,,,625 kWh/m²,,,,,,,G,20210629-0000591662-01-0,Non communiqué,Non communiqué,160.000 €,870 €,,,,,"Chaussée de Jette, 514A
1090 - Jette",Benoît DU FOUR,,,,,,180 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,jeudi 16-23-30/9 et 7-14/10 de 15-17h et sam. 11-18-25/9 et 2-9/10 de 9-11h. MASQUE ET GEL OBLIGATOIRES (NON FOURNIS) et par 2 personnes à la fois.,Après la signature de l’acte,Non,,
129,,1930,Excellent état,2,,200 m²,,5,26 m²,22 m²,22 m²,20 m²,3,Oui,Oui,300 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,,,1.975.000 €,Non,,"Rue Emile Feron 153
1060 - Saint-Gilles",4357884,,,,,604 m²,,Oui,50 m²,5,75 m²,Oui,Non,Oui,,,75 m²,Non,Non,Oui,Oui,Non communiqué,,,,,,,Oui,,,,,22 m²,,3,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Immédiatement,1955,,4,2,253 m²,,21 m²,4,22 m²,22 m²,14 m²,1,,Non,1170 m²,321 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Non,,Oui,1.000.000 €,,Non,"Venelle de la réserve 2
1300 - Wavre",5058 - 4908,,,2,,,35 m²,12 m²,1,2,Oui,,,,,,,,,,,,,,,,,14 m²,,,,,Oui,,,,,81 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Après la signature de l’acte,1949,,,,200 m²,,18 m²,5,15 m²,14 m²,14 m²,1,,Non,158 m²,218 kWh/m²,E,20170406-0000501433-01-6,43 kg CO₂/m²,Non communiqué,Non,,Oui,730.000 €,,Non,"Rue de Stalle 288C
1180 - Uccle",14687 - 4138421,,,,,,,14 m²,1,3,,,,,Oui,85 m²,18 m²,,,,,,,,,,,,,,,,Oui,,14 m²,,,19 m²,,,,,,,,,,,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
