,À partir de,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Surface habitable,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Cave,Meublé,Surface du terrain,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Double vitrage,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Disponible le,Quartier ou lieu-dit,Parkings extérieurs,Visite virtuelle,Permis de bâtir obtenu,Surface du salon,Surface de la chambre 4,Salles de douche,Toilettes,Bureau,Grenier,Porte blindée,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Surface de la terrasse,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Interphone vidéo,Piscine,Type d’environnement,Terrasse,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Largeur de la façade à rue,Surface de bureau,Largeur du terrain à rue,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Salle à manger,Surface constructible totale au sol,Surface de la chambre 5,Surface de l'espace professionnel,Accès sécurisé / alarme,Surface de la cave,Référence externe,Panneaux solaires,Salon,Combien de feux ouverts ?,Dressing,Buanderie,Espace professionnel,Terrain arrière,Terrain plat,Jardin,Orientation du jardin,Orientation de la terrasse,Climatisation,Nom de l'agent,Concierge,Terrain à front de rue,Terrain boisé,Attestation de conformité des citernes à mazout,Pompe à chaleur,Panneaux photovoltaïques,Chauffe-eau commun,Surface du grenier,Jacuzzi,Sauna,Internet,Description libre du PEB,Type de construction,Obligation de construire,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Durée maximale de la rente,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Niveau E (performance énergétique globale),Isolé
63,Immédiatement,,,,36,,,,,,,,,,,,B,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,,"Rue Fort d'Andoy 5
5100 - Wierde",3834763,,1 avril 2021 - 00:00,Bruxelles,5,79 kWh/m²,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Selon le locataire,1927,Bon,2,,400 m²,Américaine non-équipée,,8,,,,5,,Non,,196 kWh/m²,D,20180416-0000525829-01-4,39 kg CO₂/m²,Non communiqué,Non,Gaz,Oui,1.550.000 €,,Non,"Avenue Louise 404a
1050 - Ixelles",5064172,,,,,,,,,7,Oui,,Non,Connecté,Non,350 m²,,Non,Non,Oui,Non,Non,,,,,11 m,,,,,,Oui,,,,Oui,,,Non,Oui,,Non,,,Non,Oui,,,,,,Non,Non,Non,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,
65,Après la signature de l’acte,1950,Excellent état,4,2,,,,6,,,,3,Oui,Non,1165 m²,295 kWh/m²,F,20140328-0000193932-01-6,Non communiqué,Non communiqué,,,,1.850.000 €,5.191 €,Non,"Ch.D'Alsemberg 614/616
1180 - Uccle",,,Observatoire,4,,,,,,,Oui,,,Connecté,Oui,,40 m²,,,Oui,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,Oui,,,,,,,,Oui,2,,Oui,,,,Oui,Sud-ouest,,,Guillaume SWAELENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Après la signature de l’acte,1897,Excellent état,4,1,Équipée,4,,30 m²,14 m²,18 m²,12 m²,11 m²,,,Connecté,G,20201123­0000578633­01,107 kg CO₂/m²,Non communiqué,2.250.000 €,,,,4.501 €,Non,"Avenue Louise 200
1050 - Bruxelles",4306110,,,,2,450 m²,,,4,,,1850 m²,,,Oui,1600 m²,Oui,,,,,,,,407 kWh/m²,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Après la signature de l’acte,1972,Bon,,1,331 m²,,25 m²,4,21 m²,17 m²,15 m²,3,,Non,1425 m²,535 kWh/m²,G,Non communiqué,108 kg CO₂/m²,Non communiqué,Non,Gaz,Non,2.600.000 €,9.110 €,Non,"Avenue Louise 404a
1050 - Ixelles",4869926,,,,,,64 m²,13 m²,,,Oui,,Non,Connecté,Non,,,,,,,,,,,,,27 m²,,Non,Non,Non,Oui,563 m²,,,,123 m²,,Non,,1,Oui,Oui,,Non,Non,,,,,,,Non,Non,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,
68,Après la signature de l’acte,1921,Bon,3,1,356 m²,Hyper équipée,20 m²,6,27 m²,20 m²,15 m²,4,Oui,Non,2670 m²,170 kWh/m²,D,20211005-0000596951-01,33 kg CO₂/m²,Non communiqué,,Gaz,Oui,2.750.000 €,,Non,"Avenue Louise 200
1050 - Bruxelles",4425974,,,2,,,30 m²,14 m²,4,5,Oui,,,,Non,2500 m²,40 m²,Non,Non,,,Non,,,,,12 m,45 m²,12 m,,,,Oui,450 m²,11 m²,35 m²,Oui,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,À définir,2008,Excellent état,4,1,465 m²,Américaine hyper-équipée,28 m²,6,41 m²,36 m²,25 m²,4,Oui,Non,1400 m²,176 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,2.750.000 €,9.003 €,Non,"Chaussée de Waterloo 1382
1180 - Uccle",4508579,,,2,,Oui,42 m²,12 m²,,4,Oui,,,Connecté,Oui,,90 m²,Non,Non,,Oui,Oui,,,,,,34 m²,,,Non,,Oui,523 m²,11 m²,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Après la signature de l’acte,,Bon,4,4,650 m²,Équipée,,6,30 m²,20 m²,16 m²,6,Oui,Non,1516 m²,391 kWh/m²,G,2014031400403,118 kg CO₂/m²,Non communiqué,,Mazout,,2.895.000 €,,Non,"Avenue Louise 200
1050 - Bruxelles",3323914,17 mars 2020 - 00:00,,2,,,84 m²,18 m²,,7,,,,Connecté,,400 m²,50 m²,Non,Non,Oui,,Non,,,Zone non inondable,Zone d'habitat mixte (habitat & activité économique),10.5 m,,,,,,,,18 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,Bon,3,1,200 m²,Hyper équipée,,3,,,,2,Oui,Non,348 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,,3.718 €,Non,"Rue J. Hazard, 35
1180 - Uccle",220065 - 111115192,,,,,,40 m²,,,3,Oui,,Oui,,,250 m²,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,800.000 €,150.000 €,1.600 €,Oui,Non,Oui,1,72,16,,,,,,
72,Après la signature de l’acte,,,2,,91 m²,,,2,,,,1,,Non,65 m²,Non communiqué,Non communiqué,20171221-0000518371-01-1,29 kg CO₂/m²,Non communiqué,,Gaz,Oui,330.000 €,1 €,Non,"Place du Châtelain 35
1050 - Ixelles",,,,,,,,,,,,,Non,Connecté,Oui,,21 m²,,,,,,,,Zone non inondable,Autre type de zone,3 m,,,Non,Non,Non,,,,,,,,Non,,,,,,,,,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,
