,À partir de,Quartier ou lieu-dit,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Type d’environnement,Visite virtuelle,Surface habitable,Surface du salon,Salle à manger,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Toilettes,Cave,Grenier,Meublé,Surface du terrain,"Eau, gaz & électricité",Surface du jardin,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Permis de bâtir obtenu,Autorisation de lotissement,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Combien de feux ouverts ?,Jardin,Orientation du jardin,Attestation as-built,Attestation de conformité des citernes à mazout,Procédure pour violation de la réglementation urbanistique,Site internet,Parkings intérieurs,Parkings extérieurs,Salles de douche,Surface de bureau,Bureau,Surface de la chambre 4,Raccordement à l'égout,Surface de la terrasse,Orientation de la terrasse,Largeur du terrain à rue,Surface de la chambre 5,Dressing,Buanderie,Porte blindée,Salon,Pompe à chaleur,Surface constructible totale au sol,Obligation de construire,Espace professionnel,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Droit d'achat prioritaire possible,Référence externe,Disponible le,Surface de la cave,Parlophone,Ascenseur,Accessible aux personnes avec un handicap,Piscine,Terrasse,Informations supplémentaires,Pourcentage loué,Nombre d'annexes,Description libre du PEB,Revenu mensuel actuel,Concierge,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Nom de l'agent,Surface du grenier,Surface de l'espace professionnel,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Niveau E (performance énergétique globale),Isolé,Charges mensuelles
29,Après la signature de l’acte,,1950,Bon,,2,"Zone d'habitat (résidentiel, urbain ou rural)",,298 m²,,,,,4,,,,4,4,Oui,,Non,,Oui,50 m²,359 kWh/m²,G,Non communiqué,71 kg CO₂/m²,Non communiqué,Gaz,Oui,,,,,535.000 €,,Oui,"Avenue des Arts 18
1210 - Bruxelles",,,,,,,,,,4,,,,Connecté,15 m²,,,,,,,,,,,,,,,,,,,,,4340368,,,Oui,Non,,Non,,,,,,,,,,,,,,,,,,,,,,,
30,Immédiatement,,1929,À rénover,,2,,,210 m²,,,Semi-équipée,,9,12 m²,16 m²,13 m²,7,9,Oui,,Non,85 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,,,,,495.000 €,,Non,"Av. Louise 523
1050 - Bruxelles",,,,,,,,,,9,,,18 m²,,,,,18 m²,,,,Oui,,,,,,,,,,,,,,4190513,24 janvier 2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,Bruxelles (19 communes),,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,Non,"Rue Américaine, 158
1050 - Ixelles",,,,,,,4277506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31 mars 2022 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Après la signature de l’acte,Bruxelles (19 communes),,Bon,,2,Urbain,,,,,Équipée,,,,,,3,3,,,,,,,367 kWh/m²,G,Non communiqué,73 kg CO₂/m²,Non communiqué,Gaz,,,,,,480.000 €,,Oui,"rue de Flandre 197
1000 - Bruxelles ville",,,,,,,4400077,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
33,Après la signature de l’acte,Saint-josse-ten-noode,1947,Bon,,2,,,380 m²,,,Semi-équipée,,6,,,,4,4,,,,184 m²,,,Non communiqué,Non communiqué,Non communiqué,39 kg CO₂/m²,Non communiqué,,Oui,,,,Zone d'habitat mixte (habitat & activité économique),1.100.000 €,,Oui,"rue du Tabellion 64-66
1050 - Ixelles",,,,,,Non,,,,,,Non,,,6 m²,,,,,,,,,,,,,,,,,,,,,LVMA10000163,,,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,
34,Après la signature de l’acte,,1900,À rafraîchir,,2,,,253 m²,,,,,5,13 m²,15 m²,15 m²,3,3,,,,85 m²,Oui,15 m²,540 kWh/m²,G,Non communiqué,Non communiqué,Non communiqué,Mazout,Oui,,,,,510.000 €,,Oui,"Avenue Louise 390
1050 - Ixelles",,,,,,,4496465,,,3,,,15 m²,Connecté,15 m²,,5 m,13 m²,,,,,,83 m²,,,,,,,,,,,,,,,Oui,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,
35,,,1898,,6 m,2,,,220 m²,33 m²,,,8 m²,4,18 m²,17 m²,16 m²,1,,Oui,,Non,116 m²,,36 m²,531 kWh/m²,G,20200806-0000572836-0-19,133 kg CO₂/m²,Non communiqué,,Oui,,,Zone non inondable,,449.000 €,976 €,Non,"Rue Alexandre Markelbach 78
1030 - Schaarbeek",,,,Non,Non,,1677 - 0799,,,1,,Oui,7 m²,,36 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,À définir,,,Bon,,,,,155 m²,,,Équipée,,4,,,,,2,Oui,Oui,Non,,Oui,,Non communiqué,Non communiqué,20120606-0000091306-01-3,Non communiqué,Non communiqué,Gaz,Oui,,,,,295.000 €,,Non,"Rue Vanderkindere, 97
1180 - Uccle",,,,,,,,,,,,,,Connecté,,,,,Non,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,À définir,,,Bon,,,,,155 m²,,,Équipée,,4,,,,,2,Oui,Oui,Non,,Oui,,Non communiqué,Non communiqué,20120606-0000091306-01-3,Non communiqué,Non communiqué,Gaz,Oui,,,,,295.000 €,,Non,"Rue Vanderkindere, 97
1180 - Uccle",,,,,,,,,,,,,,Connecté,,,,,Non,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,À rénover,6 m,2,,,255 m²,,,Pas équipée,,4,,,,2,,Oui,,Non,184 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,,,685.000 €,,Non,"Av du 11 Novembre 2
1040 - Etterbeek",,,,Non,,,3958 - 654656088,,,2,,,,,,,6 m,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
