,À partir de,Quartier ou lieu-dit,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Type d’environnement,Visite virtuelle,Surface habitable,Surface du salon,Salle à manger,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Toilettes,Cave,Grenier,Meublé,Surface du terrain,"Eau, gaz & électricité",Surface du jardin,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Permis de bâtir obtenu,Autorisation de lotissement,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Combien de feux ouverts ?,Jardin,Orientation du jardin,Attestation as-built,Attestation de conformité des citernes à mazout,Procédure pour violation de la réglementation urbanistique,Site internet,Parkings intérieurs,Parkings extérieurs,Salles de douche,Surface de bureau,Bureau,Surface de la chambre 4,Raccordement à l'égout,Surface de la terrasse,Orientation de la terrasse,Largeur du terrain à rue,Surface de la chambre 5,Dressing,Buanderie,Porte blindée,Salon,Pompe à chaleur,Surface constructible totale au sol,Obligation de construire,Espace professionnel,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Droit d'achat prioritaire possible,Référence externe,Disponible le,Surface de la cave,Parlophone,Ascenseur,Accessible aux personnes avec un handicap,Piscine,Terrasse,Informations supplémentaires,Pourcentage loué,Nombre d'annexes,Description libre du PEB,Revenu mensuel actuel,Concierge,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Nom de l'agent,Surface du grenier,Surface de l'espace professionnel,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Niveau E (performance énergétique globale),Isolé,Charges mensuelles
51,Après la signature de l’acte,,,Excellent état,,2,,,163 m²,,Oui,Équipée,11 m²,5,18 m²,17 m²,18 m²,2,3,,,Non,220 m²,,,585 kWh/m²,G,20191108007083,Non communiqué,Non communiqué,Gaz,Oui,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",425.000 €,1.003 €,Non,"Avenue Général Mellier 20
5030 - Gembloux",,Oui,Sud-est,,Non,,spir1970,1,1,2,,Non,11 m²,,20 m²,,,10 m²,Non,,,Oui,Non,,Non,,,,,,,,,,,,,18 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Après la signature de l’acte,Brabant Wallon,,Excellent état,,4,Isolé,330 m²,35 m²,Oui,Américaine hyper-équipée,44 m²,6,46 m²,22 m²,20 m²,19 m²,4,20 m²,,,6614 m²,Oui,6000 m²,50 m²,C,Non communiqué,40 kg CO₂/m²,71866 kWh/an,Gaz,Oui,900.000 €,,,,,Non,,"Avenue de Tervueren 446
1150 - Bruxelles",4450757,,,,,,,,1,4,,Oui,20 m²,24 m²,,Non,,,3,,,,,,,,,,,,,,,,,,,,170 m²,Oui,Oui,,217 kWh/m²,,,,,,,,Oui,,Oui,,,,,Non,,,,,,,,
53,Après la signature de l’acte,,1947,Fraîchement rénové,3 m,3,,,82 m²,21 m²,,Semi-équipée,7 m²,3,13 m²,13 m²,7 m²,,2,,,Non,99 m²,Oui,25 m²,246 kWh/m²,C,20210806002114,46 kg CO₂/m²,25010 kWh/an,Gaz,Oui,Oui,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",275.000 €,342 €,Non,"Boulevard de l'Europe 2-1
1300 - Wavre",,,,Non,,,1768 - 2809,,,2,,,,,,,3 m,,,,,,,,,,Non,,,,,,,,Non,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
54,À définir,,1995,Excellent état,13.11 m,4,,,250 m²,41 m²,,Hyper équipée,16 m²,4,18 m²,13 m²,14 m²,2,2,,,Non,731 m²,Oui,630 m²,108 kWh/m²,B,20210402009657,18 kg CO₂/m²,28724 kWh/an,Gaz,Oui,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",695.000 €,3.049 €,Non,"Voie des Curassiers 5
1300 - wavre",,,,,,,4381182,1,6,1,13 m²,Oui,14 m²,Connecté,40 m²,,12.8 m,,,,,,,145 m²,,,,,,,,Oui,,,Non,,1 février 2022 - 00:00,,,Non,,Oui,,,,,,,,Oui,,,,,,,70 m²,,,,,,,,
55,À définir,,1993,Bon,12 m,4,,308 m²,73 m²,Oui,Hyper équipée,36 m²,4,28 m²,14 m²,15 m²,34 m²,1,Oui,2500 m²,,,Connecté,,62 m²,D,D,339 kg CO₂/m²,149332 kWh/an,Électrique,Oui,Zone non inondable,,,895.000 €,,4.586 €,Non,"Avenue Reine Astrid 215
1410 - Waterloo",4374941,,,,,,,,2,4,2,,,1,2000 m²,Non,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,339 kWh/m²,,,,,,,,Oui,,,,,,,,,,,,,,,
56,,,,,,2,Urbain,120 m²,Semi-équipée,,,Non,,,,,,,Non,Non,,Non,Connecté,368 kWh/m²,,E,20210715008473,Non communiqué,44235 kWh/an,Non,Oui,250.000 €,,,,,743 €,Non,"Avenue de Mérode 16B
1330 - Rixensart",Saint-Jean-Baptiste,,,,Gaz,,,,,,,,Oui,,Non,,,,,1,,60 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Après la signature de l’acte,,1948,Bon,,2,,,147 m²,27 m²,,Équipée,16 m²,2,12 m²,20 m²,,1,1,,,,408 m²,Non,370 m²,542 kWh/m²,G,2016929004049,42 kg CO₂/m²,79869 kWh/an,Mazout,,Oui,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",295.000 €,773 €,Non,"Rue de Wavre, 27
1300 - Wavre",,,,,,,4499732,,,,,,,Connecté,,,,,,,,,,,,,,,,,,,,,Non,,25 décembre 2021 - 00:00,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
58,À définir,,1973,Bon,,3,,,135 m²,28 m²,,Hyper équipée,9 m²,4,8 m²,10 m²,13 m²,2,2,,Oui,Non,448 m²,Oui,,328 kWh/m²,D,20210922021455,60 kg CO₂/m²,41835 kWh/an,Gaz,Oui,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",360.000 €,1.323 €,Non,"Place Albert 1er, 20
1300 - Limal",,,,,,Non,4515714,1,4,,,,16 m²,Connecté,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
59,Après la signature de l’acte,,1962,À rénover,,4,,,355 m²,,,Équipée,,4,15 m²,20 m²,12 m²,2,3,,,Non,1850 m²,Non,1600 m²,984 kWh/m²,G,20210520006499,144 kg CO₂/m²,116145 kWh/an,Mazout,,Oui,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",525.000 €,3.168 €,Non,"Rue de Wavre, 27
1300 - Wavre",,,,,,,4453907,2,1,1,,,15 m²,Connecté,,,,,,,,Oui,,,,,,,,,,,,,Non,,1 novembre 2021 - 00:00,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
60,Après la signature de l’acte,,1955,Bon,,4,,331 m²,62 m²,Hyper équipée,,12 m²,6,15 m²,26 m²,16 m²,16 m²,1,14 m²,,,499 m²,Connecté,599 m²,27 m²,E,20210518021530,81 kg CO₂/m²,122610 kWh/an,Gaz,580.000 €,,,,,,2.855 €,Non,"Rue de Wavre, 27
1300 - Wavre",4374097,,,,,,,,,,4,Oui,15 m²,18 m²,Non,Non,,,3,,,,,,,,,,,,,,,,,,,2 août 2021 - 00:00,,,Non,Oui,371 kWh/m²,,,,,,,,Non,,,,,,,,Non,,,,,,,
61,À définir,,1975,Excellent état,,4,,213 m²,41 m²,Oui,Hyper équipée,13 m²,4,31 m²,10 m²,20 m²,9 m²,2,Oui,Non,,2196 m²,Connecté,,Oui,D,20200609031092,89 kg CO₂/m²,66713 kWh/an,Électrique,Oui,Zone non inondable,,,745.000 €,,2.858 €,Non,"Avenue Reine Astrid 215
1410 - Waterloo",4421902,,,,,,,,2,2,2,,,2,2196 m²,,,,,,,,,,,,,,,,,,,,,,,,,,Non,Oui,313 kWh/m²,Non,,,,,,,Non,,,,,,,,,,,,,,,
62,,,2006,Excellent état,30 m,4,,,385 m²,46 m²,Oui,Américaine hyper-équipée,24 m²,6,23 m²,12 m²,14 m²,3,4,Oui,Oui,Non,2559 m²,Non,,107 kWh/m²,B,20180630001502,30 kg CO₂/m²,54484 kWh/an,,Oui,Oui,,Zone non inondable,,1.100.000 €,6.162 €,Non,"Chaussée de Collines 102
1300 - Wavre",,,,,,,,2,6,3,30 m²,Oui,13 m²,Connecté,90 m²,,85 m,16 m²,,,,,,525 m²,,,,,,,,Oui,,,,4455562,,,Oui,,,Oui,,,,,,,,Oui,,,,,,,,30 m²,,,,,,,
63,,,1989,Bon,,4,,,384 m²,,,Équipée,,6,,,,3,4,,,Non,2000 m²,Non,,400 kWh/m²,E,20181205004475,Non communiqué,25318 kWh/an,Électrique,Oui,Oui,Oui,,,525.000 €,2.100 €,Non,"chaussée de Liège 36
6900 - Marche-en-Famenne",,,,Non,,Non,wavrekangou,4,2,,,Non,,Connecté,30 m²,Sud,,,Non,,Non,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Selon le locataire,Brabant Wallon,,À rafraîchir,,2,Urbain,460 m²,Oui,,,5,,14 m²,11 m²,14 m²,15 m²,2,Non,,,Connecté,,211 kWh/m²,,C,20210518010207,39 kg CO₂/m²,20707 kWh/an,"Oui, conforme",Oui,Non,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",975.000 €,Oui,,"Place Communale 8
1160 - Auderghem",4319841,,,,Gaz,,Zone non inondable,,,,3,,,12 m²,Oui,,,,2,,,,Équipée,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Après la signature de l’acte,,1895,Excellent état,,2,,126 m²,42 m²,Oui,1,19 m²,3,16 m²,15 m²,14 m²,1,2,Oui,Non,,284 m²,4.8 m,48 m²,Sud-ouest,C,20210716015188,36 kg CO₂/m²,28397 kWh/an,"Oui, conforme",Oui,Oui,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",349.995 €,954 €,Non,"Rue d'Incourt 37
1315 - Opprebais",3776 - 4813,Américaine hyper-équipée,,21 m²,Gaz,,,,2,1,,,,,,Oui,,Oui,,,,,,,,,,,,,,,,,,Zone non inondable,,,,,,,,,,,,,,,194 kWh/m²,,,,,,,,,,,,,,,
66,2012,,Bon,4,,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,,,,Équipée,5,,Oui,,,,,,,1198 m²,,Connecté,,,C,20181220002174,Non communiqué,55255 kWh/an,Gaz,Non,Oui,Oui,Non,,450.000 €,,Non,"Chaussée de Bruxelles, 118
1300 - WAVRE",Sarah CLABOTS,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,Oui,,Oui,,,,,,,,Oui,Non,,,,,,,,,Oui,,,Non,,,,,,,,173 kWh/m²,,,,,,,,,,,,,,,,Non,"Visites SANS RDV les mercredis et samedis de 15h à 17h, du 11/08/21 au 04/09/21 inclus",Après la signature de l’acte,3.052 €,,,
67,1950,,À rafraîchir,2,,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,,,,2,,,1,,,,,Oui,Oui,520 kWh/m²,,,,,G,20210712005423,Non communiqué,70573 kWh/an,"Oui, pas conforme",Non,Oui,Non,Non,,265.000 €,,Non,"Chaussée de Bruxelles, 118
1300 - WAVRE",Olivier HACHEZ,,,,,Mazout,"Zone d'habitat (résidentiel, urbain ou rural)",,,,2,,,,,,,,,,,,Oui,Non,,,,,,,,,Oui,,,Non,,,,,,,,,,,,,,,,,,,,,,,,Non,Visites : 0474/070.380 - Jours de visite : les mercredis et samedis de 12h30 à 14h30 (du 11/08/21 au 04/09/21),Après la signature de l’acte,1.068 €,,,
68,Selon le locataire,,,À restaurer,,3,,,118 m²,24 m²,,Équipée,12 m²,3,10 m²,14 m²,16 m²,1,2,Oui,,Non,68 m²,,,408 kWh/m²,E,20150915002021,Non communiqué,Non communiqué,Gaz,Oui,,,,,240.000 €,560 €,Non,"Brusselsesteenweg 415
3090 - Overijse",,,,,,,4437954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Après la signature de l’acte,,2020,,,4,"Zone d'habitat (résidentiel, urbain ou rural)",,356 m²,42 m²,,Pas équipée,14 m²,4,26 m²,20 m²,15 m²,1,2,,,,700 m²,Oui,,Non communiqué,B,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,,,,598.000 €,,,"Chapelle des Anges 45
4890 - FROIDTHIER",,Oui,Ouest,,,,Mathieu,1,,1,14 m²,Oui,14 m²,Connecté,,Ouest,,,,Oui,,,,,,,,,,,,,,,,,,28 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,Bon,,4,,,122 m²,28 m²,,Équipée,,3,,,,1,2,,,Non,400 m²,,300 m²,305 kWh/m²,D,20170427025964,Non communiqué,Non communiqué,Mazout,Oui,,,,,310.000 €,,Non,"Av. Delleur 17
1170 - Watermael Boitsfort",1,,,Non,,,5319 - 281,1,1,,,,,,35 m²,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305,,
71,Après la signature de l’acte,,1970,À rafraîchir,,,,,210 m²,45 m²,,,12 m²,4,17 m²,16 m²,14 m²,1,2,,,Non,598 m²,Oui,,603 kWh/m²,G,Non communiqué,Non communiqué,120400 kWh/an,Mazout,Oui,,,,,400.000 €,,Non,"Venelle de la réserve 2
1300 - Wavre",1,Oui,Ouest,Non,,,4897 - 2831,2,2,1,,,12 m²,,,,,,,,,,,,,,,,,,,,,,,,,26 m²,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
72,Après la signature de l’acte,,,Excellent état,,3,,,220 m²,,,Américaine hyper-équipée,35 m²,4,,,,2,,Oui,Oui,Non,992 m²,Oui,,118 kWh/m²,B,20210806003442,Non communiqué,36130 kWh/an,,Oui,Oui,,,"Zone d'habitat (résidentiel, urbain ou rural)",650.000 €,1.058 €,Non,"Clos des Chêneaux 18A
1390 - Grez-Doiceau",,,,,,Non,4433305,,,,,,,Connecté,,,,,,,,,,,,,,,,,,,,,Non,,,,,Non,Non,Non,Oui,,,,,,,Oui,,,,,,,,,,,,,,,
73,Après la signature de l’acte,,1970,À rénover,,4,,160 m²,33 m²,1,,,,18 m²,18 m²,13 m²,12 m²,,Non,,,715 m²,Oui,Oui,,E,Non communiqué,Non communiqué,Non communiqué,Non,Oui,325.000 €,,,,,1.700 €,Non,"Venelle de la réserve 2
1300 - Wavre",5214 - 4999,5,,,Mazout,,,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,,,,,,,,,,,,,,,
74,Après la signature de l’acte,,1997,,,,,200 m²,42 m²,1,,10 m²,5,40 m²,21 m²,13 m²,8 m²,2,7 m²,,,443 m²,Oui,20 m²,,B,Non communiqué,Non communiqué,Non communiqué,Non,450.000 €,,,,,,Non,,"Venelle de la réserve 2
1300 - Wavre",4775 - 2862,Hyper équipée,,,Gaz,,,,3,2,,Oui,Non,7 m²,,Oui,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99 kWh/m²,,,,,,,,,,,,,,,
75,Après la signature de l’acte,,2020,,,4,"Zone d'habitat (résidentiel, urbain ou rural)",,474 m²,43 m²,,Pas équipée,14 m²,4,14 m²,13 m²,13 m²,1,3,,,,1374 m²,Oui,,Non communiqué,B,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,,,,646.000 €,,,"Chapelle des Anges 45
4890 - FROIDTHIER",,Oui,Est,,,,Mathieu,1,,1,,Oui,12 m²,Connecté,,,,,,Oui,,,,,,,,,,,,,,,,,,115 m²,,,,,,,,,,,,,,,,,,,87 m²,,,,,,,,
76,Après la signature de l’acte,,2021,,,3,"Zone d'habitat (résidentiel, urbain ou rural)",,494 m²,42 m²,,Pas équipée,26 m²,4,22 m²,21 m²,19 m²,1,2,,,,1580 m²,Oui,,Non communiqué,B,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,Oui,,,687.900 €,,,"Chapelle des Anges 45
4890 - FROIDTHIER",,Oui,Est,,,,Mathieu,1,,1,,Oui,14 m²,Connecté,,Est,,,,Oui,,,,,,,,,,,,,,,,,,81 m²,,,,,,,,,,,,,,,,,,,88 m²,,,,,,,,
77,Après la signature de l’acte,,,À rénover,,4,,,200 m²,,Oui,Hyper équipée,16 m²,3,13 m²,19 m²,,2,2,,,Non,,,,339 kWh/m²,D,2020121410327,Non communiqué,100669 kWh/an,Gaz,Oui,,,,,495.000 €,,Non,"AVENUE BRUGMANN 16
1060 - Bruxelles",,,,,,,,1,4,1,8 m²,Oui,,,,,,,,,,Oui,,,,,,,,,,,,,,4219753,31 décembre 2020 - 00:00,,Oui,Non,Non,Non,Oui,,,,,,,Oui,,,,,,,,,,,,,,,
78,Après la signature de l’acte,,1980,À rafraîchir,,4,,,200 m²,40 m²,,Équipée,12 m²,4,10 m²,10 m²,15 m²,2,,,Oui,,864 m²,Oui,,306 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,,550.000 €,,Non,"Chaussée de Collines 102
1300 - Wavre",,,,,,,,,2,,15 m²,Oui,16 m²,Connecté,,,,,,,,,,,,,,,,,,,,,,4507566,,,,,,Non,Oui,,,,,,,Oui,,,,,,,,,,,,,,,
79,,,,À rafraîchir,,4,,195 m²,Équipée,,,4,,1,,,,1,Oui,Non,,4188 m²,Oui,Oui,,G,202104080212,Non communiqué,Non communiqué,Non,800.000 €,,,,,,Oui,,"Venelle de la réserve 2
1300 - Wavre",5315 - 5051,,Sud-ouest,Oui,Mazout,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625 kWh/m²,,,,,,,,,,,,,,,,,,,,,,
80,Après la signature de l’acte,,,Bon,20 m,4,,,330 m²,35 m²,Oui,Américaine hyper-équipée,44 m²,6,46 m²,22 m²,20 m²,3,,Oui,Oui,Non,6614 m²,Oui,6000 m²,217 kWh/m²,C,20201124014854,40 kg CO₂/m²,71866 kWh/an,Gaz,Oui,,,Zone non inondable,,900.000 €,,Non,"Chaussée de Collines 102
1300 - Wavre",,,,,,,,1,2,2,20 m²,Oui,18 m²,Connecté,50 m²,,60 m,24 m²,,,,,,,,,,,,,,,,,,4451926,,,Oui,Non,Non,Oui,,,,,,,,Oui,,Oui,,,,,,20 m²,,,,,,,
81,À définir,,,,,2,,,145 m²,35 m²,,Américaine hyper-équipée,,3,12 m²,16 m²,16 m²,2,2,Oui,,Non,230 m²,Oui,,362 kWh/m²,E,20210817005599,70 kg CO₂/m²,57643 kWh/an,,Oui,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",Faire offre à partir de 300.000 €,870 €,Non,"Place Albert 1er, 20
1300 - Limal",,,,,,,4508952,1,,,10 m²,Oui,,Connecté,12 m²,,,,,,,,,,,,,,,,,,,,Non,,,,Oui,Non,,Non,,,,,,,,,,,,,,,,,,,,,,,
82,Après la signature de l’acte,,2021,,,4,"Zone d'habitat (résidentiel, urbain ou rural)",,401 m²,37 m²,,Pas équipée,16 m²,3,18 m²,16 m²,16 m²,1,2,,,,991 m²,Oui,,Non communiqué,B,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,,,,678.500 €,,,"Chapelle des Anges 45
4890 - FROIDTHIER",,Oui,Est,,,,Mathieu,2,,1,,Oui,,Connecté,,,,,,Oui,,,,,,,,,,,,,,,,,,60 m²,,,,,,,,,,,,,,,,,,,101 m²,,,,,,,,
83,À définir,,,Bon,,,,140 m²,Équipée,,,3,,Oui,,,,,Oui,Oui,Non,490 m²,Connecté,Oui,,B,20210331006291,Non communiqué,Non communiqué,Gaz,Non,360.000 €,,,,,Non,,"Chaussée de Bruxelles 2
1470 - Genappe",,,,,,,,,,1,,,,,Oui,,,,,2,,,,Oui,,,,,,,,,,,,,,,,,,,,170 kWh/m²,,,,,,,,,,,,,,,,,,,,,,
84,,,1987,À rafraîchir,,4,,195 m²,22 m²,Oui,12 m²,,3,16 m²,15 m²,15 m²,1,Oui,,Non,,Oui,,Oui,,G,20210408021261,Non communiqué,Non communiqué,Non,600.000 €,,,,,,Non,,"Venelle de la réserve 2
1300 - Wavre",5314 - 5050,,Sud-ouest,Oui,Mazout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625 kWh/m²,,,,,,,,,,,,,,,
85,Après la signature de l’acte,,,À restaurer,,4,"Zone d'habitat (résidentiel, urbain ou rural)",,2400 m²,,,,,,,,,,,,,,5900 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,,,,1.900.000 €,,Oui,"Rue Xavier De Bue 1
1180 - Uccle",,,,,,,,,,,,,,,500 m²,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,
86,Après la signature de l’acte,,,À rafraîchir,,2,,120 m²,35 m²,Équipée,,6 m²,3,13 m²,12 m²,11 m²,1,,Non,,,290 m²,Oui,,,D,Non communiqué,Non communiqué,Non communiqué,Non,Oui,250.000 €,,,,,530 €,Non,"Venelle de la réserve 2
1300 - Wavre",5165 - 4976,,Nord-ouest,25 m²,Gaz,,,,,,1,,,,,Non communiqué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,1989,Bon,20 m,4,,,295 m²,,,,,5,17 m²,14 m²,13 m²,3,2,,Oui,Non,5049 m²,Non,,205 kWh/m²,C,205,51 kg CO₂/m²,73128 kWh/an,,Oui,,,Zone non inondable,,900.000 €,10.042 €,Non,"Chaussée de Collines 102
1300 - Wavre",,,,,,,,,1,,,Oui,13 m²,,,,30 m,14 m²,,,,,,,,,,,,,,,,,,4536896,,,,,,Oui,Oui,,,,,,,Oui,,,,,,,,,,,,,,,
88,Après la signature de l’acte,,1971,À rénover,,2,,,144 m²,35 m²,,Semi-équipée,10 m²,3,15 m²,12 m²,10 m²,1,2,Oui,,Non,210 m²,,210 m²,435 kWh/m²,F,20210830008467,107 kg CO₂/m²,61518 kWh/an,Mazout,,,,,,349.000 €,1.923 €,Non,"Avenue de Mérode , 4
1330 - Rixensart",,,,,,,,1,1,,10 m²,Oui,,,8 m²,,,,,,,,,,,,,,,,,,,,,4452790,13 décembre 2021 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Après la signature de l’acte,,1984,Bon,,4,,,180 m²,29 m²,,Équipée,12 m²,3,10 m²,12 m²,13 m²,1,2,Oui,,Non,814 m²,,814 m²,598 kWh/m²,G,20210605007911,127 kg CO₂/m²,99960 kWh/an,Gaz,Oui,,,,,410.000 €,1.276 €,Non,"Avenue de Mérode , 4
1330 - Rixensart",,,,,,,,,5,,18 m²,Oui,,,30 m²,,,,,,,,,,,,,,,,,,,,,4499672,7 octobre 2021 - 00:00,,,Non,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,255 m²,,,,,4,,,,1,2,,,Non,3000 m²,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,650.000 €,,Oui,"Venelle de la réserve 2
1300 - Wavre",,,,Non,,,5561 - 5189,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Après la signature de l’acte,,,,,,,180 m²,30 m²,Hyper équipée,,13 m²,5,16 m²,14 m²,12 m²,11 m²,2,7 m²,Non,,220 m²,Oui,Oui,,D,Non communiqué,Non communiqué,Non communiqué,Non,Oui,400.000 €,,,,,Non,,"Venelle de la réserve 2
1300 - Wavre",4780 - 2866,,Ouest,34 m²,Gaz,,,,,,,Oui,Oui,10 m²,,295 kWh/m²,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Selon le locataire,,,Bon,,4,,120 m²,23 m²,Équipée,,17 m²,4,16 m²,16 m²,12 m²,10 m²,1,,,,Oui,,60 m²,,D,Non communiqué,Non communiqué,Non communiqué,Non,Oui,400.000 €,,,,,Non,,"Venelle de la réserve 2
1300 - Wavre",4191 - 2555,,,,Mazout,,,,,,Non,,,1,,293 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,1960,À rénover,,4,,,340 m²,,,,,6,,,,2,2,Oui,Oui,Non,52400 m²,,,459 kWh/m²,F,20210218014244,Non communiqué,123981 kWh/an,,,,,,,990.000 €,,Non,"Chaussée de Collines 102
1300 - Wavre",,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,4345644,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
94,À la livraison,,2021,Excellent état,,3,,,155 m²,,,,,4,,,,1,2,,,Non,1005 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,Oui,,,379.325 €,,Non,"Chaussée de Collines 102
1300 - Wavre",,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,4399944,,,,,,,,,,,,,,,,,,,,,,11 m²,,,,,,,
95,Après la signature de l’acte,,,Fraîchement rénové,,3,,,195 m²,26 m²,,Hyper équipée,13 m²,4,16 m²,15 m²,12 m²,1,2,Oui,Oui,Non,495 m²,Oui,400 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,,450.000 €,,Non,"Avenue de Mérode , 4
1330 - Rixensart",,,,,,,,,1,,12 m²,Oui,35 m²,Connecté,30 m²,,,,,,,,,,,,,,,,,,,,,4497979,7 septembre 2021 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,À définir,,1977,Bon,9.78 m,4,"Zone d'habitat (résidentiel, urbain ou rural)",140 m²,12 m²,Oui,Hyper équipée,9 m²,3,9 m²,12 m²,7 m²,1,1,40 m²,,,833 m²,17 m,,15 m²,E,20210810001432,64 kg CO₂/m²,52114 kWh/an,Gaz,Oui,Non,,,449.000 €,,2.213 €,Non,"Voie des Curassiers 5
1300 - wavre",4446481,,,,,,,,1,3,,,,,,347 kWh/m²,,690 m²,,,,,,,,,,,,,,,,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,
97,Immédiatement,,1830,Bon,,3,,,180 m²,,Oui,Équipée,,4,12 m²,12 m²,12 m²,2,2,Oui,Oui,Non,340 m²,Oui,230 m²,303 kWh/m²,D,20200913001872,Non communiqué,52703 kWh/an,Gaz,Oui,,,,"Zone d'habitat (résidentiel, urbain ou rural)",375.000 €,1.221 €,Non,,,,Ouest,,,Non,,,3,,,Non,16 m²,Connecté,15 m²,Ouest,,,Non,,Non,Oui,Non,,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,2015,Excellent état,,3,,,195 m²,31 m²,,Hyper équipée,7 m²,4,17 m²,14 m²,13 m²,2,3,,,,113 m²,Oui,,129 kWh/m²,B,20171128501419,Non communiqué,24958 kWh/an,Gaz,Oui,,,,,Faire offre à partir de 499.000 €,2.561 €,Non,"Avenue Reine Astrid 65
1300 - Wavre",,,,,,,4450447,2,,,,,12 m²,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,Oui,,,,,,,,,,,,,
