,À partir de,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Parkings extérieurs,Type d’environnement,Surface habitable,Salon,Salle à manger,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Dressing,Salles de bains,Toilettes,Buanderie,Bureau,Espace professionnel,Cave,Meublé,Porte blindée,Surface du terrain,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,"Eau, gaz & électricité",Surface du jardin,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Type de construction,Prix,Revenu cadastral,Immeuble de rapport,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Adresse,Année de construction,Parkings intérieurs,Visite virtuelle,Surface du salon,Combien de feux ouverts ?,Surface de l'espace professionnel,Surface de la cave,Surface du grenier,Orientation du jardin,Surface de la terrasse,Attestation de conformité des citernes à mazout,Obligation de construire,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Terrasse,Site internet,Raccordement à l'égout,Grenier,Surface de la chambre 4,Surface de la chambre 5,Surface de bureau,Surface constructible totale au sol,Salles de douche,Attestation as-built,Référence externe,Quartier ou lieu-dit,Niveau E (performance énergétique globale),Isolé,Nom de l'agent,Nombre d'annexes,Disponible le,Jardin,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Orientation de la terrasse,Nom du bien
143,À définir,Bon,,4,,,117 m²,,,,,2,,,,,1,,,,,,Non,Non,635 m²,,,,,,Oui,,,,,,,,,,,,,331 kWh/m²,D,20210629-0002435717-RES-1,Non communiqué,Non communiqué,Gaz,Non,Oui,Oui,Non,Oui,,299.000 €,,Non,Oui,Non,Non,Non,Zone non inondable,"Vrijheid 147
2320 - Hoogstraten",1968,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Connecté,,,,,,,,,,331,,,,,,,,,,,
144,Après la signature de l’acte,À restaurer,,4,,,1174 m²,,,Américaine équipée,,6,,,,,4,,,,,Oui,Non,,150150 m²,,,,,,Oui,,,,,,,,,,,,,624 kWh/m²,F,20210804-0002448010,Non communiqué,Non communiqué,,,,,,Oui,,1.175.000 €,,Non,Oui,Non,Non,Non,Zone non inondable,"Bredabaan 260
2930 - Brasschaat",1931,2,,,,,,,Nord,,,,Zone naturelle,Oui,34175 - TUR-21-GME-1,,,,,,,,Non,,,,,,,,Oui,,,,,,
145,Après la signature de l’acte,Bon,16 m,4,3,"Zone d'habitat (résidentiel, urbain ou rural)",285 m²,,,Équipée,15 m²,3,18 m²,15 m²,13 m²,Non,1,1,Oui,Non,Non,,Non,Non,819 m²,Non,Non,Non,Non,28 m,Oui,350 m²,,,,,,,,,,,,431 kWh/m²,E,0002421165,Non communiqué,Non communiqué,Gaz,Non,Non,Non,Non,Oui,Toutes sortes,409.000 €,,Non,Oui,Oui,Non,Non,,,1987,2,,38 m²,,,,100 m²,Nord,12 m²,,,,,,Connecté,,,,,,,,,,,,,,,,,,,,Nord,
146,,Excellent état,31 m,4,,Pays,Oui,Équipée,,4,,2,,,,,3,Non,,Oui,,Non,Non,Oui,50.5 m,,,,,Connecté,Oui,,,Non,Non,Oui,Non,,Oui,,,83 kWh/m²,,A,13023-G-2010/0105/EP11928/A525/D01/SD001,Non communiqué,Non communiqué,Oui,,,,,,Oui,440 m²,3.186 €,Non,"PARKLAAN 46
2300 - Turnhout",Villa,Non,Non,Zone non inondable,Parc résidentiel,04/8493,2012,2,750 m²,,,,,,Non,,,,999.000 €,,,Oui,,,,,Oui,,,,,,,,,,Sud-ouest,,,,,,
147,À définir,Fraîchement rénové,9 m,4,4,"Zone d'habitat (résidentiel, urbain ou rural)",324 m²,Oui,Oui,,,3,,,,Non,1,2,Oui,Oui,Oui,Oui,Non,Non,1014 m²,Non,Non,Non,Oui,16 m,Oui,1 m²,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,91 kWh/m²,A,20210915-0002464176-RES-1,Non communiqué,Non communiqué,Gaz,Non,Oui,Oui,Non,Oui,,490.000 €,,Non,Oui,,,Non,Zone non inondable,,1960,2,,,,,,,,104 m²,,,,,,Connecté,Oui,,,,,1,,,,,Oui,,1,,,,,,,,
148,,,26.6 m,4,,,69 m²,,,,2,2,,,,,3,Oui,,Oui,,Non,Non,Non,45 m,,,,,Connecté,Oui,,,Non,Non,Oui,Non,,Oui,,,352 kWh/m²,,D,20210707-0002438162-RES-2,Non communiqué,Non communiqué,Mazout,Oui,,,,,Oui,Oui,2.670 €,Non,"PARKLAAN 46
2300 - Turnhout",Villa,Non,Non,Parc résidentiel,,04/14107,1990,2,443 m²,28 m²,,,,,Non,,,,925.000 €,,,Non,,,,,,,,,,,,,,,Sud-ouest,,,,,,
149,Après la signature de l’acte,À rafraîchir,,4,2,,34 m²,,,Américaine semi-équipée,,1,,,,,1,1,,,,,Oui,,303 m²,,,,,,Oui,,,,,,,,,,,,,1045 kWh/m²,F,2468816,Non communiqué,Non communiqué,Gaz,,,,,,,59.000 €,118 €,Non,Oui,Oui,Oui,Non,Zone non inondable,"Retiesebaan 3
2460 - Kasterlee",1979,1,,,,,,,,,,,Zone de récréation et de séjour,Oui,4520543,Non connecté,,,,,,1,,,,,,,,,,,,,,,
150,Après la signature de l’acte,Excellent état,10 m,3,,Pays,246 m²,,,,,3,18 m²,16 m²,16 m²,Oui,1,2,Oui,Oui,,,Non,,886 m²,Oui,,,,15 m,Oui,,,,,,,,Oui,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,,Oui,,479.000 €,,,Oui,Oui,Non,Non,Zone non inondable,"Brugstraat 114
2960 - Sint Job In't Goor",2021,1,,50 m²,,,,,Sud-ouest,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Vorsselmans,Connecté,,,,15 m²,,,,,,,,,1,,Oui,,,,,Sud-ouest,De nachtegaal
151,Après la signature de l’acte,Excellent état,10 m,3,,"Zone d'habitat (résidentiel, urbain ou rural)",246 m²,,,,,3,18 m²,16 m²,16 m²,Oui,1,2,Oui,Oui,,,Non,,1016 m²,Oui,,,Oui,15 m,Oui,,,,,,Oui,,Oui,,,,,Non communiqué,Non communiqué,EPC gunstig volgens voorstudie,Non communiqué,Non communiqué,Gaz,,,,,Oui,,496.000 €,,,Oui,Oui,Non,Non,Zone non inondable,"Brugstraat 114
2960 - Sint Job In't Goor",2021,1,,50 m²,,,,,Sud-ouest,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Vorsselmans,Connecté,,,,15 m²,,,,,,,,,1,,Oui,,,,,Sud-ouest,de nachtegaal
152,,Bon,10 m,4,3,,160 m²,,,Équipée,12 m²,3,,,,,1,2,,Non,,,Non,Non,460 m²,,,,,30 m,Oui,300 m²,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,Oui,,368.000 €,,Non,Oui,,Non,Non,Zone non inondable,"Het Schoemeken 37
2970 - Schilde",,1,,30 m²,,,,,Est,24 m²,,,"Zone d'habitat (résidentiel, urbain ou rural)",,TK/0092,Connecté,,,,,112 m²,,,,,,,,,,,,,,,,
153,Après la signature de l’acte,,,3,,,,Équipée,,3,,1,,,,,Oui,,,,,Oui,,,Oui,,,,,,,,,,,,,,,,,,,E,20150119-0001722974-1,Non communiqué,Non communiqué,Gaz,Non,Oui,,,,,,857 €,Non,"Sint-Rochusstraat 3
2330 - Merksplas",Non,Zone non inondable,,,315.000 €,Christophe BAERT,1974,1,Oui,,,,,,Oui,,,,,406 kWh/m²,,,250 m²,,,,,,,,,,,,,,Sud-ouest,,,,,,
154,Après la signature de l’acte,,,4,,,,Oui,3,,,1,,,,,2,Oui,,Oui,,Oui,,,Oui,,,,,,,,,,,,,,,,,,,E,20210831-0002458578-RES-1,Non communiqué,Non communiqué,Gaz,Non,Oui,,,,Oui,,1.152 €,Non,"Bisschopslaan, 12
2340 - Beerse",Oui,Non,Zone non inondable,,340.000 €,Nancy MAES,1982,2,Oui,,,,,,,,,,,427 kWh/m²,,,836 m²,,,,,,,,,,,,,,,,,,,,
