,État du bâtiment,Nombre de façades,Surface habitable,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Salles de bains,Toilettes,Cave,Meublé,Surface du terrain,Largeur du terrain à rue,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Revenu mensuel actuel,Adresse,Référence externe,À partir de,Permis de bâtir obtenu,Autorisation de lotissement,Surface du salon,Dressing,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Pompe à chaleur,Double vitrage,Largeur de la façade à rue,Buanderie,Bureau,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Terrasse,Obligation de construire,Site internet,Parkings intérieurs,Surface de la cave,Surface du grenier,Surface de la terrasse,Année de construction,Accès sécurisé / alarme,Interphone vidéo,Type d’environnement,Disponible le,Espace professionnel,Porte blindée,Orientation de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Climatisation,Jacuzzi,Sauna,Piscine,Internet,Niveau E (performance énergétique globale),Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Salon,Salle à manger,Attestation de conformité des citernes à mazout,Combien de feux ouverts ?,Jardin,Visite virtuelle,Surface de la chambre 5,Nom du bien,Quartier ou lieu-dit,Parkings extérieurs,Surface de bureau,Surface de l'espace professionnel,Grenier,Salles de douche,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Surface constructible totale au sol,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Isolé,Pourcentage loué,Vue sur mer,Nombre d'annexes
129,Fraîchement rénové,2,194 m²,Équipée,19 m²,2,16 m²,16 m²,,,1,2,Oui,Non,,,411 kWh/m²,E,1733277-2,Non communiqué,Non communiqué,Non,Gaz,Non,Non,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",420.000 €,,Oui,700,"Keizerstraat 18B
2800 - Mechelen",1699127 - 345345889,,Oui,,,,,,,,,Oui,,,,,,,,,,,,,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Excellent état,1,115 m²,Équipée,14 m²,3,15 m²,15 m²,15 m²,,1,2,,Non,145 m²,4 m,207 kWh/m²,C,20210924-0002468229-RES-1,Non communiqué,Non communiqué,,Gaz,,,,,355.000 €,411 €,Non,,,,Après la signature de l’acte,Oui,,17 m²,Non,Connecté,Oui,,,Non,Oui,4 m,Oui,Non,Oui,Non,Non,Non,,,,,10 m²,,20 m²,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,Non,,Non,Non,Non,Oui,Non,Non,Non,Non,Non,,Non,Non,Non,Toutes sortes,,Oui,"Oui, conforme",,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,263 m²,,20 m²,3,23 m²,17 m²,16 m²,,1,2,,Non,155 m²,,246 kWh/m²,C,20210517-0002415914-RES-1,Non communiqué,Non communiqué,Non,Gaz,Oui,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",335.000 €,1.222 €,Non,,"Liersesteenweg , 394
2800 - Mechelen",,Après la signature de l’acte,Oui,,,,,,,,,,,,Oui,,,,,,,4108 - d6685,2,,,,1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Bon,3,,Équipée,16 m²,4,14 m²,13 m²,10 m²,,2,2,Oui,Non,141 m²,,455 kWh/m²,E,2414279,Non communiqué,Non communiqué,Non,Gaz,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",339.000 €,745 €,Oui,,"Keizerstraat 18B
2800 - Mechelen",1699098 - 345345947,Après la signature de l’acte,Oui,Non,27 m²,,,,,,,Oui,,,,,,,,,,,1,,,12 m²,1933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Bon,,175 m²,Équipée,7 m²,2,12 m²,14 m²,,,,1,Oui,Non,71 m²,,243 kWh/m²,C,20210325-0002392598-RES-1,Non communiqué,Non communiqué,Non,Gaz,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",299.500 €,889 €,Non,,"Mechelsesteenweg 35/A
2840 - Rumst",,,Oui,Non,55 m²,Non,Connecté,Oui,,,Non,Oui,,,,,,,,,,,,,,,,,,,31 décembre 2022 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Fraîchement rénové,2,127 m²,Hyper équipée,,3,16 m²,12 m²,11 m²,,1,2,,Non,60 m²,,115 kWh/m²,B,20210810-0002408349-RES-2,Non communiqué,Non communiqué,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",325.000 €,352 €,Non,,,,Après la signature de l’acte,,,,Non,Connecté,Oui,,,Non,Oui,4 m,Oui,Non,Oui,Non,Non,Oui,,,,,,,,,Non,Non,,,Non,Non,,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,Non,Non,Oui,,Oui,Oui,,,,,,,,,,,,1,,,,,60 m²,,,,,,,,,,,,
135,Excellent état,,100 m²,Hyper équipée,10 m²,3,10 m²,10 m²,8 m²,,,2,,Non,349 m²,,136.15 kWh/m²,B,1025-G-2012/0489/EP06796/A002/D01/SD001,Non communiqué,Non communiqué,Non,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",550.000 €,892 €,Non,,"Veemarkt 19
2800 - Mechelen",,À définir,Oui,Oui,40 m²,Non,Connecté,Oui,30 m²,Nord-ouest,Non,Oui,,,,,,,,,,,,,,15 m²,,,,,,,,Nord-ouest,,,,,,,,,,70,Oui,Oui,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
136,Fraîchement rénové,2,157 m²,Hyper équipée,8 m²,4,39 m²,19 m²,13 m²,11 m²,2,2,Oui,Non,306 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",399.000 €,627 €,Non,,"Houtestraat 62
2800 - Mechelen",,,Oui,,27 m²,,,,,Nord-ouest,,Oui,,,,,,,,,,1062 -,,,,,1935,,,,,,,,,,,,,,,,,,,,,,,Oui,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,2,Semi-équipée,4,,1,,,,,1,Oui,Non,75 m²,518 kWh/m²,,F,202103150002387662RES1,Non communiqué,Non communiqué,Non,Oui,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",199.000 €,431 €,Non,"Koningin Astridlaan 35
2800 - Mechelen",,3368 -,,,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,114 m²,,,,,,,,,,,,,,,,,,,,,,,,,
138,Bon,4,165 m²,Hyper équipée,,4,,,,,,1,Oui,Non,85 m²,,289 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,,,,,,329.000 €,352 €,Non,,"Mechelsesteenweg 35/A
2840 - Rumst",,À définir,,,,Non,Connecté,Oui,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
