,À partir de,Quartier ou lieu-dit,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Parkings extérieurs,Type d’environnement,Surface habitable,Surface du salon,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Toilettes,Surface de l'espace professionnel,Grenier,Meublé,Surface du terrain,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Double vitrage,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Dressing,Salles de bains,Bureau,Attestation de conformité des citernes à mazout,Type de chauffage,Pompe à chaleur,Permis de bâtir obtenu,Obligation de construire,Surface de la cave,Surface du grenier,Jardin,Orientation du jardin,Surface de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Piscine,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Lieu de la vente,Séance unique,Modalités de visite,Visite virtuelle,Salon,Cave,Mise à prix,Parkings intérieurs,Salle à manger,Salles de douche,Surface constructible totale au sol,Buanderie,Surface de bureau,Nom de l'agent,Attestation as-built,Combien de feux ouverts ?,Niveau E (performance énergétique globale),Disponible le,Orientation de la terrasse,Pourcentage loué,Revenu mensuel actuel,Référence externe,Isolé,Climatisation,Jacuzzi,Sauna,Internet,Charges mensuelles,Nombre d'annexes,Nom du bien
59,,,1956,Bon,,,,Urbain,127 m²,,Équipée,10 m²,2,12 m²,15 m²,,,,,,,Non,290 m²,,Connecté,Oui,,Oui,293 kWh/m²,C,20210906-0002460250-RES-1,Non communiqué,Non communiqué,Oui,Non,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",359.000 €,1.011 €,Non,"Galgstraat 87
1600 - St-Pieters-Leeuw",Kloosterbergstraat 3,Non,1,Oui,,Gaz,,Oui,Non,7 m²,19 m²,Oui,Sud,,,,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,1,Oui,,,,4 m²,,,,,,,,,,,,,,,,,
60,,,1969,Bon,,,,Urbain,130 m²,8 m²,,9 m²,2,15 m²,13 m²,,,,2,,,Non,500 m²,,Connecté,Non,,,482 kWh/m²,E,202106070002424551RES1,Non communiqué,Non communiqué,Oui,Non,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",375.000 €,1.497 €,Non,"Galgstraat 87
1600 - St-Pieters-Leeuw",Moeshovenierstraat 2,Non,1,Non,,Mazout,,Oui,Non,18 m²,15 m²,Oui,Nord,,,,,,,,,,,Non,Non,Non,Non,,,,Toutes sortes,,,,,,,,1,Oui,,144 m²,,,,,,,,,,,,,,,,,,,
61,,,1930,À rafraîchir,,,,Urbain,220 m²,52 m²,Semi-équipée,9 m²,4,11 m²,16 m²,10 m²,16 m²,,2,,,Non,243 m²,,Connecté,Oui,,,375 kWh/m²,D,20210812-0002450737-RES-1,Non communiqué,Non communiqué,Oui,Non,Oui,Non,Zone d'inondation reconnue,"Zone d'habitat (résidentiel, urbain ou rural)",320.000 €,857 €,Non,"Galgstraat 87
1600 - St-Pieters-Leeuw",Bergensesteenweg 31,Non,1,Non,,,,Oui,Non,19 m²,15 m²,,,,,,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,Oui,,253 m²,,,,,,,,,,,,,,,,,,,
62,,,1962,À rafraîchir,,,,Pays,167 m²,12 m²,Équipée,9 m²,4,15 m²,15 m²,9 m²,27 m²,,2,,,Non,2860 m²,,Connecté,Oui,,,280 kWh/m²,C,202104260002403670-RES-1,Non communiqué,Non communiqué,Oui,Non,,Non,Zone inondable potentielle,Zone agricole,479.000 €,1.699 €,Non,"Galgstraat 87
1600 - St-Pieters-Leeuw",Pepingensesteenweg 1,Non,1,Non,,Gaz,,Oui,Non,10 m²,,Oui,Nord-ouest,,Non,Non,Non,Non,Oui,Non,Non,,,Non,Non,Non,Non,,,,Toutes sortes,,,,,,,,1,Oui,,177 m²,,,,,,,,,,,,,,,,,,,
63,Après la signature de l’acte,,,À rénover,,4,6,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,5,24 m²,20 m²,13 m²,12 m²,12 m²,3,,,Non,1633 m²,,,Oui,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,650.000 €,,,"Rue Xavier De Bue 1
1180 - Uccle",,,2,Oui,,,,,,,,,,,,,,,,,,Oui,,,,Oui,Oui,,,,,,,,,Oui,Oui,,2,,1,,,,,,,,,,,,,,,,,,,,
64,,,1971,,,3,2,,191 m²,40 m²,,,4,,,,,,2,26 m²,,Non,220 m²,,Connecté,Oui,,Oui,529 kWh/m²,F,2459652,Non communiqué,Non communiqué,Oui,,,,,,398.000 €,1.638 €,Non,"Basiliekstraat 136
1500 - Halle",5318,,1,Non,,,,,,,,,,,,Non,Non,Oui,Oui,Non,Non,,Non,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,
65,,,1900,À rénover,,,,Pays,80 m²,37 m²,Pas équipée,,1,11 m²,,,,,,,,Non,1170 m²,,Non connecté,Oui,,,770 kWh/m²,F,20200725-0002295997-1,Non communiqué,Non communiqué,Non,Non,,Non,Zone d'inondation reconnue,Zone d'intérêt paysager,315.000 €,290 €,Non,"Galgstraat 87
1600 - St-Pieters-Leeuw",Oudenakenstraat 15C,Non,1,Non,,,,Oui,Non,,80 m²,Oui,Sud-est,,,,,,,,,,,Non,Non,Non,Non,,,,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,Excellent état,,,,Urbain,723 m²,43 m²,Équipée,15 m²,4,13 m²,26 m²,53 m²,18 m²,,3,,,Non,820 m²,,Connecté,Oui,,,222 kWh/m²,C,202104140002401124-res1,Non communiqué,Non communiqué,Oui,Non,,Non,Zone non inondable,,1.115.000 €,5.091 €,Non,"Galgstraat 87
1600 - St-Pieters-Leeuw",Albert Van Cotthemst,Non,1,Oui,,Gaz,,Oui,Non,,115 m²,,,,Non,Non,Non,Non,Oui,Non,Non,,,Non,Non,Non,Non,,,,,,,,,,,,,Oui,,,Oui,9 m²,,,,,,,,,,,,,,,,,
67,,,2019,,,,,,102 m²,,,,3,,,,,,,,,Non,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",290.000 €,1.324 €,Oui,"Volpestraat 18
1500 - Halle",2611 -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,
68,À la livraison,,,,,3,1,,161 m²,,,,3,,,,,,,,,,455 m²,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,466.197 €,,Non,"Kerkstraat, 38
1755 - Oetingen",4375854,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
69,À la livraison,,,Excellent état,,2,1,,149 m²,,,,3,,,,,,,,,Non,216 m²,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,379.395 €,,Non,"Kerkstraat, 38
1755 - Oetingen",4506810,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
70,À la livraison,,,,,3,1,,161 m²,,,,3,,,,,,,,,,361 m²,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,443.698 €,,Non,"Kerkstraat, 38
1755 - Oetingen",4375853,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
71,,,,,7.3 m,3,1,,160 m²,,,,3,,,,,,2,,,Non,360 m²,7.3 m,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,446.805 €,,Non,"Kerkstraat, 38
1755 - Oetingen",4437452,,1,,,Gaz,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,1,,,150 m²,,,,,,,,,,,,,,,,,,,
72,,,,,7.3 m,2,1,,159 m²,,,,3,,,,,,2,,,Non,363 m²,7.3 m,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,446.191 €,,Non,"Kerkstraat, 38
1755 - Oetingen",4443831,,1,,,Gaz,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,1,,,150 m²,,,,,,,,,,,,,,,,,,,
73,,,1995,,,4,4,,350 m²,,,,4,,,,,,2,,,Non,,,Connecté,Oui,,Oui,273 kWh/m²,C,20190805-0002183109-RES-1,Non communiqué,Non communiqué,Oui,,,Non,,,990.000 €,1.600 €,Non,"Ninoofsesteenweg 125
1670 - Pepingen",,,,Oui,,,,,,,,,,,,Non,Non,Non,Non,Non,Non,,Oui,,,,,,,,Villa,,,,,Oui,Oui,,1,,,,,,,,,,,,,,2021023,,,,,,,,
74,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",49.000 €,,Oui,"Volpestraat 18
1500 - Halle",2583 -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,
75,,,1969,Excellent état,7.8 m,,,,255 m²,76 m²,,21 m²,6,7 m²,15 m²,7 m²,15 m²,7 m²,,,,Non,300 m²,7.8 m,Connecté,Non,195 m²,,409 kWh/m²,E,20130912-0001441744-00000001-1,Non communiqué,Non communiqué,Oui,,,,,,649.000 €,2.890 €,Oui,"Bergensesteenweg 273
1600 - Sint-Pieters-Leeuw",,Non,3,Non,,Mazout,,,,,,,Ouest,,,,,,,,,,,Non,Non,Non,Non,,,,,,,,,,Oui,,,,,,,,,,,,,,,,Generaal Leman 26,,,,,,,,
76,Après la signature de l’acte,Sint-Pieters-Leeuw,1974,Bon,,3,,"Zone d'habitat (résidentiel, urbain ou rural)",129 m²,,Semi-équipée,12 m²,3,11 m²,16 m²,13 m²,,,2,,Oui,Non,337 m²,,Connecté,Oui,,,212 kWh/m²,C,20210506-0002411610-RES-1,Non communiqué,Non communiqué,Oui,,,,,,379.000 €,1.559 €,Non,"Winderickxplein 25
1652 - Alsemberg",,,1,,,Mazout,,,,,,,,5 m²,,,,,,,,,,,,,,,,,,,,,,,Oui,,1,,,,,,,,,,,,,,4347954,,,,,,,,
77,,,1966,,7 m,3,,,176 m²,44 m²,,10 m²,4,,,,,,,,,Non,516 m²,,Connecté,Oui,,Oui,664 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Non,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",375.000 €,1.194 €,Non,"Ninoofsesteenweg, 255
1700 - Dilbeek",,,1,,,Mazout,Non,Oui,,17 m²,,,,,,,,,,,,,Non,,,,,Non,Non,Non,,,,,,,,,,,,,,,,,,664,,,,,,,,,,,,,
78,Immédiatement,,1930,À rafraîchir,,2,,Urbain,150 m²,15 m²,Équipée,15 m²,4,,,,,,2,,,Non,310 m²,,Connecté,Oui,100 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,,350.000 €,931 €,Non,,,Non,1,Oui,,Gaz,Non,,,15 m²,15 m²,,,1 m²,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Oui,,,,,,,,,2,Oui,,,Oui,10 m²,,,,,,,,,,,Non,Non,Non,Oui,,,
79,,,1968,Excellent état,,,,,316 m²,,Semi-équipée,,,,,,,,,,,Non,316 m²,,Connecté,Oui,,,163 kWh/m²,B,20141127-0001711394-00000001-2,Non communiqué,Non communiqué,Oui,,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",879.000 €,,Oui,"Bergensesteenweg 273
1600 - Sint-Pieters-Leeuw",,Non,,Non,,Gaz,,,Non,,,Oui,Sud-ouest,,,,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,1084c,,,,,,,,
80,,,,Bon,,4,,,Oui,,,4,1,,,,,,,,,Non,Connecté,,Oui,361 kWh/m²,,,D,20211005-0002472655-RES-1,Non communiqué,Non communiqué,361,Villa,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",545.000 €,1.888 €,Non,"Alsembergsesteenweg 570
1653 - Dworp",,,,23 m²,Oui,Mazout,Non,Non,,,Non,,,,,,,,,,,,12 m²,394 m²,,,,,Non,Non,Oui,Non,,,,189 m²,,,,,11 m²,,,,Oui,,,,"Oui, conforme",,,,,,,,,,,,,
81,Après la signature de l’acte,,1967,À rafraîchir,,2,,,35 m²,Semi-équipée,14 m²,3,16 m²,12 m²,8 m²,1,,,Non,,,552 m²,5.8 m,Oui,,,,,F,20210629-0002435723-RES-1,Non communiqué,Non communiqué,Non,Non,,Zone inondable potentielle,,Zone agricole,255.000 €,650 €,Non,"Edingsesteenweg 341
1755 - Kester",2655 - 21/000049/506,,,1,,,Oui,,,,,,Ouest,15 m²,546 kWh/m²,,,,,,,,,,,,,,,,,,,,,130 m²,,,,1,,,,,,,Gaz,,,,,,,,,,,,,,,
82,Après la signature de l’acte,,2010,,,3,3,"Zone d'habitat (résidentiel, urbain ou rural)",190 m²,,Américaine hyper-équipée,,4,,,,,,2,,,Non,347 m²,,,Oui,1 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,,Zone non inondable,,450.000 €,1.451 €,Non,,,Non,1,Non,,Gaz,Non,,,,,,,1 m²,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Toutes sortes,,,,,Oui,,,1,Oui,,,Oui,,,,,,,,,,,,Non,Non,Non,Oui,,,
83,Après la signature de l’acte,Sint-Pieters-Leeuw,1986,À rafraîchir,,4,,,271 m²,48 m²,Équipée,32 m²,6,19 m²,25 m²,29 m²,19 m²,14 m²,2,,Oui,Non,855 m²,,,Oui,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Zone non inondable,,665.000 €,,Non,"Winderickxplein 25
1652 - Alsemberg",,,1,Oui,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,2,,1,,,11 m²,,,,,,,,,4512799,,,,,,,,
84,Après la signature de l’acte,,1974,,,3,,Isolé,132 m²,17 m²,Équipée,11 m²,3,17 m²,14 m²,12 m²,,,2,,Oui,Non,621 m²,,Connecté,Non,,Oui,531 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Oui,Non,,Non,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",390.000 €,1.395 €,Non,"Winderickxplein 25
1652 - Alsemberg",,,1,,,Mazout,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,1,Oui,,,,,,,,,,,,,4367277,,,,,,,,
85,,,1969,Bon,,4,,,207 m²,,,14 m²,4,,,,,,,,,Non,2610 m²,,Non connecté,Non,,,354 kWh/m²,D,20210905-0002460353-RES-1,Non communiqué,Non communiqué,Oui,Non,Non,Non,Zone non inondable,Zone d'intérêt paysager,660.000 €,1.068 €,Non,"Alsembergsesteenweg 570
1653 - Dworp",,,2,,"Oui, conforme",Mazout,Non,Oui,,34 m²,,,,,,Non,Non,,Oui,,,,Non,,,,,Non,Non,Non,Villa,,,,,,,,,Oui,,,,,,,,354,,,,,361,,,,,,,,
86,,,1930,À rafraîchir,,2,,,106 m²,,Pas équipée,13 m²,3,,,,,,,,,Non,120 m²,,Connecté,Oui,,,639 kWh/m²,F,20210713-0002441547-RES-1,Non communiqué,Non communiqué,Non,Non,Non,Non,Zone non inondable,Zone d'intérêt paysager,260.000 €,411 €,Non,"Alsembergsesteenweg 570
1653 - Dworp",,,1,,,,Non,,,24 m²,,,,10 m²,,,,,,,,,Non,,,,,Non,Non,Non,,,,,,,,,,,,,,,,,,639,,,,,346,,,,,,,,
87,,,1949,Fraîchement rénové,,2,,,66 m²,,,,1,,,,,,,,,Non,105 m²,,Non connecté,Oui,105 m²,,276 kWh/m²,C,20210117-0002357177-RES-1,Non communiqué,Non communiqué,Non,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",245.000 €,1 €,Non,"Alsembergsesteenweg 570
1653 - Dworp",,,1,,,,Non,,,,,,,11 m²,,,,,,,,,Non,,,,,Non,Non,Non,,,,,,,,,,,,,,,,,,276,,,,,311,,,,,,,,
88,,,1949,À rénover,,4,1,,195 m²,,,13 m²,4,,,,,,,,,Non,496 m²,,Non connecté,Oui,389 m²,,861 kWh/m²,F,20210211-0002360530-RES-1,Non communiqué,Non communiqué,Non,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",399.000 €,1.308 €,Non,"Alsembergsesteenweg 570
1653 - Dworp",,,2,,,,Non,,,,,,,19 m²,,,,,,,,,Non,,,,,Non,Non,Non,,,,,,,,,,,,,,,,,,861,,,,,309,,,,,,,,
89,,,2011,Excellent état,,3,3,,210 m²,39 m²,Équipée,11 m²,4,14 m²,12 m²,18 m²,17 m²,,2,,,Non,417 m²,,Connecté,Oui,161 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,,,,Zone non inondable,,470.000 €,1.723 €,Non,,,Non,1,Oui,,Gaz,Non,,,,,,Sud,24 m²,Non,Non,Non,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Toutes sortes,,,,,,,,1,Oui,,,,8 m²,,,1,,,Sud,,,,,Non,Non,Non,Oui,,,
90,Après la signature de l’acte,,1980,Excellent état,8.5 m,2,,,472 m²,77 m²,Équipée,11 m²,5,34 m²,23 m²,20 m²,17 m²,14 m²,4,,,Non,380 m²,8.5 m,Connecté,Oui,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,,,,Zone non inondable,,780.000 €,,Oui,"Winderickxplein 25
1652 - Alsemberg",,,4,,,Gaz,,,,,,,,,,Oui,Oui,Oui,,Oui,,,Oui,,,,,,,,,,,,,,Oui,,3,,4,,,,,,,,,,,,4512638,,,,,,,,
91,Après la signature de l’acte,,,À rénover,,3,1,,153 m²,50 m²,Pas équipée,16 m²,3,16 m²,13 m²,20 m²,,,2,4 m²,,Non,480 m²,,,Oui,300 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,,Zone inondable potentielle,,249.500 €,480 €,Non,,,Non,1,Non,,,Non,Oui,,,4 m²,,,56 m²,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,,,,,,,,,1,Oui,1,,Oui,,,,1,,,,,,,Oui,Non,Non,Non,Oui,,,
92,À définir,,,Excellent état,,4,6,,Hyper équipée,,5,,17 m²,11 m²,20 m²,10 m²,40 m²,2,8 m²,,,,Connecté,,Oui,,,91 kWh/m²,A,20210506-0002410709-RES-1,Non communiqué,Non communiqué,Oui,Faire offre à partir de 795.000 €,,,,,,Non,,"Rue de Mons 63
1480 - Tubize",4498572,,,2,547 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326 m²,,,,1,,3,,,Oui,,,,,,,,,,,,,,,,,
93,,,,,,4,,,147 m²,,,,4,,,,,,,,,Non,805 m²,,Non connecté,Non,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Non,Non,Non,Zone d'inondation reconnue,"Zone d'habitat (résidentiel, urbain ou rural)",570.900 €,,Non,"Alsembergsesteenweg 570
1653 - Dworp",,,1,,,,Non,Oui,,,,,,,,,,,,,,,Non,,,,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,4,,,,,,,,,Non,805 m²,13 m,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,,,Autre type de zone,498.121 €,,Non,"Avenue Paul Gilson, 49
1601 - Ruisbroek",9772,Non,,Non,Non,,Non,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,À définir,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,,Non,,,,,Non,"Kapelanielaan 9c
9140 - Temse",,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,1958,Excellent état,,,,,110 m²,28 m²,Hyper équipée,9 m²,3,14 m²,15 m²,6 m²,,,1,,,Non,199 m²,,Connecté,Oui,,,256 kWh/m²,C,20130328-0001339054-00000001-1,Non communiqué,Non communiqué,Oui,,,,,,339.000 €,1.016 €,Non,"Bergensesteenweg 273
1600 - Sint-Pieters-Leeuw",,Non,1,Non,,Gaz,,,,,,Oui,Sud,,,,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,1,,,,,,,,,,,,,,spir545,,,,,,,,
97,Après la signature de l’acte,,1998,Bon,19 m,4,,"Zone d'habitat (résidentiel, urbain ou rural)",378 m²,65 m²,Semi-équipée,18 m²,4,38 m²,23 m²,22 m²,14 m²,,2,,,Non,2665 m²,41 m,,Oui,,,232 kWh/m²,C,20210919-0002464195-RES-1,Non communiqué,Non communiqué,Oui,,,,Zone inondable potentielle,,749.000 €,3.351 €,Non,"Brusselsesteenweg 45
1500 - Halle",451 - 209,,1,,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,Non,1,,,,,,,,,,,,,,
98,,,1960,À rénover,,2,,,160 m²,,Semi-équipée,,3,,,,,,2,,,Non,298 m²,6.33 m,,,218 m²,,320 kWh/m²,D,Non communiqué,238 kg CO₂/m²,Non communiqué,,,,,,,329.000 €,,Non,"Blvd. G. Wahis 272 (place Meiser)
1030 - Schaerbeek",4196 - 2116,,,,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,2,,,,,Non,,,,,,,,,,,,,,,
99,,,1953,Bon,6.5 m,,,,116 m²,25 m²,,8 m²,3,11 m²,12 m²,8 m²,,,,,,,212 m²,,Connecté,Oui,40 m²,,456 kWh/m²,E,20210907-0002461138-RES-1,Non communiqué,Non communiqué,Oui,,,,,,325.000 €,961 €,Non,"Bergensesteenweg 273
1600 - Sint-Pieters-Leeuw",,Non,1,Non,,Gaz,,,,6 m²,,,Nord,,,,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,1,,,,,,,,,,,,,,Schockaertstraat 70,,,,,,,,
100,,,1970,Bon,8.5 m,,,,196 m²,,Équipée,7 m²,4,9 m²,19 m²,14 m²,10 m²,,,,,Non,495 m²,8.5 m,Connecté,Non,,,309 kWh/m²,D,20210723-0002444704-RES-1,Non communiqué,Non communiqué,Oui,,,,,,375.000 €,1.274 €,Non,"Bergensesteenweg 273
1600 - Sint-Pieters-Leeuw",,Non,1,Non,,Mazout,,,,,,Oui,Sud,,,,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,1,,,,,,,,,,,,,,Galg 135,,,,,,,,
101,,,1962,À rafraîchir,,2,,,107 m²,30 m²,Équipée,13 m²,2,20 m²,12 m²,,,,1,,Oui,,372 m²,,Connecté,Oui,,,494 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,,260.000 €,456 €,Non,"Chaussée de Waterloo 33
1060 - St-Gilles",,,1,Oui,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,1,,,7 m²,,,,,,,,,4404642,,,,,,,,
102,,,1930,À rafraîchir,5 m,,,,158 m²,,,21 m²,3,8 m²,20 m²,13 m²,,,,,,,224 m²,5 m,Connecté,Oui,156 m²,,362 kWh/m²,D,20210624-0002433389-RES-1,Non communiqué,Non communiqué,Oui,,,,,,285.000 €,1.025 €,Non,"Bergensesteenweg 273
1600 - Sint-Pieters-Leeuw",,Non,1,Non,,Gaz,,,,,,,Ouest,18 m²,,,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Victor Van Paepeghem,,,,,,,,
103,,,2001,Bon,,3,,,228 m²,37 m²,Équipée,15 m²,4,,,,,,3,18 m²,,Non,308 m²,,Connecté,Oui,,,203 kWh/m²,C,20210504-0002410501-RES-1,Non communiqué,Non communiqué,Oui,,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",539.000 €,1.678 €,Non,"Bergensesteenweg 89
1500 - Halle",IDB/0149/TK/09/2021,,1,Non,,,,Oui,,,,,,20 m²,,,,,,,,,Non,,,,,,,,Villa,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
104,,,1970,,6.5 m,,,,162 m²,34 m²,Équipée,8 m²,3,14 m²,16 m²,8 m²,,,1,,,,194 m²,,Connecté,Oui,,,349 kWh/m²,D,20210707-0002439132-RES-1,Non communiqué,Non communiqué,Non,,,,,,349.000 €,1.403 €,Non,"Bergensesteenweg 273
1600 - Sint-Pieters-Leeuw",,Non,1,Non,,Gaz,,,,,47 m²,Oui,Est,,,,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,1,,,,,,,,,,,,,,Burgemeesterstraat 3,,,,,,,,
105,,,1965,,14 m,,,,29 m²,Oui,16 m²,4,25 m²,17 m²,12 m²,9 m²,Oui,,13 m²,,,1051 m²,Non,Non connecté,Non,Oui,,667 kWh/m²,F,20150214--000173186-1--1,Non communiqué,Non communiqué,Mazout,Toutes sortes,,,,549.000 €,,2.600 €,Non,"Bergensesteenweg 273
1600 - Sint-Pieters-Leeuw",spir716,,2,2,40 m²,,Oui,,,Zone non inondable,Non,,Sud,Oui,,,,,,,,,,,Non,Non,Non,30 m,,,,Non,,,,380 m²,,,,1,Équipée,,,,Oui,,,,,,,,,,,,,,,,,
106,Après la signature de l’acte,,,À rénover,5.5 m,3,,,110 m²,20 m²,Pas équipée,9 m²,4,10 m²,11 m²,13 m²,15 m²,,2,,Oui,Non,150 m²,,Connecté,Oui,,,600 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,,275.000 €,518 €,Non,"Rue de Neerpede 235
1070 - Anderlecht",,,1,,,Gaz,,,,,,,,45 m²,,,,,,,,,,,,,,,,,,,,,,,Oui,,,Oui,,,,,,,,,,,,,4505807,,,,,,,,
107,,,1972,Bon,6 m,2,2,,108 m²,32 m²,,7 m²,3,,,,,,2,,,Non,163 m²,6 m,Connecté,Oui,,Oui,373 kWh/m²,D,20210902-0002459529-RES-1,Non communiqué,Non communiqué,Non,Non,Oui,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",339.000 €,1.383 €,Non,"Bergensesteenweg 89
1500 - Halle",RS/0145/TK/08/2021,,1,Non,,Gaz,,Oui,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,1,,,54 m²,,,,,,,,,,,,,,,,,,,
