,À partir de,Quartier ou lieu-dit,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Parkings extérieurs,Type d’environnement,Surface habitable,Surface du salon,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Toilettes,Surface de l'espace professionnel,Grenier,Meublé,Surface du terrain,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Double vitrage,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Dressing,Salles de bains,Bureau,Attestation de conformité des citernes à mazout,Type de chauffage,Pompe à chaleur,Permis de bâtir obtenu,Obligation de construire,Surface de la cave,Surface du grenier,Jardin,Orientation du jardin,Surface de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Piscine,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Lieu de la vente,Séance unique,Modalités de visite,Visite virtuelle,Salon,Cave,Mise à prix,Parkings intérieurs,Salle à manger,Salles de douche,Surface constructible totale au sol,Buanderie,Surface de bureau,Nom de l'agent,Attestation as-built,Combien de feux ouverts ?,Niveau E (performance énergétique globale),Disponible le,Orientation de la terrasse,Pourcentage loué,Revenu mensuel actuel,Référence externe,Isolé,Climatisation,Jacuzzi,Sauna,Internet,Charges mensuelles,Nombre d'annexes,Nom du bien
39,Après la signature de l’acte,Galmaarden,1987,Bon,11.4 m,4,,Isolé,161 m²,36 m²,Hyper équipée,16 m²,4,15 m²,10 m²,7 m²,15 m²,,,,,,594 m²,33 m,Connecté,,,,379 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Oui,Oui,Non,Non,Zone non inondable,Zone d'extension d'habitat,385.000 €,1.006 €,Non,"Ninoofsesteenweg 84
1750 - Lennik",4406126,,1,,,Gaz,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,
40,Après la signature de l’acte,,1919,À rénover,12 m,4,8,Pays,223 m²,35 m²,Semi-équipée,25 m²,4,17 m²,14 m²,11 m²,10 m²,,1,,Oui,Non,1400 m²,30.95 m,,Oui,,Oui,728 kWh/m²,F,20171020-0002004085-1,Non communiqué,Non communiqué,Oui,Non,Non,Non,Zone non inondable,Zone d'extension d'habitat,298.000 €,1.060 €,Non,"Stationstraat 32
9400 - Ninove",4319451,,1,Oui,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,1,Oui,1,400 m²,,,,Non,,,,,,,,,,,,,,,
41,À définir,,,Bon,9 m,3,,Centre commercial,130 m²,17 m²,Semi-équipée,13 m²,2,23 m²,15 m²,,,,2,,,Non,130 m²,,Connecté,Oui,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,,,Non,Zone non inondable,,245.000 €,711 €,Oui,,,Non,1,Non,"Oui, conforme",Mazout,Non,Oui,,12 m²,27 m²,,,25 m²,,,,,,,,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Toutes sortes,,,,,,,,,Oui,,130 m²,Oui,,,,,,,Nord,100,650,,,,,,,,,
42,,,1966,,8.2 m,3,2,,157 m²,29 m²,Équipée,15 m²,4,13 m²,14 m²,13 m²,13 m²,,1,,,Non,720 m²,14 m,Non connecté,Non,,,673 kWh/m²,F,20210823-0002454951-RES-1,Non communiqué,Non communiqué,Non,Oui,,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",315.000 €,726 €,Non,"Repingestraat, 32
1570 - Galmaarden",TK/21/0043,,1,Non,,,,Oui,,21 m²,,Oui,Sud-ouest,10 m²,,,,,,,,,Non,,,,,,,,,,,,,,,,1,,,110 m²,,,,,,,,,,,,,,,,,,,
43,,,,,8.5 m,2,1,,,32 m²,Pas équipée,12 m²,3,18 m²,17 m²,14 m²,,,2,,,Non,132 m²,8.5 m,Connecté,Non,,,969 kWh/m²,F,20210823-000245926-RES-1,Non communiqué,Non communiqué,Non,,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",219.000 €,535 €,Non,"Repingestraat, 32
1570 - Galmaarden",TK/21/0041,,1,Oui,,Mazout,,Oui,,19 m²,,,,22 m²,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Après la signature de l’acte,Vlaams-Brabant,1960,Excellent état,6.17 m,3,3,"Zone d'habitat (résidentiel, urbain ou rural)",130 m²,30 m²,Américaine hyper-équipée,8 m²,2,15 m²,22 m²,,,,2,,,Oui,250 m²,9.47 m,Connecté,Oui,70 m²,,396 kWh/m²,D,20200917-0002316365-RES-1,396 kg CO₂/m²,Non communiqué,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",410.000 €,944 €,Non,"Hollebeekstraat 163A
1630 - Linkebeek",4369967,,2,,,Gaz,,,,,,,,10 m²,,Non,Non,,,Oui,Non,,,,,,,,,,,,,,,,Oui,,1,Oui,,62 m²,,,,,,,1 août 2021 - 00:00,,,,,,,,,,,,
45,,,1931,Bon,,3,2,,127 m²,,,,4,,,,,,2,,,Non,230 m²,,Connecté,Oui,,,394 kWh/m²,D,20210929-0002470429-RES-1,Non communiqué,Non communiqué,Oui,Oui,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",300.000 €,702 €,Non,"Minderbroedersstraat 8
1500 - Halle",TK/2021/0056,,1,Non,,Gaz,,Oui,,8 m²,,,,,,,,,,,,,Non,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,
46,Après la signature de l’acte,,1935,Bon,,2,,,110 m²,32 m²,Équipée,,3,,,,,,1,,,Non,110 m²,,,,,Oui,286 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,,339.000 €,356 €,Non,"Postweg 119
1602 - Vlezenbeek",,,1,,,Gaz,,,,,,Oui,Ouest,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,Non,,,,,,,1699 - 6826827,,,,,,,,
47,Après la signature de l’acte,,1899,À rénover,,4,,,314 m²,30 m²,Semi-équipée,12 m²,4,15 m²,14 m²,12 m²,11 m²,,,,,Non,2994 m²,,,Oui,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,,,,Zone non inondable,,410.000 €,627 €,Non,"Alsembergsesteenweg 660
1653 - Dworp",6653 - 3306,,1,,,Mazout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,Oui,,,,,,Non,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,Oui,Non,,,,,Oui,"Damstraat 131 bus1
9800 - St-Martens-Leerne",,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
