,À partir de,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Surface habitable,Surface du salon,Surface de la cuisine,Chambres,Salles de bains,Meublé,Porte blindée,Surface du terrain,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Niveau E (performance énergétique globale),Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Référence externe,Permis de bâtir obtenu,Visite virtuelle,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Combien de feux ouverts ?,Type de cuisine,Surface de la chambre 1,Surface de la chambre 2,Dressing,Toilettes,Buanderie,Bureau,Espace professionnel,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Surface de la terrasse,Orientation de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Type de construction,Surface constructible totale au sol,Salle à manger,Surface de la cave,Terrasse,Attestation de conformité des citernes à mazout,Surface de la chambre 3,Surface du grenier,Attestation as-built,Site internet,Surface de bureau,Surface de l'espace professionnel,Surface du jardin,Orientation du jardin,Nombre d'annexes,Cave,Salles de douche,Isolé,Jardin,Obligation de construire,Surface de la chambre 4,Quartier ou lieu-dit,Salon,Grenier,Nom de l'agent,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Disponible le,Revenu mensuel actuel,Surface de la chambre 5
73,Après la signature de l’acte,1964,À rénover,,4,,,,4,1,Non,,796 m²,,,,900 kWh/m²,F,20210623-0002432766-RES-1,Non communiqué,Non communiqué,,,Non,,,,Non,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",295.000 €,,Non,"Pastoor Mellaertstraat 60
2220 - Heist-op-den-Berg",spir1169,Oui,,1,3,,,Équipée,,,Non,2,,Non,,,,,,,,,,,,,,,,,,,,,,,,Non,,,Non,,,,,,,,,,,Non,,,,,,,,,,,,
74,À la livraison,2007,Bon,,4,260 m²,36 m²,17 m²,4,1,Non,,1069 m²,,,,118 kWh/m²,B,20200924-0002319218-RES-1,Non communiqué,Non communiqué,,Gaz,Non,,,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",589.000 €,1.471 €,Non,"Mechelbaan 500
2580 - Putte",,Oui,,1,3,,,Équipée,26 m²,15 m²,Oui,2,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,Non,15 m²,,Non,spir1811,,,,Nord-est,,,,,Oui,Non,12 m²,,,,,,,,,,,
75,À définir,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,Oui,Non,Non,Zone non inondable,,,,Non,"Bogaardenstraat 10
2220 - Heist-op-den-Berg",,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hoog Beerzel,,,,,,,,,,
76,,1970,À rafraîchir,,,,,,Non,1,1687 m²,,Non,,Non,445 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Gaz,,Non,,,,,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",469.000 €,Non,,"Dorpsstraat 34 Bus 1
2590 - Berlaar",SV 2757,,Toutes sortes,Équipée,,,,,3,,,1,Non,,Non,,Non,Non,Non,Non connecté,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,
77,Après la signature de l’acte,2019,Excellent état,11 m,4,242 m²,32 m²,24 m²,3,1,Non,,1112 m²,17 m,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Non,,,,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",845.000 €,1.481 €,Non,"Mechelbaan 500
2580 - Putte",,Oui,,1,2,,,Équipée,15 m²,16 m²,Oui,2,Oui,Oui,,,,,,,,Non,Non,Non,Non,Oui,,Non,,,Non,,,,Oui,,,Non,16 m²,,Non,spir1818,13 m²,,,Nord-est,,,,,Oui,Non,,,,,,,,,,,,
78,Après la signature de l’acte,2020,Excellent état,,3,28 m²,Oui,,15 m²,2,492 m²,,Oui,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Non,Non,Oui,,,,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",542.000 €,Non,,"Mechelbaan 500
2580 - Putte",spir1742,,Non,220 m²,,1,,,3,17 m²,17 m²,1,Oui,Non,Non,,,,,,Non communiqué,,,,,,,,,,,,,,,Équipée,,,Gaz,Non,,15,,,,,9 m²,,,,,Sud,Oui,,,,,,,,,,,,
79,Après la signature de l’acte,2020,Excellent état,,3,28 m²,Oui,,15 m²,2,492 m²,,Oui,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Non,Non,Oui,,,,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",489.000 €,Non,,"Mechelbaan 500
2580 - Putte",spir1741,,Non,220 m²,,1,,,3,17 m²,17 m²,1,Oui,Non,Non,,,,,,Non communiqué,,,,,,,,,,,,,,,Équipée,,,Gaz,Non,,15,,,,,9 m²,,,,,Sud,Oui,,,,,,,,,,,,
80,,,À rénover,,,Oui,,,Non,Non,,,Non,Non connecté,Non,429 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Non,,,,,,,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",275.000 €,Non,,"Dorpsstraat 34 Bus 1
2590 - Berlaar",2768 IR-ND,,Non,162 m²,2,,,,,,,1,,,789 m²,,Non,Non,Non,11.5 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,4,,,,,,,,,
81,Après la signature de l’acte,1978,Bon,,4,,20 m²,,3,1,Non,,640 m²,16 m,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Mazout,Non,,,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",349.000 €,676 €,Non,"Mechelbaan 500
2580 - Putte",,Oui,,2,5,,,Équipée,14 m²,8 m²,Non,1,Oui,Non,,,,,,,,,,,,,,,,,,,,,Oui,,,"Oui, conforme",8 m²,,Non,spir1738,,,,Ouest,,,,,Oui,Non,,,,,,,,,,,,
82,,,Excellent état,,,,12 m²,2,15 m²,Oui,,,,,Oui,42 m²,E,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,,,,,Oui,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",529.000 €,1.028 €,Non,"Dorpsstraat 34 Bus 1
2590 - Berlaar",2811 - TB01,,Toutes sortes,40 m²,1,,,,,14 m²,Non,1,,Non,21 m²,,Non,Non,Non,Non connecté,437 kWh/m²,,,,,,,,,,,,,Non,,,72 m²,,,,Non,,,,,,,,,,,,Non,,,,,,,,,,,,
83,3,,,,1,2,,,1954 m²,1107 kWh/m²,,,F,,,,20210713-0002441230-RES-1,Non communiqué,Non communiqué,Zone non inondable,140.000 €,,,,,,,,,,,679 €,,,"Hoogstraat, 86
2580 - Beerzel",Veerle VAN CAMPENHOUT,,,,4,227 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,"nl :
vanaf 28/8 op zat. van 10u-12u",Après la signature de l’acte,Non,,,
84,Bon,,4,,4,,,,2480 m²,,,,Oui,,,,D,20180402-0002046595-1,Non communiqué,Non communiqué,Oui,,,,,,,,Non,Zone non inondable,,240.000 €,,,Oui,"Mechelbaan, 452
2580 - PUTTE (MECHELEN)",Gerrit GILLIS,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307 kWh/m²,,,,,Ouest,,,,,,,Non,"nl :
Iedere woensdag van 18u tot 20u en iedere zaterdag van 14u tot 16u, en dit vanaf zaterdag 4 september 2021 tot en met woensdag 29 september 2021.",Après la signature de l’acte,3.213 €,,,
85,À la livraison,2019,Excellent état,,3,224 m²,72 m²,,3,1,Non,,551 m²,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Non,,,,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",344.000 €,,Non,"Mechelbaan 500
2580 - Putte",,Oui,,1,2,,,Équipée,15 m²,14 m²,Non,2,Oui,Oui,,,,,,24 m²,,,,,,,,,,,,,,,Oui,,,Non,14 m²,,Non,spir940,13 m²,,,Sud-ouest,,,1,,Oui,Non,,,,,,,,,,,,
86,À la livraison,2018,Excellent état,,3,,,,3,1,Non,,478 m²,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Non,,,,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",274.000 €,,Non,"Mechelbaan 500
2580 - Putte",,Oui,,1,,,,Pas équipée,,,Non,2,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,spir718,,,,Sud,,,,,Oui,Non,,,Oui,,,,,,,,,
87,,,,,,,17 m²,4,28 m²,2,,,,,Oui,Oui,B,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,,,Oui,Non,Non,Zone d'inondation reconnue,"Zone d'habitat (résidentiel, urbain ou rural)",1.750.000 €,Non,,"Dorpsstraat 34 Bus 1
2590 - Berlaar",SS 2752,,Toutes sortes,46 m²,1,,,,,27 m²,24 m²,1,16 m²,,Non,,Non,Non,Non,Non connecté,,,,,,,,,,,,,,Non,,,,180 kWh/m²,,22 m²,,,,Oui,,,Oui,,,,,Nord-ouest,Non,Non,,,,,,,,,,,
88,,1987,Bon,,4,Équipée,,,1,1,1310 m²,,Oui,,,Oui,F,20210621-0002432039-RES-1,Non communiqué,Non communiqué,Non,,Oui,,,,,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",499.000 €,1.254 €,Non,"Mechelbaan 509
2580 - Putte",4519 - RAPPOORTLAAN,,Oui,211 m²,4,5,,,3,,,,Oui,,Oui,,,,,,,,,,608 kWh/m²,,,,,,,,,,,,,Oui,,,,Électrique,,,,,Oui,,Non,,,Sud,,,,,,,,,,,,,
89,Après la signature de l’acte,2004,Excellent état,18 m,4,270 m²,21 m²,19 m²,3,1,Non,Non,2864 m²,31 m,Connecté,Oui,294 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,Mazout,Non,Oui,Non,Non,Oui,,,,Zone non inondable,,698.000 €,1.635 €,Non,,,Oui,,1,4,"Zone d'habitat (résidentiel, urbain ou rural)",,Équipée,20 m²,20 m²,Non,2,Oui,Non,Non,Oui,Non,Non,Oui,113 m²,Sud-ouest,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Toutes sortes,,Oui,,,"Oui, conforme",11 m²,,,,,11 m²,2000 m²,Sud-ouest,,,,,,,,,,,,,,,,,,
90,Après la signature de l’acte,1961,Bon,,4,179 m²,,,3,1,Non,,902 m²,,,,783 kWh/m²,F,20210924-0002466410-RES-4,Non communiqué,Non communiqué,,Mazout,Non,,,,Oui,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",448.000 €,,Non,"Zoetewei 14
2861 - OLV Waver",310,,,,5,,,Hyper équipée,,,Non,1,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,Ouest,,,,,Oui,Non,,,,,,,,,,,,
91,À définir,1950,Excellent état,8 m,2,58 m²,Oui,4,24 m²,3,382 m²,,8 m,Connecté,Oui,84 m²,C,20210318-0002389558-RES-1,Non communiqué,Non communiqué,Gaz,,Oui,,,,,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,455.000 €,988 €,Non,"Oudstrijderslaan 38
3140 - Keerbergen",3973860,,198 m²,292 m²,1,,Urbain,,44 m²,15 m²,18 m²,,Oui,,,,,,,,248 kWh/m²,,,,,,,,,,,,,,Non,Équipée,,,,14 m²,,,,,,29 m²,,,Oui,,,,,3,,,Non,,,,,,,,
92,,1965,Bon,,4,164 m²,,,3,1,Non,,270 m²,,,,724 kWh/m²,F,20210615-0002429576-RES-1,Non communiqué,Non communiqué,,Gaz,Non,,,,Oui,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",375.000 €,,Non,"Zoetewei 14
2861 - OLV Waver",264,,,1,3,,,Hyper équipée,,,Non,2,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,Ouest,,,,,Oui,Non,,,,,,,,,,,,
93,À définir,1993,Bon,,4,234 m²,,,4,1,Non,,1055 m²,,,,191 kWh/m²,B,20210813-0002451193-RES-1,Non communiqué,Non communiqué,,Mazout,Non,,,,Oui,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",545.000 €,,Non,"Zoetewei 14
2861 - OLV Waver",305,,,,,,,Hyper équipée,,,Non,2,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,Sud-ouest,,,,,Oui,Non,,,,,,,,,,,,
94,,1997,Bon,,4,72 m²,Oui,3,70 m²,4,3388 m²,,33.49 m,Connecté,Non,Oui,B,20190621-0002171858-RES-1,Non communiqué,Non communiqué,Mazout,,Oui,,,,,Oui,,Zone non inondable,,1.148.000 €,,3.468 €,Non,"Oudstrijderslaan 38
3140 - Keerbergen",4421626,,363 m²,588 m²,2,10,Urbain,,44 m²,13 m²,21 m²,,30 m²,,Oui,,,,,,,,,Oui,,,Oui,,Non,,,169 kWh/m²,,,Non,Américaine équipée,,Oui,,2,,,,Oui,,,,,Oui,,,,,,,,Non,,,,,,,,
95,,,,,4,304 m²,,,4,2,Non,,3010 m²,,,Oui,357 kWh/m²,D,20210405-0002397055-RES-1,Non communiqué,Non communiqué,,Gaz,,,,,Oui,Oui,Non,Non,Zone d'inondation reconnue,"Zone d'habitat (résidentiel, urbain ou rural)",549.000 €,,Non,"Mechelbaan 509
2580 - Putte",,,,4,8,Isolé,,Équipée,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,Non,4471 - GALEISTRAAT P,,,,Nord-ouest,,,,,Oui,,,,,,,,,,,,,
96,À définir,1980,À restaurer,32 m,8,,,,4,1,Non,Non,1600 m²,32 m,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Non,Non,Non,Non,Oui,,,,Zone non inondable,Zone résidentielle récréative,728.000 €,,Oui,,,Oui,,,,Paysage,1,Équipée,10 m²,32 m²,Non,1,Oui,Non,Non,Oui,Non,Non,Non,30 m²,Ouest,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,,,,,,,,"Oui, conforme",,,,500 m²,Ouest,,Oui,1,,,,,,Oui,Oui,,,,,,,3450,
97,,,À rénover,,3,,,,4,,,,180 m²,,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,,,,75.000 €,317 €,,"Provincieweg 243
9550 - Herzele",,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,12 m²,12 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 m²,,,,,,,,,,,,,,12 m²,,,,,,,,,,,
98,Après la signature de l’acte,1989,Excellent état,12 m,4,245 m²,27 m²,18 m²,2,1,,,675 m²,18 m,Connecté,Oui,272 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,Oui,Oui,Non,Non,Zone non inondable,Zone d'extension d'habitat,499.000 €,1.474 €,Non,"Hallaarstraat 51B
2222 - Heist op den Berg",,Oui,,1,4,Isolé,,Hyper équipée,30 m²,21 m²,,2,,Oui,,,,,,,,,,,,Oui,,,,,,,,,Oui,,Oui,,,,,4426553,,,,,,Oui,,,,,,,,Oui,,,,,,,,
99,À définir,,À rafraîchir,,,175 m²,28 m²,20 m²,2,,Non,,650 m²,,Connecté,Oui,898 kWh/m²,F,20190331-0002146411-RES-1,Non communiqué,Non communiqué,,Mazout,Non,,,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",289.000 €,,Non,"Veemarkt 19
2800 - Mechelen",,Oui,,,1,,,Semi-équipée,8 m²,9 m²,Non,2,,,,,,,,,Est,,,,,,,,,,,,,,,,Oui,,,,Non,,,,,Est,,,,,Oui,,,,,Oui,,,,,,,,
100,Après la signature de l’acte,1978,Bon,12 m,4,42 m²,Américaine hyper-équipée,3,17 m²,2,,,20 m,Connecté,Non,Oui,F,20210215-0002373689-RES-1,Non communiqué,Non communiqué,"Oui, conforme",,Oui,,,,,Oui,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",420.000 €,1.301 €,Non,"Haachtsebaan 119
3140 - Keerbergen",4375080,,105 m²,194 m²,2,4,Isolé,,16 m²,17 m²,18 m²,,Oui,,,,,,,,,,,,,,525 kWh/m²,,,,,,,,Non,,,Oui,Mazout,2,,,,,,,,,820 m²,,,,,,,,,,,,,,,,
101,Après la signature de l’acte,1956,Bon,,3,,27 m²,11 m²,3,1,Non,,651 m²,,Connecté,Oui,423 kWh/m²,E,20210909-0002461962-RES-2,Non communiqué,Non communiqué,,Gaz,,,,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",345.000 €,,Non,"Schrieksebaan 51
3120 - Tremelo",,Oui,,,4,Isolé,,,14 m²,14 m²,,1,,Oui,,,,,,,,,,,,,,,,,,,,,,,Oui,,10 m²,,,4501253,9 m²,,,,,Oui,1,,,,,,,Oui,,,,,,,,
102,,1970,Bon,,2,,,,,,Non,,331 m²,,,Non,228 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,Mazout,,,,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",600.000 €,,Oui,"Hallaarstraat 51B
2222 - Heist op den Berg",,Oui,,3,,Urbain,,Équipée,,,,,,,,,,,,,,,Non,,Oui,,,,,,,,,,,,,,,,,4513416,,,,,,Oui,,,,,,Putte en deelgemeenten,,,,,,,,,,
103,,1968,Excellent état,,,Oui,,,Non,Non,,,Non,Non connecté,Oui,246 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,,,,,Toutes sortes,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",598.500 €,Non,,"Dorpsstraat 34 Bus 1
2590 - Berlaar",2476IR,,,256 m²,2,,Pays,,3,,,1,,,3300 m²,,Non,Non,Non,30.3 m,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,Non,,,Équipée,,,,,,,,,
104,À définir,,Excellent état,30 m,4,31 m²,Oui,6,16 m²,4,,,Oui,,,Oui,B,2455422,Non communiqué,Non communiqué,"Oui, conforme",,,,,Oui,,Oui,,Zone non inondable,,Zone agricole,1.650.000 €,Non,,"Haachtsebaan 119
3140 - Keerbergen",4450463,,Oui,463 m²,1,8,Isolé,,27 m²,13 m²,15 m²,,28 m²,,26 m²,,,,,,,,,,,,,,,,,153 kWh/m²,,,,Hyper équipée,32 m²,Oui,Oui,18 m²,17200 m²,,,Oui,,,,,,,,,,18 m²,,,,,,,,,,,4
105,À la livraison,2021,,10 m,4,255 m²,66 m²,,4,2,Non,,517 m²,,Connecté,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,Oui,,Non,Non,Zone non inondable,,455.000 €,,Non,"Schrieksebaan 51
3120 - Tremelo",,Oui,,,1,Urbain,,,25 m²,12 m²,,2,,Oui,,,,,,,,,,,,,,,,,,,,125 m²,,,,,14 m²,,,4425283,20 m²,,,,,,2,,,,9 m²,,,,,,,,,,,
106,,,,,,Oui,,4,14 m²,2,,,Non,,Oui,Oui,Non communiqué,in opmaak,Non communiqué,Non communiqué,Gaz,,Oui,,,,,Oui,Non,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",469.000 €,Non,,"Dorpsstraat 34 Bus 1
2590 - Berlaar",2640 TB,,Non,160 m²,,,,,12 m²,16 m²,9 m²,1,Non,,600 m²,,Non,Non,Non,Non connecté,Non communiqué,,,,,,,,,,,,,,,Hyper équipée,,,,10 m²,,,,,,,12 m²,,,,,Nord-est,Non,Non,,,,,,,,,,,
107,À définir,2021,,9.6 m,3,178 m²,50 m²,,5,1,,,392 m²,14 m,Connecté,Oui,Non communiqué,Non communiqué,op te leveren,Non communiqué,Non communiqué,,,,,,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",315.000 €,,Non,"Hallaarstraat 51B
2222 - Heist op den Berg",,Oui,,,3,Urbain,,,16 m²,12 m²,,2,,Oui,,,,,,,,,,,,,,,,,,,,,,,Oui,,17 m²,,,4491042,10 m²,,,,,,,,,,13 m²,Putte en deelgemeenten,,,,,,,,,,
108,À définir,,Excellent état,,,,,,4,,Non,,739 m²,,Connecté,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Non,,,,,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",424.100 €,,Non,"Mechelsesteenweg 35/A
2840 - Rumst",,,,,,,,Hyper équipée,,,Non,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,
109,Après la signature de l’acte,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,Oui,Non,Non,,,,,Oui,"Theofiel De Biestraat 11
2220 - Heist-op-den-Berg",,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,À la livraison,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,Oui,,Non,,,,,Oui,"Italiëlei 207
2000 - Antwerpen",,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,Oui,,,,,,,Non,"A. Stocletlaan 195
2570 - Duffel",,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Berlaar NB,,,,,,,,,,Non,,,,,,,,,,,,
112,À la livraison,2021,,,3,118 m²,,,2,1,Non,,,,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,20,,,,,,Oui,Oui,,Non,Zone non inondable,,325.000 €,,Non,"Italiëlei 207
2000 - Antwerpen",,Oui,,,,,,Américaine hyper-équipée,,,,1,,,,,,,,17 m²,,,,,,,,Oui,,,,,,,,,,,,,Non,39855 - NWB-21-JBE-1,,,48 m²,,,,,,,,,,,,,,,,,,,
113,À la livraison,2021,,,3,135 m²,,,3,1,Non,,,,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,20,,,,,,Oui,Oui,,Non,Zone non inondable,,365.000 €,,Non,"Italiëlei 207
2000 - Antwerpen",,Oui,,,,,,Américaine hyper-équipée,,,,1,,,,,,,,17 m²,,,,,,,,Oui,,,,,,,,,,,,,Non,39856 - NWB-21-JBE-1,,,47 m²,,,,,,,,,,,,,,,,,,,
114,À la livraison,2021,,,3,156 m²,,,3,1,Non,,,,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,20,,,,,,Oui,Oui,,Non,Zone non inondable,,399.000 €,,Non,"Italiëlei 207
2000 - Antwerpen",,Oui,,,,,,Américaine hyper-équipée,,,,1,,,,,,,,18 m²,,,,,,,,Oui,,,,,,,,,,,,,Non,39857 - NWB-21-JBE-1,,,58 m²,,,,,,,,,,,,,,,,,,,
115,Après la signature de l’acte,1963,Fraîchement rénové,,3,188 m²,,,5,1,Non,,500 m²,,,,236 kWh/m²,C,20210308-0002384041-RES-1,Non communiqué,Non communiqué,,Gaz,Non,,,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",335.000 €,726 €,Non,"Mechelbaan 500
2580 - Putte",,Oui,,,3,,,Équipée,,,Non,1,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,Non,,,Non,spir1764,,,,Sud,,,,,Oui,Non,,,Oui,,,,,,,,,
116,Après la signature de l’acte,1960,Bon,,2,,,,2,1,Non,,465 m²,,,,479 kWh/m²,E,20121124-0001256552-00000003-7,Non communiqué,Non communiqué,,Gaz,Non,,,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",259.000 €,228 €,Non,"Mechelbaan 500
2580 - Putte",,Oui,,2,1,,,Équipée,,,Non,1,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,Non,,,Non,spir1771,,,,Sud-est,,,,,Oui,Non,,,Oui,,,,,,,,,
117,,,À rafraîchir,5 m,,28 m²,6 m²,2,12 m²,Oui,,,Non,Non connecté,Oui,Oui,F,Non communiqué,Non communiqué,Non communiqué,Non,,,,,,,Oui,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",269.000 €,376 €,Non,"Dorpsstraat 34 Bus 1
2590 - Berlaar",2789,,Non,144 m²,,,,,,16 m²,Non,1,,12 m²,5 m²,,Non,Non,Non,10 m,,,,,,,,,,,,,,,,,26 m²,,,,567 m²,,,Oui,,,692 kWh/m²,,,,,Nord-ouest,Non,,,,,,,,,,,,
118,Après la signature de l’acte,,Bon,,2,146 m²,,,3,1,Non,,130 m²,,,,265 kWh/m²,C,20120920-0001211564-00000003-3,Non communiqué,Non communiqué,,Gaz,Non,,,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",295.000 €,580 €,Non,"Mechelbaan 500
2580 - Putte",,Oui,,,,,,Équipée,,,Non,1,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,Non,,,Non,spir1795,,,,Nord-ouest,,,,,Oui,Non,,,Oui,,,,,,,,,
119,1968,À rafraîchir,4,,1,,,,1280 m²,683 kWh/m²,,,F,,,,20200513-0002268734-RES-1,Non communiqué,Non communiqué,Oui,Non,,,,,,,,Zone non inondable,180.000 €,,711 €,,,"Spijker 2
2910 - Essen",Lynn VANDERMAST,,,Non,Oui,Oui,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,Équipée,,,Non,"nl :
zat. van 10u-12u, vanaf zat. 25/9 tot zat. 9/10",Après la signature de l’acte,Non,,,
120,,2003,Excellent état,,4,404 m²,,,5,2,,,3566 m²,,Connecté,Oui,169 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,Oui,,,Oui,Non,Non,Non,Zone d'inondation reconnue,"Zone d'habitat (résidentiel, urbain ou rural)",1.495.000 €,,,"Hovestraat 19
2650 - Edegem",,Oui,,,,,3,Hyper équipée,,,Oui,,Oui,Oui,,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,,,,Engel & Völkers Antwerpen-Zuid,,,,Sud,2,,,,Oui,,,,,Oui,,,,,,,,
