,À partir de,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Surface habitable,Surface du salon,Surface de la cuisine,Chambres,Salles de bains,Meublé,Porte blindée,Surface du terrain,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Niveau E (performance énergétique globale),Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Référence externe,Permis de bâtir obtenu,Visite virtuelle,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Combien de feux ouverts ?,Type de cuisine,Surface de la chambre 1,Surface de la chambre 2,Dressing,Toilettes,Buanderie,Bureau,Espace professionnel,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Surface de la terrasse,Orientation de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Type de construction,Surface constructible totale au sol,Salle à manger,Surface de la cave,Terrasse,Attestation de conformité des citernes à mazout,Surface de la chambre 3,Surface du grenier,Attestation as-built,Site internet,Surface de bureau,Surface de l'espace professionnel,Surface du jardin,Orientation du jardin,Nombre d'annexes,Cave,Salles de douche,Isolé,Jardin,Obligation de construire,Surface de la chambre 4,Quartier ou lieu-dit,Salon,Grenier,Nom de l'agent,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Disponible le,Revenu mensuel actuel,Surface de la chambre 5
46,Après la signature de l’acte,1951,Bon,6 m,3,290 m²,,,5,2,Non,,1146 m²,9 m,,Oui,619 kWh/m²,F,20200919-0002317208-RES-1,Non communiqué,Non communiqué,,Gaz,,,,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",399.000 €,,Oui,"Theofiel De Biestraat 11
2220 - Heist-op-den-Berg",,Oui,,2,,,,Semi-équipée,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,Non,38958 - HEI-21-AVC-0,,,,Nord-ouest,,,,,Oui,,,,,,,,,,,,,
47,À définir,1976,Bon,,3,132 m²,,,3,,Non,,698 m²,,,Oui,439 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",410.000 €,,Non,"Theofiel De Biestraat 11
2220 - Heist-op-den-Berg",,Oui,,,,,,Semi-équipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,Non,39505 - HEI-21-FVD-1,,,,Est,,,,,Oui,,,,,,,,,,,15 mai 2022 - 00:00,,
48,Après la signature de l’acte,,À rénover,,3,112 m²,,,2,1,Non,,22843 m²,,,Oui,774 kWh/m²,F,20211004-0002472117-RES-1,Non communiqué,Non communiqué,,Gaz,,,,,,Non,Non,Non,Zone non inondable,Zone d'habitat mixte (habitat & activité économique),520.000 €,,Non,"Korenmarkt 55
2800 - Mechelen",,Oui,,,,,,Semi-équipée,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,39010 - MEC-21-BQU-0,,,22600 m²,Ouest,,,,,,,,,,,,,,,,,,
49,Après la signature de l’acte,,Bon,,3,154 m²,,,3,1,Non,,372 m²,,,Oui,679 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,Oui,Non,Oui,Non,Zone d'inondation reconnue,"Zone d'habitat (résidentiel, urbain ou rural)",349.000 €,,Non,"Theofiel De Biestraat 11
2220 - Heist-op-den-Berg",,Oui,,2,4,,,Semi-équipée,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,Oui,"Oui, pas conforme",,,Non,38964 - HEI-21-FVD-1,,,,,,Oui,,,,,,,,,,,,,,,,
50,Après la signature de l’acte,,À rénover,10 m,2,194 m²,,10 m²,3,1,Non,,272 m²,11 m,,Oui,398 kWh/m²,D,20200621-0002284632-RES-1,1000 kg CO₂/m²,Non communiqué,,Gaz,,,,,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",349.000 €,,Non,"Schoolstraat 58
2820 - Bonheiden",,Oui,,1,,,,,20 m²,20 m²,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,13 m²,,Non,115 - 21/07/05,,,96 m²,Nord-ouest,,Oui,,,,,,,,,,,,,,,,
51,À définir,,Excellent état,6 m,3,240 m²,,,5,2,Non,Non,450 m²,,,Oui,221 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,Gaz,Non,Non,Non,Non,Oui,,,Non,Zone non inondable,,437.000 €,848 €,Non,,,,,1,4,"Zone d'habitat (résidentiel, urbain ou rural)",,Équipée,,,Oui,2,Oui,Non,Non,Non,Non,Non,Non,,,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,,,Oui,,,,,40 m²,,,,,204 m²,Sud-ouest,,,,Oui,,,,,Oui,,,,,,,,,
52,Après la signature de l’acte,1982,Excellent état,7.5 m,3,228 m²,,,3,1,,,813 m²,9.7 m,Connecté,Oui,399 kWh/m²,D,20210708-0002438881-RES-1,Non communiqué,Non communiqué,,Électrique,,,,,Oui,,,,,,475.000 €,1.925 €,Non,"Emile Vanderveldelaan 1
2845 - Niel",,,,1,3,,,Américaine hyper-équipée,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500879,,,,,,Oui,,,,,,,,Oui,,,,,,,,
53,À définir,,À rénover,,,,,,2,,,,,,,,1085 kWh/m²,F,20210325-0002392844-RES-1,Non communiqué,Non communiqué,,,,,,,,Non,Non,,Zone non inondable,,695.000 €,572 €,Non,"Liersesteenweg, 55
2570 - Duffel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vicky BOGAERTS,,,,,,,
54,Après la signature de l’acte,1968,Bon,5 m,2,160 m²,32 m²,,2,1,Non,,161 m²,,,,321 kWh/m²,D,000238973-RES-1,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,Non,,Zone d'inondation reconnue,,299.000 €,696 €,Non,"Britselei 42
2000 - Antwerpen",,,,2,,,,Équipée,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,10215 - 3596282,,,80 m²,Nord-est,,,,,,,,,,,,,,,,,,
55,Après la signature de l’acte,1990,,11 m,4,240 m²,39 m²,23 m²,4,1,Non,,540 m²,17 m,,Oui,291 kWh/m²,C,20210511-0002414071-RES-1,Non communiqué,Non communiqué,,Gaz,,,,,Oui,Non,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",445.000 €,1.422 €,Non,"Kiliaanstraat 38
2570 - Duffel",1542 - 1615,,,1,4,,,Équipée,20 m²,20 m²,,2,,Oui,,,,,,25 m²,,,,,,,,,,,,,,,,13 m²,,,20 m²,,Non,,12 m²,,180 m²,Nord-ouest,,,,,,,12 m²,,,,,,,,,,,
56,Après la signature de l’acte,1978,Bon,,4,233 m²,,,4,1,Non,,1118 m²,,,,283 kWh/m²,C,20200621-0002284631-RES-1,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",539.000 €,1.465 €,Non,"Koningin Astridlaan 35
2800 - Mechelen",,Oui,,2,4,,,Équipée,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,2736 -,,,,,,,,,,,,,,,,,,,,,,
57,Après la signature de l’acte,,À rafraîchir,7 m,2,100 m²,44 m²,,2,1,Non,,,,,,533 kWh/m²,F,20200729-0002298486-RES-1,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,,,Zone non inondable,,269.900 €,617 €,Non,"Britselei 42
2000 - Antwerpen",,,,6,,,,Équipée,,,,1,,,,,,,,29 m²,,,,,,,,,,,,,,,,,,,,,Non,9911 - 3596098,,,,,,Oui,,,,,,,,,,,,,,,,
