,À partir de,État du bâtiment,Surface habitable,Surface du salon,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Dressing,Toilettes,Cave,Grenier,Meublé,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Jardin,Orientation du jardin,Terrasse,Orientation de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Pompe à chaleur,Double vitrage,Type de zone inondable,Prix,Immeuble de rapport,Adresse,Année de construction,Largeur de la façade à rue,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface de la chambre 4,Salles de bains,Salles de douche,Largeur du terrain à rue,Accessible aux personnes avec un handicap,Accès sécurisé / alarme,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Revenu cadastral,Site internet,Panneaux photovoltaïques,Panneaux solaires,Type d’environnement,Salle à manger,Combien de feux ouverts ?,Surface de bureau,Bureau,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Concierge,Ascenseur,Parlophone,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Chauffe-eau commun,Type de construction,Surface de la terrasse,Buanderie,Surface du grenier,Isolé,Surface du jardin,Attestation de conformité des citernes à mazout,Surface constructible totale au sol,Procédure pour violation de la réglementation urbanistique,Attestation as-built,Référence externe,Quartier ou lieu-dit,Salon,Mise à prix,Nom de l'agent,Surface de la cave,Visite virtuelle,Surface de la chambre 5,Séance unique,Modalités de visite,Niveau E (performance énergétique globale),Pourcentage loué,Revenu mensuel actuel,Disponible le,Obligation de construire,Surface de l'espace professionnel,Lieu de la vente
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,Bon,180 m²,,,,3,,,,,,,,Non,1075 m²,Connecté,Non,,,,,452 kWh/m²,E,20211007-0002473959-RES-1,Non communiqué,Non communiqué,Mazout,,Oui,Zone non inondable,435.000 €,Non,"Grote Markt 16
1800 - Vilvoorde",1971,,4,2,10,,,,,,,,Non,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",1.680 €,,,,,,,,Non,,Non,,,,,,,,,,,,,,,Bungalow,,,,,,,,Non,,,,,,,,,,,,,,,,,,
12,Immédiatement,Bon,177 m²,30 m²,Pas équipée,16 m²,3,35 m²,15 m²,14 m²,,2,Oui,,,216 m²,Connecté,Oui,,,,,380 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,,Oui,,310.000 €,Non,"Hendrik I Lei 22
1800 - VILVOORDE",,5.75 m,3,,,,,,6.75 m,,,,,,,689 €,4356311,,,,Oui,,,,,,,,,,,,,,,,,,,,,60 m²,,,,,,177 m²,,,,Vlaams Brabant,,,,,,,,,,,,,,,
13,,,,,,,Oui,,,,,,,,Non,Non,621 m²,Connecté,,,,,Oui,276651 kWh/m²,F,23081-G-2007-348/EP02064/E154/D02/SD001,Non communiqué,Non communiqué,,Gaz,Non,"Zone d'habitat (résidentiel, urbain ou rural)",465.000 €,Non,,,Bon,3,,,4,,,,,Oui,,,Zone non inondable,,"Mouterij 8 bus 003
3190 - Boortmeerbeek",,,,,,,1,,Non,,,,,,,,,,,,,,,,,,,,,,,Oui,,102/21,,1,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992,210 m²,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,À définir,Excellent état,Hyper équipée,4,,,,,Non,2,Oui,Non,1218 m²,,Oui,,Non communiqué,Non,Non,Oui,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Connecté,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,Bon,,,4,165 m²,Oui,Semi-équipée,15 m²,16 m²,,13 m²,2,Non,5.75 m,Oui,,,,,,,,,,,,,12 m²,2,18 m²,180 m²,100 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1930,,,,3,Sud-est,,,,,,,,,,,,,,,,
18,,,,,,,,Après la signature de l’acte,Excellent état,2,,,199 m²,,,28 m²,Américaine hyper-équipée,,,,,,4,25 m²,14 m²,9 m²,6 m²,Oui,,150 m²,,Connecté,32 m²,241 kWh/m²,,,,,,Isolé,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,23 m²,,,,,,,,,Non communiqué,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,Non,,,,,"nl :
zat. 9/10, 16/10 en 23/10 van 14u-16u en woe. 13/10 en 20/10 van 18u-20u",,Après la signature de l’acte,1978,2,1,Oui,Équipée,3,,160 kWh/m²,,Non communiqué,Non communiqué,,,,,,,,,,,,1,171 m²,Oui,,20210914-0002464147-RES-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,Gaz,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,Non,,"nl :
zat. 02/10, 09/10, 16/10 van 14u-16u.",Après la signature de l’acte,1931,2,2,,,,1,,193 m²,Oui,,,,,,,,,,,,,,1,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Non communiqué,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Après la signature de l’acte,Excellent état,165 m²,40 m²,Hyper équipée,10 m²,3,16 m²,16 m²,6 m²,,,,,,,,,,,,,443 kWh/m²,E,20190930-0002200015-RES-1,Non communiqué,Non communiqué,Électrique,,Oui,,399.000 €,Non,"Rue de Laeken 91
1000 - Bruxelles",1972,,2,1,2,,1,1,,,,,,,,1.145 €,,,,,,,,Oui,,,,,,,,,,,,,,,,,,80 m²,,,,,,,,,798/17419,,,,,,,,,,,,,,,,
23,Après la signature de l’acte,À rafraîchir,,,,,3,,,,,2,Oui,Oui,,288 m²,Connecté,Oui,,,,,523 kWh/m²,F,20210929-0002470216-RES-1,52 kg CO₂/m²,Non communiqué,Gaz,,Oui,Zone non inondable,350.000 €,,"Schoolstraat 101
1745 - Opwijk",1960,,3,1,2,,1,,,,,,,,,1.214 €,Erika Heylen,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bon,1,120 m²,Équipée,,,,,,,,,,,,,,,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961,,1,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15 janvier 2022 - 00:00,1,2,,,,,,,,,,,,,,,,2004,203 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,À rafraîchir,3,1,,3,,133 m²,,,,,Hyper équipée,6 m²,3,15 m²,13 m²,7 m²,,1,489 m²,Oui,492 kWh/m²,E,,,,,,,Immédiatement,1961,,,,1,1,Oui,,30 m²,2392087,,,,,,,,,,,,,,,,,,,,,,,,,32 m²,,,,,,,Oui,,Non communiqué,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,À définir,Bon,1,1,300 m²,Équipée,5,Oui,,,3,,Oui,Oui,Non,2121 m²,Connecté,Oui,Oui,Non communiqué,,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,,,,,,,,Non communiqué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Après la signature de l’acte,Excellent état,298 m²,45 m²,Hyper équipée,10 m²,4,10 m²,16 m²,16 m²,Oui,3,,,Non,313 m²,Connecté,Oui,,,,,231 kWh/m²,C,20211006-0002473675-RES-1,231 kg CO₂/m²,Non communiqué,Gaz,Non,Oui,Zone non inondable,495.000 €,Non,,1976,7 m,3,4,1,25 m²,2,,10 m,Non,Oui,,,,,,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,1,,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Toutes sortes,,,,,,,,,,,,,,,55 m²,,,,,,,,,,,
32,Après la signature de l’acte,À rénover,120 m²,28 m²,Pas équipée,4 m²,3,20 m²,13 m²,10 m²,,1,Oui,,Non,109 m²,,,,,Oui,,543 kWh/m²,F,20121016-0001228251-00000004-8,Non communiqué,Non communiqué,Gaz,,,Zone non inondable,315.000 €,Non,"Brusselsesteenweg 65
1850 - Grimbergen",1931,5 m,2,,,,1,,,,,,,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",361 €,1816705 - VKM-2021-0,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,30 m²,,,,Non,,,,,,,,,,,,,,,,,
33,,,,,,,,,,À définir,Bon,3,1,,170 m²,48 m²,Équipée,20 m²,3,11 m²,11 m²,8 m²,Non,2,Oui,Non,305 m²,Connecté,Oui,Oui,Nord-est,Oui,416 kWh/m²,E,,,,,,,,,,,,,,,,Nord-est,20210928-0002469979-RES-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
