,À partir de,État du bâtiment,Surface habitable,Surface du salon,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Dressing,Toilettes,Cave,Grenier,Meublé,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Jardin,Orientation du jardin,Terrasse,Orientation de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Pompe à chaleur,Double vitrage,Type de zone inondable,Prix,Immeuble de rapport,Adresse,Année de construction,Largeur de la façade à rue,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface de la chambre 4,Salles de bains,Salles de douche,Largeur du terrain à rue,Accessible aux personnes avec un handicap,Accès sécurisé / alarme,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Revenu cadastral,Site internet,Panneaux photovoltaïques,Panneaux solaires,Type d’environnement,Salle à manger,Combien de feux ouverts ?,Surface de bureau,Bureau,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Concierge,Ascenseur,Parlophone,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Chauffe-eau commun,Type de construction,Surface de la terrasse,Buanderie,Surface du grenier,Isolé,Surface du jardin,Attestation de conformité des citernes à mazout,Surface constructible totale au sol,Procédure pour violation de la réglementation urbanistique,Attestation as-built,Référence externe,Quartier ou lieu-dit,Salon,Mise à prix,Nom de l'agent,Surface de la cave,Visite virtuelle,Surface de la chambre 5,Séance unique,Modalités de visite,Niveau E (performance énergétique globale),Pourcentage loué,Revenu mensuel actuel,Disponible le,Obligation de construire,Surface de l'espace professionnel,Lieu de la vente
45,Après la signature de l’acte,Bon,150 m²,53 m²,Équipée,23 m²,2,13 m²,8 m²,,,2,,,Non,102 m²,,,,,,,180 kWh/m²,B,20130610-0001386893-00000001-0,Non communiqué,Non communiqué,Gaz,,Oui,Zone non inondable,299.000 €,Non,"Verbindingsweg 41
1880 - Kapelle-op-den-Bos",2013,,2,1,,,1,,,,,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",745 €,465 - LONKER,,,,,,,,,,,,,,,,,,,,,,,,,19 m²,,,,,,,Non,Non,,,,,,,,,,,,,,,,,
46,,Fraîchement rénové,105 m²,,Équipée,26 m²,3,16 m²,16 m²,11 m²,,2,,,Non,233 m²,,,Oui,Ouest,,,397 kWh/m²,D,20210801-0002446949-RES-1,Non communiqué,Non communiqué,Gaz,,,,294.000 €,Non,"Valkebeekstraat 24
1861 - Wolvertem",1933,,,,,,,1,,,,,,,,356 €,343 - V21LON/058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,Après la signature de l’acte,,,,,1940,,Fraîchement rénové,2,100 m²,Semi-équipée,7 m²,18 m²,,12 m²,,10 m²,2,Non,,,,,,,,,,,,,,,,1,65 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Oui,,,,,,,,,,,,,,,,
48,,Bon,45 m²,Équipée,26 m²,6,12 m²,12 m²,17 m²,17 m²,,91 m²,,,417 m²,11.53 m,Oui,35 m²,,,,,E,2450885,Non communiqué,Non communiqué,Gaz,Oui,,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",862 €,"Stationstraat 79
1861 - Wolvertem",4514846,1969,,2,1,,17 m²,2,,Connecté,Non,,Non,Non,Non,395.000 €,Non,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,Oui,,,,,,468 kWh/m²,,,,Oui,,Non,,,,,Zone non inondable,,,,,,,,360 m²,1,,,,,,,,,
49,,1966,2,181 m²,37 m²,Semi-équipée,24 m²,4,20 m²,18 m²,,2,2,,Oui,Non,,656 m²,,,Oui,,Oui,1021 kWh/m²,F,20210823-0002454867-RES-1,Non communiqué,"Oui, conforme",,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",810 €,Non,,,À rénover,,,17 m²,9 m²,,,,,Mazout,Oui,Non,Zone non inondable,395.000 €,"Mechelsestraat 20
1840 - Londerzeel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,Non,Non communiqué,1412 - 1889,,,,,,,,,,,,,,,,
50,,À rafraîchir,198 m²,42 m²,Équipée,,4,16 m²,15 m²,12 m²,,,,,Non,746 m²,,,Oui,Nord-ouest,Oui,,444 kWh/m²,E,20210906-0002459624-RES-1,Non communiqué,Non communiqué,Gaz,,Oui,Zone non inondable,449.000 €,Non,"Dorpshart 10
2870 - Puurs",1975,10 m,4,3,,,1,,,,,Oui,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",1.313 €,9133 - TK/21077/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,À rafraîchir,4,1,130 m²,Équipée,,3,,1,Non,449 m²,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40 m²,Oui,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Après la signature de l’acte,Bon,592 m²,,Hyper équipée,,4,,,,,,,,Non,3482 m²,,,,,,,560 kWh/m²,F,20210430-0002406689-RES-1,Non communiqué,Non communiqué,Mazout,,Oui,Zone non inondable,1.275.000 €,Non,"Korenmarkt 8
2800 - Mechelen",1995,,,9,7,,2,1,,,,Oui,Non,Non,Zone agricole,2.186 €,834690 - 93363889,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,
54,Après la signature de l’acte,,,,,,205 m²,,,,,,,,,700 kWh/m²,,,,,,,F,Non communiqué,Non communiqué,Non communiqué,190.000 €,,,,,,"Avenue François Sebrechts, 61
1080 - BRUXELLES/BRUSSEL",Antoine DE LAME,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642 €,,,4,,Non,"sam. 2, 9 et 16/10 de 16h30-18h30 et mardis 5, 12 et 19/10 de 14h30-16h30. MASQUE OBLIGATOIRE.",,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,Fraîchement rénové,154 m²,,Équipée,,4,,,,,,,,Non,216 m²,,,,,,,173 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Gaz,,,Zone non inondable,399.000 €,Non,"Kortrijksesteenweg 1121 Bus 0003
9051 - Gent",1959,,2,,2,,2,,,,,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",689 €,SAS-21231,,,Urbain,,,,,,,,,,,,,,,,,,,,,,15 m²,,,,100 m²,,,Non,,,,,,,,,,,,,,,,,,
58,Après la signature de l’acte,À rénover,179 m²,24 m²,Pas équipée,20 m²,3,16 m²,16 m²,18 m²,,1,Oui,Oui,Non,156 m²,Connecté,Oui,,,,,395 kWh/m²,D,20120321-0001069553-00000010-9,Non communiqué,Non communiqué,Gaz,,Oui,Zone non inondable,210.000 €,Non,"Mechelsestraat 107/2 , 29
1840 - Londerzeel",1955,5.25 m,3,,,,1,,5.25 m,,,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",456 €,4342850,,,Urbain,,,,,,,,,,,,,,,,,,,,,,20 m²,,,,60 m²,,,Non,,,,,,,,,,,,,,,,,,
59,,,,,,Selon le locataire,1936,Bon,6 m,2,,30 m²,Équipée,16 m²,3,16 m²,18 m²,1,,,,,Oui,Oui,Non,256 m²,6 m,Connecté,,Oui,2448587,Non communiqué,Oui,Oui,,,,,,,Urbain,175 m²,16 m²,,,150 m²,25 m²,373 kWh/m²,Non communiqué,Mazout,Non,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,D,,Non,,,,,,,,,,,,,,,,
60,Après la signature de l’acte,Bon,170 m²,45 m²,Équipée,,3,16 m²,15 m²,11 m²,,1,Oui,Oui,Non,1196 m²,Connecté,Oui,,,,,354 kWh/m²,D,2453164,Non communiqué,Non communiqué,Gaz,,Oui,Zone non inondable,395.000 €,Non,"Mechelsestraat 107/2 , 29
1840 - Londerzeel",1974,14 m,4,3,4,,1,,25 m,Non,Oui,Oui,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",1.085 €,4496488,,,Isolé,,,,,,,,,,,,Non,,,,,,Non,,,,30 m²,,,,600 m²,,,Non,,,,,,,,,,,,,,,,,,
61,,,4,1,1,Urbain,244 m²,30 m²,Hyper équipée,16 m²,,19 m²,19 m²,2,1,3,Oui,Non,,,,,13 m,Connecté,Oui,80 m²,292 kWh/m²,C,,Non communiqué,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,Immédiatement,1966,Bon,4,16 m²,26 m²,Oui,,,Non communiqué,Gaz,Oui,Oui,Non,449.000 €,,2446984,8 m,,,,,,,,,,,,,,,,,,,,,,700 m²,,,,,,,Oui,,974 €,,,,,,,,,,,,,,,,
62,,,1,3,159 m²,20 m²,Oui,Équipée,16 m²,3,,9 m²,,1,1,2,Non,479 m²,,,,,Non,250 m²,30 m²,902 kWh/m²,F,,,2463163,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",320.000 €,,Après la signature de l’acte,1964,À rénover,7 m,,13 m²,11 m²,Oui,,,Non communiqué,Non communiqué,Oui,Non,Zone non inondable,562 €,,,3,Urbain,,,,,,,,,,,,,,,,,,,,,Connecté,,,,9 m,,,Oui,,Non,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,1931,À rénover,3,257 m²,Non,254 m²,39 m,F,570,Non,Non,Non,,,,,,,,,,,,,201912200002230697res2,Non communiqué,Gaz,Non,Oui,Connecté,Oui,,,,,,,,,,,,,,,,,,,,,570 kWh/m²,,,,,,,,,Non communiqué,,,,,,,,,,,,Non,,,,,,
66,Après la signature de l’acte,Excellent état,109 m²,15 m²,Hyper équipée,,2,14 m²,7 m²,,,2,,Oui,Non,307 m²,Connecté,Oui,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,Zone non inondable,324.500 €,Non,"Mechelsestraat 107/2 , 29
1840 - Londerzeel",2019,7 m,3,1,2,,1,,13 m,,,Oui,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,4297584,,,Urbain,Oui,,,,,,,,,,,,,,,,,,,,,12 m²,,,,115 m²,,,Non,,,,,,,,,,,,45,,,,,,
67,,,,,,,,,,Après la signature de l’acte,1966,167 m,,,4,487 m²,Non,1,,,,,Non,Non,Non,Non,Non,,Non,Non,Non communiqué,Non communiqué,Non communiqué,,,,,,,,À rafraîchir,,,Non,Non,,,,Non communiqué,,,Non,Non,,,,,4,2,705 m²,3,12 m²,10 m²,75 m²,2,Non,Non,Oui,Non,Non,Oui,Connecté,Non,Non,Non,,,,,,,Oui,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,1973,Bon,4,1,,3,,1,2,753 m²,,,,,,,,,,,,Urbain,3,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558 kWh/m²,,,,,,,,,,,,,,,,
69,,,,,,,4,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,1,10000 m²,Non communiqué,Non communiqué,Non communiqué,,,,,Non communiqué,Non communiqué,100,,,Après la signature de l’acte,,,,,,,,,,,,,,,,,WZC Gildentuin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784,,,,,,,240.000 €,Oui,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,Après la signature de l’acte,1951,À rénover,4,,2,35 m²,,Semi-équipée,12 m²,,15 m²,,,12 m²,,1,2,8 m²,Oui,Oui,993 m²,,23.6 m,600 kWh/m²,2180601-0002063606-1,Non communiqué,Non,,,,,,,1,,3,,,,Oui,650 m²,F,Non communiqué,Gaz,,,,,,Rue commerçante,190 m²,,,,,,,,,,,,,,,,,,,,,,12 m²,,,Oui,Non,Oui,,,,,,,,,,,,,,,,
72,Après la signature de l’acte,Bon,236 m²,32 m²,Équipée,16 m²,5,24 m²,20 m²,15 m²,,2,Oui,,Non,570 m²,,Oui,,,,,400 kWh/m²,D,20210712-0002440761-RES-1,Non communiqué,Non communiqué,Mazout,,Oui,Zone non inondable,435.000 €,Non,"Mechelsestraat 20
1840 - Londerzeel",1954,9 m,2,1,1,12 m²,1,,9 m,,,,Non,Non,Zone d'extension d'habitat,870 €,1397 - 1879,,,,Oui,,,,,,,,,,,,,,,,,,,,,40 m²,,,,365 m²,"Oui, conforme",,Non,Non,,,,,,,,12 m²,,,,,,,,,
73,,Bon,105 m²,31 m²,Équipée,7 m²,3,12 m²,10 m²,9 m²,,1,,,Non,772 m²,,Oui,,,,,413 kWh/m²,E,20210923-0002467907-res-1,Non communiqué,Non communiqué,Gaz,,Oui,Zone non inondable,435.000 €,Non,"Mechelsestraat 20
1840 - Londerzeel",1974,,4,2,3,,1,,,,,Oui,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",1.116 €,1416 - 1892,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,1 mars 2022 - 00:00,,,
74,,À rafraîchir,500 m²,,Semi-équipée,,6,,,,,,Oui,,Non,17000 m²,,,,,,,325 kWh/m²,D,20210811-0002449098-RES-1,Non communiqué,Non communiqué,Mazout,,Oui,Zone non inondable,1.275.000 €,Non,"Korenmarkt 8
2800 - Mechelen",1995,,4,2,2,,3,,,,,Oui,Non,Oui,Zone agricole,,834712 - 93363937,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,
75,Après la signature de l’acte,Bon,1470 m²,,Équipée,,10,,,,,3,,,Non,4217 m²,,Oui,,Ouest,,Ouest,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,Zone non inondable,749.000 €,Oui,"De Coninckplein 30
2060 - Antwerpen",1972,29.54 m,4,,60,,,,29.54 m,Oui,,,,,,10.894 €,,,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,Oui,Oui,Oui,,,,,,,,12 m²,Oui,,,3446 m²,,,Non,,,,,,Angel YU,,,,,,,,,,,,
76,,,,,,,,,,,,1939,2,Urbain,156 m²,Américaine hyper-équipée,4,1,,,1,,1,Oui,Oui,Oui,Non,285 m²,,Connecté,,Oui,470 kWh/m²,E,,,,,,,,Après la signature de l’acte,,,,,,,,Oui,2461518,,,,,,,Bon,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,,,,,,,,,,,,,,,,
77,,,2007,,Excellent état,,2,,,,,3,,Hyper équipée,3,1,3,Oui,,,Oui,,Connecté,Oui,Oui,Oui,Oui,161 kWh/m²,,B,Oui,Oui,Non,Zone non inondable,,,,,Après la signature de l’acte,,1,,,,Non,2423346,Non communiqué,Non communiqué,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,209 m²,,,,,,,,,,,205 m²,,,,,,,,,,,,,,Gaz,,499.000 €,,,,,,,,,,,,,,,,
78,Après la signature de l’acte,À rénover,119 m²,,,,3,,,,,1,Oui,Oui,Non,249 m²,Connecté,Non,,,Oui,,787 kWh/m²,F,2445982,Non communiqué,Non communiqué,Mazout,,,Zone non inondable,265.000 €,Non,"Kerkstraat 84
9255 - Buggenhout",1939,,3,,,,1,1,,,,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",495 €,4419265,,,Urbain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,
79,Après la signature de l’acte,Bon,117 m²,,,,3,,,,,1,,,Non,422 m²,,Oui,,,,,443 kWh/m²,E,2417686,Non communiqué,Non communiqué,Gaz,,Oui,Zone non inondable,289.000 €,Non,"Kerkstraat 84
9255 - Buggenhout",1930,,2,1,2,,1,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",404 €,4489593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,Après la signature de l’acte,1,,Urbain,,113 m²,,,,,3,1,1,Oui,Oui,,Non,,,131 m²,,Oui,Oui,492 kWh/m²,E,2417738,Non communiqué,,Non communiqué,Oui,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",289.000 €,,,1930,,Bon,,Équipée,,,,,,,Gaz,Non,,Non,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kerkstraat 84
9255 - Buggenhout",,,,,,,,,,,,,,,,
81,À définir,Bon,224 m²,,,,3,,,,,1,Oui,Oui,Non,1270 m²,Connecté,Non,,,Oui,,672 kWh/m²,F,2464378,Non communiqué,Non communiqué,Mazout,,Oui,,429.000 €,Non,"Kerkstraat 84
9255 - Buggenhout",1968,,4,1,1,,1,,,,,Oui,,,,1.098 €,4492885,,,Urbain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,Après la signature de l’acte,,1980,,,Bon,,1,2,196 m²,4,1,2,,,Oui,Oui,C,2437390,,,,,,,,,,,4,Oui,Oui,Non,Oui,209 kWh/m²,Non communiqué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598 m²,,Non communiqué,,,,,,,,,,,,,,,,
83,À la livraison,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Zone non inondable,,Non,"Kerkstraat 84
9255 - Buggenhout",,,,,,,,,,,,Oui,,Non,,,4405382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,
84,,,157 m²,30 m²,Équipée,12 m²,3,14 m²,11 m²,9 m²,,2,,,Non,184 m²,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,Zone non inondable,375.106 €,Non,"Mechelsestraat 20
1840 - Londerzeel",,,2,1,1,,1,,7.5 m,,,Oui,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,1404 - 1885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56 m²,,,Non,Non,,,,,,,,,,,,,,,,,
85,,,150 m²,34 m²,,34 m²,2,25 m²,17 m²,,Oui,2,,,,114 m²,Connecté,Oui,,,Oui,,119 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,,Oui,,399.000 €,Non,"Frans Van Haelenstraat 4b
2880 - Bornem",2012,,,,,,,,,Non,Oui,Oui,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",1.104 €,,,,,,,20 m²,Oui,,,Non,Non,Non,Non,Non,Non,Non,,Non,,,Non,,,,,,,,,,,Non,,Linde 25,,,,,,,,,,76,,,,Non,,
86,,Bon,185 m²,18 m²,Hyper équipée,10 m²,3,27 m²,19 m²,18 m²,,1,Oui,Oui,,721 m²,,,,,,,314 kWh/m²,D,20210201-0002367252-RES-1,Non communiqué,Non communiqué,Gaz,,,,419.000 €,Non,"Gansbroekstraat 64
2870 - Ruisbroek (Puurs)",1966,,4,1,2,,1,,14.5 m,,,Oui,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",964 €,4272369,,,,Oui,,,,,,,,,,,,,,,,,,,,,67 m²,,,,,,,,,,,,,,,,,,,,,,30 septembre 2021 - 00:00,,,
87,,,,1,Pays,54 m²,Équipée,16 m²,4,11 m²,11 m²,,,,,1,Non,Non,,Oui,,,120 m²,Est,444 kWh/m²,E,Non communiqué,Non communiqué,,Non communiqué,Non,Zone non inondable,295.000 €,647 €,,,,,,15 m²,148 m²,,,,,Gaz,,Oui,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",Non,,,À rafraîchir,,,,Non,,,Non,260 m²,Non,Non,,,,,,,,,,,,,,,,Connecté,,,,,"Werf 13
9200 - Dendermonde",,,,,,,,,,,,,,Oui,,
88,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Toutes sortes,,,,,,"Amelia Earhartlaan 19 bus 301
9051 - Sint-Denijs-Westrem",2163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,Non communiqué,,,,,,,,Non,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Après la signature de l’acte,Excellent état,12 m²,Équipée,31 m²,1,22 m²,1,,,,12 m²,,,60 m²,Connecté,Oui,9 m²,,,,,C,2424315,Non communiqué,Non communiqué,Gaz,Oui,,,"Zone d'habitat (résidentiel, urbain ou rural)",369 €,"Stationstraat 79
1861 - Wolvertem",4496324,1918,,2,,,,2,,,,,Non,Oui,Non,299.000 €,Non,,,,,,,Oui,15 m²,,,,,,,,,,,,,,,,,,268 kWh/m²,,,,,,,Zone non inondable,,,,,,,Non,140 m²,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1918,Bon,,,,,,,,,,,,,,,,Après la signature de l’acte,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
92,,1963,3,173 m²,Oui,Semi-équipée,13 m²,3,15 m²,15 m²,,1,,,1 m²,Non,,,553 m²,Oui,,,Ouest,518 kWh/m²,F,20210726-0002444766-RES-1,Non communiqué,Non,,Gaz,Non,Zone inondable potentielle,1.249 €,Non,Après la signature de l’acte,,À rafraîchir,3,1,,,6 m²,,,,,,,,349.000 €,"Valkebeekstraat 24
1861 - Wolvertem",,,,45 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Non communiqué,302 - V21LON/061,,,,,1,,,,,,,,,,,
93,Après la signature de l’acte,Bon,145 m²,34 m²,Équipée,34 m²,3,11 m²,8 m²,7 m²,,2,Oui,,Non,193 m²,,,,,,,150 kWh/m²,B,20210922-0002467471-RES-1,Non communiqué,Non communiqué,Gaz,,Oui,Zone d'inondation reconnue,419.000 €,Non,"Brusselsesteenweg 65
1850 - Grimbergen",1990,,2,2,,,1,,,,,Oui,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",1.244 €,1816740 - VKG-2021-0,,,,,,,,,,,,,,,,,,,,,,,,,18 m²,,,,,Non,,Non,Non,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Après la signature de l’acte,Bon,Hyper équipée,,4,,2,,,,,,Non,,Non,Connecté,Oui,Oui,,,448 kWh/m²,,E,2432594-RES-1,Non communiqué,Non communiqué,448,Non,Non,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",2.982 €,"Prinsenstraat, 24
1850 - Grimbergen",,1985,,4,,,,Oui,,,,,Villa,Non,Non,745.000 €,Non,,Non,Non,,,,,,,1387 m²,,,,,,,,,,,,,,Oui,Non,,,,,,,,Zone non inondable,,,,,,,,323 m²,,,,Électrique,,,,,,
96,Après la signature de l’acte,Bon,38 m²,Hyper équipée,50 m²,3,2,,,,,,,,Non,17 m,Oui,Non,,,,,E,2455557-RES-1,Non communiqué,Non communiqué,424,Non,Non,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",2.280 €,"Prinsenstraat, 24
1850 - Grimbergen",,1973,,4,,,,35 m²,,Connecté,Oui,Non,Villa,Non,Non,875.000 €,Non,,Non,Non,,,,,,,424 kWh/m²,,,,,,Non,,,,,,,,Oui,Non,,,,,,,,Zone non inondable,,,,,,,Non,324 m²,,,,Mazout,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,Fraîchement rénové,150 m²,30 m²,Américaine hyper-équipée,,3,,,,,2,Oui,,Non,310 m²,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,Zone non inondable,430.000 €,Non,"Rue Victor Hugo 81
1030 - Schaerbeek",1983,,2,,1,,,2,,,,,,,,,1895 - 1945,,,,,,,,,,,,,,,,,,,,,,,,,25 m²,,,,,,,,Non,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Après la signature de l’acte,Bon,318 m²,,Semi-équipée,8 m²,3,18 m²,16 m²,13 m²,,2,Oui,,Non,360 m²,,,,,Oui,,233 kWh/m²,C,20210930-0002470789-RES-1),Non communiqué,Non communiqué,,,Oui,,625.000 €,Non,"Valkebeekstraat 24
1861 - Wolvertem",,,2,,,,1,,,,,,,,,2.225 €,345 - V21LON/081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,1935,,5 m,,,145 m²,34 m²,Équipée,17 m²,3,21 m²,,10 m²,Non,11 m,50 m²,Ouest,,,,,,,,,Après la signature de l’acte,,,,1,1,137 m²,Oui,15 m²,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,Bon,,,Oui,21 m²,393 kWh/m²,,,,,,,,,,,,,,,,
102,Après la signature de l’acte,Excellent état,72 m²,Équipée,24 m²,4,12 m²,12 m²,18 m²,12 m²,,24 m²,,,Oui,Connecté,Oui,25 m²,,,,,D,2419798,Non communiqué,Non communiqué,Non,Oui,,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",2.583 €,"Stationstraat 79
1861 - Wolvertem",4419303,1986,,4,1,4,1,2,,,,Oui,Oui,Non,Non,1.095.000 €,Non,,,,,,,,,,Oui,,,,,,,,,309 kWh/m²,,,,,,,Oui,,Non,,,,,Zone non inondable,Gaz,,,,,,62 m²,400 m²,,,,,,,,,,
103,,,,,,,,,,,,Après la signature de l’acte,,,,8.5 m,3,"Zone d'habitat (résidentiel, urbain ou rural)",,,150 m²,,Équipée,9 m²,1,34 m²,Oui,1,,Oui,Oui,Oui,C,Non communiqué,,,,,,,,,,,,63 m²,338 m²,Oui,Oui,248 kWh/m²,Non communiqué,,,,,,,,,,,,,4,,,,51 m²,,,,,,,,,Natuurgebied Dorent,,,,,,Connecté,1,,,,,,Bon,,,,,,,,,,,
