,À partir de,État du bâtiment,Nombre de façades,Surface habitable,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Salles de bains,Toilettes,Meublé,Surface du terrain,Jardin,Orientation du jardin,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Site internet,Type de cuisine,Surface de la chambre 3,Surface de la chambre 4,Dressing,Buanderie,Bureau,Surface de la cave,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Surface de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Piscine,Double vitrage,Surface constructible totale au sol,Obligation de construire,Revenu cadastral,Référence externe,Type d’environnement,Année de construction,Salon,Salle à manger,Terrasse,Parkings intérieurs,Cave,Largeur de la façade à rue,Surface de la chambre 5,Surface de bureau,Espace professionnel,Porte blindée,Climatisation,Jacuzzi,Sauna,Internet,Attestation de conformité des citernes à mazout,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Surface du grenier,Visite virtuelle,Surface du salon,Orientation de la terrasse,Pourcentage loué,Revenu mensuel actuel,Parkings extérieurs,Combien de feux ouverts ?,Salles de douche,Niveau E (performance énergétique globale),Surface de l'espace professionnel,Charges mensuelles,Nombre d'annexes,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Grenier,Nom du bien,Nom de l'agent
10,,,,,,,,,,,,,,,,,,,,,1951,5.8 m,Semi-équipée,5,9 m²,30 m²,16 m²,16 m²,17 m²,Non,2,,,,,,,,,,,,,,,,,,,,,,,,À rénover,Urbain,190 m²,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,À définir,Bon,155 m²,Équipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,98 m²,Équipée,10 m²,3,14 m²,,9 m²,Non,Non,22 m²,Non,84 m²,Non,Non,Non,Connecté,Non,,,,,,,,,,,,,,,,,,,,,1938,Excellent état,Urbain,6 m²,,2,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,1935,À rafraîchir,2,"Zone d'habitat (résidentiel, urbain ou rural)",24 m²,Semi-équipée,Non,2,,,Non,Non,Non,Non,Non,,Oui,,,Gaz,,Non,,Non,Non,,,Après la signature de l’acte,,,157 m²,20 m²,3,8 m²,Oui,Non,Non,30 m²,,Non,Non,191 m²,Oui,Non,Non,Non,Connecté,Oui,Non,Non,Non communiqué,Non,,,,,,,,,,,,,,16 m²,20 m²,14 m²,Non,Non,Non,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,7 m,1,36 m²,Pas équipée,2,1,1,,,,,,,Non,15 m²,15 m²,182 kWh/m²,,,,,,,,,,,,,,,Après la signature de l’acte,Excellent état,,,,,,,,Oui,,,84 m²,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,Excellent état,2,1,"Zone d'habitat (résidentiel, urbain ou rural)",14 m²,3,13 m²,2,,,Non,Non,Non,Non,Non,,Oui,Gaz,,Non,,Non,Oui,Oui,Non,,,,150 m²,,Américaine équipée,,13 m²,,3,Non,Non,Non,,Oui,130 m²,Oui,,Non,Non,Non,Connecté,Oui,Non,Non,Non communiqué,,Non,Maison bel-étage,,,,,,,,,,,,11 m²,32 m²,Non,Non,Oui,Oui,,Non communiqué,Non communiqué,20210825-0002456108-RES-1,Non communiqué,Non,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,Après la signature de l’acte,1,Urbain,,32 m²,,,13 m²,9 m²,9 m²,1,2,,Oui,,,,,95 m²,Connecté,Oui,724 kWh/m²,F,0002473189,,5 m,2,,,,,,,,,,Hyper équipée,4,,,,,,,,,,,,,Oui,Non communiqué,,,,,6 m²,,189 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,1930,,Excellent état,2,Urbain,135 m²,Équipée,3,1,1,100 m²,431 kWh/m²,E,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,20210716-0002442440-RES-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,Après la signature de l’acte,2,13 m²,,,20 m²,Non,Non,181 m²,Non,,Non,,,,,,,F,Non communiqué,,,,,,,,1927,,Non,1,2,Non,,,Non,Oui,,,,,,,,,661 kWh/m²,,,20210706-000243835-RES-1,,,,,,,,Oui,,,,1,10 m²,,,,,,Non,Non,Oui,127 m²,,Équipée,,,,,,,,,,,,,,,,,,,
19,,,,,,1910,,,6 m,,300 m²,Oui,,,Oui,Non,180 m²,6 m,40 m²,,275 kWh/m²,,20200310-0002253017-RES-2,Non communiqué,Non communiqué,,Gaz,140 m²,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,6,,,,3,,,,,,,,,C,,Non,420.000 €,,,Après la signature de l’acte,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
