,À partir de,État du bâtiment,Nombre de façades,Surface habitable,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Salles de bains,Toilettes,Meublé,Surface du terrain,Jardin,Orientation du jardin,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Site internet,Type de cuisine,Surface de la chambre 3,Surface de la chambre 4,Dressing,Buanderie,Bureau,Surface de la cave,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Surface de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Piscine,Double vitrage,Surface constructible totale au sol,Obligation de construire,Revenu cadastral,Référence externe,Type d’environnement,Année de construction,Salon,Salle à manger,Terrasse,Parkings intérieurs,Cave,Largeur de la façade à rue,Surface de la chambre 5,Surface de bureau,Espace professionnel,Porte blindée,Climatisation,Jacuzzi,Sauna,Internet,Attestation de conformité des citernes à mazout,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Surface du grenier,Visite virtuelle,Surface du salon,Orientation de la terrasse,Pourcentage loué,Revenu mensuel actuel,Parkings extérieurs,Combien de feux ouverts ?,Salles de douche,Niveau E (performance énergétique globale),Surface de l'espace professionnel,Charges mensuelles,Nombre d'annexes,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Grenier,Nom du bien,Nom de l'agent
50,,,,,Excellent état,5 m,2,Urbain,19 m²,Oui,Non,2,,Non,Non,Non,Non,Non,Non,,Non,,,Non communiqué,,Non communiqué,Gaz,Non,Non,,,1932,,,180 m²,Hyper équipée,2,13 m²,Oui,10 m²,Oui,Oui,,,40 m²,Non,,119 m²,Oui,Non,Non,Non,Nord-ouest,Non,20210928-0002469564-RES-1,,,Non,,,,,Après la signature de l’acte,,,,,,11 m²,16 m²,Oui,50 m²,Non,Non,Oui,,Non,Oui,368 kWh/m²,D,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,2,1,1,Centre commercial,336 m²,,33 m²,6 m²,,,,,12 m²,12 m²,6 m²,6 m²,3,,,,,,,,,,,,,À définir,1963,Bon,,,,,,,,,Équipée,5,,12 m²,3,,,,,6 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,Bon,"Zone d'habitat (résidentiel, urbain ou rural)",105 m²,,,11 m²,15 m²,2,2,2,,4 m²,,,,,,,128 m²,5 m,Connecté,Oui,,,,,,2,,,,,,33 m²,Américaine équipée,10 m²,3,,,,,,,,,Oui,Non,,,54 m²,,,,,,,,,,5 m,,,,,,,,,,,,,,,,,,,,,1960,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,À rafraîchir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,Après la signature de l’acte,Fraîchement rénové,5 m,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1935,Urbain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,6 m,2,,15 m²,6 m,Connecté,Oui,5000 m²,Sud,,Sud,,,,,,,Non,Non,,,,,,,Après la signature de l’acte,1969,,2,Aménagé,204 m²,60 m²,1,Équipée,3,17 m²,9 m²,1,2,Oui,Non,Non,100 m²,Oui,Oui,,,Oui,,,,,,,,,,,,Excellent état,Non,Oui,Oui,Non,Oui,24 m²,Non,Non,Non,Non,Oui,,,,Non,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,1961,Bon,,146 m²,,20201109-0002337380-RES-1,Non communiqué,Non communiqué,212,Gaz,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,Oui,C,,Non,Oui,,,,,,,,,,,,,,,,,,Non,Non,355 m²,Non connecté,212 kWh/m²,,,,,,,,,,3,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,À la livraison,Non communiqué,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Oui,Non,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,Bon,,Oui,Oui,Non,Non,Non,255 kWh/m²,20151008-00018005474-1,Non communiqué,,,,,,,,,,,,,,,,,,,,,,,,,135 m²,,,C,Non communiqué,,,,,,,,,,,,,,,,,,2,223 m²,Non,Non,Non connecté,,,,,,,,,,1936,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,1985,Bon,2,526 m²,Non,Non,Non connecté,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,314 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,Après la signature de l’acte,1979,Bon,1,57 m²,4,15 m²,,18 m²,354 m²,7.6 m,192 m²,Ouest,6 m²,,Non,,,,,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,7.6 m,2,1,,Équipée,18 m²,,,,,14 m²,,,13 m²,Non,2,1,2,18 m²,Oui,68 m²,Non,Oui,Non,Non,Non communiqué,Non,,,,,,,,,,1,,,,,,,Non,Non,,,,,,,,,,,,,307 m²,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,2,,27 m²,Non,Non,80 m²,5 m,Connecté,148 kWh/m²,B,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,Oui,20210509-0002408268-RES-1,,,,,,,,,,,,,,,,,5 m,275 m²,19 m²,Oui,27 m²,,,,,,,,,,,Bon,,,,,,,,,,
69,,,,,,,,,,,,,,,Non,198 m²,Oui,Non,Oui,,Oui,Non,,,,,,Non,Oui,,,,,,,,,,,Bon,55 m,2,Centre commercial,199 m²,25 m²,,Oui,3,20 m²,25 m²,10 m²,Non,Non,15 m²,Sud,,,,,,,,,,,,,,,,1,Oui,150 m²,Non,Non,,55 m,Connecté,Oui,20 m²,Non,,,,Équipée,,,,,,,,,,,,,,,,
70,,1965,6 m,"Zone d'habitat (résidentiel, urbain ou rural)",,Semi-équipée,,,Non,3,20 m²,Non,,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,Toutes sortes,1.232 €,,,Oui,,,4,3,Oui,Non,195 m²,Oui,Non,Non,,Oui,Connecté,Oui,80 m²,6 m²,Non,Non,Non,Oui,Non,Non,Non,,,40 €,,2,Selon le locataire,,30 m²,,2,,À restaurer,,,20 m²,Non,Non,Non,Non,Non,,Non communiqué,Non,Non,Non,Non,,,195 m²,,Oui,100,1,,,,Non,385.000 €,,,,,,,,
71,,,,,,,,,1969,,39 m²,4,,,Oui,Oui,Non,Non,223 m²,,Oui,,781,Mazout,Non,Non,Non,Non,Non,Non,,,,,,,2,,,,,,,1,11 m²,,,,,,,,,,Non communiqué,,,Oui,Non,,,,,,,,,,Bon,191 m²,15 m²,,,,,,781 kWh/m²,F,20210914-0002462697-RES-1,Non communiqué,,,,,,,,,,,Non connecté,,,,,,,,,,
72,,,,,,,,,,,,,,,,,Après la signature de l’acte,1932,À rénover,,192 m²,,Non,170 m²,Non connecté,Oui,350 kWh/m²,D,Non communiqué,Non communiqué,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,20210809-0002449505-RES-1,350,,,,,,,,,,,,,,,,,,19 m²,22 m²,2,1,,,,,,,,,,,2,,,,,,,,,,
73,,,,,,,,,,,,,,,Oui,115 m²,Non connecté,Oui,Non,,Non,Non communiqué,Gaz,Non,Non,Non,Non,Non,Immeuble à appartements,Non,,,,,,,,,,,,,,,,,,,Bon,2,,313 m²,,,Non communiqué,,,Oui,,,,,,,,,,,,,Non,,,,,,Oui,290 kWh/m²,C,20191115-0002218495-RES-1,290,,,,,,,,,,Non,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100 Deurne,2,595 m²,14,,,,,,,,,,,,,,,,,,,,,,,,,,,1966,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,6 m,292 m²,6,26 m²,12 m²,9 m²,26 m²,12 m²,2,Non,,,,,,,,,,,,,,,,,,,,,,,,,1,Équipée,18 m²,Non,154 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,1932,Bon,,,Urbain,,,,,,3,,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.065 €,1585,,,,,,,,,,,,,,,280 m²,,,,,,,,,,Gaz,,,385.000 €,,2,Selon le locataire,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,À définir,1900,Excellent état,2,,Équipée,3,30 m²,23 m²,12 m²,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,3,16 m²,16 m²,13 m²,Non,,1,100 m²,,Non,,Non,Non connecté,Oui,Sud-ouest,Non,,,,,,,,,,,,,,,,,,,,,1965,140 m²,Équipée,17 m²,Non,Non,Non,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,Fraîchement rénové,5 m,,150 m²,,,Non,,,Non,170 m²,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,Équipée,,6,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,Bon,2,149 m²,26 m²,Oui,,3,,Non connecté,Oui,45 m²,294 kWh/m²,C,2452158-RES-2,Non communiqué,294,,,,,,,,,,,,,,,,,,,,,,,,,129 m²,,,Non communiqué,Gaz,,,,,,,,,,,,,,,,,,2,13 m²,Non,Non,,,,,,,,,,,16 m²,,,,,,,,,,
81,Après la signature de l’acte,À rénover,2,395 m²,,3,,,1,7,Non,300 m²,,,1135 kWh/m²,F,0002195910,Non communiqué,Non communiqué,,,Oui,Non,Oui,Non,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",295.000 €,Oui,"Goedehoopstraat 21
2000 - Anvers",4379333,,,,,,,,,,,,,Connecté,Oui,,,,,,,,,,,,,2.300 €,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,2,Équipée,2,14 m²,8 m²,1,1,Non,341 kWh/m²,D,Non communiqué,Non communiqué,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,2,,,2,14 m²,8 m²,1,1,Non,,,,341 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",379.000 €,Non,"Kerkstraat 73
2940 - Stabroek-Hoevenen",39 - 93363849,Équipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,À rafraîchir,,240 m²,,6,,,,,Non,362 m²,Oui,Nord-est,423 kWh/m²,E,202103260002392162RES2,Non communiqué,Non communiqué,,,Oui,Oui,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",480.000 €,Oui,"Parklaan 25
9100 - Sint-Niklaas",Van Nevelestraat 138,,,,Non,,Non,,Non,Non,Non,Non,6 m,Connecté,Oui,,,,,,,,,,Oui,295 m²,Non,1.499 €,,,,,,,,,5.85 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,Après la signature de l’acte,Bon,2,296 m²,,2,40 m²,Non,Non,Non,Oui,,,,,,,,,Non,Oui,,,,,,,,7 m,,4,12 m²,20 m²,24 m²,,,32 m²,Non,3,Non,Non,Non,Non,296 m²,Non,100 m²,Non,Non,,,,,,,,,,,,,,2,Oui,Non,Oui,Oui,Sud-ouest,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,1988,,Oui,Non,500 m²,Non,Non,Non,Oui,Connecté,1,Non,Non,Non,,Non,Non,Non,,,,,,,,,,Bon,7 m,3,1,1,Aménagé,229 m²,20 m²,1,3,30 m²,20 m²,30 m²,Non,2,30 m²,Sud-ouest,Non,Non,Non,,,,,,,,,,,,,1,1,Non,Non,Non,10 m,Oui,250 m²,Sud-ouest,10 m²,,,,,Équipée,,,,,,,,,15 m²,,,,,,,
92,1899,2,128 m²,3,,Oui,,,250 m²,,,F,,,20210607-0002425605-RES-1,Non communiqué,Non communiqué,Oui,Non,,,Zone non inondable,130.000 €,,,493 €,,,Simon VAN TRICHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bredabaan, 644
2170 - MERKSEM",,,À rénover,1,,,,855 kWh/m²,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,Non,"nl :
iedere woe. van 15u-16u30 en iedere zat. van 14u-15u30 - vanaf woe. 6/10 tem zat. 6/11",Après la signature de l’acte,Non,,,
93,,,2,,,C,,,,,,,,,20210820-0002454188-RES-1,Non communiqué,Non communiqué,Oui,Oui,,,Non,Zone non inondable,280.000 €,,1.690 €,,,Jasmien BREUGELMANS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Duffelsesteenweg, 20
2860 - SINT-KATELIJNE-WAVER",,,,,,,,,,,,,,,,,,,,,,,,,245 kWh/m²,,,,,,,,,,,,Non,"nl :
elke woensdag van 16.00 u tot 18.00 u en elke zaterdag van 10.00 u tot 12.00 u, en dit vanaf woensdag 13/10/2021 tot en met zaterdag 06/11/2021. U kan gewoon langsgaan tijdens deze uren, U hoeft hiervoor geen verdere afspraak te maken.",4,Non,,,
94,,,,1,,Oui,,,Équipée,3,,2,Oui,888 m²,Sud-ouest,1,Oui,462 kWh/m²,E,20151219--000182101-2--1,Non communiqué,Non,Gaz,,Oui,,Oui,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,,1,,,,,,,,,,Oui,,,,,,,,Oui,,Non communiqué,,,Non,,4,,3,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,1957,Oui,,,,,,,,,,,,,,,,,,,Oui,,,Excellent état,185 m²,,,,,Sud-ouest,,,,,1,,
95,,,,,,,,,,,,,,,16 m²,9 m²,Non,1,2,,Oui,,,135 m²,Non,Non,Non,Non,Connecté,,,,,,,,,,,,,,,,,,,,,Après la signature de l’acte,Excellent état,3,27 m²,3,Non,,Non,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",122 m²,Hyper équipée,14 m²,32 m²,,Non,9 m²,Non,32 m²,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,1,4,,,Non,Non,Non,Oui,Non,,Non,,,,,,,294 kWh/m²,Non communiqué,,,,,Après la signature de l’acte,1970,,6 m,,16 m²,16 m²,12 m²,9 m²,,Non,50 m²,Oui,Oui,Oui,Non,Non,170 m²,Non,Non,70 m²,Non,,,C,,,,,,,,234 m²,,,Excellent état,2,Non,Non,Connecté,Oui,15 m²,,Non,Non,Non,Non,Oui,,,,,Non communiqué,Non communiqué,,,,,,,,,,,,,,
97,,,,,,,À rénover,,60 m²,,,10 m²,Non,Non,Non,3 m,Connecté,Oui,Oui,,Est,,,Non communiqué,Non communiqué,Gaz,Oui,50 m²,Non,Non,Non,,,,3 m,,Équipée,,1,28 m²,Non,1,Non,75 m²,Non,,,,,,,,,,556 kWh/m²,F,20120906-0001200819-00000001-8,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,À rénover,,,,,,,Semi-équipée,5 m²,2,14 m²,8 m²,Non,,,,,,,,,,,,,,,,,,,,,,,,4 m,90 m²,Oui,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,À la livraison,,2,114 m²,,2,,,,,,4598 m²,,Sud,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,359.000 €,,"Noordeind 97
2920 - Kalmthout",Kadans Wijnegem,,,,,,,,,,,,,,Oui,36 m²,12 m²,,,,,,,Oui,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,1,,,,,,,,,,,,,,,,,,,,Sud,,,,,,,,,,,,,,,Kadans,
100,,,,,,,,,,,,1957,,3,10 m²,Non,Oui,888 m²,14.65 m,,Connecté,,,Oui,Non,Non,Oui,Oui,Oui,Non,462 kWh/m²,,,,,,,,,,,,Bon,6.5 m,4,1,,,Oui,Oui,Équipée,3,2,Non,Oui,Sud-ouest,,Oui,E,,,,,185 m²,,,,,,,1,,,,,,,,,,15 m²,,,,,,,,,,,,,,,,,,,,
101,,,,220 m²,12 m²,3,25 m²,13 m²,1,1,,243 m²,,Sud,289 kWh/m²,C,2432584,Non communiqué,Non communiqué,,Mazout,Oui,,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",425.000 €,Non,"Turnhoutsebaan 175
2110 - Wijnegem",,Équipée,12 m²,,Oui,,Non,,Non,Non,Non,Non,,Connecté,Non,90 m²,48 m²,Non,Non,Non,Oui,Oui,Oui,Non,Oui,75 m²,Non,1.130 €,VKW0898,,1969,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,170 m²,18 m²,3,14 m²,21 m²,1,,,445 m²,,Sud-est,347 kWh/m²,D,2439819,Non communiqué,Non communiqué,,Gaz,,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",379.000 €,Non,"Turnhoutsebaan 175
2110 - Wijnegem",,Équipée,15 m²,,Oui,Oui,Non,16 m²,Non,Non,Non,Non,,Connecté,Oui,300 m²,,,,,,,,,Oui,125 m²,Non,567 €,VKW0876,,1950,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,De Stokerij,De Zevenbunder,2021,Excellent état,9 m,,1,,,,,,175 m²,75 m²,,Hyper équipée,3,,,,,,,,,,,,,,,,,,,,,,À définir,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,3,,,,,,,,,,15 m²
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,À la livraison
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973,À rafraîchir,6 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,279 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,À définir,5 m,2,Urbain,240 m²,20 m²,9 m²,11 m²,4,,,Non,93 m²,5 m,Connecté,Oui,,30 m²,254 kWh/m²,2394874-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,Non,Non,Bon,40 m²,Oui,,,11 m²,18 m²,,,,,4,4,Oui,30 m²,,,,,,,,,Oui,C,,240 m²,Zone non inondable,,,,1918,Oui,,,,Américaine hyper-équipée,,,,,,,,,,,,,,,,Antwerpen,,,,,,9,,,,,,,,,9 m²,,
108,,,,,,,,,,1920,4 m,2,,5,4 m,32 m²,Sud,Non,Non,,Non,,349 kWh/m²,D,20210927-0002469553-RES-1,Non communiqué,Non communiqué,Non,Non,Oui,,,,,,,Bon,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Hyper équipée,,Oui,2,2,2,Non,Non,96 m²,Oui,,Non,Gaz,Non,,,,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,Après la signature de l’acte,,,,,,,,,,,
109,Après la signature de l’acte,À rafraîchir,2,120 m²,,3,12 m²,9 m²,1,2,Non,111 m²,,Sud-ouest,512 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,Gaz,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",275.000 €,Non,"Tavernierkaai 2 b 29
2000 - Antwerpen",,Équipée,30 m²,,Non,,Non,32 m²,,,,,,,,60 m²,,,,,,,,,Non,,Non,424 €,spir4505,,1928,,,,,,,,,,,,,,,Non,Non,,,,,,,28 m²,,,,4,,,,,,,,,,,,,
110,,,,,,,,,,,,Selon le locataire,,,1,1,137 m²,Oui,4,,1,,,,,,,1,Non,86 m²,,,,,,,,,,,,,,Bon,2,,,,,,,,,,,,,1,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,125 m²,Américaine équipée,4,Non,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,,,,,,,,,,,,,,,,,,,Après la signature de l’acte,Bon,5 m,2,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,À définir,Fraîchement rénové,521 m,2,"Zone d'habitat (résidentiel, urbain ou rural)",128 m²,13 m²,13 m²,,Non,1,,1,Non,,,,,,,,,,,,,,,,,,,,,,,,,,18 m²,,18 m²,3,,,,,,,,,,,,,,,,,,,30 m²,Équipée,20 m²,4,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,À rafraîchir,7,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,268 m²,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,2,,Oui,,,1,,,Oui,Oui,,575 kWh/m²,,,20210728-0002446103-RES-1,Non communiqué,Non communiqué,Non,Non,,,,Zone non inondable,156.000 €,,366 €,,,Koen DE RAEYMAECKER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Quinten Matsyslei, 28
2018 - ANTWERPEN",,,,1,,F,,110 m²,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,Non,"nl :
sleutel af te halen op het notariskantoor na telefonische afspraak en mits het betalen van een borgsom",Après la signature de l’acte,Non,Oui,,
118,,,,,,,,,Non,,,2,,,Équipée,3,1,Oui,Oui,,,193 m²,Oui,595 kWh/m²,,F,,,Non communiqué,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,,,,,,Oui,,"nl :
sleutel af te halen op het notariskantoor na tel. afspraak en mits het betalen v/e borgsom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20210728-002446114-RES-1,Après la signature de l’acte,,Non
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,Non,"nl :
sleutel af te halen op het notariskantoor na telefonische afspraak en mits het betalen van een borgsom",Après la signature de l’acte,2,Oui,,,,Équipée,2,,1,,,47 m²,653 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,F
121,2,,Oui,,,Oui,,,Oui,,,993 kWh/m²,,,20210519-0002417436-RES-1,Non communiqué,Non communiqué,Oui,Non,,,Non,Zone non inondable,148.500 €,,294 €,,,Koen DE RAEYMAECKER,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"Quinten Matsyslei, 28
2018 - ANTWERPEN",,,,3,,F,,115 m²,,,,,,,,,,,,,,,,,Équipée,,,,,,,,,,,,Non,"nl :
sleutel af te halen op het notariskantoor na telefonische afspraak en mits het betalen van een borgsom",Après la signature de l’acte,Non,Oui,,
