,Lieu de la vente,Séance unique,Modalités de visite,À partir de,Chambres,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Double vitrage,Autorisation de lotissement,Droit d'achat prioritaire possible,Type de zone inondable,Mise à prix,Revenu cadastral,Immeuble de rapport,Adresse,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Visite virtuelle,Surface habitable,Salles de bains,Surface de bureau,Bureau,Cave,Grenier,Meublé,Surface du terrain,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Terrasse,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Interphone vidéo,Piscine,Surface constructible totale au sol,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Surface du salon,Salle à manger,Type de cuisine,Salles de douche,Toilettes,Attestation as-built,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Site internet,Année de construction,État du bâtiment,Largeur de la façade à rue,Type de chauffage,Référence externe,Type d’environnement,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la terrasse,Accès sécurisé / alarme,Procédure pour violation de la réglementation urbanistique,Salon,Dressing,Buanderie,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Orientation du jardin,Chauffe-eau commun,Surface de la chambre 5,Orientation de la terrasse,Permis de bâtir obtenu,Combien de feux ouverts ?,Isolé,Nombre d'annexes,Concierge,Climatisation,Jacuzzi,Sauna,Internet,Type de construction,Obligation de construire,Pourcentage loué,Revenu mensuel actuel,Surface du grenier,Surface de la cave,Attestation de conformité des citernes à mazout,Niveau E (performance énergétique globale),Jardin,Nom du bien,Disponible le,Surface de l'espace professionnel,Quartier ou lieu-dit
119,,,,Après la signature de l’acte,4,181 kWh/m²,B,20201013-0002325504-RES-1,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,3.170 €,Non,"Haachtsesteenweg 322
1910 - KAMPENHOUT",4,6,3,,419 m²,2,,Oui,Oui,,Oui,1505 m²,,,Oui,,,Oui,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",850.000 €,45 m²,,Américaine hyper-équipée,1,3,,,,,4513929,2000,Excellent état,,Gaz,,,25 m²,19 m²,30 m²,24 m²,41 m²,47 m²,Oui,Non,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,
120,,,,Après la signature de l’acte,4,181 kWh/m²,B,20201013-0002325504-RES-1,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,3.170 €,Oui,"Haachtsesteenweg 322
1910 - KAMPENHOUT",4,6,3,,419 m²,2,,Oui,Oui,,Oui,1505 m²,,,Oui,,,Oui,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",850.000 €,45 m²,,Américaine hyper-équipée,1,3,,,,,4513914,2000,Excellent état,,Gaz,,,25 m²,19 m²,30 m²,24 m²,41 m²,47 m²,Oui,Non,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,
121,,,,,3,166 kWh/m²,B,20191205-0002225398-RES-1.,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,,Non,"Leuvensesteenweg 359
3070 - Kortenberg",,1,,,288 m²,1,34 m²,Oui,,,,2117 m²,57 m,Connecté,Oui,,,Non,Non,Oui,Oui,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",729.000 €,40 m²,Oui,Américaine équipée,,,,,,,P 109,1972,,16.6 m,Gaz,,,14 m²,12 m²,13 m²,16 m²,,,Oui,Non,,Oui,Oui,,,Non,Non,Non,Non,,,,Nord-ouest,Oui,,,,Non,,,,,,Non,,,,,,,,,,,
122,,,,,3,166 kWh/m²,B,20191205-0002225398-RES-1.,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,,Oui,"Leuvensesteenweg 359
3070 - Kortenberg",,1,,,288 m²,1,34 m²,Oui,,,,2117 m²,57 m,Connecté,Oui,,,Non,Non,Oui,Oui,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",729.000 €,40 m²,Oui,Américaine équipée,,,,,,,P 109C,1972,,16.6 m,Gaz,,,14 m²,12 m²,13 m²,16 m²,,,Oui,Non,,Oui,Oui,,,Non,Non,Non,Non,,,,Nord-ouest,Oui,,,,Non,,,,,,Non,,,,,,,,,,,
123,,,,,3,654 kWh/m²,F,20110315-0000784400-00000009-0,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,671 €,Non,"Mouterij 8 bus 003
3190 - Boortmeerbeek",4,1,,,,,,Non,Oui,,Non,1130 m²,,Connecté,Non,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",330.000 €,,,,,,,,,,05/2021,,Bon,,Mazout,,,,,,,,,,Non,Oui,,,,Non,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,
124,,,,,3,654 kWh/m²,F,20110315-0000784400-00000009-0,Non communiqué,Non communiqué,Non,Non,Non,Zone non inondable,,671 €,Non,"Mouterij 8 bus 003
3190 - Boortmeerbeek",4,1,,,,,,Non,Oui,,Non,1130 m²,,Connecté,Non,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",330.000 €,,,,,,,,,,05/2021,,Bon,,,,,,,,,,,,Non,Oui,,,,Non,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,
125,,,,Après la signature de l’acte,2,411 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,Oui,Non,,,,Non,"HAACHTSESTEENWEG 510 BUS 5
1910 - Kampenhout",4,1,1,,201 m²,1,,,,,,1219 m²,,,,,Oui,,,,,,,Parc résidentiel,565.000 €,,,,,,,,,,4456176,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,
126,,,,,3,855 kWh/m²,F,20210730-0002446753-RES-1,Non communiqué,Non communiqué,Non,Non,Oui,Zone non inondable,,1.071 €,Non,"Stationstraat 20
3150 - Haacht",4,1,,,,1,,Non,Oui,,Non,7480 m²,,Connecté,Oui,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",430.000 €,,,,,2,,,,,5496,,,,,,,,,,,,,,Non,Oui,,,,Non,,,,,Est,,,,,,,,,,,,,,,,,,,,,Oui,,,,
127,,,,À définir,3,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,Non,Zone non inondable,,,Non,"Mechelsesteenweg 35/A
2840 - Rumst",,,,,,,,,,Oui,Non,614 m²,,Connecté,Oui,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",379.100 €,,,Hyper équipée,,2,Non,Non,,,,,Excellent état,,,,,,,,,,,,Non,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,3,411 kWh/m²,E,2453682,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,2.250 €,Non,"Aarschotsesteenweg 201
2500 - Lier",4,,,,170 m²,1,,Non,Oui,,Non,2082 m²,38 m,Non connecté,Non,,,,,,,,1500 m²,"Zone d'habitat (résidentiel, urbain ou rural)",875.000 €,,,Équipée,,,,,,,,,,19 m,,IF-3084,,,,,,,,,Non,Oui,,,,Non,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,
129,,,,,3,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Oui,Non,Zone non inondable,,,Non,"Impulsstraat 8
2220 - Heist-op-den-Berg",,,,,162 m²,,,Non,,,,435 m²,16.5 m,Non connecté,Non,,,,,,,,81 m²,"Zone d'habitat (résidentiel, urbain ou rural)",447.621 €,,,,,,,,,,,,,9 m,,NPL 21 / 016,,,,,,,,,Non,,Non,,,,Non,Non,Non,Non,,,,,,,,,,,,,,Toutes sortes,Non,,,,,,,,,,,
130,,,,Après la signature de l’acte,2,476 kWh/m²,E,20210707-0002438750-RES-1,Non communiqué,Non communiqué,Oui,,Oui,Zone non inondable,,409 €,Non,"Leuvensesteenweg 677
1930 - Zaventem",2,,,,115 m²,1,,,,,Non,112 m²,,Connecté,Oui,,Oui,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",295.000 €,36 m²,,Hyper équipée,,2,,,,,4492839,1933,Bon,,,,"Zone d'habitat (résidentiel, urbain ou rural)",12 m²,17 m²,26 m²,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,26 m²,18 m²,,,,,,,
131,,,,Selon le locataire,3,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Non,,Zone non inondable,,1.093 €,Oui,"Wezembeeklaan, 120
1950 - Kraainem",2,,,,145 m²,3,,,Oui,Oui,Non,130 m²,,Connecté,Oui,,Oui,Non,Non,Oui,,Non,,,425.000 €,,,Semi-équipée,,3,,,,,4508332,,À rafraîchir,,Gaz,,Urbain,,,,,,,,Non,Oui,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,Omgeving Kraainem
132,,,,À définir,14 m²,C,20210910-0002462564,Non communiqué,Non communiqué,"Oui, conforme",1.250.000 €,,,,,,"Avenue Baron Albert d'Huart 130
1950 - Kraainem",4425712,4,1,4,540 m²,90 m²,Oui,,,Oui,Non,2700 m²,30 m²,,,,,,Non,Oui,,,242 kWh/m²,,,Non,Oui,Hyper équipée,33 m²,,,,,,,,1920,Excellent état,,Oui,,,7,14 m²,16 m²,20 m²,22 m²,Non,Non,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,Mazout,,,,,,
133,,,,Après la signature de l’acte,17 m²,C,20210224-0002368848-RES-1,Non communiqué,Non communiqué,Non,Zone non inondable,,,545.000 €,,Non,"Avenur Limburg Stirum , 194
1780 - Wemmel",218716 - 111114652,3,1,,330 m²,70 m²,1,,,Non,,390 m²,Oui,,,230 m²,Ouest,267 kWh/m²,,,,,,,,2.151 €,Oui,Équipée,26 m²,1,Oui,Gaz,,,,,,Bon,,Oui,,,6,16 m²,15 m²,12 m²,11 m²,,,,,,,,,,,,,Oui,,2,,,,,,,,,,,,,,,,,,,,,,,
134,,,,À définir,3,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Oui,Non,Zone non inondable,,327 €,Non,,2,,,,164 m²,1,14 m²,Oui,,,Non,220 m²,,Connecté,Oui,152 m²,,Non,Non,Non,Non,Non,68 m²,"Zone d'habitat (résidentiel, urbain ou rural)",325.000 €,18 m²,Oui,Hyper équipée,,2,,Non,Non,Non,,,Excellent état,4 m,Gaz,,"Zone d'habitat (résidentiel, urbain ou rural)",10 m²,10 m²,18 m²,34 m²,,14 m²,Non,Non,,Non,,Oui,Non,Non,Non,Non,Non,,Non,,Nord,,,,,Non,Non,Non,Non,Oui,,,,,,6 m²,,,,,,,
135,,,,Après la signature de l’acte,2,215 kWh/m²,C,20140203-0001525797-00000009-7,Non communiqué,Non communiqué,Oui,,,,,260 €,Non,,2,,,,125 m²,1,,Oui,,,Non,73 m²,,Connecté,Oui,,,,,,,,,,285.000 €,,,,,1,,Non,Non,Non,,1930,À rafraîchir,,Gaz,,"Zone d'habitat (résidentiel, urbain ou rural)",,17 m²,10 m²,,,16 m²,,,,Oui,,Oui,Non,Non,Non,Non,Non,,Oui,,Sud-est,,,,,,,,,,Toutes sortes,,,,,,,,,,,,
136,,,,Après la signature de l’acte,3,414 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Oui,Non,Oui,,,,Oui,"Leuvensesteenweg 587
3071 - Erps-Kwerps",3,1,15,,160 m²,1,20 m²,Oui,Oui,,Non,764 m²,33 m,Connecté,Non,,,Oui,,,,,400 m²,"Zone d'habitat (résidentiel, urbain ou rural)",895.000 €,25 m²,Oui,Hyper équipée,1,2,,,,,4263635,1951,Bon,15 m,Mazout,,,10 m²,25 m²,15 m²,9 m²,,,Oui,Non,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,Zaventem
137,,,,,4,248 kWh/m²,C,20211003-0002471922-RES-1,1000 kg CO₂/m²,Non communiqué,Oui,,,,,1.891 €,Non,"Brusselsesteenweg 527
3090 - Overijse",4,1,,,180 m²,1,,Oui,Oui,,Non,611 m²,,,,,,,,,,,,,629.000 €,45 m²,,Hyper équipée,,2,Non,,,,2383 - 1516,1985,Excellent état,,Gaz,,,,,,,,40 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,,,,,
138,,,,À définir,4,121 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,,,Zone non inondable,,3.304 €,Oui,"Dr. V. Dewalsplein 23
3070 - Kortenberg",,,,,290 m²,,,,,,Non,542 m²,,Connecté,Oui,,,,,,,,,,649.000 €,,,Semi-équipée,,2,,Non,,,,,Bon,,Gaz,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,À définir,3,157 kWh/m²,B,20210914-0002463680-RES-1,3544 kg CO₂/m²,Non communiqué,Oui,,,,,,Non,,3,1,2,,158 m²,1,,Non,,,Non,257 m²,10 m,Connecté,Oui,80 m²,,,,Non,Non,Non,,,440.000 €,45 m²,,Américaine équipée,1,2,,,,Oui,,2003,À rafraîchir,7 m,Gaz,,,,24 m²,15 m²,15 m²,,,Oui,,,Non,,Non,Non,Oui,Non,Non,Non,Sud-est,,,,Oui,,,,,,Non,Non,Oui,,,,,,,,,,,,,
140,,,,À définir,6,413 kWh/m²,E,20210525-0002419789-RES-1,Non communiqué,Non communiqué,Oui,,,Zone non inondable,,,Non,"Dr. V. Dewalsplein 23
3070 - Kortenberg",,,,,245 m²,,,,Oui,Oui,Non,247 m²,,Connecté,Oui,,Oui,,,,,,,,349.000 €,47 m²,,Équipée,,3,,Non,,,,,Bon,,Gaz,,,14 m²,16 m²,12 m²,15 m²,15 m²,,,,,Non,,,,,,,,Est,,12 m²,,,,,,,,,,,,,,,,,,,Oui,,,,
141,,,,Après la signature de l’acte,4,293 kWh/m²,C,20130806-0001419900-00000003-1,Non communiqué,Non communiqué,Oui,,,Zone non inondable,,1.464 €,Non,"Boulevard du Souverain, 254
1160 - Auderghem",2,,2,,344 m²,1,14 m²,Oui,Oui,,Non,208 m²,10.98 m,Connecté,Oui,96 m²,,Non,Non,Oui,,Non,,,529.000 €,40 m²,Oui,Américaine hyper-équipée,1,2,,,,,4426340,1910,Bon,10.98 m,Mazout,,,,15 m²,15 m²,15 m²,30 m²,96 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,À définir,4,136 kWh/m²,B,2467955,Non communiqué,Non communiqué,Oui,Oui,,Zone inondable potentielle,,,Non,"Eektstraat 1
3111 - Wezemaal",,,,,265 m²,,,,,Oui,Non,430 m²,,Connecté,Oui,,,,,,,,,,648.000 €,54 m²,,Équipée,,3,,Non,,,,,Excellent état,,Gaz,,,16 m²,20 m²,14 m²,14 m²,11 m²,30 m²,,,,Non,,,,,,,,Sud-est,,,Sud-est,Oui,,,,,,,,,,,,,,,,,Oui,,,,
143,,,,Après la signature de l’acte,3,443 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Oui,Non,Oui,,,,Non,"Leuvensesteenweg 587
3071 - Erps-Kwerps",2,,,,120 m²,1,,,,,Non,53 m²,,,,,,,,,,,,,239.000 €,26 m²,,,,1,,,,,4531258,,Bon,,Gaz,,,10 m²,17 m²,17 m²,11 m²,,,,Non,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,
144,,,,À définir,4,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,,,300 €,Non,,3,,,,160 m²,,,Non,,,Non,234 m²,12 m,Connecté,Oui,,,Non,Non,Non,Non,Non,,,369.000 €,30 m²,Oui,Américaine équipée,1,,,Non,Non,Non,,,Excellent état,12 m,Gaz,,,21 m²,12 m²,9 m²,21 m²,11 m²,30 m²,Non,,,Non,,Non,Non,Oui,Non,Non,Non,,Non,,,Oui,,,,Non,Non,Non,Non,Oui,Toutes sortes,,,,,12 m²,Non,,,,,,
145,,,,À définir,3,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,,,Zone non inondable,,950 €,Oui,,2,,,,260 m²,1,,Non,,,Non,129 m²,,Connecté,Oui,,,Non,Non,Non,Non,Non,,,395.000 €,30 m²,,Semi-équipée,,,,Non,Non,Non,,,À rafraîchir,6 m,Électrique,,Rue commerçante,20 m²,10 m²,12 m²,20 m²,,30 m²,Non,,,Non,Oui,Non,Non,Oui,Non,Non,Non,,Non,,Sud-est,,,,,Non,Non,Non,Non,Oui,Toutes sortes,,,,,28 m²,,,,,,96 m²,
146,,,,À la livraison,3,598 kWh/m²,F,20210722-0002444160-RES-1,Non communiqué,Non communiqué,,,,Zone non inondable,,1.122 €,Non,"Parklaan 8
1930 - Zaventem",3,1,2,,130 m²,1,,,,,,312 m²,,Connecté,Oui,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",379.000 €,29 m²,Oui,Équipée,,2,,,,,POOT Davina,1972,Bon,5.54 m,Gaz,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,Non,,,Oui,,,,,,Oui,Sud-est,,,,Oui,,,,,,,,,,,,,35 m²,8 m²,,,Oui,,,,Park Mariadal
147,,,,,3,344 kWh/m²,D,20190701-0002174365-RES-1,Non communiqué,Non communiqué,Oui,,,Zone non inondable,,1.665 €,Non,"Parklaan 8
1930 - Zaventem",4,1,1,,145 m²,1,,,,,Non,523 m²,,,Oui,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",469.000 €,32 m²,Oui,Américaine hyper-équipée,,2,,,,,POOT Davina,1984,Excellent état,8.22 m,Électrique,,"Zone d'habitat (résidentiel, urbain ou rural)",,23 m²,16 m²,12 m²,,35 m²,,Non,,,Oui,,,,,,Oui,Sud-est,,,Sud,Oui,1,,,,,,,,,,,,5 m²,,,,Oui,,,,Bloemenveld
148,,,,Après la signature de l’acte,25 m²,B,20200703-0002191525-RES-1,Non communiqué,Non communiqué,Non,Oui,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,"Brusselsesteenweg 66
3000 - Leuven",4456812,3,,2,358 m²,40 m²,3,Oui,72 m²,Oui,Non,438 m²,17.5 m,Connecté,Oui,150 m²,100 m²,,Oui,Oui,Oui,Non,126 kWh/m²,Oui,1.100.000 €,2.528 €,Oui,Américaine hyper-équipée,40 m²,3,72 m²,Gaz,,,,,1958,Excellent état,8.9 m,Oui,,Urbain,5,23 m²,24 m²,25 m²,40 m²,Non,Oui,Zone non inondable,,,,,,,,,,,,3,,105 m²,,,,,,,,,,,,,,,,,,,,Oui,
149,,,,,3,416 kWh/m²,E,20210904-0002460086-RES-1,Non communiqué,Non communiqué,,Non,,Zone non inondable,,679 €,Non,"Parklaan 8
1930 - Zaventem",2,,,,141 m²,1,,,,,,120 m²,,,Oui,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",250.000 €,,Oui,Semi-équipée,,1,,,,,POOT DAVINA,1932,À rénover,,Gaz,,"Zone d'habitat (résidentiel, urbain ou rural)",8 m²,17 m²,14 m²,13 m²,,,,Non,Oui,,,,,,,,Oui,Sud-est,,,,,,,,,,,,,,,,,10 m²,20 m²,,,Oui,,,,Zaventem Centrum
