,Lieu de la vente,Séance unique,Modalités de visite,À partir de,Chambres,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Double vitrage,Autorisation de lotissement,Droit d'achat prioritaire possible,Type de zone inondable,Mise à prix,Revenu cadastral,Immeuble de rapport,Adresse,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Visite virtuelle,Surface habitable,Salles de bains,Surface de bureau,Bureau,Cave,Grenier,Meublé,Surface du terrain,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Terrasse,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Interphone vidéo,Piscine,Surface constructible totale au sol,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Surface du salon,Salle à manger,Type de cuisine,Salles de douche,Toilettes,Attestation as-built,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Site internet,Année de construction,État du bâtiment,Largeur de la façade à rue,Type de chauffage,Référence externe,Type d’environnement,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la terrasse,Accès sécurisé / alarme,Procédure pour violation de la réglementation urbanistique,Salon,Dressing,Buanderie,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Orientation du jardin,Chauffe-eau commun,Surface de la chambre 5,Orientation de la terrasse,Permis de bâtir obtenu,Combien de feux ouverts ?,Isolé,Nombre d'annexes,Concierge,Climatisation,Jacuzzi,Sauna,Internet,Type de construction,Obligation de construire,Pourcentage loué,Revenu mensuel actuel,Surface du grenier,Surface de la cave,Attestation de conformité des citernes à mazout,Niveau E (performance énergétique globale),Jardin,Nom du bien,Disponible le,Surface de l'espace professionnel,Quartier ou lieu-dit
99,,,,À définir,15 m²,D,20210915-0002464462-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,,375.000 €,,Non,"Leopoldstraat 37
2800 - Mechelen",,4,1,,183 m²,47 m²,,,,Non,,150 m²,Connecté,,Oui,46 m²,,,,,,,,,,954 €,Équipée,,11 m²,,Oui,,Oui,,,,,Bon,,Non,,,2,41 m²,Non,,,Sud-ouest,,,,2,,,,,,,,,,,384 kWh/m²,Zone non inondable,,,,,,,,,,,,,,,,,,,,,
100,,,,Après la signature de l’acte,4,426 kWh/m²,E,20190407-0002148827-RES-1,Non communiqué,Non communiqué,Oui,,Non,,,1.550 €,,"Rue Americaine 170
1050 - Bruxelles-Quartier Louise",4,,4,,275 m²,1,6 m²,Oui,,,Non,3800 m²,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",795.000 €,50 m²,,,1,2,Non,,,,,,Bon,,Gaz,,Pays,18 m²,15 m²,14 m²,11 m²,10 m²,,Oui,,,Oui,Oui,,,,,,,Sud-ouest,,,Sud-ouest,Oui,1,,,,,Oui,,,,,,,,,,,Oui,,,,
101,,,,Après la signature de l’acte,5,210 kWh/m²,C,20210608-0002426091-RES-1,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,2.094 €,,"Onze-Lieve-vrouwstraat 129b
3020 - Herent",4,1,3,,270 m²,2,24 m²,Oui,,,Non,1391 m²,,,Oui,950 m²,,,,Oui,,,,Parc résidentiel,695.000 €,45 m²,,Hyper équipée,,2,Non,,,,Brecht,1986,Excellent état,19.5 m,Gaz,,"Zone d'habitat (résidentiel, urbain ou rural)",18 m²,15 m²,14 m²,10 m²,11 m²,25 m²,,Non,,,Oui,,,,Oui,,Oui,Sud,,13 m²,Sud,Oui,,,1,,,,,,,,,,35 m²,,,,,,,,woonpark Ter Bronnen
102,,,,À définir,3,185 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Oui,,,Zone non inondable,,,Non,"Dr. V. Dewalsplein 23
3070 - Kortenberg",,,,,187 m²,,,,,,Non,,,Connecté,Oui,,,,,,,,,,399.000 €,,,Équipée,,2,,Non,,,,,Bon,,Gaz,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,À définir,3,566 kWh/m²,F,20210827-0002457125-RES-1,Non communiqué,Non communiqué,,,,Zone non inondable,,,Non,"Dr. V. Dewalsplein 23
3070 - Kortenberg",,,1,,150 m²,,,,,,Non,1100 m²,,Connecté,Oui,,Oui,,,,,,,,439.000 €,28 m²,,Semi-équipée,,1,,Non,,,,,À rafraîchir,,Gaz,,,11 m²,13 m²,15 m²,11 m²,,,,,,Non,,,,,,,,Nord-est,,,Nord-est,,,,,,,,,,,,,,,,,,Oui,,,,
104,,,,Après la signature de l’acte,3,731 kWh/m²,F,20210915-0002464354-Res-1,52 kg CO₂/m²,Non communiqué,,,,Zone non inondable,,630 €,,"Schoolstraat 101
1745 - Opwijk",4,,,,,,,,,,,20000 m²,18 m,Connecté,Oui,,,,,,,,,,450.000 €,,,,,,,,,,Erika Heylen,1877,À rénover,,,,Pays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,Après la signature de l’acte,3,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,Non,"Leuvensesteenweg 587
3071 - Erps-Kwerps",4,,,,115 m²,1,,,,,,391 m²,,,,,,,,,,,,,385.000 €,,,,,,,,,,4497996,,Bon,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,Immédiatement,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,,,,Non,,4,,,,,,,Non,,,Non,15 m²,,,Non,,,,,,,,,,30.000 €,,,,1,1,,Non,Non,Non,,,Excellent état,,,,,,,,,,,,,,Non,,Non,Non,Non,Non,Non,Non,,Non,,,,,,,,,,,,Toutes sortes,,,,,,,,,,,,
107,,,,,3,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,,,,Non,"Kersenlaan 4
2240 - Zandhoven",,1,,,,1,,Non,,,,,,Non connecté,Non,,,,,,,,,,400.000 €,,,,,,,,,,Nederokkerzeel-kibor,,,,,,,,,,,,,,,Oui,Non,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,3,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,,,,Non,"Kersenlaan 4
2240 - Zandhoven",,,,,,1,,Non,,,,,,Non connecté,Non,,,,,,,,,,443.206 €,,,,,,,,,,Kampenhout-middenstr,,,,,,,,,,,,,,,Oui,Non,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,
