,À partir de,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface habitable,Surface du salon,Type de cuisine,Chambres,Salles de bains,Salles de douche,Toilettes,Bureau,Surface du terrain,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Ascenseur,Parlophone,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Prix,Immeuble de rapport,Adresse,Site internet,Disponible le,Quartier ou lieu-dit,Visite virtuelle,Permis de bâtir obtenu,Salle à manger,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Dressing,Buanderie,Surface de bureau,Espace professionnel,Surface du grenier,Isolé,Meublé,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Concierge,Accessible aux personnes avec un handicap,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Description libre du PEB,Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Obligation de construire,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Revenu cadastral,Surface de la cuisine,Grenier,Terrasse,Type de construction,Surface de la chambre 4,Surface de la cave,Type d’environnement,Raccordement à l'égout,Surface de la chambre 5,Cave,Référence externe,Surface de l'espace professionnel,Surface constructible totale au sol,Largeur du terrain à rue,Combien de feux ouverts ?,Attestation as-built,Autorisation de lotissement,Jardin,Attestation de conformité des citernes à mazout,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Nom de l'agent,Salon,Niveau E (performance énergétique globale),Lieu de la vente,Séance unique,Modalités de visite,Informations supplémentaires,Mise à prix,Charges mensuelles
128,Après la signature de l’acte,1930,Excellent état,12.52 m,2,2,,525 m²,,Équipée,5,3,,5,Oui,673 m²,Oui,,,,,,,309 kWh/m²,F,20210322-0000585192-01-8,60 kg CO₂/m²,Non communiqué,1.985.000 €,Non,"Avenue Delleur, 8
1170 - Watermael-Boitsfort",030/27451,,,,,,20 m²,18 m²,16 m²,,,,,,,,,,,,,,,,,,,,,,,Mazout,,,,,,,,,,3.033 €,,Oui,Oui,,15 m²,,,Connecté,,Oui,,,,,,,,,,,,,,,,,,,
129,Après la signature de l’acte,1906,,6 m,2,,,252 m²,,,5,2,,3,Non,99 m²,Non,40 m²,Sud,1 m²,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,750.000 €,Non,,,,,,,,,,,Non,,,Non,,,Non,Non,Non,Non,Non,Non,,,,,,,,,,,Gaz,Non,Non,Non,Non,Oui,,,,,,,,,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,,,
130,Après la signature de l’acte,1979,À rafraîchir,,2,1,,25 m²,Oui,15 m²,1,2,,Oui,,,40 m²,Sud,11 m²,245 kWh/m²,,,,E,20210901-0000594881-01-6,49 kg CO₂/m²,Non communiqué,Non,1.829 €,"Avenue de Broqueville, 158
1200 - Woluwe-St-Lambert",218016 - 111114689,,,,202 m²,,Équipée,,,,,Non,,,,,Oui,,,,,,,,,,,,,,,,Oui,,,,,Zone non inondable,,,,525.000 €,Non,4,,,,,,,,,,,,,,,Gaz,,,,,,,,,,,,,
131,Après la signature de l’acte,,Excellent état,,2,,,22 m²,Oui,3,13 m²,2,2,Oui,Oui,Connecté,65 m²,249 kWh/m²,,,,,,E,Non communiqué,50 kg CO₂/m²,Non communiqué,Gaz,1.093 €,"Avenue des Cerisiers, 212
1200 - Woluwe-St-Lambert",4454218,,,,180 m²,,Américaine équipée,2,,,,,,,,,146 m²,,,,,,,,,,,,,,,,675.000 €,,,,,,,,,,Non,,Non,,,,,,Oui,,Oui,,,,,,,,,,,,,,,,,,,
132,Après la signature de l’acte,2004,Excellent état,20 m,4,2,,58 m²,Oui,31 m²,20 m²,3,3,20 m²,Oui,Connecté,Oui,,,,,Non,Oui,D,Non communiqué,40 kg CO₂/m²,Non communiqué,Gaz,Non,"Avenue des Cerisiers, 212
1200 - Woluwe-St-Lambert",4381219,,,,460 m²,,Hyper équipée,21 m²,22 m²,23 m²,,,Oui,,,,Oui,Oui,,,,,,Oui,Oui,,203 kWh/m²,,,,,,1.645.000 €,,,,,,,,,,,4,,Non,,2,,,Oui,,Non,,,,,,,,,,,,,,,,,,,
133,Après la signature de l’acte,1987,Excellent état,7 m,2,1,2,230 m²,45 m²,Hyper équipée,6,2,2,4,Oui,193 m²,Oui,65 m²,,10 m²,,,Oui,111 kWh/m²,C,Non communiqué,33 kg CO₂/m²,Non communiqué,749.000 €,Non,"Chausée de Wavre 1004
1160 - Auderghem",,,,,,Oui,17 m²,16 m²,12 m²,,,28 m²,,,,,,,,,,,,Oui,,,,,,,,Gaz,,,,,Oui,,,,,2.729 €,12 m²,,,,12 m²,,,Connecté,11 m²,,4404660,28 m²,70 m²,7 m,,,,,,,,,,,,,,,
134,Selon le locataire,,À rafraîchir,,2,1,2,275 m²,,Équipée,6,5,5,5,Oui,460 m²,Oui,,,,,Non,Oui,298 kWh/m²,F,Non communiqué,59 kg CO₂/m²,Non communiqué,580.000 €,Oui,"Avenue des Cerisiers, 212
1200 - Woluwe-St-Lambert",4372996,,,,,Oui,,,,,,,,,,Non,,,,,,,Non,,,,,,Non,,,Gaz,,,,,,,,,,,,Oui,Oui,,,,,Connecté,,,,,,,,,,,,,,Oui,,,,,,,
135,Après la signature de l’acte,1929,À rafraîchir,,2,,,25 m²,Oui,,13 m²,2,,12 m²,Oui,,42 m²,16 m²,,317 kWh/m²,,,,F,Non communiqué,63 kg CO₂/m²,Non communiqué,Gaz,1.346 €,"Avenue des Cerisiers, 212
1200 - Woluwe-St-Lambert",4348179,,,,245 m²,,7 m²,13 m²,13 m²,13 m²,,,Oui,,,,Connecté,,,,,,,,,,,,,,,,690.000 €,,,,,,,,,,Non,6,,,,9 m²,,,Oui,3,Non,,,,,,,,,,,,,,,,,,,
136,Immédiatement,,Bon,,3,,,Oui,,9,21 m²,2,4,Non,,Non,Oui,,,,,Non,,G,Non communiqué,116 kg CO₂/m²,Non communiqué,Gaz,Oui,"Avenue Baron Albert d'Huart 130
1950 - Kraainem",4455572,,1 janvier 2022 - 00:00,,450 m²,,,15 m²,11 m²,23 m²,,,,,,,1 m²,,,,,,,Oui,Non,,,,,578 kWh/m²,,,1.250.000 €,,,,,,,,,,,,,Non,,16 m²,,,,2,,,,,,,,,,,,,Semi-équipée,,,,,,,
137,Après la signature de l’acte,,À rénover,4.25 m,2,,,111 m²,16 m²,Hyper équipée,3,1,,1,,60 m²,,,,,,,,407 kWh/m²,G,20210805-0000593647-01-5,79 kg CO₂/m²,Non communiqué,345.000 €,Non,"Square Levie 3
1200 - Woluwe-St-Lambert",4433451,,,,,Oui,16 m²,13 m²,11 m²,,,,,,,Non,,,,,,,,,,,,,,,,Gaz,,,,,Oui,,,,,525 €,12 m²,,,,,16 m²,,,,,,,,,,,,,,,,,,,,,,,
138,Après la signature de l’acte,1998,Bon,,2,,,,,Équipée,6,3,,3,Oui,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,1.300.000 €,Oui,"Val des Seigneurs, 9a
1150 - Woluwe-St-Pierre",4379225,31 août 2021 - 00:00,,,,,17 m²,16 m²,14 m²,,,,,,,Non,,,,,,,,,,,,,,,,Gaz,,,,,Oui,,,,,,,,,,13 m²,,Pays,,,Oui,,,,,,,,,,,,Oui,,,,,,,
139,Après la signature de l’acte,,Excellent état,,2,1,,40 m²,Oui,10 m²,16 m²,3,2,6 m²,Oui,Connecté,120 m²,12 m²,,Non,,Non,Non,E,Non communiqué,54 kg CO₂/m²,Non communiqué,Gaz,Non,"Avenue des Cerisiers, 212
1200 - Woluwe-St-Lambert",4519927,,,,240 m²,,Hyper équipée,16 m²,17 m²,14 m²,,,Oui,,,,242 m²,,,,,,,Oui,,,,,,274 kWh/m²,,,1.095.000 €,,,,,,,,,,,5,,,,3,,,Oui,,Non,,,,,,,,,,,,,,,,,,,
140,Après la signature de l’acte,1939,Excellent état,6.5 m,2,,,24 m²,Oui,,16 m²,3,,6 m²,Oui,,64 m²,24 m²,,304 kWh/m²,,,,F,Non communiqué,60 kg CO₂/m²,Non communiqué,Gaz,Non,"Avenue des Cerisiers, 212
1200 - Woluwe-St-Lambert",4421632,,,,314 m²,,13 m²,15 m²,13 m²,24 m²,,,Oui,,,,Connecté,,,,,,,,,,,,,,,,849.000 €,,,,,,,,,,,4,Non,,,3,,,Oui,,Oui,,,,,,,,,,,,,,,,,,,
141,Après la signature de l’acte,,À rénover,,2,,,300 m²,,,5,2,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,795.000 €,Oui,"Avenue de la chasse 159
1040 - Etterbeek",4499012,1 juillet 2021 - 00:00,BXL Est,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,Isolé,,,,,,,,,,,,,,,,,,,,,,
142,,1925,,,2,,,480 m²,,Équipée,5,3,,,,225 m²,,,,35 m²,,Oui,,215 kWh/m²,E,20210901-0000594871-01-7,42 kg CO₂/m²,Non communiqué,1.180.000 €,Oui,"Rue de la Concorde 53
1050 - Ixelles",,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,Gaz,Non,Non,Non,,Oui,,,,,,,,,,,,,,,,20210904,,,,1,Non,,,,,,Oui,,,,,,,
143,À rafraîchir,,2,,Oui,,,,,2,2,Oui,,Oui,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,PEB G (pour les 2 appart.). Contr. électr. non conf. (pour les 2 appart.). Pas d’électricité dans le bien.,350.000 €,,Aurélie BULCKAERT,,,,,Équipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vergoteplein, 41
1030 - Schaerbeek",,,Non communiqué,,,,,,,Non communiqué,,,,,,,,,,,,2,,Non,"sam. 18-25/9, 2/10 de 12-14h et mar. 21-28/9, 5/10 de 12-14h.",Après la signature de l’acte,1.512 €,Oui,
144,Après la signature de l’acte,1900,Bon,4.57 m,2,,,120 m²,28 m²,Équipée,3,1,,1,Oui,270 m²,Oui,200 m²,,,,,,247 kWh/m²,E,Non communiqué,49 kg CO₂/m²,Non communiqué,490.000 €,Non,"Rue Voot 4
1200 - Woluwe",4293619,,,,,,15 m²,21 m²,,,,12 m²,,,,Non,,,,,,,,,,,,,,,,Gaz,,,,,Oui,,,,,803 €,8 m²,Oui,Oui,,,,,Connecté,,Oui,,,,4.57 m,,,,,,,,,,,,,,,
145,Après la signature de l’acte,1930,À rafraîchir,6 m,2,,,280 m²,,,3,1,,1,,165 m²,Oui,,,27 m²,,,,1041 kWh/m²,G,Non communiqué,164 kg CO₂/m²,Non communiqué,575.000 €,Oui,"Avenue du Roi Chevalier 67
1200 - Woluwé-St-Lambert",,,,,,,25 m²,12 m²,,,,,,,,Non,,,,,,,,,,,,,,,,Électrique,,,,,Oui,,,,,5.000 €,4 m²,,,,,,,,,Oui,102918 - 654657654,,,,,Non,,,,,,,,,,,,,
146,À définir,1949,Bon,12 m,2,,,550 m²,,Équipée,11,6,7,8,Oui,185 m²,Oui,,,,,Non,Oui,237 kWh/m²,E,20200602-0000568954-01-9,47 kg CO₂/m²,Non communiqué,1.700.000 €,Oui,"Rue Franklin 90
1000 - Bruxelles ville",4366623,,Bruxelles (19 communes),,,,14 m²,12 m²,14 m²,,,,,,,Non,,,,,,,Non,,,,,,Non,,,Gaz,,,,,Oui,,,,,,,,Oui,,12 m²,,Urbain,Connecté,14 m²,Oui,,,153 m²,,,,,,,,,Oui,,,,,,,
147,Après la signature de l’acte,1928,À rénover,9 m,3,,,250 m²,18 m²,Pas équipée,3,1,,2,Non,735 m²,Oui,635 m²,Ouest,40 m²,Ouest,,,510 kWh/m²,G,20210802-000593509-01-4,102 kg CO₂/m²,Non communiqué,825.000 €,Non,,,,,,Oui,Oui,18 m²,18 m²,10 m²,Non,Oui,,Non,68 m²,,Non,Non,Non,Non,Oui,Non,,,,,,,,,,,,Non,Non,Non,Oui,Oui,,Non,Non,Zone riveraine délimitée,1.613 €,15 m²,,,,,53 m²,"Zone d'habitat (résidentiel, urbain ou rural)",Connecté,,,,,,,,,Oui,,,,,,,,,,"Superbe jardin, accessible par petit chemin le long de la façade. Beau terrain rectangulaire, entouré d'autres jardon. Nouvelle construction du côté gauche avec mur mitoyen.",,
148,,1950,À rénover,5 m,,1,,80 m²,35 m²,Semi-équipée,3,1,,2,Non,141 m²,Oui,,,,,,,514 kWh/m²,G,547048,Non communiqué,Non communiqué,415.000 €,Non,"Peuthystraat 4A
3040 - Huldenberg",Tomberg 51 [3017092],,,,,,14 m²,13 m²,5 m²,Non,,,,,,Non,,Non,Non,Non,Non,,,,,,,,,,,Gaz,Non,,,,Oui,,,,,1.509 €,5 m²,,,,,100 m²,,Non connecté,,,,,,5 m,,,,,Non,,,,,,,,,,
149,Après la signature de l’acte,,Bon,,2,,,37 m²,Hyper équipée,13 m²,17 m²,1,,Non,,60 m²,,15 m²,,438 kWh/m²,,,,G,Non communiqué,87 kg CO₂/m²,Non communiqué,Gaz,Non,"Rue Archimède 93b
1000 - Bruxelles ville",4496448,,,Bruxelles,160 m²,,,17 m²,15 m²,15 m²,,,,,,,145 m²,,,,,,,,,,,,,,,,Oui,,,,,525.000 €,,,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
150,À définir,1949,À rafraîchir,,3,,,136 m²,21 m²,Semi-équipée,3,3,2,1,,,Oui,,,,,Non,Oui,369 kWh/m²,G,001442889,74 kg CO₂/m²,Non communiqué,335.000 €,Oui,"Jozef de Vleminckstraat 4B
1853 - Strombeek-Bever",4282377,1 juillet 2021 - 00:00,,,Oui,,13 m²,13 m²,30 m²,,,,,,,Non,,,,,,,Non,,,,,,Non,,,Gaz,,,,,Oui,,Non,Non,Zone non inondable,738 €,3 m²,Oui,,,,,,Connecté,,Oui,,40 m²,,,,"Oui, conforme",Oui,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,235 €
151,Après la signature de l’acte,,À rénover,,3,1,,190 m²,,,3,1,,,,517 m²,,250 m²,,17 m²,,,,653 kWh/m²,G,20210705-0000592097-01-6,131 kg CO₂/m²,Non communiqué,495.000 €,Non,"René Declercq 8D
1150 - Woluwe-St-Pierre",,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4501403,,,,,,,,,,,,,,,,,,
152,Après la signature de l’acte,1950,,6 m,2,1,,45 m²,Équipée,8 m²,23 m²,2,,52 m²,,6 m,,,,553 kWh/m²,,,,G,20210919-0000595851-01-0,Non communiqué,Non communiqué,Non,2.667 €,"Edingsesteenweg 341
1755 - Kester",2787 - 21/000065/463,,,,180 m²,,,17 m²,17 m²,16 m²,,,,,,,220 m²,,,,,,,,,,,,,,,,Oui,,,,,745.000 €,,,,,Non,4,,,,1,Non,,,,,,,,46 m²,,"Oui, conforme",,,Mazout,,,,,,,,,,
