,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Surface habitable,Type de cuisine,Chambres,Salles de bains,Toilettes,Cave,Meublé,Surface du terrain,Terrain à front de rue,Terrasse,Ascenseur,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Double vitrage,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Type d’environnement,Surface du salon,Salles de douche,Surface de bureau,Bureau,Largeur du terrain à rue,"Eau, gaz & électricité",Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,À partir de,Parkings extérieurs,Combien de feux ouverts ?,Accès sécurisé / alarme,Interphone vidéo,Type de zone inondable,Référence externe,Surface du jardin,Surface de la terrasse,Disponible le,Surface de la cuisine,Buanderie,Orientation du jardin,Parlophone,Largeur de la façade à rue,Salle à manger,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Surface de l'espace professionnel,Grenier,Raccordement à l'égout,Accessible aux personnes avec un handicap,Piscine,Surface constructible totale au sol,Jardin,Nom de l'agent,Dressing,Concierge,Attestation de conformité des citernes à mazout,Obligation de construire,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Autorisation de lotissement,Procédure pour violation de la réglementation urbanistique,Quartier ou lieu-dit,Visite virtuelle,Surface de la cave,Espace professionnel,Surface du grenier,Porte blindée,Terrain boisé,Terrain arrière,Terrain plat,Orientation de la terrasse,Chauffe-eau commun,Permis de bâtir obtenu,Type de construction,Droit d'achat prioritaire possible,Charges mensuelles,Revenu mensuel actuel,Salon,Nombre d'annexes,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Isolé,Climatisation,Jacuzzi,Sauna,Internet,Nom du bien,Étage,Nombre d'étages,Niveau E (performance énergétique globale),Lieu de la vente,Séance unique,Modalités de visite,Mise à prix
20,,À rafraîchir,2,,220 m²,Équipée,3,1,2,Oui,Non,91 m²,,,,192 kWh/m²,C,20131204001145,35 kg CO₂/m²,31453 kWh/an,Non,Gaz,Oui,290.000 €,1.290 €,Oui,"Rue de Namur 93
1400 - Nivelles",2694 - 1254,Urbain,35 m²,1,,,5.55 m,Oui,,,,,,,,,,,,12 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,À rafraîchir,2,,220 m²,Équipée,3,1,2,Oui,Non,91 m²,,,,192 kWh/m²,C,20131204001145,35 kg CO₂/m²,31453 kWh/an,Non,Gaz,Oui,290.000 €,1.290 €,Non,"Rue de Namur 93
1400 - Nivelles",2693 - 1254,,35 m²,1,,,5.55 m,,,,,,,,,,,,,12 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,Excellent état,2,,37 m²,22 m²,16 m²,2,48 m²,,97 m²,Connecté,,,Non,B,20210609025033,Non communiqué,40045 kWh/an,Gaz,,Oui,266 m²,Non,,"Chée de Nivelles 167
7181 - Arquennes (Nivelles)",4406133,,Urbain,Oui,3,Oui,48 m²,,12 m²,,,Oui,Après la signature de l’acte,,,150 kWh/m²,,,,,Non,,5,,,,,Hyper équipée,16 m²,16 m²,2,,,38 m²,,Oui,Oui,,Faire offre à partir de 380.000 €,,,,,,,,,,Nivelles 15km sud,266 m²,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,Excellent état,2,,37 m²,22 m²,16 m²,2,48 m²,,97 m²,Connecté,,,Non,B,20210609025033,Non communiqué,40045 kWh/an,Gaz,,Oui,266 m²,Oui,,"Chée de Nivelles 167
7181 - Arquennes (Nivelles)",4406132,,Urbain,Oui,3,Oui,48 m²,,12 m²,,,Oui,Après la signature de l’acte,,,150 kWh/m²,,,,,Non,,5,,,,,Hyper équipée,16 m²,16 m²,2,,,38 m²,,Oui,Oui,,Faire offre à partir de 380.000 €,,,,,,,,,,Nivelles 15km sud,266 m²,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1860,À restaurer,1,,,Équipée,2,1,1,,Non,72 m²,Oui,,,Non communiqué,G,20210728019489,Non communiqué,Non communiqué,,Électrique,Oui,180.000 €,637 €,Non,,,,15 m²,,,Non,,Non,Non,Non,Non,Après la signature de l’acte,,,,,Zone non inondable,,20 m²,10 m²,,8 m²,,Ouest,,,Oui,15 m²,5 m²,,,,,,Connecté,,,,,,Non,,,Non,,Non,Non,,,,Non,25 m²,Non,Non,Non,Non,Ouest,Non,Oui,Toutes sortes,Non,,,,,,,,,,,,,,,,,,,,,,,,
25,1976,À rénover,4,2,315 m²,Équipée,4,3,2,Oui,,2522 m²,,Oui,,636 kWh/m²,G,20200925014687,158 kg CO₂/m²,Non communiqué,,Mazout,Oui,945.000 €,,,"Rue de Saintes 11/3
1400 - Nivelles",,,50 m²,,17 m²,Oui,,,,,,Après la signature de l’acte,5,2,Oui,,,,,,,18 m²,Oui,Sud-ouest,,,Oui,13 m²,13 m²,13 m²,22 m²,,,Oui,,,,,Oui,,,,,,Zone d'habitat mixte (habitat & activité économique),,,,,,Oui,,,,,,Sud-ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,Excellent état,2,,669 m²,Hyper équipée,5,1,,,Non,691 m²,Oui,Oui,,188 kWh/m²,C,20191029011853,47 kg CO₂/m²,Non communiqué,,Gaz,Oui,1.000.000 €,1.564 €,Non,"Rue Batonnier Braffort 14
1200 - Wolluwé-St-Lambert",,,23 m²,1,,,21.96 m,Oui,,,,Après la signature de l’acte,2,1,Oui,Oui,,,518 m²,,,30 m²,Oui,Sud,Oui,21.96 m,Oui,20 m²,21 m²,21 m²,12 m²,10 m²,,,Connecté,,,,,Sébastien Thiebaut,,,,,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",,Non,,,116 m²,,79 m²,,,,,Sud,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2003,Bon,3,,250 m²,,5,,,,,161 m²,,,,200 kWh/m²,C,20181018008378,Non communiqué,14613 kWh/an,,Mazout,,700.000 €,2.719 €,Oui,"Av. Albert 1er 2a
1342 - Ottignies (Limelette)",W6509,,30 m²,5,,Non,,Non,,,,Après la signature de l’acte,2,,,,,,,,,,,,,,,,,,,,,,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1975,Excellent état,2,,16 m²,,1,3,Oui,Non,Oui,,,,,G,20181025024408,97 kg CO₂/m²,30903 kWh/an,Non,Gaz,Oui,280.000 €,85 €,Oui,2240,2354 - 943,,,1,,,,,529 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130 m²,,,,,,,,,,,,,1.879 €,"Rue de Namur 93
1400 - Nivelles",,,,,,,,,,,,,,,,,,,,,,
29,,Bon,2,,255 m²,Pas équipée,5,2,2,Oui,Non,281 m²,,,,402 kWh/m²,E,20180105011417,101 kg CO₂/m²,121470 kWh/an,Non,Mazout,,300.000 €,800 €,Non,"Rue de Namur 93
1400 - Nivelles",1455 - 300,,57 m²,,,,,Oui,,,,,,1,,,Bien immobilier situé tout ou en partie dans une zone riveraine délimitée,,,50 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1953,À rafraîchir,3,,182 m²,,2,2,,Oui,,,,,,576 kWh/m²,G,20181217002538,142 kg CO₂/m²,21137 kWh/an,,Gaz,,770.000 €,2.648 €,Oui,"Av. Albert 1er 2a
1342 - Ottignies (Limelette)",W6496,,80 m²,,,Non,,Oui,,,,Après la signature de l’acte,,,,,,,,,,,,,,,,,,,,,,Oui,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1936,Fraîchement rénové,4,,325 m²,Équipée,4,,4,Oui,Non,3410 m²,,Oui,,Non communiqué,B,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,675.000 €,,Non,"Grand'Route 168
1428 - Lillois",6098 - 520,,35 m²,1,,,3410 m,,,,,Après la signature de l’acte,40,,Oui,,,,,,,,Oui,,Oui,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,4,2,260 m²,Équipée,4,1,2,Oui,Non,4950 m²,,,,379 kWh/m²,E,20210227003713,93 kg CO₂/m²,117928 kWh/an,Non,Mazout,Oui,795.000 €,564 €,Non,"Rue du Mont St Roch 6
1400 - Nivelles",Scoumont 52 Nivelles,,37 m²,1,1 m²,Oui,1 m,,Non,Oui,Non,,6,1,Oui,,,,,50 m²,,1 m²,,,,,Oui,25 m²,17 m²,14 m²,14 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,Fraîchement rénové,4,,927 m²,Hyper équipée,6,3,,Oui,Non,3723 m²,,Oui,,671 kWh/m²,G,20120902011904,166 kg CO₂/m²,Non communiqué,,Gaz,Oui,1.950.000 €,,,"Rue de Saintes 11/3
1400 - Nivelles",,,,,,Oui,,Oui,,,,Après la signature de l’acte,20,3,Oui,,,,,,,,Oui,,Oui,,Oui,66 m²,18 m²,16 m²,15 m²,14 m²,,,,,,,,,Oui,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,Oui,,,,,,,,,,,,,Oui,2,,,,,,,,,,,,,,,,,,,,
34,,,4,,750 m²,,6,,,,,800 m²,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,1.150.000 €,,Oui,,,,,,,,,Oui,,,,À définir,30,,,,,,,,,,,,,,,,,,,,,,Connecté,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,2,,,,4,,,,,250 m²,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,450.000 €,,Oui,"Avenue des Fougères 56
7100 - La Louvière",,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,3,2,,,Non,217 m²,Non,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Non,383.000 €,,Non,"Rue de Champles 50
1301 - Bierges",,,,,,Non,,Non,,,,,,,,,,S0128-01-0149,,,,,,Ouest,,,,,,,,,,,Non connecté,,,,Oui,,Non,,,,,,,,,,,,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,3,2,,,Non,219 m²,Non,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Non,388.500 €,,Non,"Rue de Champles 50
1301 - Bierges",,,,,,Non,,Non,,,,,,,,,,S0128-01-0148,,,,,,Ouest,,,,,,,,,,,Non connecté,,,,Oui,,Non,,,,,,,,,,,,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,3,2,,,Non,368 m²,Non,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Non,393.500 €,,Non,"Rue de Champles 50
1301 - Bierges",,,,,,Non,,Non,,,,,,,,,,S0128-01-0147,,,,,,Ouest,,,,,,,,,,,Non connecté,,,,Oui,,Non,,,,,,,,,,,,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,4,,,,,,,,,20000 m²,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,2.200.000 €,,Oui,"Place du champ de Mars 5
1050 - Bruxelles",,,,,,,,,,,,,,,,,,3645395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2008,Excellent état,3,,119 m²,Hyper équipée,2,1,,,,456 m²,,,,278 kWh/m²,D,20201119006399,Non communiqué,37660 kWh/an,,Électrique,Oui,350.000 €,1.411 €,Non,"99 Chaussée de Bruxelles
1410 - Waterloo",174/6873,,32 m²,,,Oui,,Non,,,,,2,,,,,,,25 m²,,,,,,,,,,,,,,,Connecté,,,,,,,,,,,,,1401 - baulers - nivelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1998,,4,,220 m²,Équipée,4,1,2,,Non,1826 m²,,,,233 kWh/m²,C,20200625013970,Non communiqué,57053 kWh/an,Non,Mazout,Non,565.000 €,2.350 €,Non,"Avenue Napoléon, 1
1420 - Braine-l'Alleud",6759-BAULERS,,56 m²,1,,,,,Non,Non,Non,,4,,,,,,1000 m²,75 m²,,,,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sud-ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1968,,4,2,210 m²,Équipée,4,1,2,Oui,Non,968 m²,,,,374 kWh/m²,E,20210614032637,93 kg CO₂/m²,95766 kWh/an,Non,Mazout,Oui,405.000 €,1.874 €,Non,"Chaussée de Mons 14
1400 - Nivelles",181386 - 111114721,,52 m²,,21 m²,Oui,22 m,Oui,,,,Après la signature de l’acte,2,1,,,Zone non inondable,,560 m²,,,8 m²,,Sud,,,Oui,20 m²,20 m²,12 m²,9 m²,,,,,,,,,,,,,,,,,Thines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1994,Bon,4,,200 m²,Équipée,5,2,2,,Non,953 m²,,Oui,Non,289 kWh/m²,D,20191120019262,Non communiqué,70962 kWh/an,,Gaz,Oui,,,Non,"Avenue du centenaire 53/4
1400 - Nivelles",4399621,,,,14 m²,Oui,,Oui,,,,À définir,5,,,,,,,,,,,,,20 m,,25 m²,10 m²,11 m²,17 m²,14 m²,,,,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.000 €,340 €,Non,Non,Non,1,60,,,,,,,,,,,,,
44,,Bon,4,4,750 m²,Hyper équipée,8,5,5,,,44500 m²,,Oui,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,3.200.000 €,,Non,"Chaussée de Louvain 433
1380 - Lasne",4233303,,100 m²,,,,,,,,,Après la signature de l’acte,,,Oui,,Zone non inondable,,,,,,,,Oui,130 m,,,,,,,,,,Non,Oui,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Non,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,
45,1950,À rafraîchir,3,1,225 m²,Semi-équipée,3,1,2,,Non,1122 m²,Non,,Non,333 kWh/m²,D,20191201000843,Non communiqué,51933 kWh/an,,Mazout,Oui,345.000 €,1.387 €,Non,,,Pays,27 m²,1,28 m²,Oui,21 m,Oui,Non,Non,Non,Immédiatement,4,1,Oui,Non,Zone non inondable,,782 m²,75 m²,,22 m²,Oui,Sud-est,Oui,22 m,Oui,13 m²,12 m²,30 m²,,,,,Connecté,Non,Non,,,,Non,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,Champ de bataille Waterloo,,,Oui,30 m²,Oui,Non,Non,Oui,Sud,Non,Oui,Toutes sortes,,,,,,,,,,,,,Oui,Non,Non,Non,Oui,,,,,,,,
46,2015,Excellent état,2,1,239 m²,Américaine hyper-équipée,4,1,2,,Non,119 m²,,,,120 kWh/m²,B,20210724000337,Non communiqué,Non communiqué,,Gaz,Oui,560.000 €,2.299 €,,"Rue Entrée Jacques 78/12
5030 - Gembloux",,"Zone d'habitat (résidentiel, urbain ou rural)",31 m²,1,,Oui,,Oui,,,,Après la signature de l’acte,,,Oui,Oui,,,,36 m²,,24 m²,Oui,,,,Oui,15 m²,15 m²,14 m²,12 m²,,,,Connecté,,,,,,Oui,,,,,,,Chenois,,,,,,,,,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1963,Bon,4,,270 m²,Hyper équipée,4,4,5,,Non,1774 m²,Oui,,,309 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,Pellets,Oui,895.000 €,3.950 €,Non,"Avenue des Aunelles 12
1420 - Braine-l'Alleud",IMMO BELVEDERE,"Zone d'habitat (résidentiel, urbain ou rural)",70 m²,4,,,60 m,Oui,,,,,15,1,Oui,,Zone non inondable,,1600 m²,50 m²,,20 m²,Oui,Sud,,27 m,Oui,50 m²,37 m²,35 m²,29 m²,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,residentiel,,20 m²,,,,,,Oui,Sud,,,,,,,,1,,,,,,,,,,,,,villa,,,,,,,
48,1918,Bon,3,1,150 m²,Américaine équipée,3,1,2,Oui,Non,240 m²,,Oui,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Électrique,Oui,398.500 €,,Non,"Hollebeekstraat 163A
1630 - Linkebeek",4532761,"Zone d'habitat (résidentiel, urbain ou rural)",25 m²,,,Oui,6 m,Oui,,,,Après la signature de l’acte,,,,,Zone non inondable,,145 m²,,1 décembre 2021 - 00:00,12 m²,,,,6 m,,19 m²,16 m²,12 m²,,,16 m²,,Connecté,Oui,Non,78 m²,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Non,Non,Waals-Brabant,,,,,Oui,,,,,,Oui,,Non,,,,,,,,,,,,,,,,,,,,,,,,
49,1971,À rafraîchir,4,1,21 m²,8 m²,17 m²,2,7 m²,,826 m²,Oui,,358 kWh/m²,,E,20210913018544,66 kg CO₂/m²,68962 kWh/an,Gaz,,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",2.037 €,Non,"Avenue de Tervueren 446
1150 - Bruxelles",4512613,,Isolé,Oui,,Oui,55 m²,,600 m²,,,,Après la signature de l’acte,1,,,,,,Oui,,,3,,,,,Semi-équipée,17 m²,11 m²,2,,,,Non,,,,,,,,,,,495.000 €,,,Brabant Wallon,137 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2003,Excellent état,4,2,32 m²,11 m²,20 m²,Oui,,25 m²,795 m²,Oui,Oui,,,D,20210309014107,38 kg CO₂/m²,76669 kWh/an,Gaz,,"Zone d'habitat (résidentiel, urbain ou rural)",,7.195 €,"Chaussée de Tervuren 186
1410 - Waterloo",,,,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,,Oui,Oui,,22 m²,,,,Après la signature de l’acte,,,Oui,,,,,Oui,,3,32 m²,,,,Hyper équipée,Oui,,,,,,,,,203 kWh/m²,,,,2,,,,990.000 €,,,Faubourg,220 m²,,,Non,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1971,Bon,4,2,137 m²,Hyper équipée,3,2,2,Oui,Non,826 m²,,,,358 kWh/m²,E,20210913018544,66 kg CO₂/m²,68962 kWh/an,Non,Gaz,Oui,495.000 €,2.037 €,Non,"Chaussée de Tervuren 149/3
1410 - Waterloo",885 - 1637,"Zone d'habitat (résidentiel, urbain ou rural)",31 m²,,7 m²,Oui,19 m,Oui,,,,Après la signature de l’acte,1,1,,,Zone non inondable,,600 m²,20 m²,,,,Est,,12 m,,18 m²,17 m²,12 m²,8 m²,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,L'ERMITE,,,,,,,,,,,Oui,,Non,,,,,,,,,,,,,,,,,,,,,,,,
52,1800,Excellent état,4,,1165 m²,Hyper équipée,6,3,7,Oui,Non,3788 m²,,,Non,671 kWh/m²,G,20120902011904,166 kg CO₂/m²,Non communiqué,,Gaz,Oui,1.950.000 €,2.969 €,Oui,"Clos des Chêneaux 18A
1390 - Grez-Doiceau",4532938,,47 m²,1,96 m²,Oui,50.55 m,Oui,,,,Après la signature de l’acte,30,,Oui,,Zone non inondable,,3788 m²,200 m²,7 juin 2021 - 00:00,24 m²,,,,50.55 m,Oui,111 m²,19 m²,16 m²,15 m²,14 m²,505 m²,,Connecté,Oui,Non,1166 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1979,À rafraîchir,4,1,187 m²,,3,1,,Oui,Non,490 m²,Oui,Oui,,657 kWh/m²,G,2021090301444,119 kg CO₂/m²,78505 kWh/an,,Gaz,,415.000 €,2.471 €,,"Chaussée de Tervuren 186
1410 - Waterloo",,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,Oui,,,,Après la signature de l’acte,2,1,Oui,,,,,,,12 m²,,Sud,,,Oui,,,,,,,,,,,,Oui,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Centre,,,,,,,,Oui,Sud,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,
54,,Bon,2,,153 m²,Équipée,3,2,3,Oui,Non,175 m²,,,Non,335 kWh/m²,D,20190605016775,61 kg CO₂/m²,58631 kWh/an,,Gaz,Oui,399.000 €,,Non,"Place Communale 8
1160 - Auderghem",4359009,Urbain,,2,,,,Oui,,,,Après la signature de l’acte,,,Oui,,Zone non inondable,,,25 m²,,19 m²,,,,5 m,,24 m²,16 m²,12 m²,,,,,Connecté,Non,Non,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Non,Non,Brabant Wallon,,,,,,,,,,,,,Non,,,Oui,,,,,,,,,,,,,,,,,,,,,
55,1964,,4,,178 m²,Équipée,4,2,2,,Non,357 m²,,Oui,Non,551 kWh/m²,G,20160517000241,100 kg CO₂/m²,81205 kWh/an,,Gaz,Oui,445.000 €,2.573 €,Non,"Rue des Saules, 31
1380 - Ohain",1000859,"Zone d'habitat (résidentiel, urbain ou rural)",22 m²,,,Non,,,,,,,4,,Oui,Non,,,,,,,Oui,,Oui,,,9 m²,11 m²,12 m²,7 m²,,,,,Non,Non,,,,,Non,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1986,À rafraîchir,4,2,122 m²,Équipée,3,1,,,Non,751 m²,Oui,Oui,,226 kWh/m²,C,20210907018052,41 kg CO₂/m²,39801 kWh/an,,Gaz,,550.000 €,2.892 €,,"Chaussée de Tervuren 186
1410 - Waterloo",,"Zone d'habitat (résidentiel, urbain ou rural)",31 m²,,,,,Oui,,,,Après la signature de l’acte,1,,Oui,,,,,,,7 m²,Oui,Sud,,,Oui,20 m²,11 m²,11 m²,,,,Oui,,,,,Oui,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,St John's,,,,,,,,Oui,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1969,À rénover,4,1,47 m²,7 m²,16 m²,Oui,,Oui,691 m²,Oui,,Sud,,E,2010903013427,71 kg CO₂/m²,82511 kWh/an,Gaz,,"Zone d'habitat (résidentiel, urbain ou rural)",,3.423 €,"Chaussée de Tervuren 186
1410 - Waterloo",,,,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,,Oui,Oui,,Oui,,,,Après la signature de l’acte,1,Équipée,,,,,,,,3,10 m²,Oui,,,1,12 m²,17 m²,2,,,,Non,,,,,Sud,,,,,,590.000 €,,,Champ de mai,180 m²,,,,,,,Oui,386 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1976,Bon,4,2,38 m²,16 m²,14 m²,2,Oui,,1000 m²,Connecté,,,Non,C,20131210018529,Non communiqué,61841 kWh/an,Non,Gaz,Oui,Non,Non,,"Place Communale 8
1160 - Auderghem",4359223,,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,3,,46 m²,,40 m²,,,,Selon le locataire,2,,Non,,,,,Non,,4,,,,,Équipée,18 m²,18 m²,17 m²,2,,,Non,Oui,Oui,250 kWh/m²,,,,,,,,Faire offre à partir de 725.000 €,Non,"Zone d'habitat (résidentiel, urbain ou rural)",Brabant Wallon,210 m²,Oui,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,
59,1964,À rénover,4,1,176 m²,,5,1,,,Non,618 m²,,,,406 kWh/m²,E,20210916013744,Non communiqué,77677 kWh/an,,Gaz,,570.000 €,3.254 €,,"Chaussée de Tervuren 186
1410 - Waterloo",,"Zone d'habitat (résidentiel, urbain ou rural)",60 m²,,,,,Oui,,,,,,,,,,,,,,9 m²,,,,,,13 m²,13 m²,12 m²,15 m²,13 m²,,,,,,,,,,,,,,,,Versailles,,40 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1973,À rafraîchir,4,1,166 m²,Équipée,4,2,2,,,640 m²,,,,605 kWh/m²,G,20210809000952,150 kg CO₂/m²,104741 kWh/an,,Mazout,,585.000 €,3.810 €,Non,"Chaussée Bara, 148
1420 - Braine L'Alleud",4530619,,,1,,,,Non,,,,Après la signature de l’acte,1,,,,Zone non inondable,,,23 m²,,,,,,,,10 m²,10 m²,14 m²,20 m²,,,Oui,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2020,Excellent état,,58,38 m²,2,14 m²,2,Non,,85 m²,,,,Oui,B,20200630503839,Non communiqué,10901 kWh/an,Gaz,,Oui,Oui,Non,,"Rue Fort d'Andoy 5
5100 - Wierde",4368363,,Urbain,Pas équipée,,,,,,,,,À la livraison,23,,,106 kWh/m²,,,,Oui,1 août 2020 - 00:00,,,,,,,12 m²,2,,,,,,,Oui,,,,,,,,,435.000 €,,,Brabant wallon,107 m²,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,3,3,,,,,
62,1970,Excellent état,4,,490 m²,Hyper équipée,4,,4,Oui,Non,1240 m²,Non,,Non,218 kWh/m²,C,20210621030332,Non communiqué,Non communiqué,,Gaz,Oui,1.475.000 €,,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",,5,,Oui,,Oui,Non,Non,Non,Après la signature de l’acte,4,1,Oui,Oui,Zone non inondable,,1 m²,185 m²,,20 m²,Oui,Sud,Oui,,Oui,20 m²,20 m²,21 m²,14 m²,,,Oui,Connecté,Non,Oui,,,,Oui,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,Oui,,Non,Oui,Non,Non,Sud,Oui,,Villa,,,,Oui,,,,,,,,,Oui,Non,Oui,Oui,Oui,,,,,,,,
63,1969,Excellent état,4,1,43 m²,16 m²,12 m²,3,Oui,Oui,630 m²,Connecté,,,Non,D,20130425003499,56 kg CO₂/m²,105878 kWh/an,Gaz,,Oui,Zone non inondable,3.648 €,Non,"Avenue Reine Astrid 215
1410 - Waterloo",4246606,,,Hyper équipée,3,,,,319 m²,,,,Après la signature de l’acte,1,,Non,,795.000 €,,32 m²,Non,30 septembre 2021 - 00:00,5,,,,12.75 m,,16 m²,10 m²,12 m²,45 m²,3,,Non,Non,Oui,303 kWh/m²,,,,,,,,,,,,233 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1972,Bon,2,2,28 m²,9 m²,33 m²,2,Oui,Non,280 m²,7 m,,,,B,20211005013817,Non communiqué,Non communiqué,Non,Gaz,Oui,495.000 €,1.943 €,Non,"Avenue de Burlet 11A
1400 - Nivelles",78415 - 5400672,,,1,,,,Oui,28 m²,,,,,2,Équipée,,,,,,161 kWh/m²,,4,,,,7 m,,15 m²,11 m²,10 m²,1,,,,,,,,,,,,,,,,,,175 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
