,À partir de,Année de construction,État du bâtiment,Nombre de façades,Surface habitable,Salon,Type de cuisine,Surface de la cuisine,Chambres,Salles de bains,Salles de douche,Toilettes,Cave,Surface du terrain,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Permis de bâtir obtenu,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Référence externe,Parkings intérieurs,Visite virtuelle,Surface du salon,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Dressing,Meublé,Surface du jardin,Orientation du jardin,Terrasse,Pompe à chaleur,Surface de la terrasse,Attestation as-built,Autorisation de lotissement,Site internet,Largeur de la façade à rue,Surface de la chambre 4,Niveau E (performance énergétique globale),Grenier,Jardin,Orientation de la terrasse,Quartier ou lieu-dit,Parkings extérieurs,Type d’environnement,Salle à manger,Surface de la chambre 5,Panneaux solaires,Buanderie,Bureau,Surface de la cave,Surface du grenier,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Piscine,Attestation de conformité des citernes à mazout,Obligation de construire,Combien de feux ouverts ?,Surface de bureau,Surface de l'espace professionnel,Espace professionnel,Nombre d'annexes,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Climatisation,Jacuzzi,Sauna,Internet,Panneaux photovoltaïques,Chauffe-eau commun,Surface constructible totale au sol,Disponible le,Nom du bien,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Type de construction,Pourcentage loué,Isolé
14,,1810,Fraîchement rénové,4,766 m²,,Équipée,,8,2,,3,Oui,24799 m²,170 m,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,Non,Zone non inondable,Zone de parc,2.500.000 €,3.135 €,Non,"Mechelsesteenweg 382
3020 - Herent",,5,,82 m²,,,,,Non,,,Oui,,,Non,Non,1994787 - 2253,20 m,,,,,,,10,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Oui,,,,,,,,,,,,,43 m²,,,,,,,,,,,,,,,,,,,,,,,,
15,,,À rénover,2,140 m²,,,23 m²,4,1,,1,,130 m²,5 m,Connecté,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,,Non,Non,Zone non inondable,,325.000 €,,Non,,,,,24 m²,16 m²,12 m²,16 m²,Non,Non,65 m²,,,Non,,,,,5 m,12 m²,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,,Non,,Non,25 m²,25 m²,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,,Non,,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,,,,,,,,,,
16,,,Fraîchement rénové,,105 m²,,Équipée,13 m²,3,1,,2,Oui,228 m²,,Connecté,Oui,167 kWh/m²,B,2371344,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",410.000 €,349 €,Non,"Brusselsestraat 140
3000 - Leuven",,,,35 m²,14 m²,7 m²,10 m²,Non,,,,,,18 m²,,Non,K_Leopold Ruelensstr,4 m,,,,,,,,Urbain,,,,,Non,,,,,,,,,,,Non,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,
17,,1948,,2,167 m²,Oui,Équipée,,4,2,,3,Oui,107 m²,5.8 m,Non connecté,Non,303 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,Oui,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",449.800 €,629 €,Non,"Tervuursevest 11
3000 - Leuven",,,,,,,,,Non,,Nord-ouest,,,,,Non,2021_LEU114,5.8 m,,,,Oui,,,,,,,,,Non,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,80 m²,,,,,,,,,
18,Immédiatement,1850,Excellent état,,337 m²,Oui,Hyper équipée,25 m²,4,1,,,,127 m²,,,,501 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",895.000 €,3.157 €,Oui,"Jan Stasstraat 3
3000 - Leuven",,,,,28 m²,18 m²,28 m²,Non,Non,,,,Non,22 m²,,Non,Eikstraat 10 - 2020,6 m,50 m²,,,,,,,,,,,,Non,75 m²,,Non,Oui,Non,Non,Non,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,121 m²,,Hyper équipée,13 m²,2,2,,2,,78 m²,,Connecté,Oui,136 kWh/m²,B,20170825-0001987784-1,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",585.000 €,836 €,Non,"Brusselsestraat 140
3000 - Leuven",,1,,28 m²,,,,Non,Oui,,Sud-est,,,15 m²,,Non,K_Tolhuizenstraat_7_,,,,,Oui,,,,Urbain,Oui,,,,Non,14 m²,,Non,Non,Non,Oui,Oui,Oui,Non,,Non,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,
20,,2017,Excellent état,,70 m²,Oui,,,1,1,,,,,,Connecté,Non,150.6 kWh/m²,B,24062-G-RO2013/1602/EP17662/A001/D01/SD035,Non communiqué,Non communiqué,,Non,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",317.000 €,,Non,"Naamsesteenweg 171/0001
3001 - Heverlee",,,,,,,,Non,Non,,Est,Oui,,,,Non,STAPELHUISPL3BUS0303,,,61,,Oui,,,,,,,,,Non,,,Non,Oui,Non,Oui,Non,Oui,Non,,Non,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,
21,À définir,,Excellent état,2,110 m²,,Américaine hyper-équipée,7 m²,3,1,,2,,96 m²,,Connecté,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,Non,Non,Zone non inondable,,469.000 €,,Non,"Leuvensesteenweg 264
3390 - Tielt-Winge",,,,41 m²,17 m²,13 m²,14 m²,,Non,,,,,36 m²,,Non,4505882,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,5 m²,,,,,,,,,,,,,,,,,,,,,,,,
22,Après la signature de l’acte,,Fraîchement rénové,2,370 m²,,,,6,,,3,,380 m²,,Connecté,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,Non,Zone non inondable,,699.000 €,3.185 €,Non,"Leuvensesteenweg 264
3390 - Tielt-Winge",,,,,31 m²,14 m²,31 m²,,Non,170 m²,,,,25 m²,,Non,4398319,,14 m²,,,,,Vlaams-Brabant,,,,,,,,28 m²,49 m²,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,Non,"Ter Heidelaan 54 A
3200 - Aarschot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
