,À partir de,Année de construction,Salon,Type de cuisine,Chambres,Salles de bains,Grenier,Surface du terrain,Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Type de zone inondable,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Nom de l'agent,Procédure pour violation de la réglementation urbanistique,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface habitable,Combien de feux ouverts ?,Toilettes,Bureau,Meublé,Largeur du terrain à rue,"Eau, gaz & électricité",Jardin,Orientation du jardin,Accès sécurisé / alarme,Attestation as-built,Type de chauffage,Double vitrage,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Site internet,Type d’environnement,Surface du salon,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la terrasse,Dressing,Cave,Raccordement à l'égout,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Salle à manger,Buanderie,Espace professionnel,Surface du grenier,Isolé,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Surface du jardin,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Chauffe-eau commun,Type de construction,Visite virtuelle,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Surface de la cave,Orientation de la terrasse,Nombre d'annexes,Salles de douche,Surface de bureau,Surface de l'espace professionnel,Attestation de conformité des citernes à mazout,Obligation de construire,Référence externe,Surface constructible totale au sol,Quartier ou lieu-dit,Niveau E (performance énergétique globale),Disponible le,Charges mensuelles
135,À la livraison,2022,Oui,,4,1,,331 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Oui,Non,Zone non inondable,420.000 €,,Non,"Kempenlaan 5
2300 - Turnhout",,,,,3,1,1,210 m²,,,,Non,9.2 m,Oui,,,,,Gaz,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",4520619,Isolé,,,16 m²,15 m²,,,Oui,Connecté,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106 m²,,,,
136,À la livraison,2022,Oui,,4,1,,331 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Oui,Non,Zone non inondable,420.000 €,,Non,"Kempenlaan 5
2300 - Turnhout",,,,,3,1,1,210 m²,,,,Non,9.2 m,Oui,,,,,Gaz,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",4520596,Isolé,,,16 m²,15 m²,,,Oui,Connecté,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106 m²,,,,
137,,2012,Oui,Hyper équipée,5,2,,455 m²,Oui,112.86000061035 kWh/m²,B,13031-G-2011/8830/EP02498/S061/D01/SD001,Non communiqué,Non communiqué,Oui,Oui,Non,Zone non inondable,449.000 €,1.420 €,Non,"Retiesebaan 3
2460 - Kasterlee",,Non,Bon,12 m,4,1,1,274 m²,,3,Oui,Non,20 m,Oui,,,,,Gaz,,"Zone d'habitat (résidentiel, urbain ou rural)",4489127,,,,,,,,,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,274 m²,,,,
138,À définir,,,Équipée,2,,,246 m²,,390 kWh/m²,D,0002197197195-RES-1,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,249.000 €,,Non,"Leopoldstraat 37
2800 - Mechelen",,Non,Bon,,,,1,99 m²,,1,,Non,,Oui,,Sud-ouest,,Non,Gaz,Oui,Zone d'habitat mixte (habitat & activité économique),,,32 m²,7 m²,16 m²,14 m²,,Non,Oui,Connecté,Non,,,,,,,,,,,,,57 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Après la signature de l’acte,1965,,Équipée,4,,,596 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,Zone non inondable,329.000 €,365 €,Non,,,,Excellent état,6 m,3,1,5,150 m²,,2,Non,Oui,9 m,Oui,,,Non,,Gaz,Oui,,,Aménagé,32 m²,10 m²,6 m²,14 m²,24 m²,Non,,Connecté,Non,Oui,Non,Oui,Oui,Non,20 m²,Oui,Non,Oui,Non,Non,Non,500 m²,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,,,16 m²,17 m²,,8 m²,,,1,,,"Oui, conforme",,,150 m²,,,,150 €
140,À définir,1986,3,,15 m²,2,,46 m,95 kWh/m²,A,20181020-0000187036-9,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",1.576 €,Non,"Grote Markt 22
2300 - Turnhout",4492378,,Zone non inondable,,20 m,4,2,4,Oui,,126 m²,,1380 m²,Connecté,Oui,,,,,Oui,Oui,469.000 €,,,,,11 m²,11 m²,,,,Oui,,,Oui,,,,Non,,,,,,,,,,,,,,,,,,,,301 m²,1,,,,,,,,,,,,,Oud-Turnhout,,,
141,,1984,,,5,3,,2427 m²,Oui,204 kWh/m²,C,20150218-0001733194-1,Non communiqué,Non communiqué,Oui,Oui,Non,Zone non inondable,1.150.000 €,2.840 €,Non,"Frans Standaertlei 2
2180 - Ekeren",,Non,Bon,,4,2,2,460 m²,1,4,Oui,Non,35 m,Oui,,,Oui,Non,,,Parc résidentiel,101 - 3623128,,,,,,,,Oui,,,,,,Oui,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,
142,Après la signature de l’acte,1947,,,3,1,,724 m²,Oui,227 kWh/m²,C,20210526-0002417377-RES-2,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,315.000 €,541 €,Non,"Lindenlaan, 17
2340 - Beerse",Yasmine NARJIS,,Fraîchement rénové,,,,,141 m²,,2,,,,,,,,,Gaz,Oui,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,À définir,1971,,,18 m²,Non,,41 m,388 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,Parc résidentiel,2.082 €,Non,"Grote Markt 22
2300 - Turnhout",4521380,,Zone non inondable,,29 m,4,2,4,,,,,2905 m²,Non connecté,Oui,,,,,Oui,Oui,780.000 €,,,,,16 m²,15 m²,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,Oud-Turnhout,,,
144,À définir,1999,3,,2,Oui,Non,Oui,Oui,B,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,Parc résidentiel,4.215 €,Non,"Grote Markt 22
2300 - Turnhout",4379205,,Zone non inondable,,,4,2,12,Oui,,,,5561 m²,,Oui,,,Oui,,Oui,,1.975.000 €,,,,,,,,,Oui,,,,Oui,,,,,,,,,,,,,Oui,,,,Oui,,,136 kWh/m²,,,,510 m²,,,,,,,,,,,,,,Oud-Turnhout,,,
145,À définir,,4,,18 m²,Non,,Connecté,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",Non,,"Grote Markt 22
2300 - Turnhout",4531440,,Zone non inondable,Excellent état,,4,1,2,,,,,531 m²,,Oui,,,,,Oui,,389.000 €,,,,,16 m²,13 m²,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11 m²,1,,,,,,,,,,,,Oud-Turnhout,,,
146,Après la signature de l’acte,1975,,3,1,1,Non,18 m,Oui,F,20210823-0002453190-RES-1,Non communiqué,Non communiqué,Non,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",Non,,"Burchtstraat 11
2200 - Herentals",4453786,,Zone non inondable,,12 m,4,1,4,,,Oui,,625 m²,Connecté,Oui,,,621 kWh/m²,Mazout,Oui,,338.000 €,,Isolé,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,Hyper équipée,,,,,,,1,,,,,,,,,,
147,Après la signature de l’acte,,,,3,1,,798 m²,Oui,531 kWh/m²,F,20200803-0002300072-KNR-1,Non communiqué,Non communiqué,Oui,Non,Non,,359.000 €,,Non,"Sint Jobsstraat 3
2200 - Herentals",,Non,Bon,,3,1,3,223 m²,,,,Non,,Oui,,,,,,,,4035926,,,,,,,,,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,À définir,2007,,Hyper équipée,7,5,Oui,77055 m²,Oui,134 kWh/m²,B,0002209408-RES-1,Non communiqué,Non communiqué,Oui,Oui,Oui,,5.900.000 €,,Non,"Steenweg op Mol 116
2360 - OUD-TURNHOUT",,Non,Excellent état,,4,,,1007 m²,,,Oui,,,,,,Oui,,Gaz,Oui,Zone naturelle,4457776,,,,,,,,Oui,,,,,,,,,,Oui,,,,,,,Oui,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,
149,À définir,,,,3,1,,233 m²,Oui,347 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,,,,349.000 €,,Non,"Steenweg op Mol 116
2360 - OUD-TURNHOUT",,,Bon,,3,1,,200 m²,,,,Non,,,,,,,,,,4522197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Après la signature de l’acte,,,,3,1,,351 m²,Oui,531 kWh/m²,F,20200803-0002300072-KNR-1,Non communiqué,Non communiqué,,,,,255.000 €,,Non,"Sint Jobsstraat 3
2200 - Herentals",,,Bon,,2,,3,223 m²,,,,Non,,,,,,,,,,4184454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,,,4,3,,2100 m²,Oui,203 kWh/m²,C,1815306,Non communiqué,Non communiqué,Oui,Oui,Non,Zone non inondable,825.000 €,,Non,"Steenweg op Mol 116
2360 - OUD-TURNHOUT",,Non,Excellent état,,4,,,350 m²,,,,,,,,,,,,,Parc résidentiel,4424599,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Après la signature de l’acte,1998,Oui,,5,3,,4500 m²,Oui,250 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Oui,Oui,Non,Zone non inondable,2.950.000 €,,Non,"Grote Markt 22
2300 - Turnhout",,Non,,,4,3,3,475 m²,,,,,,,,,,,,,Parc résidentiel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,4225856,,Turnhout,,,
153,,1991,,,4,2,,3080 m²,,130 kWh/m²,B,0421484-3,Non communiqué,Non communiqué,Oui,Oui,Non,Zone non inondable,1.275.000 €,,Non,"Steenweg op Mol 116
2360 - OUD-TURNHOUT",,,,,4,2,,515 m²,,,,,,,,,,,,,Parc résidentiel,4451402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Après la signature de l’acte,2007,,Hyper équipée,7,5,Oui,77055 m²,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,5.900.000 €,,Non,"Heidestatiestraat 53
2920 - Kalmthout",,,Excellent état,,4,2,2,1007 m²,,,,Non,,,,,Oui,,Gaz,Oui,,4419885,,,,,,,,Oui,,,,,,,,,,,,,,,,,Non,,Oui,,Oui,,,Oui,,,,,,,,,,,,,,,,,,,,,
