,À partir de,Année de construction,Salon,Type de cuisine,Chambres,Salles de bains,Grenier,Surface du terrain,Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Type de zone inondable,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Nom de l'agent,Procédure pour violation de la réglementation urbanistique,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface habitable,Combien de feux ouverts ?,Toilettes,Bureau,Meublé,Largeur du terrain à rue,"Eau, gaz & électricité",Jardin,Orientation du jardin,Accès sécurisé / alarme,Attestation as-built,Type de chauffage,Double vitrage,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Site internet,Type d’environnement,Surface du salon,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la terrasse,Dressing,Cave,Raccordement à l'égout,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Salle à manger,Buanderie,Espace professionnel,Surface du grenier,Isolé,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Surface du jardin,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Chauffe-eau commun,Type de construction,Visite virtuelle,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Surface de la cave,Orientation de la terrasse,Nombre d'annexes,Salles de douche,Surface de bureau,Surface de l'espace professionnel,Attestation de conformité des citernes à mazout,Obligation de construire,Référence externe,Surface constructible totale au sol,Quartier ou lieu-dit,Niveau E (performance énergétique globale),Disponible le,Charges mensuelles
105,Après la signature de l’acte,1978,,16 m²,33 m²,2,,35 m,,E,20170831-0001989281-1,Non communiqué,Non communiqué,Non,Non,Non,Zone non inondable,Parc résidentiel,3.730 €,Non,"Geelsebaan 1 bus7
2460 - Kasterlee",BRE/25514,,,Bon,17.5 m,4,2,3,120 m²,Équipée,Oui,Non,2079 m²,Oui,,Ouest,45 m²,Non,Non,Non,Oui,589.000 €,,"Zone d'habitat (résidentiel, urbain ou rural)",1,4,20 m²,34 m²,Non,2,,,Oui,,,,18 m²,,,,,,,,,,Non,Non,Oui,Oui,,Oui,,,469 kWh/m²,,,,392 m²,Non,,,,,,3,Oui,,Mazout,Oui,,,,,,
106,Après la signature de l’acte,1969,,Équipée,3,1,,209 m²,,483 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Oui,Oui,Non,Zone non inondable,275.000 €,731 €,Non,"Geelsebaan 1 bus7
2460 - Kasterlee",,Non,À rafraîchir,7 m,2,2,,150 m²,,1,Oui,Non,7 m,,Oui,Ouest,,,Gaz,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",,,28 m²,7 m²,16 m²,16 m²,,Non,,,Non,,,,,,40 m²,,,,,,,,,,,,,,,,,,,,,12 m²,,,1 m²,,,1,5 m²,,Non,Non,BRE/25531,68 m²,,,,
107,,2014,Équipée,37 m²,2,2,,18.6 m,,B,13031-G-2012/9045/EP10088/A001/D01/SD001,Non communiqué,Non communiqué,Oui,112 m²,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",1.046 €,Non,"PARKLAAN 46
2300 - Turnhout",04/8222,,Zone non inondable,Bon,12.15 m,4,1,1,Oui,,Non,Non,Non,Connecté,Oui,Nord-est,103.76 kWh/m²,,,,Oui,444.000 €,,Pays,,4,,,,,,Oui,,,,,,,,,484 m²,,,,,,,,,,,,,,,,,,220 m²,,,,,,,,,,,,,Non,,,,
108,Immédiatement,2017,,Équipée,3,1,,370 m²,,110 kWh/m²,B,13031-G-2012/9009/EP16664/A004/D01/SD001,Non communiqué,Non communiqué,Oui,,Non,Zone non inondable,319.500 €,,Non,,,Non,Excellent état,,3,1,1,140 m²,,2,Non,Non,,Oui,,,Non,,Gaz,Oui,,,,34 m²,,13 m²,10 m²,30 m²,Non,,Connecté,Non,Non,Non,,Oui,Non,,,Non,Non,Non,Oui,Non,269 m²,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Toutes sortes,,9 m²,,,,Sud-est,,,,,,,,,,58,,
109,Après la signature de l’acte,2013,,,3,1,,390 m²,,83 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Oui,Oui,,Zone non inondable,439.000 €,1.863 €,Non,,,Non,Excellent état,,2,,,253 m²,,2,Non,Non,,Oui,,Sud,Non,,Gaz,Oui,,,Aménagé,,24 m²,,,,Oui,,,Non,Oui,Oui,,,Non,,,Non,Non,Non,Non,Non,230 m²,Non,Non,Non,Non,Oui,Oui,Oui,Non,Non,Oui,Non,Toutes sortes,,,,,,,,1,,,,,,,,53,,
110,Après la signature de l’acte,1966,,,4,1,,492 m²,,518 kWh/m²,F,20210803-0002447688-RES-1,Non communiqué,Non communiqué,Oui,Oui,,Zone non inondable,365.000 €,,Non,,,,À rénover,,4,,,193 m²,,1,Non,Non,15 m,Oui,,Sud-est,,,Gaz,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",,"Zone d'habitat (résidentiel, urbain ou rural)",32 m²,11 m²,,,20 m²,Non,,Connecté,Non,Non,Non,Oui,Oui,Non,,,Non,Oui,Non,Non,Oui,365 m²,,,,,,,,,,,Non,,,,,,24 m²,Sud-est,,,,,,,,,,,,
111,,2010,,45 m²,5,Non,,40 m,,B,13031-G-2008/8174/EP02544/A001/D01/SD001,Non communiqué,Non communiqué,Gaz,Villa,Non,Non,Parc résidentiel,6.291 €,Non,"PARKLAAN 46
2300 - Turnhout",04/10482,,Zone non inondable,Excellent état,26.6 m,4,1,,64 m²,,,180 m²,Non,Connecté,Oui,Sud-est,Oui,Non,,Oui,Oui,1.895.000 €,,,Équipée,5,,,,,,Oui,,,,,,,,,Non,,,,,,,Non,Non,Oui,,Non,,,138.62 kWh/m²,,,Non,865 m²,,,,Non,,,,,,,,,,,,,
112,Après la signature de l’acte,,,Équipée,2,1,,120 m²,,386 kWh/m²,D,20191015-0002207035-RES-1,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,209.500 €,277 €,Non,"Geelsebaan 1 bus7
2460 - Kasterlee",,Non,Fraîchement rénové,,2,,,89 m²,,1,Non,Non,,,Oui,Sud,,,,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",,,25 m²,16 m²,10 m²,12 m²,20 m²,Non,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 m²,,,1,,,Non,Non,BRE/25524,,,,,
113,À définir,1995,,Équipée,4,1,,798 m²,,294 kWh/m²,C,2463461,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,449.000 €,,Non,"Kempenlaan 32
2300 - Turnhout",,Non,Bon,,4,2,,275 m²,1,2,Oui,Non,,Oui,Oui,Nord-est,Oui,Non,Gaz,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",36200 - TUR-21-AGH-0,"Zone d'habitat (résidentiel, urbain ou rural)",33 m²,22 m²,17 m²,17 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,17 m²,12 m²,,,,,1,13 m²,,,,,,,,,
114,Après la signature de l’acte,,,28 m²,20 m²,1,,8.21 m,,D,Non communiqué,Non communiqué,Non communiqué,Non,Non,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",601 €,Non,"Geelsebaan 1 bus7
2460 - Kasterlee",BRE/25493,,Zone non inondable,Bon,5.5 m,3,,2,32 m²,,Oui,8 m²,262 m²,Oui,,Est,16 m²,,,Oui,Oui,244.500 €,,,Équipée,3,12 m²,14 m²,381 kWh/m²,1,,,Oui,,,,Non,,,,,,,,,,,,,,,,,,,,,,175 m²,Non,,,Non,,,1,,,Électrique,Non,,,,,,
