,À partir de,État du bâtiment,Nombre de façades,Type d’environnement,Surface habitable,Type de cuisine,Chambres,Salles de bains,Cave,Meublé,Surface du terrain,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface de la terrasse,Ascenseur,Accessible aux personnes avec un handicap,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Permis de bâtir obtenu,Surface constructible totale au sol,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Référence externe,Année de construction,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Dressing,Bureau,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Obligation de construire,Type de zone inondable,Site internet,Largeur de la façade à rue,Espace professionnel,Grenier,Porte blindée,Surface du jardin,Orientation du jardin,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Salle à manger,Surface de la chambre 3,Surface de la chambre 4,Jardin,Salles de douche,Toilettes,Terrasse,Parlophone,Surface du salon,Surface de la cave,Attestation de conformité des citernes à mazout,Parkings intérieurs,Accès sécurisé / alarme,Attestation as-built,Interphone vidéo,Orientation de la terrasse,Concierge,Climatisation,Jacuzzi,Sauna,Piscine,Internet,Type de construction,Quartier ou lieu-dit,Parkings extérieurs,Combien de feux ouverts ?,Visite virtuelle,Buanderie,Surface de bureau,Surface du grenier,Isolé,Nom de l'agent,Niveau E (performance énergétique globale),Salon,Surface de la chambre 5,Surface de l'espace professionnel,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Disponible le,Nombre d'annexes,Charges mensuelles,Nom du bien
31,,À rénover,,Urbain,240 m²,Pas équipée,6,1,,Non,100 m²,5 m,Non connecté,Non,,,,543 kWh/m²,F,20210106-0002352078-RES-1,Non communiqué,Non communiqué,,Non,Oui,100 m²,Non,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",339.000 €,912 €,Non,"Duboisstraat 39
2060 - Antwerpen",,,9 m²,11 m²,20 m²,,Non,,,,,,Zone non inondable,WV10,5 m,,,Non,,,,,,,,13 m²,13 m²,,,2,,,,25 m²,,,,,,,,,,,,,,,,,,,,,,,,,7 m²,,,,,,,,,
32,À la livraison,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,,Non,Oui,Non,,,,Oui,"Bischoppenhoflaan 284
2100 - Deurne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Immédiatement,Fraîchement rénové,1,"Zone d'habitat (résidentiel, urbain ou rural)",100 m²,,3,1,,Non,35 m²,4 m,Connecté,Oui,,,,288 kWh/m²,C,2020927-0002226316-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Oui,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",209.000 €,280 €,,"Herentalsebaan, 2
2140 - Borgerhout",,,,14 m²,14 m²,,Oui,Oui,,,Oui,,Zone non inondable,,4 m,Oui,,,,,,,,,,13 m²,,,,2,,,25 m²,30 m²,,,,,,,,,,,,,,Terlo plein,,,,Oui,14 m²,,,,,,,14 m²,,,,,,,,
34,,À rénover,2,,208 m²,,6,3,Oui,Non,94 m²,,Connecté,Oui,,,,566 kWh/m²,F,2406315,Non communiqué,Non communiqué,Mazout,Oui,,,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",285.000 €,456 €,Non,"Vrijheid 147
2320 - Hoogstraten",21/101,,,,,,,,,,,,Zone non inondable,,,,,Non,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566,,,,,,,,,,,
35,,À rénover,2,,92 m²,,3,1,,Non,37 m²,,Non connecté,Oui,,,,371 kWh/m²,D,20120626-0001153558-00000001-0,Non communiqué,Non communiqué,Gaz,Oui,,,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",219.900 €,,Non,"Vrijheid 147
2320 - Hoogstraten",2021/145,,9 m²,,,,,,,,,,Zone non inondable,,,,,Non,,,Non,Non,Non,Non,,,,,,,,,10 m²,17 m²,,,,,,,,,,,,,,,,,,,,,,,371,,,,,,,,,,,
36,Après la signature de l’acte,Fraîchement rénové,2,,354 m²,,6,3,,,109 m²,,Connecté,Oui,14 m²,,,289 kWh/m²,C,2381564,Non communiqué,Non communiqué,,,,,,,,,595.000 €,,Oui,"Leopoldstraat 77
2000 - Anvers",,,,,,,,,,,,,,4496369,5.5 m,,,,24 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,
37,,,,,139 m²,Équipée,5,1,,,46 m²,,Connecté,Oui,,,,260 kWh/m²,C,2412594,Non communiqué,Non communiqué,Gaz,Oui,Oui,46 m²,,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",295.000 €,,Non,"Turnhoutsebaan 175
2110 - Wijnegem",VKW0817,,10 m²,11 m²,10 m²,Non,Non,Non,Non,Non,Non,Non,Zone non inondable,,4.5 m,,,,,Ouest,,,,,,15 m²,8 m²,Oui,,,,,,30 m²,,,,,,,,,,,,,,,,,,,,8 m²,,,,,15 m²,,,,,,,,,
38,,,,,210 m²,,5,1,,,70 m²,,Connecté,Oui,,,,295 kWh/m²,C,2413754,Non communiqué,Non communiqué,Gaz,Oui,Oui,65 m²,,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",365.000 €,1.023 €,Non,"Turnhoutsebaan 175
2110 - Wijnegem",VKW0773,,12 m²,11 m²,22 m²,Non,Non,Non,Non,Non,Non,Non,Zone non inondable,,5.07 m,,,,,,,,,,,12 m²,10 m²,,,1,,,,40 m²,,1,,,,,,,,,,,,,,,,,,,,,,,21 m²,,,,,,,,,
39,Selon le locataire,,2,Urbain,265 m²,,8,8,Oui,Non,76 m²,,,Oui,,Non,,159 kWh/m²,B,1785258,Non communiqué,Non communiqué,Gaz,Oui,,,,,,,399.000 €,,Oui,"Korte Nieuwstraat 16
2000 - Antwerpen",,,,,,,,,,,,,,4402949,,,,,,,,,,,,,,,8,8,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,
40,,,,,,,2,,,Non,,,,,,,,135 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,Oui,Oui,,,,,,769.000 €,,Oui,"Ter Elstlei 14/1
2570 - Duffel",,,,,,,,,,,,,Zone non inondable,387 - 1554,,,,,,,,,,,,,,,,,Oui,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
