,À partir de,État du bâtiment,Nombre de façades,Type d’environnement,Surface habitable,Type de cuisine,Chambres,Salles de bains,Cave,Meublé,Surface du terrain,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface de la terrasse,Ascenseur,Accessible aux personnes avec un handicap,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Permis de bâtir obtenu,Surface constructible totale au sol,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Référence externe,Année de construction,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Dressing,Bureau,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Obligation de construire,Type de zone inondable,Site internet,Largeur de la façade à rue,Espace professionnel,Grenier,Porte blindée,Surface du jardin,Orientation du jardin,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Salle à manger,Surface de la chambre 3,Surface de la chambre 4,Jardin,Salles de douche,Toilettes,Terrasse,Parlophone,Surface du salon,Surface de la cave,Attestation de conformité des citernes à mazout,Parkings intérieurs,Accès sécurisé / alarme,Attestation as-built,Interphone vidéo,Orientation de la terrasse,Concierge,Climatisation,Jacuzzi,Sauna,Piscine,Internet,Type de construction,Quartier ou lieu-dit,Parkings extérieurs,Combien de feux ouverts ?,Visite virtuelle,Buanderie,Surface de bureau,Surface du grenier,Isolé,Nom de l'agent,Niveau E (performance énergétique globale),Salon,Surface de la chambre 5,Surface de l'espace professionnel,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Disponible le,Nombre d'annexes,Charges mensuelles,Nom du bien
51,,Bon,2,,128 m²,,2,,,Non,210 m²,,Connecté,Oui,,Non,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",449.000 €,1.560 €,Oui,"Vrijheid 147
2320 - Hoogstraten",2021/169,,,,,,,,,,,,Zone non inondable,,,,,Oui,,,Non,Non,Non,Non,,,,,,,,,,,,,Non,,,,,,,,,,Immeuble à appartements,,,,,,,,,,,,,,,,,,,,,
52,À définir,Fraîchement rénové,1,"Zone d'habitat (résidentiel, urbain ou rural)",,Équipée,3,1,,Non,400 m²,,Connecté,Oui,,Non,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,,,,389.000 €,312 €,Non,,,,,,,Non,Non,Oui,Non,Non,Non,,Zone non inondable,,,Non,,Non,280 m²,Ouest,Non,Non,Non,Non,,,,,,2,,Non,,,,,Non,,Non,,Non,Non,Non,Non,Non,Oui,,,,,,,,,,,,,,,,,,,,,,
53,À la livraison,Excellent état,2,,71 m²,,2,1,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,640.871 €,,Oui,"Begijneweide 3
2800 - Mechelen",,,,,,,,,,,,,,4499285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,À rénover,2,,153 m²,,4,1,,Non,235 m²,,,,,,,518 kWh/m²,F,20210825-0002455983-RES-1,1 kg CO₂/m²,Non communiqué,,,Oui,,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",269.000 €,,Non,"Strijdersstraat 24
2650 - Edegem",,1925,,,,,,,,,,,Zone non inondable,4489273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Après la signature de l’acte,À rénover,4,Pays,150 m²,Pas équipée,3,1,,,2655 m²,,Non connecté,Oui,,,,472 kWh/m²,E,20160701-0001876889-1,Non communiqué,Non communiqué,Mazout,Oui,Oui,187 m²,Non,Oui,Non,Zone agricole,425.000 €,827 €,Non,"Waalsekaai 32
2000 - Antwerpen",,1965,,20 m²,15 m²,,,,,,,,Zone non inondable,4507615,11 m,,,,2470 m²,,,,,,,12 m²,,,1,1,Oui,,33 m²,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
56,À définir,Bon,2,,123 m²,Hyper équipée,2,1,Oui,Non,99 m²,,Connecté,Oui,,,,255 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",Faire offre à partir de 219.000 €,711 €,Non,"Hundelgemsesteenweg, 306
9820 - Merelbeke",,1932,14 m²,20 m²,20 m²,,,,,,,,Zone d'inondation reconnue,4518059,,,,,33 m²,,,,,,,,,,,2,,,40 m²,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
57,À définir,À rénover,4,"Zone d'habitat (résidentiel, urbain ou rural)",160 m²,Hyper équipée,3,1,Oui,,1438 m²,20 m,Connecté,Non,25 m²,,,829 kWh/m²,F,20210808-0002448668-RES-1,Non communiqué,Non communiqué,Électrique,Oui,Oui,182 m²,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",485.000 €,1.041 €,Non,"Waalsekaai 32
2000 - Antwerpen",,1985,9 m²,13 m²,7 m²,,,,,,,,Zone non inondable,4454931,,,Oui,,1030 m²,,,,,,,7 m²,,,1,2,,,36 m²,,,2,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,28 février 2022 - 00:00,,,
58,1979,,,,3,,231 m²,240 kWh/m²,,,C,,,,,,,20210729-0002445585-RES-1,Non communiqué,Non communiqué,Oui,Oui,,,Non,,Zone non inondable,250.000 €,,,,"Merksemsebaan 79
2110 - WIJNEGEM",Dorothy NAUDTS,,,158 m²,,,,,,,,,,,1.056 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,1,,,Non,"nl :
sleutel in bruikleen te verkrijgen mits borg van € 20, na afspraak met het notariskantoor",Après la signature de l’acte,Non,,,,
59,À définir,Bon,3,,147 m²,Équipée,3,2,Oui,Non,595 m²,,,Oui,,,,483 kWh/m²,E,20210916-0002464890,Non communiqué,Non communiqué,Mazout,,Oui,,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",385.000 €,1.047 €,Non,"Bischoppenhoflaan 284
2100 - Deurne",,1957,,,,,,,,,,,Zone non inondable,38848 - DEU-21-NST-0,6 m,,,,,Nord-est,,,,,,,,Oui,,2,,,,,,1,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Après la signature de l’acte,Fraîchement rénové,2,Pays,115 m²,Équipée,3,1,,Non,595 m²,,Connecté,Oui,,,,118 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,,,,345.000 €,290 €,Non,,,1956,,15 m²,12 m²,Non,Non,Non,Non,Non,Non,,,,5 m,Non,,Non,,,,,,,,31 m²,,,1,2,,,,,,,,Non,,,,,,,,,Toutes sortes,,,,,,,,,,,,,,,,,,,,,
61,Après la signature de l’acte,,3,,212 m²,Américaine hyper-équipée,3,2,,Non,230 m²,9 m,,,,,,97 kWh/m²,A,20210930-0002470782-RES-1,Non communiqué,Non communiqué,,Oui,Oui,,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",524.000 €,,Non,"Bredabaan 260
2930 - Brasschaat",,2021,,,,,,,,,,,Zone non inondable,39927 - BRA-21-KHE-0,6 m,,,,,Nord-ouest,,,,,,,,Oui,,2,,,57 m²,,,1,,Non,Oui,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,
62,Après la signature de l’acte,Fraîchement rénové,3,"Zone d'habitat (résidentiel, urbain ou rural)",115 m²,Semi-équipée,2,1,,Non,175 m²,,Connecté,Oui,,,,500 kWh/m²,E,202110816-0002452162-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Oui,,Non,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",314.000 €,478 €,,"Mussenhoevelaan 101
2530 - Boechout",,1939,11 m²,18 m²,14 m²,,,Oui,,,Oui,,,,5 m,,,,73 m²,,,,,,Oui,,,,,2,,,27 m²,9 m²,,,,Non,,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,À la livraison,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,,Non,Oui,Non,,,,Oui,"Bischoppenhoflaan 284
2100 - Deurne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,À rénover,4,"Zone d'habitat (résidentiel, urbain ou rural)",195 m²,Pas équipée,3,1,,Non,1680 m²,20 m,Connecté,Oui,,,,745 kWh/m²,F,20150811-0001783686-1,Non communiqué,Non communiqué,,,Oui,,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",489.000 €,902 €,,"Mussenhoevelaan 101
2530 - Boechout",,1961,16 m²,15 m²,15 m²,,,Oui,,Oui,Oui,,,,11 m,,,,1200 m²,Nord,,,,,Oui,11 m²,,,,2,,,27 m²,,,1,,Non,,Nord,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
65,,À rafraîchir,2,Urbain,110 m²,Semi-équipée,2,1,,Non,131 m²,,,,,Non,Oui,415 kWh/m²,E,20210923-0002467874-RES-1,Non communiqué,Non communiqué,Gaz,,Oui,,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",249.000 €,770 €,Non,"Turnhoutsebaan 98
2100 - Deurne",,1967,,,,,,,,,,,Zone non inondable,D2100-21042,,,,,60 m²,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,1,,,,,,,,,,,,,,,,,,,
66,,Bon,,,674 m²,Équipée,4,2,,Non,894 m²,,Connecté,Oui,,Non,Non,177 kWh/m²,B,20210818-0002453115-RES-1,Non communiqué,Non communiqué,,Oui,Oui,,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",985.000 €,,Non,"Turnhoutsebaan 149/151
2970 - Schilde",,1989,,,,,Non,,,,,,Zone non inondable,06/10320,,,,Non,,Sud,,,,,,,,Oui,,4,,Non,,93 m²,,1,Oui,,Oui,,,,,,Non,,,,2,,,,,,,,,Oui,,,,,,,,,,
67,Après la signature de l’acte,Excellent état,4,,192 m²,Hyper équipée,4,1,,Non,525 m²,15 m,,Oui,25 m²,Non,Non,193 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,,,,485.000 €,,Non,,,,17 m²,25 m²,18 m²,Non,Oui,Oui,Non,Non,Oui,,Zone non inondable,,,Oui,,Oui,250 m²,Sud-ouest,Non,Non,Oui,Non,Oui,12 m²,12 m²,,,2,,Non,40 m²,,,1,Oui,,Non,,Non,Non,Oui,Non,Non,Oui,Villa,,2,,,Oui,8 m²,,,,,,,,,,,,,1,,
68,À la livraison,,3,"Zone d'habitat (résidentiel, urbain ou rural)",160 m²,,3,1,,,372 m²,13.59 m,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,,,,,,,425.000 €,,,"Absveldstraat 21
2880 - Bornem",,,,,,,,,,,,,Zone non inondable,,,,,,,Sud,,Oui,,,,,,Oui,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,4,1,,,7030 m²,,Non connecté,Non,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,,,Non,,Oui,,570.000 €,,Non,"Britselei, 24
2000 - Anvers",,,,,,Non,Non,Non,Non,Non,Non,Non,,OELEGEMSTEENWEG 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toutes sortes,,,,,,,,,,,Oui,,,,,,,,,,
70,À la livraison,Excellent état,,,,,3,,,Non,140 m²,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,Oui,,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",395.000 €,,Non,"Nijverheidsstraat 106
2160 - Wommelgem",spir684,,,,,Non,Non,,,,,Non,,,,,,,,,Non,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Après la signature de l’acte,À rafraîchir,,,,Équipée,2,2,Oui,Non,478 m²,,,,47 m²,,,521 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Mazout,Oui,Oui,,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",375.000 €,863 €,Non,"Dascottelei, 152
2100 - Deurne",,,,,,,,,,,,,,5117 - 2702,7 m,,,,300 m²,,,,,,,,,,,3,,,33 m²,,,1,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Après la signature de l’acte,Excellent état,4,,240 m²,Équipée,4,1,,Non,875 m²,17.5 m,,Oui,28 m²,,,951 kWh/m²,F,20210930-0002470922-RES-1,Non communiqué,Non communiqué,Électrique,Oui,Oui,,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",570.000 €,,Non,"Theo Verellenlaan 19
2990 - Wuustwezel",,1985,13 m²,16 m²,12 m²,,,,,,,,Zone non inondable,1314392 - 1307887,,,,,350 m²,Nord,,,,,,,,,,2,,,41 m²,,,5,,Non,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,,
73,À la livraison,,3,,160 m²,Équipée,3,1,,Non,372 m²,,,Non,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,,,Oui,Non,,,425.000 €,,Non,,,,,,,Non,Non,Oui,Non,Non,Oui,,Zone non inondable,,7 m,Non,,Non,,,Non,Non,Oui,Non,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,À définir,À rafraîchir,2,,185 m²,Équipée,3,1,,Non,210 m²,7 m,Connecté,Oui,15 m²,Non,Non,164 kWh/m²,B,20100524-0000542131-00000010-5,164 kg CO₂/m²,Non communiqué,Gaz,Oui,,77 m²,,,,,379.000 €,1.395 €,Non,,,1985,9 m²,18 m²,14 m²,Non,Non,Non,Non,Non,Non,,Zone non inondable,,7 m,Non,,Non,80 m²,Sud-est,Non,Non,Oui,Non,Oui,9 m²,,,,2,,Oui,52 m²,4 m²,,1,Non,,Oui,Sud-est,Non,Non,Non,Non,Non,Oui,Maison bel-étage,,1,,,Oui,,,,,,,,,,,,,,,67 €,
75,Après la signature de l’acte,Bon,4,"Zone d'habitat (résidentiel, urbain ou rural)",250 m²,Équipée,5,1,,Non,170 m²,,,,,Non,Non,544 kWh/m²,F,20210930-0002470785-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",320.000 €,651 €,Non,"Tavernierkaai 2 b 29
2000 - Antwerpen",spir4547,1920,,,,Non,Non,,,,,Non,Zone non inondable,,5 m,,,,73 m²,Sud,Non,,,,,,,,1,2,,Non,,,Non,,Non,,Oui,,Non,,,,Non,,,,,,,,,,,,,Oui,,,,,,,,,,
76,,Bon,2,Urbain,120 m²,Équipée,2,1,,Non,115 m²,,,,35 m²,,,224 kWh/m²,C,20210810-0002449810-RES-1,Non communiqué,Non communiqué,Gaz,,Oui,,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",249.900 €,550 €,Non,"Lambrechtshoekenlaan 183
2170 - Merksem",,1949,,,,,,,,,,,Zone non inondable,D2170-21034,,,,,35 m²,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 mars 2022 - 00:00,,,
77,,À rénover,2,Urbain,169 m²,Équipée,3,1,,Non,207 m²,,,,18 m²,,,318 kWh/m²,D,20210811-0002450331-RES-1,Non communiqué,Non communiqué,Gaz,,Oui,,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",289.900 €,1.160 €,Non,"Turnhoutsebaan 98
2100 - Deurne",,1967,,,,,,,,,,,Zone non inondable,D2170-21035,,,,,128 m²,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
78,Après la signature de l’acte,,2,Urbain,44 m²,10 m²,15 m²,2,169 m²,,Connecté,,Oui,20 m²,344 kWh/m²,,,D,0002464728,Non communiqué,Non communiqué,Gaz,Oui,Non,,,,Zone non inondable,,385.000 €,979 €,Non,"Nerviërslei 6
2900 - Schoten",4500421,,1953,5,16 m²,16 m²,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,6 m,,,,,,,,,,,36 m²,5 m²,,,Oui,,,Hyper équipée,,,,,,,,,,,,,,,,,,210 m²,,,,,,,,1,,,,,,,,,
79,Après la signature de l’acte,Excellent état,2,"Zone d'habitat (résidentiel, urbain ou rural)",390 m²,Hyper équipée,6,4,,Non,750 m²,,,Oui,,,,227 kWh/m²,C,20210624-0002433647-RES-1,Non communiqué,Non communiqué,,,Oui,,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",1.575.000 €,5.121 €,Oui,"Korte Sint-Rochusstraat 10
2100 - Deurne",,,,,,,,Oui,,Oui,Oui,,Zone non inondable,,,,,,,,,,,,Oui,,,,,4,Oui,Oui,,,,,,Non,,,,,,,,,,,,,,Oui,,,,,,Oui,,,,,,,,,,
80,Après la signature de l’acte,Excellent état,2,Aménagé,185 m²,,3,1,,Non,205 m²,,Connecté,Oui,,Non,Non,187 kWh/m²,B,20210705-0002437868-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,,,,,,394.000 €,,Non,,,1998,,17 m²,13 m²,Non,Non,Oui,Non,Non,Non,,,,6 m,Non,Oui,Non,60 m²,,Non,Non,Non,Non,Oui,11 m²,,,,1,,Oui,,,,,Oui,,Non,,Non,Non,Non,Non,Non,Oui,,,,,,Oui,,,Oui,,,Oui,,,,,,,,,,
81,Après la signature de l’acte,Excellent état,3,"Zone d'habitat (résidentiel, urbain ou rural)",150 m²,Hyper équipée,3,1,,Non,350 m²,8 m,Connecté,Oui,18 m²,Non,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",429.000 €,917 €,Non,,,1965,15 m²,18 m²,17 m²,Oui,Oui,Non,Non,Non,Non,,Zone non inondable,,9 m,Oui,,Oui,200 m²,,Non,Non,Non,Non,Oui,7 m²,,,1,2,,Non,39 m²,22 m²,,1,Oui,,Non,,Non,Oui,Non,Non,Non,Non,,,2,,,Oui,,,,,,,,,,,,,,,,
82,,Bon,4,Urbain,128 m²,Équipée,3,1,,Non,125 m²,,,,,,,436 kWh/m²,E,20210830-0002457763-RES-1,Non communiqué,Non communiqué,Gaz,,Oui,,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",279.900 €,676 €,Non,"Lambrechtshoekenlaan 183
2170 - Merksem",,1945,,,,,,,,,,,Zone d'inondation reconnue,D2170-21046,,,,,65 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Après la signature de l’acte,Fraîchement rénové,2,"Zone d'habitat (résidentiel, urbain ou rural)",144 m²,Hyper équipée,3,1,,,75 m²,,Connecté,Oui,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",335.000 €,,Non,"Oever 21
2000 - Antwerpen",,1950,,12 m²,10 m²,,,,,,,,Zone non inondable,MADE,5 m,,,,30 m²,Est,,,,,Oui,25 m²,,,1,1,,Oui,,40 m²,,,,Non,,,,,,,,,,,,,,Oui,,,,,,Oui,,,,,,,,,,
84,Après la signature de l’acte,Excellent état,2,,147 m²,,4,1,,Non,177 m²,,Connecté,Oui,,,,Non communiqué,Non communiqué,20210907-0002461047-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,,,,Non,,375.000 €,1.164 €,Non,,,1992,,21 m²,15 m²,Non,Non,Non,Non,Non,Oui,,Zone non inondable,,7 m,Non,,Non,68 m²,Sud-ouest,Non,Oui,Non,Non,,13 m²,10 m²,,,2,,,,,,1,,,,,,,,,,,Toutes sortes,,2,,,,,,,,,,,,,,,,,,,
85,Après la signature de l’acte,Excellent état,2,,175 m²,Hyper équipée,2,1,,,180 m²,6 m,Connecté,Oui,,,,300 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,,,,397.900 €,1.279 €,Non,"Mechelsesteenweg,157
2018 - Antwerpen",4295995,1970,,31 m²,10 m²,,,,,,,,,,,,,,100 m²,,,,,,,,,,1,2,Oui,,,,,1,,,Oui,,,,,,,,,,3,,,,,,,,,Oui,,,,,,,,,,
86,Après la signature de l’acte,À rafraîchir,2,,154 m²,Semi-équipée,2,2,,Non,81 m²,,,Non,,,,826 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,Oui,,,,,,,199.900 €,247 €,Oui,"Mechelsesteenweg,157
2018 - Antwerpen",4348547,,,42 m²,23 m²,,,,,,,,,,4 m,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Après la signature de l’acte,Fraîchement rénové,2,Urbain,143 m²,Équipée,3,1,,Oui,30 m²,,,Oui,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",329.000 €,,Non,"Oever 21
2000 - Antwerpen",,2021,,,,,,,,,,,,MADE,,,,,30 m²,,,,,,,,,,1,2,,Oui,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lowlands
88,Après la signature de l’acte,Excellent état,1,"Zone d'habitat (résidentiel, urbain ou rural)",170 m²,Américaine équipée,3,2,,Non,130 m²,,,Oui,10 m²,Non,Non,Non communiqué,Non communiqué,11002-G-2015_171719/EP06313/A001/D02/SD001,Non communiqué,Non communiqué,Gaz,Oui,Oui,,Oui,,,,375.000 €,1.200 €,Non,,,,22 m²,14 m²,14 m²,Non,Non,Non,Non,Non,Non,,Zone non inondable,,,Non,,Non,,,Non,Non,Non,Non,Oui,9 m²,,,,2,,Non,24 m²,24 m²,"Oui, conforme",,Non,"Oui, conforme",Oui,,Non,Non,Non,Non,Non,Oui,Toutes sortes,,,,,Oui,,,,,144,,,15 m²,,,,,,,,
89,Après la signature de l’acte,Excellent état,2,"Zone d'habitat (résidentiel, urbain ou rural)",Américaine hyper-équipée,32 m²,19 m²,2,Oui,207 m²,Connecté,,Oui,Oui,,,Oui,B,20210219-0002376004-RES-1,Non communiqué,Non communiqué,Non,Oui,Non,,,,Zone non inondable,,495.000 €,Non,,"Nerviërslei 6
2900 - Schoten",4396985,,1930,3,12 m²,19 m²,,Oui,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Non,,,,,,,,,1,,,,Oui,Non,Oui,,,,,,Gaz,158 kWh/m²,,,,,,,,,,,,186 m²,,,,,,,,,,,,,,,,,
90,Immédiatement,Bon,2,Rue commerçante,400 m²,Semi-équipée,3,2,Oui,Non,252 m²,,Connecté,Non,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,,Oui,Non,Non,,427.000 €,,Oui,,,,,,,Non,Non,Non,Non,Non,Non,,Zone non inondable,,7 m,Non,,Non,49 m²,,,,,,Oui,,,,,3,,,,,,,,"Oui, conforme",,,,,,,,,Toutes sortes,,,,,Oui,,,,,,Oui,,,,,,,,,,
91,Après la signature de l’acte,Excellent état,2,,165 m²,Équipée,2,1,,Non,165 m²,6 m,Connecté,Non,36 m²,,,230 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Mazout,Oui,,,,,,,399.900 €,1.105 €,Non,"Mechelsesteenweg,157
2018 - Antwerpen",4347248,,8 m²,17 m²,16 m²,,,,,,,,,,6 m,,,,84 m²,,,,,,,,,,1,2,,,49 m²,,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
92,Après la signature de l’acte,À rénover,2,Urbain,333 m²,Pas équipée,5,3,Oui,,334 m²,,Connecté,Oui,,,,892 kWh/m²,F,20210413-0002401013-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Oui,140 m²,Non,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",469.000 €,1.802 €,Oui,"Waalsekaai 32
2000 - Antwerpen",,1941,,,,,,,,,,,Zone non inondable,4536680,6 m,,,,170 m²,,,,,,,,,,3,3,Oui,,,,,1,,,,,,,,,,,,,1,,,,,,,,,Oui,,,,,,,,,,
93,Après la signature de l’acte,Bon,2,Isolé,315 m²,Américaine hyper-équipée,4,2,Oui,Non,,,Connecté,Oui,,,,159 kWh/m²,B,2437236,Non communiqué,Non communiqué,Gaz,Oui,Oui,,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",629.000 €,,Non,"Leopold De Waelplaatst 5
2000 - Antwerpen",,,,,,,,,,,,,Zone non inondable,4419720,,,,,,,,,,,,,,,,,Oui,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,À la livraison,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,,Non,Oui,Non,,,,Oui,"Bischoppenhoflaan 284
2100 - Deurne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Après la signature de l’acte,Excellent état,2,Aménagé,300 m²,Hyper équipée,3,1,,Non,300 m²,,,Oui,1 m²,Non,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,,,,,,375.000 €,,Non,,,,,,,Non,Non,Non,Non,Non,Non,,,,,Non,,Non,1 m²,,Non,Non,Non,Non,,,,,,,,Non,,,,2,Non,,Oui,,Non,Non,Non,Non,Non,Non,Maison bel-étage,,1,1,,,,,,,,,,,,,,,,1,,
96,,,2,,327 m²,,4,3,,,128 m²,,,,,,,224 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,,,,,Non,,,623.900 €,2.394 €,Oui,"Mechelsesteenweg,157
2018 - Antwerpen",4111615,,,,,,,,,,,,Zone non inondable,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,1945,,,,Oui,1,1,Oui,534 kWh/m²,,F,,,,,,,20210803-0002447817-RES-1,Non communiqué,Non communiqué,Non,Non,,,,,Zone non inondable,230.000 €,,,,"Pastorijstraat, 29
9100 - Sint-Niklaas",Kirsi VAN AERDE,,,74 m²,,,,,165 m²,,,,,,870 €,,,,,,,,,,,,3,,,,Oui,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,Équipée,,,Non,"nl :
Na telefonische afspraak met de heer Steven Eerdekens op nr. 0484/88.35.83.",Après la signature de l’acte,Non,,,,
98,,,,,,4,Oui,2,,,Non,,Oui,Oui,,Non,Oui,B,20160504--000185835-8--1,Non communiqué,Non communiqué,Gaz,Oui,372 m²,,Non,,,,825.000 €,Non,,"Italiëlei 93
2000 - Antwerpen",202101167,,1973,,,,2,635 m²,Non,Non,Non,Non connecté,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,Hyper équipée,,,,,Oui,Non,Oui,,,,1,Oui,,Non,,Non,,,,147 kWh/m²,,,,,,Oui,,,,,,,Oui,,,,,,,,,,
