,À partir de,État du bâtiment,Nombre de façades,Type d’environnement,Surface habitable,Surface du salon,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Toilettes,Surface de l'espace professionnel,Surface du terrain,Surface du jardin,Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Prix,Immeuble de rapport,Adresse,Site internet,Permis de bâtir obtenu,Autorisation de lotissement,Type de zone inondable,Année de construction,Largeur de la façade à rue,Parkings extérieurs,Dressing,Buanderie,Bureau,Espace professionnel,Meublé,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,"Eau, gaz & électricité",Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Procédure pour violation de la réglementation urbanistique,Revenu cadastral,Salon,Salle à manger,Cave,Grenier,Isolé,Parkings intérieurs,Surface de la chambre 4,Surface de bureau,Combien de feux ouverts ?,Surface du grenier,Raccordement à l'égout,Attestation de conformité des citernes à mazout,Salles de douche,Droit d'achat prioritaire possible,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Surface de la cave,Jardin,Obligation de construire,Référence externe,Niveau E (performance énergétique globale),Attestation as-built,Nom de l'agent,Quartier ou lieu-dit,Visite virtuelle,Surface constructible totale au sol,Surface de la chambre 5,Disponible le,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Nom du bien,Nombre d'annexes
94,,Excellent état,2,,213 m²,29 m²,Américaine hyper-équipée,10 m²,1,19 m²,,,1,2,50 m²,275 m²,,Oui,539 kWh/m²,F,20210809-0002448126-RES-1,Non communiqué,Non communiqué,Électrique,Oui,399.950 €,Non,"Emile Vanderveldelaan 1
2845 - Niel",4512933,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,1.172 €,,,,Oui,,1,,,,,Connecté,,,,,,,,,,,,,,,,,,,,,,
95,À la livraison,,3,,140 m²,,,,3,,,,1,2,,156 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,330.000 €,Non,"Absveldstraat 21
2880 - Bornem",,,,Zone non inondable,,,,,,,,,,Oui,,,Oui,14.5 m,,Est,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,
96,Après la signature de l’acte,Bon,2,,147 m²,,Équipée,,2,,,,1,1,,174 m²,,Oui,625 kWh/m²,F,20200715-0002294251-RES-1,Non communiqué,Non communiqué,Électrique,Oui,229.000 €,Non,"Antwerpsestraat 36/38
2850 - Boom",2184 - 21/21024/123,Oui,Non,,1940,,,,,,,Non,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,Non,,,,Oui,,,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,Non,,,,,,,,,,,,
97,,À rénover,2,Urbain,517 m²,,,,3,,,,2,3,,335 m²,68 m²,,669 kWh/m²,F,1492077,Non communiqué,Non communiqué,,Oui,399.000 €,Oui,"Nationalestraaat 90
2000 - Antwerpen",9775 - 2468,,,Zone non inondable,,8 m,,,,,,Non,,,,,,8 m,Oui,Ouest,,,,,,,,,,,,,,,,,,,Non,1.269 €,,,Oui,,,1,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,Non,,,,,,,,,,,,
98,,,3,,,,Hyper équipée,,11,,,,5,5,,,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,1.695.000 €,Oui,"Strijdersstraat 8
2650 - Edegem",1793 - 21-200xx,Oui,Non,Zone non inondable,1935,,8,,,Oui,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,Oui,,,,,40 m²,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,Non,,,,,,,,,,,,
99,Après la signature de l’acte,Excellent état,3,"Zone d'habitat (résidentiel, urbain ou rural)",200 m²,,Pas équipée,12 m²,5,14 m²,12 m²,12 m²,1,2,,150 m²,60 m²,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,329.000 €,Non,"Hoek 12
2850 - Boom",,Oui,Non,Zone non inondable,,7 m,,,Oui,,,Non,,,,,,,Oui,Sud,,Sud,,,,,,,,,,,,,,,,,Non,,Oui,Oui,,Oui,Oui,,12 m²,,1,,Connecté,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",70 m²,,,,,Non,,Centrum,,,12 m²,,,,,,,
100,À la livraison,,3,Isolé,154 m²,43 m²,Équipée,7 m²,3,13 m²,13 m²,13 m²,1,2,,283 m²,132 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,387.500 €,Non,"Korte Nieuwstraat 16
2000 - Antwerpen",4445708,Oui,Oui,Zone non inondable,2022,7.7 m,1,,,,,Non,,,,,,,Oui,,36 m²,,,Oui,Non,Oui,,,Oui,,,Non,,,,Oui,,,,,,,,,,1,,,,,Connecté,,1,Non,,,,,,,Non,,,,,,,,,,,,
101,Après la signature de l’acte,,3,,Oui,,4,,2,,,,302 m²,,,Oui,,382 kWh/m²,D,20210323-0002391347-RES-1,Non communiqué,Non communiqué,Oui,,,610 €,"Molendreef 20/01
2620 - Hemiksem",Tjen DE JONGHE,,Non,Non,330.000 €,1951,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,Non,Équipée,,,,,,,,,,,,,Zone non inondable,,,Sud-ouest,,,,,,,168 m²,,,,,,,,,
102,À définir,Excellent état,,,,,Hyper équipée,,3,,,,,1,,476 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,392.400 €,Non,"Mechelsesteenweg 35/A
2840 - Rumst",,,Oui,Zone non inondable,,,,Non,,,,Non,,,,,,,Oui,,,,,,,,,,,,,,,Non,,,,,Non,,,,,,,,,,,,Connecté,,,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,Non,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Non,"Grote Markt 16
2850 - Boom",D2850-21035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,Fraîchement rénové,2,Urbain,146 m²,,Équipée,,3,,,,,1,,210 m²,,Oui,203 kWh/m²,C,20210917-0002465542,Non communiqué,Non communiqué,Gaz,,315.000 €,Non,"Grote Markt 16
2850 - Boom",D2850-21025,Oui,,Zone non inondable,1930,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,347 €,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,
105,,Bon,2,Urbain,126 m²,,Équipée,,4,,,,1,1,,205 m²,98 m²,,346 kWh/m²,D,2418183,Non communiqué,Non communiqué,Gaz,,319.000 €,Non,"Grote Markt 16
2850 - Boom",D2850-21060,Oui,Oui,Zone non inondable,1964,,,,,,,Non,,,,,,,,,28 m²,,,,,,,,,,,,,,,,,,Non,627 €,,,,,,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,
106,,Bon,3,Urbain,293 m²,,Équipée,,3,,,,2,1,,472 m²,155 m²,,280 kWh/m²,C,0002397991,Non communiqué,Non communiqué,Gaz,,415.000 €,Non,"Grote Markt 16
2850 - Boom",D2850-21020,Oui,Oui,Zone non inondable,1957,,3,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,984 €,,,,,,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,
107,,Bon,2,Urbain,115 m²,,Équipée,,3,,,,,,,60 m²,,Oui,156 kWh/m²,B,1649615,Non communiqué,Non communiqué,Gaz,,235.000 €,Non,"Grote Markt 16
2850 - Boom",D2850-21099,Oui,Oui,Zone non inondable,1958,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,558 €,,,,,,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,
108,À définir,Excellent état,,,182 m²,,Hyper équipée,,3,,,,,2,,180 m²,,Oui,106 kWh/m²,B,20160325-0001845565-1,Non communiqué,Non communiqué,Gaz,Oui,399.000 €,Non,"Orteliuskaai, 8
2000 - Antwerpen",,,,Zone non inondable,,,,Non,,,,Non,,,,,,,Oui,Sud-ouest,,Sud-ouest,,,,,,,,,,,,Non,Oui,Oui,,,,1.026 €,,,,,,1,,,,,Connecté,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,,,,,,,,,,,,,,,
109,,Bon,3,,570 m²,,,,7,,,,1,,,660 m²,,,381 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,1.250.000 €,Non,"Marktplein 11
9220 - Hamme",,Oui,,Zone non inondable,,,,,,,,Non,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,Non,,,,,,,2,,,,,,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,15160 - 114121123,,Non,,,,,,,,,,,,
110,,Excellent état,3,"Zone d'habitat (résidentiel, urbain ou rural)",216 m²,,Hyper équipée,,4,,,,1,2,54 m²,134 m²,,,30 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,334.300 €,,"Wateringstraat 40
2400 - Mol",,,Oui,Zone non inondable,2021,6 m,1,Oui,Oui,Oui,Oui,,,Oui,,,,6 m,Oui,,,,,,,,,,,,,,,,Oui,,,,Non,,,,,,,1,,,,,Connecté,,1,Non,"Zone d'habitat (résidentiel, urbain ou rural)",54 m²,,,,,,,,,,,,,,,,2 LOTEN BEL ETAGE NIEUWBOUW-WONINGEN,
111,,Excellent état,2,"Zone d'habitat (résidentiel, urbain ou rural)",216 m²,,Hyper équipée,,4,,,,1,2,54 m²,150 m²,,,30 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,374.300 €,,"Wateringstraat 40
2400 - Mol",,,Oui,Zone non inondable,2021,6 m,1,Oui,Oui,Oui,Oui,,,Oui,,,Oui,6 m,Oui,,,,,,,,,,,,,,,,Oui,,,,Non,,,,,,,1,,,,,Connecté,,1,Non,"Zone d'habitat (résidentiel, urbain ou rural)",54 m²,,,,,,,,,,,,,,,,2 Bel-etage gesloten bebouwing,
112,,Excellent état,2,"Zone d'habitat (résidentiel, urbain ou rural)",216 m²,,Hyper équipée,,4,,,,1,2,54 m²,155 m²,,,30 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,379.300 €,,"Wateringstraat 40
2400 - Mol",,,Oui,Zone non inondable,2021,6 m,1,Oui,Oui,Oui,Oui,,,Oui,,,Oui,6 m,Oui,,,,,,,,,,,,,,,,Oui,,,,Non,,,,,,,1,,,,,Connecté,,1,Non,"Zone d'habitat (résidentiel, urbain ou rural)",54 m²,,,,,,,,,,,,,,,,2 Bel-etage gesloten bebouwing,
113,,Bon,3,,570 m²,,,,7,,,,1,,,660 m²,,,381 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,1.250.000 €,Non,"Zuidlaan 2
9200 - Dendermonde",15094 - 114121139,Oui,,Zone non inondable,,,,,,,,Non,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,Non,,,,,,,2,,,,,,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,Non,,,,,,,,,,,,
114,,,3,,,,,,4,,,,1,2,,371 m²,,,599 kWh/m²,F,20151230-0001823112-1,Non communiqué,Non communiqué,Gaz,Oui,368.000 €,Non,"Barones L. de Borrekenslaan 84
2630 - Aartselaar",,Oui,,Zone non inondable,1950,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,884 €,,,Oui,,,2,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,16816 - 3186TK H,,Non,,,,,,,,,,,,
115,,Excellent état,2,"Zone d'habitat (résidentiel, urbain ou rural)",216 m²,,Hyper équipée,,4,,,,1,2,,254 m²,,,30 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,384.300 €,,"Wateringstraat 40
2400 - Mol",,,Oui,Zone non inondable,2021,,1,Oui,Oui,,,,,Oui,,,Oui,6 m,Oui,,,,,,,,,,,,,,,,Oui,,,,Non,,,,,,,1,,,,,Connecté,,1,Non,"Zone d'habitat (résidentiel, urbain ou rural)",54 m²,,,,,,,,,,,,,,,,2 LOTEN BEL ETAGE NIEUWBOUW-WONINGEN,
116,,Excellent état,4,"Zone d'habitat (résidentiel, urbain ou rural)",50 m²,Hyper équipée,13 m²,3,25 m²,22 m²,6 m²,1,2,35 m²,,Connecté,100 m²,,B,20210602-0002423768-RES-2,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,"Waalsekaai 32
2000 - Antwerpen",4382111,,150 m²,Non,"Zone d'habitat (résidentiel, urbain ou rural)",1993,8 m,2,,,840 m²,,,,,,,,,700 m²,,Non,,,Non,Oui,,Non,,,,,195 kWh/m²,,,,,,,Zone non inondable,,,,,,,1,,Oui,,,Oui,,,Non,755.000 €,,,,,,,,,300 m²,Non,,,,,,,,
117,À définir,Excellent état,2,,165 m²,29 m²,,9 m²,3,18 m²,14 m²,13 m²,1,,,132 m²,63 m²,,149 kWh/m²,B,20210721-0002444028-RES-1,4 kg CO₂/m²,Non communiqué,Gaz,Oui,370.000 €,Non,,,,,Zone non inondable,2005,7 m,1,Non,,Non,Non,Non,Non,Non,Non,Non,Non,,Oui,Sud-est,20 m²,Sud-est,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,,,794 €,,,,,,,,,,25 m²,Connecté,,,,,,,,,,,,,,,,,,,,,,
118,À définir,,2,"Zone d'habitat (résidentiel, urbain ou rural)",180 m²,28 m²,,27 m²,4,22 m²,12 m²,22 m²,1,2,,148 m²,50 m²,,173 kWh/m²,B,20210907-0002461392-RES-1,Non communiqué,Non communiqué,Gaz,Oui,398.000 €,Non,,,Oui,,,1870,,,Non,,Non,Non,Non,Non,Non,Non,Non,Non,5 m,Oui,,15 m²,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,,Non,735 €,,,,,Oui,,12 m²,,,21 m²,Connecté,,1,,,32 m²,,,,,,,,,,,,,,,,,
119,,Excellent état,,,175 m²,29 m²,,8 m²,3,13 m²,13 m²,24 m²,1,2,,231 m²,,,225 kWh/m²,C,20210801-0002447008-RES-1,Non communiqué,Non communiqué,,Oui,310.000 €,Non,"Molenstraat 10 bus 1
2840 - Reet",,Oui,Non,Zone non inondable,1958,,,Non,,Oui,,Non,,Non,Non,Non,Non,,Oui,Est,26 m²,,,,,,,,,,,,,,,,,,Non,,,Oui,,,,1,,4 m²,,14 m²,Connecté,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",4 m²,Oui,Non,Oude Reetsebaan 20 -,,,,,,,,,,,,,,
120,,Excellent état,,,160 m²,26 m²,,17 m²,2,19 m²,12 m²,,1,1,,125 m²,,,396 kWh/m²,D,20210914-0002463946-RES-1,Non communiqué,Non communiqué,,Oui,245.000 €,Non,"Molenstraat 10 bus 1
2840 - Reet",,Oui,Non,Zone non inondable,1929,,,Non,,Non,,Non,,Non,Non,Non,Non,,Oui,Sud-ouest,33 m²,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,30 m²,Connecté,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",18 m²,Oui,Non,Pastorijstraat 49 -,,,,,,,,31 mai 2022 - 00:00,,,,,,
121,,À rénover,,,260 m²,40 m²,,13 m²,6,12 m²,10 m²,9 m²,2,2,,260 m²,,,446 kWh/m²,E,20201021-0002330534-RES-1,Non communiqué,Non communiqué,,Oui,355.000 €,Non,"Molenstraat 10 bus 1
2840 - Reet",,Oui,Non,Zone non inondable,1900,,,Non,,Non,,,,Non,Non,Non,Non,,Non,,,,,,,,,,,,,,,,,,,,Non,,,Oui,,,,,20 m²,,,20 m²,Non connecté,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",60 m²,,Non,Tuyaertsstraat 22 -,,,,,,,20 m²,,,,,,,
122,,À rafraîchir,,,90 m²,20 m²,,12 m²,3,6 m²,15 m²,20 m²,1,2,,48 m²,,,201 kWh/m²,B,20210801-0002446961-RES-1,Non communiqué,Non communiqué,,Oui,169.000 €,Non,"Molenstraat 10 bus 1
2840 - Reet",,Oui,Non,Zone non inondable,,4 m,,Non,,Non,,Non,,Non,Non,Non,Non,4 m,Oui,Nord,10 m²,,,,,,,,,,,,,,,,,,Non,280 €,,,,,,,,,,,Connecté,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,Non,Isabellastraat 29 -,,,,,,,,,,,,,,
123,,À rénover,,,155 m²,24 m²,,8 m²,4,17 m²,11 m²,,1,1,,120 m²,25 m²,,728 kWh/m²,F,20210601-0002421274-RES-1,Non communiqué,Non communiqué,,Non,210.000 €,Non,"Molenstraat 10 bus 1
2840 - Reet",,Oui,Non,Zone non inondable,,,,Non,,Non,,Non,,Non,Non,Non,Non,,Oui,Est,,,,,,,,,,,,,,,,,,,Non,342 €,,Oui,,,,,,,,,Connecté,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",21 m²,,Non,Bosstraat 50 - 2850,,,,,,,,,,,,,,
124,1875,,,,1,,,,40 m²,,,,557 kWh/m²,,,F,,,20210916-0002464970-RES-1,Non communiqué,Non communiqué,Non,Non,,,,Lisa PELEMAN,,,,Zone non inondable,173 €,46 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H. Spillemaeckersstraat, 50
2850 - BOOM",,,,,,,,,,,,,,76.500 €,,,,,,,,,,2,,,,Non,"nl :
NA AFSPRAAK - Zat. 16/10/2021, zat. 23/10/2021, Zat. 30/10/2021, woe. 3/11/2021, zat. 6/11/2021, woe. 10/11/2021 en zat. 13/11/2021 telkens van 14u-16u.",Après la signature de l’acte,Non,,
125,,Excellent état,3,,219 m²,,Équipée,,3,,,,1,2,,160 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,378.000 €,Non,"Landegemstraat 10
9031 - Drongen",Boom woning 71,Oui,Oui,Zone non inondable,2021,,,Non,,Non,,Non,,,,,,,,Sud-est,,,,,,,,,,,,,,Non,,,,,,,,,,,,1,,,,,,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,Non,,19,,,,,,,,,,,,,
126,À définir,Excellent état,,,570 m²,,Hyper équipée,,6,,,,,1,,659 m²,,Oui,381 kWh/m²,D,20210407-0002398126-RES-1,Non communiqué,Non communiqué,Gaz,Oui,1.250.000 €,Non,"Steenstraat
8000 - Brugge",,Oui,Non,Zone non inondable,,,,Oui,,,,Non,,,,,,,Oui,Sud-est,,Sud-est,,,,,,,,,,,,Non,,,,,Non,,,,Oui,,,,,,,,Connecté,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,,,Non,,,,,,,,,,,,
127,,Excellent état,2,,219 m²,,Équipée,,3,,,,1,2,,160 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,352.000 €,Non,"Landegemstraat 10
9031 - Drongen",Boom woning 60,Oui,Oui,Zone non inondable,2021,,,Non,,Non,,Non,,,,,,,,Sud-ouest,,,,,,,,,,,,,,Non,,,,,,,,,,,,1,,,,,,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,Non,,19,,,,,,,,,,,,,
128,,Excellent état,,,248 m²,,,,6,,,,1,2,,340 m²,,Oui,543 kWh/m²,F,20210329-0002394195-RES-1,Non communiqué,Non communiqué,,Oui,369.000 €,Non,"Kasteelstraat 198
9255 - Buggenhout",4302,Oui,Non,,1947,,,Non,,Non,,,,Non,Non,Non,Non,,Oui,Ouest,,,,,,,,,,,,,,,,,,,Non,979 €,Oui,Oui,Oui,,,,,,,,Connecté,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,Non,,,,,,,,,,,,,,,
129,,,,,,,,,187 m²,,,,83 kWh/m²,,,A,,,20210706-0002437843-RES-1,Non communiqué,Non communiqué,Oui,Non,,,,Wendy LENS,,,Non,Zone non inondable,1.241 €,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Liersesteenweg, 55
2570 - Duffel",,,,,,,,,,,,,,350.000 €,,,,,,,,,,2,,,2012,Non,"nl :
elke woe. van 16u-18u en elke zon. van 15u-17u en dit vanaf woe. 8/09/2021 tem 16/10/2021",1 décembre 2021 - 00:00,Non,,
130,Après la signature de l’acte,À rénover,2,Urbain,,,,,,,,,,,,1045 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,430.000 €,Oui,"Solvynsstraat 46
2018 - Antwerpen",4280217,,,Zone inondable potentielle,,,,,,,,,,,,,,10 m,Non,,,,,,,,,,,,,,,,,,,,,2.485 €,,,,,,1,,,,,,,,,,,,,,,,,Provincie Antwerpen,,,,,,,,,,
131,À la livraison,,2,Urbain,180 m²,,Hyper équipée,,3,19 m²,13 m²,12 m²,1,2,,,160 m²,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,395.000 €,Non,"Ring 46
2200 - Herentals",4406119,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,Oui,,,Oui,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,À la livraison,,2,Urbain,180 m²,,Hyper équipée,,3,19 m²,13 m²,11 m²,1,2,,,160 m²,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,395.000 €,Non,"Ring 46
2200 - Herentals",4406118,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,Oui,,,Oui,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,À la livraison,,2,Urbain,180 m²,,Hyper équipée,,3,19 m²,13 m²,11 m²,1,2,,,160 m²,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,395.000 €,Non,"Ring 46
2200 - Herentals",4406117,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,Oui,,,Oui,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,À la livraison,,2,Urbain,180 m²,,Hyper équipée,,3,19 m²,13 m²,12 m²,1,2,,,160 m²,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,395.000 €,Non,"Ring 46
2200 - Herentals",4406114,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,Oui,,,Oui,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,À la livraison,,2,Urbain,180 m²,,Hyper équipée,,3,19 m²,13 m²,12 m²,1,2,,,160 m²,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,395.000 €,Non,"Ring 46
2200 - Herentals",4406108,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,Oui,,,Oui,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,À la livraison,,2,,229 m²,,,,3,,,,1,,,303 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,487.066 €,Non,"Kerkstraat, 38
1755 - Oetingen",4454408,Oui,Oui,,,,1,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,Excellent état,3,Urbain,142 m²,,Équipée,,3,,,,1,2,,223 m²,80 m²,,237 kWh/m²,C,2438856,Non communiqué,Non communiqué,Gaz,,399.500 €,Non,"Grote Markt 16
2850 - Boom",D2850-21059,Oui,Oui,Zone non inondable,1949,,1,,,,,Non,,,,,,,,,27 m²,,,,,,,,,,,,,,,,,,Non,775 €,,,,,,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,
138,Après la signature de l’acte,Bon,,,50 m²,Équipée,10 m²,3,18 m²,14 m²,7 m²,1,1,Non,,Oui,,208 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Non,,419.500 €,753 €,"Fruithoflaan, 1
2600 - Berchem",13832 - 372918,,,,,1953,6 m,2,,,,,205 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,3,,,,,,,,,,,,,,,Oui,,,148 m²,,,,,,,,,
139,Après la signature de l’acte,Excellent état,2,,126 m²,25 m²,Équipée,9 m²,3,18 m²,15 m²,11 m²,1,2,,132 m²,60 m²,,189 kWh/m²,B,20210703-0002437337-Res-1,Non communiqué,Non communiqué,Gaz,Oui,375.000 €,Non,"Korenmarkt 55
2800 - Mechelen",40192 - MEC-21-BQU-0,Oui,Oui,Zone non inondable,2002,7 m,,,,,,Non,,,,,,,Oui,Nord-est,,,,,,,,,,,,,,,,,,,Non,870 €,,,,,,1,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,Non,,,,,,,,,,,,
140,Après la signature de l’acte,Bon,2,,120 m²,,Équipée,12 m²,3,18 m²,16 m²,14 m²,1,2,,80 m²,65 m²,,321 kWh/m²,D,Certificaat-20210503-0002410197-RES-1.pdf,Non communiqué,Non communiqué,Gaz,Oui,275.000 €,Non,"Korenmarkt 55
2800 - Mechelen",39274 - MEC-21-AVD-0,Oui,Non,Zone non inondable,1946,,,,,,,Non,,,,,,,Oui,Nord-ouest,,,,,,,,,,,,,,,,,,,Non,505 €,,Oui,,,,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,Non,,,,,,,,,,,,
141,,,2,,145 m²,,Équipée,,3,,,,1,2,,133 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,334.300 €,Non,"Bredabaan, 896
2170 - Merksem",8634 - SIN/18/055-GB,,Oui,,2021,6 m,,,,,,Non,,,,,,6 m,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,1,,,,,,,,,,,,,,35,Non,,,,,,,,,,,,
142,Après la signature de l’acte,À rafraîchir,2,"Zone d'habitat (résidentiel, urbain ou rural)",127 m²,,Équipée,,4,,,,1,1,,,,,362 kWh/m²,D,20210727002445535-RES-1,Non communiqué,Non communiqué,Gaz,Oui,215.000 €,Oui,"Italiëlei 207
2000 - Antwerpen",24356 - ANT-21-JWA-0,Oui,Non,Zone non inondable,1940,,,,,,,Non,,,,,,,Oui,Sud-ouest,,,,,,,,,,,,,,,,,,,Non,850 €,,,Oui,,,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,,,Non,,,,,,,,,,,,
143,,Excellent état,2,Urbain,122 m²,,Équipée,,3,,,,1,1,,199 m²,80 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,310.700 €,Non,"Grote Markt 16
2850 - Boom",LOT 5 - D2850-21040,Oui,Oui,Zone non inondable,2021,,1,,,,,Non,,,,,,,,,24 m²,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,
