,À partir de,État du bâtiment,Nombre de façades,Type d’environnement,Surface habitable,Surface du salon,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Toilettes,Surface de l'espace professionnel,Surface du terrain,Surface du jardin,Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Prix,Immeuble de rapport,Adresse,Site internet,Permis de bâtir obtenu,Autorisation de lotissement,Type de zone inondable,Année de construction,Largeur de la façade à rue,Parkings extérieurs,Dressing,Buanderie,Bureau,Espace professionnel,Meublé,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,"Eau, gaz & électricité",Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Procédure pour violation de la réglementation urbanistique,Revenu cadastral,Salon,Salle à manger,Cave,Grenier,Isolé,Parkings intérieurs,Surface de la chambre 4,Surface de bureau,Combien de feux ouverts ?,Surface du grenier,Raccordement à l'égout,Attestation de conformité des citernes à mazout,Salles de douche,Droit d'achat prioritaire possible,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Surface de la cave,Jardin,Obligation de construire,Référence externe,Niveau E (performance énergétique globale),Attestation as-built,Nom de l'agent,Quartier ou lieu-dit,Visite virtuelle,Surface constructible totale au sol,Surface de la chambre 5,Disponible le,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Nom du bien,Nombre d'annexes
74,,,,,50 m²,3,,,24 m²,11 m²,Non,,2,Non,,Non,,,B,20151220--000182110-5--1,Non communiqué,Non communiqué,Oui,,Oui,Non,"Molenstraat 10 bus 1
2840 - Reet",Paapovenlaan 40 - Ni,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,1,,Non,,196 m²,,Non,Non,Non,Connecté,,Oui,15 m²,149 kWh/m²,,,,,,,,,,,,,,,,,,Zone non inondable,,,,,,,1,,,,,Oui,,,Non,375.000 €,,Est,Non,,,,,,140 m²,,,,,,,,,
75,À la livraison,,3,,144 m²,,,,3,,,,1,,,154 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,366.051 €,Non,"Kerkstraat, 38
1755 - Oetingen",4411933,Oui,Oui,,,,1,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,1,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,
76,,,3,,154 m²,,,,3,20 m²,13 m²,13 m²,1,,,,225 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,419.500 €,Non,"Provinciale Steenweg 354
2627 - Schelle",4455150,,,Zone non inondable,,,1,,,,,,,,,,,7.7 m,Oui,,36 m²,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,Connecté,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,30,,,,,,,,,,,,,
77,À définir,À rafraîchir,2,"Zone d'habitat (résidentiel, urbain ou rural)",140 m²,,Équipée,,2,21 m²,15 m²,,1,2,,106 m²,,,631 kWh/m²,F,20210203-0002367908-RES-2,Non communiqué,Non communiqué,,Oui,215.000 €,Non,"Italiëlei 207
2000 - Antwerpen",33240 - ANT-21-JWA-0,Oui,Non,Zone non inondable,,,,,,,,Non,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,Non,581 €,,,Oui,,,,,,,,,,,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,Non,,,,,,,,,,,,
78,Après la signature de l’acte,À rafraîchir,2,,100 m²,22 m²,Équipée,,2,,,,1,2,,200 m²,80 m²,,627 kWh/m²,F,20170629-0001974773-1,Non communiqué,Non communiqué,Gaz,Oui,235.000 €,Non,"Frans de L'arbrelaan, 57
2170 - Merksem",1314351 - 1314211,,,,1960,,,,,,,Non,,,,,,6.5 m,Oui,Sud,10 m²,,,,,Oui,,,,,,,,,,,,,,,,,Oui,,,1,,,,,,,,,,,,,,,Non,,,,,,,,,,,,
79,Après la signature de l’acte,Bon,2,,100 m²,29 m²,Équipée,,2,15 m²,7 m²,,1,1,,85 m²,,,192 kWh/m²,B,20160613-0001870947-1,Non communiqué,Non communiqué,Gaz,,269.000 €,Non,"Korenmarkt 55
2800 - Mechelen",36477 - MEC-21-BQU-0,Oui,Non,Zone non inondable,,,1,,,,,Non,,,,,,,Oui,Nord-est,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,,,Non,,,,,,,,,,,,
80,Après la signature de l’acte,Bon,2,,312 m²,,,16 m²,6,20 m²,15 m²,14 m²,1,2,,1200 m²,,,226 kWh/m²,C,20210518-0002416914-RES-1,Non communiqué,Non communiqué,,,565.000 €,Non,"Korenmarkt 55
2800 - Mechelen",32721 - MEC-21-BQU-0,Oui,Non,Zone non inondable,1940,,,,,,,Non,,,,,,,Oui,Sud,,,,,,,,,,,,,,,,,,,Non,,,Oui,,,,3,12 m²,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,,,Non,,,,,12 m²,,,,,,,
81,À définir,Excellent état,2,"Zone d'habitat (résidentiel, urbain ou rural)",158 m²,29 m²,Équipée,8 m²,3,20 m²,15 m²,8 m²,1,3,,162 m²,51 m²,,107 kWh/m²,B,20200903-0002310991-RES-1,Non communiqué,Non communiqué,Gaz,Oui,349.000 €,Non,,,Oui,Oui,Zone non inondable,2012,6 m,,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,,Oui,Sud,18 m²,Sud,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,,Non,662 €,,,,,,,,,,,Connecté,,,Non,,,,Non,,,"Oui, conforme",,,,,,,,,,,,
82,Après la signature de l’acte,Excellent état,2,,208 m²,,Équipée,,3,,,,1,2,,160 m²,35 m²,,279 kWh/m²,C,20121101-0001241787-00000001-2,Non communiqué,Non communiqué,Gaz,Oui,359.000 €,Non,,,,,Zone non inondable,1924,5 m,1,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,,Oui,Est,15 m²,Est,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,,,745 €,Oui,Oui,Oui,Oui,,1,,,1,,Connecté,,,,,,,,,,,,,,,,,,,,,,
83,,Fraîchement rénové,2,,155 m²,53 m²,Équipée,11 m²,4,15 m²,9 m²,14 m²,1,2,,100 m²,,,174 kWh/m²,B,202/0823-0002455073-RES-1,Non communiqué,Non communiqué,Gaz,Oui,359.000 €,Non,,,Oui,,,1930,4 m,,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,4 m,Oui,,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Toutes sortes,,567 €,,,,,,,13 m²,,,10 m²,Connecté,,,,,,,,,,,,,,,,1 mars 2022 - 00:00,,,,,,
