,À partir de,État du bâtiment,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface habitable,Chambres,Salles de bains,Surface du terrain,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Prix,Immeuble de rapport,Adresse,Site internet,Année de construction,Largeur de la façade à rue,Surface du salon,Type de cuisine,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Dressing,Toilettes,Buanderie,Bureau,Espace professionnel,Surface du grenier,Meublé,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Surface de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Permis de bâtir obtenu,Type de construction,Autorisation de lotissement,Droit d'achat prioritaire possible,Revenu cadastral,Visite virtuelle,Attestation as-built,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Disponible le,Largeur du terrain à rue,Orientation du jardin,Quartier ou lieu-dit,Terrasse,Type d’environnement,Revenu mensuel actuel,Surface de la cave,Attestation de conformité des citernes à mazout,Nom du bien,Surface de la chambre 5,Jardin,Salon,Salle à manger,Combien de feux ouverts ?,Salles de douche,Cave,Grenier,Orientation de la terrasse,Surface constructible totale au sol,Charges mensuelles,Surface de bureau,Obligation de construire,Surface de l'espace professionnel,Nombre d'annexes,Niveau E (performance énergétique globale),Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Référence externe,Isolé,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Durée maximale de la rente
57,Après la signature de l’acte,À rafraîchir,4,1,3,150 m²,3,1,1065 m²,517 kWh/m²,F,20211002-00024716636-res-1,Non communiqué,Non communiqué,450.000 €,Non,"Mechelsesteenweg 231
1933 - Sterrebeek",4529664,1967,,32 m²,Semi-équipée,12 m²,9 m²,15 m²,16 m²,,,2,,,,,Non,,,,,,,,,20 m²,,,,,,,,,,,,Mazout,,,,,Oui,Oui,,,Non,1.003 €,,,,Zone d'inondation reconnue,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Everberg - Meerbeek,,Urbain,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,
58,,Excellent état,,,,289 m²,4,2,1277 m²,229 kWh/m²,C,20210211-0002372687-Res1,Non communiqué,Non communiqué,695.000 €,Non,"Diepestraat 22
1780 - Wemmel",TK21_Meerbeek_Vrouwl,1991,17 m,48 m²,Américaine hyper-équipée,11 m²,48 m²,13 m²,10 m²,10 m²,Oui,2,Oui,Oui,,,,,Non,Non,Non,Non,Connecté,Non,,,,,,,,,,,,,,Mazout,,,,,Oui,Oui,Toutes sortes,Non,Non,2.866 €,,,Non,Zone inondable potentielle,Zone agricole,,31 m,Est,,,,,,,,,Oui,,,1,,,,,145 m²,,20 m²,Non,,,,,,,,,,,,,,,,,,
59,Selon le locataire,Bon,4,1,4,170 m²,3,1,175 m²,412 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,465.000 €,Non,"Avenue Louise 326
1050 - Bruxelles-Quartier Louise",,,,,Américaine hyper-équipée,,16 m²,15 m²,14 m²,,,2,,,,,Non,Oui,,,,,Connecté,Oui,90 m²,10 m²,,Non,Non,,Oui,,,,,Non,,Gaz,,,,,Oui,,,,,2.198 €,,,,Zone non inondable,,,,,,,Isolé,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,,4346650,,,,,,,,,,
60,Après la signature de l’acte,À rénover,4,,,142 m²,3,1,400 m²,709 kWh/m²,F,20170328-0001946931-1,20325 kg CO₂/m²,Non communiqué,190.000 €,Non,"F. De Merodestraat, 111
2800 - Mechelen",D.2021.06.09,1918,,,,,,,,,,,,,,,Non,Non,,,,,Non connecté,Oui,,,,,,,,,,,,,,Gaz,Non,Non,Non,Non,Non,,,Non,Non,1.031 €,,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,Oui,,,,,,,,,,,,709,,,,,,,,,,,,,,,
61,Après la signature de l’acte,Bon,3,1,4,180 m²,3,1,1175 m²,Non communiqué,Non communiqué,202108160002451366-RES-1,Non communiqué,Non communiqué,450.000 €,Non,,,,8 m,,Américaine semi-équipée,,,,,,Non,2,,Non,Non,,Non,Non,Oui,Oui,Oui,Non,,Non,1 m²,1 m²,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Mazout,Non,Oui,Non,Oui,Oui,Oui,,Oui,,,,,,Zone non inondable,,,11 m,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,Oui,Oui,1,,Oui,Oui,,,,,,,,407,,,,,,,,,,,,,,,
62,Après la signature de l’acte,Excellent état,3,2,3,202 m²,3,1,424 m²,162 kWh/m²,B,20210422-0002404654-RES-1,Non communiqué,Non communiqué,500.000 €,Non,"Mechelsesteenweg 231
1933 - Sterrebeek",4505886,,,40 m²,Hyper équipée,8 m²,17 m²,16 m²,8 m²,,,2,,,,,Non,,,,,,Connecté,Oui,,,,,,Oui,,,,,,,,,,,,,Oui,Oui,,Oui,Non,,,,Oui,Zone non inondable,,,7 m,,,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Après la signature de l’acte,,4,1,3,366 m²,5,4,500 m²,105.71 kWh/m²,B,24055-G-1394210/EP05954/P454/D01/SD001,Non communiqué,Non communiqué,799.000 €,Non,"Albert De Beusscherplein 2
1933 - Sterrebeek",4495922,,,54 m²,Américaine hyper-équipée,19 m²,17 m²,17 m²,19 m²,20 m²,,4,,Oui,,40 m²,,,,,,,,,,24 m²,,,,,Oui,,,,,,,Gaz,,,,,Oui,Oui,,Oui,Oui,3.323 €,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,12 m²,,,,,,,,2,,,,,,17 m²,,,,,,,,,,,,,,,,,,,
64,,,,,,,3,1,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,565.000 €,Non,"Kersenlaan 4
2240 - Zandhoven",Everberg-kinabo-3-4_,,,,,,,,,,Non,1,,Non,,,,,Non,Non,Non,Non,Non connecté,Non,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Après la signature de l’acte,À rafraîchir,4,1,1,36 m²,16 m²,2,Connecté,F,Non communiqué,32 kg CO₂/m²,Non communiqué,Mazout,Non,"Avenue des Cerisiers, 212
1200 - Woluwe-St-Lambert",4520275,,1958,10 m,Oui,10 m²,4,13 m²,16 m²,21 m²,2,,Oui,,Oui,,,535 m²,,,,,,Non,300 m²,15 m²,645 kWh/m²,,,,,,,,,,,,625.000 €,,,,,,,,,,,190 m²,,,,,,,,,,Isolé,,,,,,,,Pas équipée,,3,Non,,,,,,,,,,,,,,,,,,,,,,,,
66,Après la signature de l’acte,À rénover,4,1,1,33 m²,17 m²,2,Oui,F,20210428-0002407967-RE5-1,3284 kg CO₂/m²,Non communiqué,Gaz,2.701 €,"Avenue de Tervueren 446
1150 - Bruxelles",4499822,,1962,,Oui,21 m²,5,17 m²,15 m²,11 m²,13 m²,,18 m²,,15 m²,,,885 m²,,,,,,,Oui,,,,,,,,,,,,,,750.000 €,,,,,,,,,,Non,200 m²,,,,,,,,Périphérie (- de 20 Km autour de Bruxelles),597 kWh/m²,Isolé,,Oui,,,1,,,Semi-équipée,,,,Non,,,,Oui,,,,,,,,,,,,,,,,,,,
67,Immédiatement,Bon,4,3,8,54 m²,9 m²,1,4.21 m,B,20141108-0001632796-00000021-1,Non communiqué,Non communiqué,Gaz,Non,"Place Communale 8
1160 - Auderghem",4438026,,1988,16 m,Oui,14 m²,10,11 m²,15 m²,14 m²,10 m²,,5 m²,,Non,,,1065 m²,,,,,,Oui,800 m²,50 m²,Non,,Non,Oui,Oui,Oui,,,,,196 kWh/m²,,Oui,,,,,160 m²,,,,,,427 m²,,,2.500.000 €,,1 septembre 2021 - 00:00,Connecté,,,,Isolé,,,,,6,,,Hyper équipée,,9,,,,Zone non inondable,,Oui,,,,,,,,,,,,,,,,,,,
68,Après la signature de l’acte,Fraîchement rénové,4,,,3,1,Non,18 m,B,2444311-RES-1,Non communiqué,Non communiqué,163,2.310 €,"Stationsplein 7A
3090 - Overijse",,,1992,,,,,,,,,,,,,,,Non,856 m²,,,,,Oui,163 kWh/m²,,,,,,,,,,,,,,Non,Non,Non,Non,Oui,Oui,Villa,Non,Non,Non,Non,185 m²,,Zone non inondable,Autre type de zone,547.500 €,,Connecté,,,,,,,Gaz,,,,,,,,,,,,,,,,,"Oui, conforme",,,,,,,,,,,,,,,
69,Après la signature de l’acte,Excellent état,4,,5,440 m²,5,2,912 m²,170 kWh/m²,B,0873777784,Non communiqué,Non communiqué,849.950 €,Non,"Chaussée de Waterloo 1382
1180 - Uccle",4379187,1995,,55 m²,Hyper équipée,16 m²,22 m²,16 m²,16 m²,14 m²,,4,,Oui,,,,,,,,,Non connecté,Oui,,,,Non,Non,Oui,Oui,,Oui,,,Non,,Gaz,,,,,Oui,,,,,3.686 €,,,,,,,,,,Oui,,,,,,10 m²,,,,,1,,,,440 m²,,11 m²,,,,,,,,,,,,,,,,,,,
70,Après la signature de l’acte,Bon,4,1,3,375 m²,6,6,1489 m²,138 kWh/m²,B,20120529-0001129224-,Non communiqué,Non communiqué,1.875.000 €,Non,"Avenue Orban 240
1150 - Woluwe-St-Pierre",,1992,,67 m²,Équipée,28 m²,41 m²,21 m²,20 m²,20 m²,,7,,Oui,,,Non,,,,,,Connecté,Oui,1300 m²,55 m²,,Non,Non,Oui,Oui,,Oui,,,Non,,Gaz,,,,,,,,,,7.030 €,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",4 octobre 2021 - 00:00,,,,,,,,,,20 m²,,,,,6,Oui,Oui,,500 m²,,22 m²,,15 m²,,,,,,,4528173,,,,,,,,,,
71,À définir,Excellent état,4,1,3,,6,3,1872 m²,257 kWh/m²,C,20210212-0002371023-RES-1,Non communiqué,Non communiqué,1.750.000 €,Non,"Brusselsesteenweg, 15
3080 - Tervuren",spir353455,1906,,18 m²,Hyper équipée,16 m²,23 m²,20 m²,16 m²,15 m²,Oui,4,Oui,Non,,,Non,,,,,,,,,,Non,Non,Non,Oui,Oui,,Non,,,Non,,Gaz,Non,,,,Oui,,,Non,Oui,3.469 €,,Non,Non,Zone non inondable,Parc résidentiel,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,14 m²,"Oui, conforme",,19 m²,,,Oui,2,3,,,,,,,Non,,,,,,,,,,,,,,,,,,
72,Après la signature de l’acte,À rafraîchir,4,3,4,52 m²,18 m²,3,Non,E,1,12 kg CO₂/m²,Non communiqué,Gaz,6.569 €,"Avenue Baron Albert d'Huart 130
1950 - Kraainem",4450003,,1973,,Oui,15 m²,5,18 m²,14 m²,80 m²,80 m²,,Oui,,,,,2300 m²,,,,,,,900 m²,80 m²,Non,,Non,Oui,,Non,,,,,403 kWh/m²,,Zone non inondable,,,,,,,,,,Non,550 m²,,,1.295.000 €,,26 août 2021 - 00:00,,,,,,,,,,3,,,Équipée,,3,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,
73,Après la signature de l’acte,À rafraîchir,4,1,2,210 m²,5,2,700 m²,316 kWh/m²,D,20210421,168 kg CO₂/m²,Non communiqué,695.000 €,Non,"Avenue Orban 240
1150 - Woluwe-St-Pierre",,1979,,,Hyper équipée,,19 m²,19 m²,17 m²,14 m²,,2,,,,,,,,,,,Connecté,Oui,500 m²,30 m²,,,,,,,,,,,,Gaz,,,,,Oui,,,,,,,,,Zone non inondable,,1 septembre 2021 - 00:00,,,,,,,,,,11 m²,,,,,1,,Oui,,,,,,,,,,,,,4343810,,,,,,,,,,
74,Après la signature de l’acte,À rénover,4,2,2,135 m²,3,1,480 m²,419 kWh/m²,E,202107090002440011-res-1,Non communiqué,Non communiqué,449.000 €,Non,"Avenue Baron Albert d'Huart 130
1950 - Kraainem",4513019,1970,13.7 m,35 m²,Pas équipée,,14 m²,12 m²,12 m²,,,2,,,,,Non,,,,,,,,300 m²,,,Non,Non,,Oui,,,,,Non,,Mazout,,,,,Oui,,,,,2.821 €,,,,,,31 décembre 2021 - 00:00,,,,Oui,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
75,Après la signature de l’acte,Bon,4,,,750 m²,6,5,20000 m²,291 kWh/m²,C,20121231-0001281342-00000008-3,Non communiqué,Non communiqué,4.950.000 €,Non,"Avenue Delleur, 8
1170 - Watermael-Boitsfort",030/6281,1976,,200 m²,Hyper équipée,,20 m²,20 m²,,,,6,,Oui,,,,,,,,,Connecté,Oui,,150 m²,,Non,,,,,,,,Oui,,Mazout,,,,,,,,,,13.173 €,,,,,,,,,,,,,,,,,,,Oui,,,Oui,Oui,,,,50 m²,,,,,,,,,,,,,,,,,,,
76,,À rénover,2,,,2,1,Oui,Connecté,D,2410462,Non communiqué,Non communiqué,333,473 €,"Stationsplein 7A
3090 - Overijse",,,,,,,,,,,,,,,,,,Non,130 m²,,,,,Oui,333 kWh/m²,,,,,,,,,,,,,,Non,Non,Non,Non,Oui,Oui,Non,,Non,Non,Non,140 m²,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",320.000 €,,,,,,,,,,,,,,,,,Non,,,,,,,,,Gaz,,,,,,,,,,,,,,,
77,Après la signature de l’acte,Bon,4,3,,550 m²,5,3,2304 m²,182 kWh/m²,B,Non communiqué,1000 kg CO₂/m²,Non communiqué,1.295.000 €,Non,"Brusselsesteenweg 527
3090 - Overijse",2399 - 903,1973,,52 m²,Hyper équipée,,,,,,,3,,Oui,,,Non,,,,,,,,,15 m²,,,,,Oui,,Oui,,,,,Gaz,,,,,Oui,,,,Oui,6.569 €,,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,1,,Oui,,,,,,,,,182,,,,,,,,,,,,,,,
78,Après la signature de l’acte,Excellent état,4,4,6,,4,3,912 m²,170 kWh/m²,B,20131217-0001501376-00000002-8,Non communiqué,Non communiqué,849.950 €,Non,"GEMEENTEPLEIN 7
1560 - Hoeilaart",1816716 - 1239233,1993,,51 m²,Équipée,16 m²,21 m²,18 m²,17 m²,14 m²,,3,,Oui,,,Non,,,,,,,,912 m²,,,,,,,,,,,,,Gaz,,,,,Oui,Oui,,Oui,Oui,3.686 €,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,20 m,,,Oui,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,
79,À définir,Bon,4,2,8,728 m²,6,6,20066 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,4.950.000 €,Non,"Chaussée de Waterloo 1382
1180 - Uccle",3917409,1976,31 m,120 m²,Hyper équipée,32 m²,32 m²,19 m²,16 m²,16 m²,,6,,Oui,,,Non,,,,,,Connecté,Oui,20066 m²,100 m²,,Non,Oui,Oui,Oui,,Oui,,,Oui,,Gaz,,,,,,Oui,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,26 m²,,,Oui,,,Oui,Oui,,796 m²,,29 m²,,,,,,,,,,,,,,,,,,,
80,À la livraison,Excellent état,3,1,2,195 m²,3,1,560 m²,30 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,497.600 €,,"Wateringstraat 40
2400 - Mol",,2020,7.5 m,,Hyper équipée,,,,,,Oui,2,Oui,Oui,Oui,45 m²,,,Oui,,Oui,,Connecté,Oui,,,,,,,,,,,,,,Gaz,,Oui,,,Oui,,,Oui,Non,,,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,11.3 m,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,HALF OPEN BEBOUWING Lot 3,,,,,,,,,,,,10 m²,,10 m²,,,,,,,,,,,,,,,,,
81,À la livraison,Excellent état,3,1,2,195 m²,3,,566 m²,30 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,499.200 €,,"Wateringstraat 40
2400 - Mol",,2020,7.5 m,,Hyper équipée,,,,,,Oui,2,Oui,Oui,Oui,45 m²,,,Oui,,Oui,,Connecté,Oui,,,,,,,,,,,,,,Gaz,,Oui,,,Oui,,,Oui,Non,,,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,11.35 m,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,HALF OPEN BEBOUWING Lot 2,,,,,,1,,,,,,10 m²,,10 m²,,,,,,,,,,,,,,,,,
82,Selon le locataire,Excellent état,4,1,3,245 m²,4,2,715 m²,237 kWh/m²,C,1021106,Non communiqué,Non communiqué,950.000 €,Non,"Parvis Sainte-Alix 37
1150 - Woluwe-Saint-Pierre",4495980,2006,,35 m²,Hyper équipée,16 m²,15 m²,11 m²,11 m²,11 m²,,3,,,,,Non,,,,,,,Oui,600 m²,60 m²,,Non,,,Oui,,,,,Oui,,Gaz,,,,,Oui,Oui,,Oui,Oui,4.435 €,,,,Zone non inondable,,15 août 2022 - 00:00,,,,,,,,,,,,,,,2,,Oui,,,,,,,,,,,,,,,,,,,,,,,
83,Après la signature de l’acte,Excellent état,4,1,2,250 m²,3,2,560 m²,397 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,1.325.000 €,Non,"Chaussée de Waterloo 1382
1180 - Uccle",4269361,1975,,45 m²,Américaine hyper-équipée,20 m²,25 m²,16 m²,14 m²,,,3,,,,,,Oui,,,,,,Oui,,,,Oui,Oui,,Oui,,,,,Non,,Gaz,,,,,Oui,,,,,3.277 €,,,,,,,,,,Oui,,,,,,,,,Oui,,,,,,294 m²,,,,,,,,,,,,,,,,,,,,,
84,Après la signature de l’acte,Excellent état,4,2,4,420 m²,5,1,1720 m²,165 kWh/m²,B,20191003-0002200310-RES-1,Non communiqué,Non communiqué,2.350.000 €,Non,"Avenue Delleur, 8
1170 - Watermael-Boitsfort",030/26354,1960,,,,,,,,,,,,Oui,,,,,,,,,,,,30 m²,,,,,,,,,,,,Gaz,,,,,,,,,,4.500 €,,,,,,,,,,,,,,,,,,,,,4,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,
85,Après la signature de l’acte,,7,,,450 m²,5,2,1500 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,1.595.000 €,Non,,,,,,Américaine équipée,,20 m²,13 m²,12 m²,12 m²,Non,3,Oui,Oui,Oui,,Non,Non,Oui,Non,Non,Non,,Oui,1200 m²,200 m²,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,,Non,Non,Non,Non,Non,Oui,Villa,,,5.750 €,,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,Sud,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,11 m²,,Oui,Oui,,1,Oui,Oui,Sud,1500 m²,,,Non,,,,,,,,,,,,,,,,,,
86,,Bon,4,1,6,750 m²,6,5,20000 m²,291 kWh/m²,C,20121231-0001281342-00000008-3,Non communiqué,Non communiqué,4.950.000 €,Non,"Avenue Legrand 30
1050 - Ixelles",4403554,1976,,,Hyper équipée,,30 m²,20 m²,20 m²,20 m²,,,,Oui,,,Non,Oui,,,,,Connecté,Oui,20000 m²,100 m²,,Non,Oui,Oui,Oui,,Oui,,,Oui,,Gaz,,,,,Oui,,,,,13.173 €,,,,,,,,,,,,,,,,20 m²,,,,,,Oui,Oui,,750 m²,,30 m²,,,,,,,,,,,,,,,,,,,
87,Après la signature de l’acte,Excellent état,4,,4,645 m²,5,4,1800 m²,198 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,2.490.000 €,Non,"Rue Darwin 56
1050 - Ixelles",V50000526,1996,,94 m²,Équipée,,60 m²,23 m²,21 m²,20 m²,,6,,Oui,,,,Oui,,,,,,,,25 m²,,Non,,Oui,Oui,,Oui,,,Oui,,,,,,,Oui,,,,,,,,Non,Zone riveraine délimitée,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,17 m²,,,,,,Oui,Oui,,,,1 m²,,,,,,,,,,,,,,,,,,,
88,Après la signature de l’acte,Excellent état,4,2,,500 m²,7,4,4171 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,3.500.000 €,Non,"Avenue Delleur, 8
1170 - Watermael-Boitsfort",030/23681,1950,,,,,,,,,,,,Oui,,,,,,,,,Connecté,Oui,,,,,,,,,,,,,,Gaz,,,,,,,,,,9.001 €,,,,,,,,,,Oui,,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,
89,,,4,2,2,480 m²,5,4,1792 m²,198 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,2.490.000 €,Non,"Chaussée de Waterloo 1382
1180 - Uccle",4092511,1996,,94 m²,Hyper équipée,,60 m²,23 m²,21 m²,17 m²,,6,,Oui,,,Non,,,,,,,,,25 m²,,Non,,,Oui,,Oui,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,20 m²,,,Oui,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,
90,,,4,2,5,626 m²,5,1,1720 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,2.350.000 €,Non,"Chaussée de Waterloo 1382
1180 - Uccle",3805361,1974,,,,,,,,,,,,Oui,,,Non,,,,,,Connecté,Oui,30 m²,30 m²,,Non,,Oui,Oui,,,,,Oui,,Gaz,,,,,Oui,,,,,4.500 €,,,,Zone non inondable,,,,,,,,,,,,,,,,,4,Oui,Oui,,650 m²,,,,,,,,,,,,,,,,,,,,,
91,,,,1,3,390 m²,7,4,1907 m²,257 kWh/m²,C,20210212-0002371023-RES-1,Non communiqué,Non communiqué,1.750.000 €,Non,"H. Conciencelaan 70
8000 - Brugge",,1906,,,,,,,,,Non,,Oui,Non,,,,,Non,Non,Non,Non,Connecté,Oui,,,,,,,,,,,,,,,,,,,Non,Oui,,,Non,3.469 €,,,Non,Zone non inondable,Parc résidentiel,,,Sud-est,,,,,,,,,Oui,Oui,Oui,,,Oui,,,,,,Non,,,,,,,,BFU2909,,,,,,,,,,
92,À la livraison,Excellent état,3,1,2,175 m²,3,1,560 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,497.600 €,Non,"de Grunnelaan 10
1970 - Wezembeek-Oppem",4412275,,75 m,26 m²,Américaine hyper-équipée,19 m²,12 m²,12 m²,12 m²,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,3,1,,174 m²,3,1,560 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,497.600 €,Non,"Waversebaan 248
3050 - Oud-Heverlee",1976595 - 2135,,8 m,,,,,,,,,2,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,Zone non inondable,,,11.3 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,3,1,,174 m²,3,1,566 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,499.200 €,Non,"Waversebaan 248
3050 - Oud-Heverlee",1976563 - 2135,,8 m,,,,,,,,,2,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,Zone non inondable,,,11.35 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,À la livraison,,3,1,2,175 m²,3,1,566 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,499.200 €,Non,"de Grunnelaan 10
1970 - Wezembeek-Oppem",4412274,,75 m,26 m²,Américaine hyper-équipée,19 m²,12 m²,12 m²,12 m²,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,3,2,,174 m²,3,1,544 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,560.900 €,Non,"Waversebaan 248
3050 - Oud-Heverlee",1976520 - 2096,,,,,,,,,,,2,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,11.2 m,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,
97,,,3,2,,174 m²,3,1,550 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,563.100 €,Non,"Waversebaan 248
3050 - Oud-Heverlee",1976519 - 2096,,,,,,,,,,,2,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,12.3 m,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,
98,À rénover,115 m²,,,,3,135 m²,,592 kWh/m²,F,20210422-0002405404-RES-1,Non communiqué,Non communiqué,Non,,"Tervuursesteenweg, 462
3061 - Leefdaal",Kelly MERCKX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,Zone non inondable,Non,,,,210.000 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,"nl :
elke zaterdag van 14u tot 16u vanaf 16 oktober 2021 tot en met 6 november 2021 (zonder afspraak)",Après la signature de l’acte,441 €,,,,,,,,,,,
99,À la livraison,,3,1,,,3,1,544 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,560.900 €,Non,"de Grunnelaan 10
1970 - Wezembeek-Oppem",4412272,,800 m,45 m²,Américaine hyper-équipée,,9 m²,12 m²,13 m²,,,2,,,,,,,,,,,Connecté,Oui,,,,,,,,,,,,,,,,,Oui,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,1,Oui,,,,,,,,,,,,,,,,,,,,,,,,
100,À la livraison,,3,1,,,3,,550 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,563.100 €,Non,"de Grunnelaan 10
1970 - Wezembeek-Oppem",4412273,,,45 m²,Américaine hyper-équipée,,9 m²,12 m²,13 m²,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
101,Immédiatement,À rafraîchir,2,,,230 m²,4,2,170 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,520.000 €,Non,,,2002,7 m,41 m²,Équipée,20 m²,25 m²,11 m²,14 m²,15 m²,Non,3,,Non,Non,,Non,Non,Non,Non,Non,Non,Connecté,Oui,86 m²,13 m²,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Gaz,Non,Non,Non,Oui,Non,,Toutes sortes,,,500 €,,,,Zone non inondable,,,6 m,Nord-ouest,,,,,46 m²,,,,,,,,2,,,Nord-ouest,,,,,,,,,,,,,,,,,,,,,,
