,À partir de,État du bâtiment,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface habitable,Chambres,Salles de bains,Surface du terrain,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Prix,Immeuble de rapport,Adresse,Site internet,Année de construction,Largeur de la façade à rue,Surface du salon,Type de cuisine,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Dressing,Toilettes,Buanderie,Bureau,Espace professionnel,Surface du grenier,Meublé,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Surface de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Permis de bâtir obtenu,Type de construction,Autorisation de lotissement,Droit d'achat prioritaire possible,Revenu cadastral,Visite virtuelle,Attestation as-built,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Disponible le,Largeur du terrain à rue,Orientation du jardin,Quartier ou lieu-dit,Terrasse,Type d’environnement,Revenu mensuel actuel,Surface de la cave,Attestation de conformité des citernes à mazout,Nom du bien,Surface de la chambre 5,Jardin,Salon,Salle à manger,Combien de feux ouverts ?,Salles de douche,Cave,Grenier,Orientation de la terrasse,Surface constructible totale au sol,Charges mensuelles,Surface de bureau,Obligation de construire,Surface de l'espace professionnel,Nombre d'annexes,Niveau E (performance énergétique globale),Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Référence externe,Isolé,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Durée maximale de la rente
39,,Bon,4,,2,445 m²,5,2,1944 m²,231 kWh/m²,C,2404775,Non communiqué,Non communiqué,748.000 €,Non,"Mechelsesteenweg 227
1933 - Sterrebeek",,1991,,,Hyper équipée,16 m²,,,,,,,,,,,Non,Non,,,,,Connecté,Oui,,,,,,,,,,,,,,Mazout,Non,Non,Non,Non,Oui,,,Non,Non,2.925 €,,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,Oui,,,,,,,,,,,,231,,,,,30211123,,,,,,,,,,
40,Selon le locataire,À rafraîchir,4,,10,280 m²,5,2,4800 m²,582 kWh/m²,F,20210930-0002470932-RES-1,Non communiqué,Non communiqué,798.000 €,Non,"Mechelsesteenweg 231
1933 - Sterrebeek",4518664,,12 m,40 m²,Hyper équipée,9 m²,13 m²,12 m²,12 m²,12 m²,,2,,Oui,,,Non,,,,,,Connecté,Non,500 m²,50 m²,,,,,,,,,,,,Mazout,,,,,Oui,Oui,,Non,Non,2.176 €,,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,52.2 m,,,,,,,,,16 m²,,,Oui,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,
41,Après la signature de l’acte,Fraîchement rénové,3,2,,229 m²,5,1,230 m²,269 kWh/m²,C,20200519-0002271252-RES-1,Non communiqué,Non communiqué,425.000 €,Non,"Herbert Hooverplein 14
3000 - Leuven",4195983,,,45 m²,Hyper équipée,,12 m²,13 m²,9 m²,16 m²,,2,,,,,Non,,,,,,,Oui,,,,,,,,,,,,,,Gaz,,,,,Oui,,,,,,,,,,,,,,,Oui,,,,,,14 m²,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,À définir,Excellent état,,,,,3,,621 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,450.000 €,Non,"Mechelsesteenweg 35/A
2840 - Rumst",,,,,Hyper équipée,,,,,,Non,2,,,,,Non,,,,,,Connecté,Oui,,,,,,,,,,,,,,,Non,,,,,,,Oui,Non,,,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,
43,Après la signature de l’acte,Bon,3,,,,2,1,500 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,325.000 €,Non,,,,,,,,,,,,Non,,,Non,Non,,Non,Non,Non,Non,Non,Non,,Non,1 m²,1 m²,,,,,,,,,,,,,Non,Non,Non,Non,Non,,Toutes sortes,,,,,,,,,,,,,,,,,,,,,Oui,Oui,,1,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,
44,Après la signature de l’acte,Bon,4,2,2,330 m²,7,1,3950 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,595.000 €,Non,,,,,57 m²,Américaine hyper-équipée,15 m²,35 m²,18 m²,16 m²,12 m²,Oui,5,Oui,Oui,Oui,,Non,Non,Oui,Non,Non,Oui,,Oui,3200 m²,,,,,,,,,,,,,Gaz,Non,Non,Non,Oui,Oui,,Toutes sortes,,,,,,,,,,,,,,Pays,,,,,11 m²,,,Oui,,3,,,,,,9 m²,,,,,,,,,,,,,,,,,,,
45,À la livraison,Excellent état,3,1,1,235 m²,4,2,406 m²,45 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,598.000 €,,"Culostraat, 44
3360 - Bierbeek",,2021,10 m,57 m²,Hyper équipée,,,,,,,,,Oui,,,,,,,,,Connecté,Oui,,,,,,,,,,,,,,,Oui,,,,Oui,Oui,,Non,Non,,,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Sud-est,,,,,,Non,,,Oui,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,
46,À la livraison,Excellent état,4,1,1,282 m²,4,2,540 m²,45 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,698.000 €,,"Culostraat, 44
3360 - Bierbeek",,2021,12 m,58 m²,,,,,,,Oui,,,Oui,,,,,,,,,Connecté,Oui,,,,,,,,,,,,,,,Oui,,,,Oui,Oui,,Non,Non,,,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Nord-ouest,Hof Van Rotselaar,,,,,Non,,,Oui,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,
47,À la livraison,Excellent état,4,1,1,284 m²,4,2,713 m²,45 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,728.000 €,,"Culostraat, 44
3360 - Bierbeek",,2021,12 m,58 m²,Hyper équipée,,,,,,Oui,3,,Oui,,,,,,,,,Connecté,Oui,,,,,,,,,,,,,,,Oui,,,,Oui,Oui,,Non,Non,,,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Nord-ouest,Hof Van Rotselaar,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Non,,,Oui,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,
48,À la livraison,Excellent état,3,,1,176 m²,3,2,329 m²,53 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,498.000 €,,"Culostraat, 44
3360 - Bierbeek",,2021,7.5 m,46 m²,Hyper équipée,,,,,,Oui,,,Oui,,,,,,,,,Connecté,Oui,,,,,,,,,,,,,,,Oui,,,,Oui,Oui,,Non,Non,,,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Ouest,Hof Van Rotselaar,,,,,Non,,,Oui,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,
49,À la livraison,Excellent état,3,1,1,269 m²,3,2,366 m²,42 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,638.000 €,,"Culostraat, 44
3360 - Bierbeek",,2021,8 m,53 m²,Hyper équipée,,,,,,,,,Oui,,,,,,,,,Connecté,Oui,,,,,,,,,,,,,,,Oui,,,,Oui,Oui,,Non,Non,,,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Sud-ouest,,,,,,Non,,,Oui,,,,,,Oui,,,,,,,,27,,,,,,,,,,,,,,,
50,,Bon,3,1,2,43 m²,14 m²,2,10.2 m,A,24055-G-2012-1394611,Non communiqué,Non communiqué,"Oui, conforme",1.764 €,"Leuvensesteenweg 417
3070 - Kortenberg",4120 - VK 627 WS,,2013,13 m,Américaine hyper-équipée,4,,13 m²,13 m²,30 m²,2,,Oui,,,,,325 m²,,,,,,,,Sud,92 kWh/m²,,,,,,,,,,,,Oui,,,,,,Oui,,Oui,Non,Non,245 m²,56,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",650.000 €,31 août 2021 - 00:00,150 m²,20 m²,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,Non,,,,,,,,,Gaz,,,,,,,,,,,,,,,
51,Après la signature de l’acte,Fraîchement rénové,4,,4,270 m²,4,1,915 m²,269 kWh/m²,C,20181210-0002114928-1,Non communiqué,Non communiqué,575.000 €,Non,"Leuvensesteenweg 417
3070 - Kortenberg",4215 - VK 640 WS,1975,,36 m²,Équipée,,24 m²,17 m²,9 m²,10 m²,,2,,Oui,,,Non,,,,,,,,600 m²,70 m²,,,,,,,,,,,,Gaz,,,,,Oui,Oui,,Oui,Oui,2.784 €,,Non,Non,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",31 août 2021 - 00:00,40 m,Ouest,residentieel,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,6 m²,,,,1,,Oui,,,,,9 m²,,,,,,,,,,,,,,,,,,,
52,Après la signature de l’acte,Excellent état,2,,6,600 m²,6,4,2286 m²,222 kWh/m²,C,20191207-0002225611-RES-1,Non communiqué,Non communiqué,1.500.000 €,Oui,"Leuvensesteenweg 417
3070 - Kortenberg",4057 - VK 609 WS,2000,,,Américaine hyper-équipée,,25 m²,25 m²,22 m²,21 m²,,5,,,,,Non,,,,,,,,1670 m²,90 m²,,,,,,,,,,,,Gaz,,,,,Oui,Oui,,,Oui,,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",27 décembre 2021 - 00:00,18.5 m,Nord,,,"Zone d'habitat (résidentiel, urbain ou rural)",4406,,,,15 m²,,,,,,Oui,,,,530 €,,,,,,,,,,,,,,,,,,,,
53,À définir,Excellent état,2,1,,195 m²,4,1,190 m²,158 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,465.000 €,Non,"Leuvensesteenweg 587
3071 - Erps-Kwerps",4530055,1998,7.2 m,30 m²,Hyper équipée,18 m²,18 m²,13 m²,12 m²,15 m²,,2,,,,,Non,,,,,,Connecté,Oui,,30 m²,,,,,,,,,,,,Gaz,,,,,Oui,Oui,,Oui,Oui,1.085 €,,,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,À définir,À rafraîchir,,,,116 m²,2,,809 m²,477 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,175.000 €,Non,"Dr. V. Dewalsplein 23
3070 - Kortenberg",,,,18 m²,Semi-équipée,24 m²,18 m²,7 m²,,,Non,1,,,,,Non,,,,,,Connecté,Oui,,,,,,,,,,,,,,Gaz,Non,,,,,,,,,606 €,,,,Zone non inondable,,,,Nord,,Oui,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,Bon,4,2,2,300 m²,5,2,1435 m²,202 kWh/m²,C,20120310-0001061821-00000005-2,Non communiqué,Non communiqué,920.000 €,Non,,,1991,13 m,,Hyper équipée,,,,,,Oui,3,,Oui,Oui,,Non,Non,Oui,Non,Oui,Non,Non connecté,Oui,1 m²,1 m²,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Gaz,Non,Non,Non,Oui,Oui,,Villa,,,2.825 €,,,,Zone non inondable,Zone de récréation et de séjour,,,Ouest,,,,,,,,,,Oui,Oui,1,1,Oui,Oui,Ouest,,2.800 €,,,,,202,,,,,,Oui,,,,,,,,,
56,Après la signature de l’acte,Excellent état,4,2,6,320 m²,5,2,1864 m²,581 kWh/m²,F,20170318-0001943801-1,Non communiqué,Non communiqué,850.000 €,Non,"Mechelsesteenweg 231
1933 - Sterrebeek",4530532,1971,,65 m²,Hyper équipée,25 m²,15 m²,10 m²,18 m²,18 m²,,3,,Oui,,,Non,,,,,,Connecté,Non,1500 m²,120 m²,,,,,,,,,,,,Électrique,,,Oui,,Oui,Oui,,Oui,Non,5.624 €,,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,45 m,,Everberg - Meerbeek,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,13 m²,,,Oui,,,Oui,Oui,,200 m²,,16 m²,,,,,,,,,,,,,,,,,,,
