,À partir de,Quartier ou lieu-dit,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface habitable,Surface du salon,Salle à manger,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Salles de bains,Salles de douche,Toilettes,Cave,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO?,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Droit d'achat prioritaire possible,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Visite virtuelle,Meublé,Porte blindée,Niveau E (performance énergétique globale),Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Permis de bâtir obtenu,Autorisation de lotissement,Procédure pour violation de la réglementation urbanistique,Dressing,Bureau,Largeur du terrain à rue,Attestation de conformité des citernes à mazout,Obligation de construire,Salon,Buanderie,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Jardin,Orientation du jardin,Surface du jardin,Terrasse,Type d’environnement,Surface de bureau,Surface de la cave,Surface du grenier,Accès sécurisé / alarme,Surface de la chambre 5,Espace professionnel,Surface de la terrasse,Orientation de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Type de construction,Combien de feux ouverts ?,Isolé,Surface constructible totale au sol,Grenier,Attestation as-built,Référence externe,Disponible le,Nombre d'annexes,Nom de l'agent,Lieu de la vente,Séance unique,Mise à prix,Modalités de visite,Surface de l'espace professionnel
99,Après la signature de l’acte,,1930,Fraîchement rénové,6.5 m,2,,,260 m²,28 m²,Oui,Équipée,10 m²,4,15 m²,17 m²,17 m²,12 m²,4,4,4,Oui,280 m²,Connecté,Oui,230 kWh/m²,C,20210810-0002449915-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,,,675.000 €,1.323 €,Oui,"Brusselsesteenweg 594
1731 - Zellik",4443635,,Non,,,,,,,,,,,,6.5 m,,,,,,,,,,,,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,Non,Non,Oui,,,,,,,,,,,,,,,,,,,,,
100,Selon le locataire,,1976,À rafraîchir,,2,1,1,75 m²,32 m²,,Semi-équipée,8 m²,2,7 m²,10 m²,,,1,1,1,Oui,265 m²,Connecté,Oui,319 kWh/m²,D,20210908-0002461475-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,,,625.000 €,3.202 €,Oui,"Brusselsesteenweg 594
1731 - Zellik",4519615,,Non,,,,,,,Oui,Non,Non,,,,,,,,,,,,,,,Oui,,,,,,,,,,,Non,Non,Oui,,Oui,,,,,,,,,,,,,,,,,,,
101,Après la signature de l’acte,Zellik,1937,Bon,,2,,1,260 m²,,,,,4,,,,,4,4,4,Oui,123 m²,Connecté,Oui,275 kWh/m²,C,20210623-0002433094-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,,,675.000 €,1.507 €,Oui,"Brusselsesteenweg 594
1731 - Zellik",4448559,,,,,,,,,,,,,,,,,Oui,,,,,,,,,Oui,Urbain,,,,,,,,,,Non,,Oui,,,,,,,,,,,,,,,,,,,,,
102,Après la signature de l’acte,,1964,Bon,7.15 m,2,1,,162 m²,28 m²,,Hyper équipée,9 m²,3,15 m²,11 m²,8 m²,,1,,2,,245 m²,Connecté,Oui,362 kWh/m²,D,20210412-0002400407-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,,,Faire offre à partir de 350.000 €,1.088 €,Non,"Brusselsesteenweg 594
1731 - Zellik",4431854,,,,,,,,,,,,,,7.15 m,,,,,,,,,,,,Oui,Urbain,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,
103,À définir,,2009,Excellent état,6 m,2,1,,200 m²,42 m²,,Hyper équipée,8 m²,4,17 m²,16 m²,13 m²,56 m²,1,,2,,180 m²,Connecté,Oui,114.93 kWh/m²,B,23002-G-2007_4464/EP09676/A001/D01/SD001,Non communiqué,Non communiqué,Gaz,Oui,,,"Zone d'habitat (résidentiel, urbain ou rural)",495.000 €,1.411 €,Non,"Brusselsesteenweg 594
1731 - Zellik",4347558,,Non,,83,,,,,Oui,,Non,,Oui,6 m,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,
104,À définir,,1987,Bon,9.45 m,3,2,2,475 m²,32 m²,Oui,Équipée,25 m²,8,27 m²,14 m²,11 m²,10 m²,3,,,,664 m²,Connecté,Oui,896 kWh/m²,F,20160212-0001834849-1,Non communiqué,Non communiqué,Gaz,,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",595.000 €,3.311 €,Non,"Brusselsesteenweg 594
1731 - Zellik",4426162,,Non,,,,,,,Oui,Oui,Non,,Oui,12.45 m,,,,,,,,,,,,,Urbain,,,,,,,,,,Non,,Oui,,,,,,,,,,,,,,,,,,,,,
105,,Zellik,1967,,6 m,3,1,,180 m²,34 m²,,Semi-équipée,12 m²,4,19 m²,13 m²,6 m²,6 m²,1,,2,,314 m²,,,375 kWh/m²,D,20210422-0002405137-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",395.000 €,1.549 €,Non,"Brusselsesteenweg 594
1731 - Zellik",4492880,,,,,,,,,Oui,Non,Non,,,9 m,,,,,,,,,,,,,Urbain,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,
106,À définir,,2013,Excellent état,12.5 m,4,2,6,400 m²,58 m²,,Américaine hyper-équipée,20 m²,3,17 m²,12 m²,10 m²,,1,,2,,1001 m²,,,54 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.395.000 €,3.483 €,Non,"Gentsesteenweg, 736
1080 - Molenbeek-St-Jean",BV3,,Non,,,Oui,,,,Oui,Non,Non,Oui,Non,20 m,Non,Non,,,,,,,Oui,Sud-ouest,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Non,,,110 m²,,Non,Non,Non,Non,,Oui,,,Non,,,,,,,,,,,,,,,,
107,,,1986,,,3,1,2,145 m²,30 m²,Oui,Équipée,,3,,,,,1,,2,,364 m²,,,169 kWh/m²,B,: 20210824-0002455120-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,,,449.000 €,,Non,"Chaussée de Waterloo 747
1180 - Uccle",VB2124-1,,Non,,,Non,Non,Non,,,,,,,,,,,Oui,,,,,,Sud-ouest,300 m²,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,20 m²,,,,,,,,,,,,,,,,,Non,,,,,,,,,
108,Selon le locataire,,1967,Bon,,2,,,241 m²,41 m²,,Semi-équipée,13 m²,3,17 m²,16 m²,8 m²,,1,,1,Oui,137 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,365.000 €,1.383 €,Non,"Avenues Charles Quint 114
1083 - Ganshoren",,,,,,,,,,,,,,,,,,,,,,,,,,40 m²,,,,,,,,,6 m²,,,,,,,,,,,,,,,,,,,,,,,,,,
