,À partir de,Quartier ou lieu-dit,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface habitable,Surface du salon,Salle à manger,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Salles de bains,Salles de douche,Toilettes,Cave,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO?,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Droit d'achat prioritaire possible,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Visite virtuelle,Meublé,Porte blindée,Niveau E (performance énergétique globale),Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Permis de bâtir obtenu,Autorisation de lotissement,Procédure pour violation de la réglementation urbanistique,Dressing,Bureau,Largeur du terrain à rue,Attestation de conformité des citernes à mazout,Obligation de construire,Salon,Buanderie,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Jardin,Orientation du jardin,Surface du jardin,Terrasse,Type d’environnement,Surface de bureau,Surface de la cave,Surface du grenier,Accès sécurisé / alarme,Surface de la chambre 5,Espace professionnel,Surface de la terrasse,Orientation de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Type de construction,Combien de feux ouverts ?,Isolé,Surface constructible totale au sol,Grenier,Attestation as-built,Référence externe,Disponible le,Nombre d'annexes,Nom de l'agent,Lieu de la vente,Séance unique,Mise à prix,Modalités de visite,Surface de l'espace professionnel
119,Après la signature de l’acte,,2013,Excellent état,18 m,4,2,14,33 m²,Oui,Américaine équipée,20 m²,4,17 m²,17 m²,17 m²,16 m²,2,2,5,28 m²,,21 m,Oui,1560 m²,A,20210429-0002407956-RES1,9999 kg CO?/m²,Non communiqué,Oui,,Oui,,970.000 €,,Oui,,"Avenue Louise 433
1050 - Bruxelles",4370953,,437 m²,Oui,Oui,,,,,,240 m²,,,,100 m²,Connecté,,,,,,,,,,,100 m²,,Isolé,Oui,,,Oui,,,Non,,,Oui,Oui,,,Non,,,78 kWh/m²,,,,,Zone non inondable,Non,,,,,,,,,,Oui
120,Après la signature de l’acte,,2013,Excellent état,18 m,4,2,14,33 m²,Oui,Américaine équipée,20 m²,4,17 m²,17 m²,17 m²,16 m²,2,2,5,28 m²,,21 m,Oui,1560 m²,A,20210429-0002407956-RES1,9999 kg CO?/m²,Non communiqué,Oui,,Oui,,970.000 €,,Non,,"Avenue Louise 433
1050 - Bruxelles",4305698,,437 m²,Oui,Oui,,,,,,240 m²,,,,100 m²,Connecté,,,,,,,,,,,100 m²,,Isolé,Oui,,,Oui,,,Non,,,Oui,Oui,,,Non,,,78 kWh/m²,,,,,Zone non inondable,Non,,,,,,,,,,Oui
121,Après la signature de l’acte,,1936,Excellent état,,2,,2,24 m²,Oui,Équipée,20 m²,4,17 m²,12 m²,9 m²,7 m²,2,2,,Non,,4.7 m,,,C,20210224-00002377925-RES-1,Non communiqué,Non communiqué,Non,Oui,Oui,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",349.000 €,379 €,Non,"Edingsesteenweg 144
1755 - Gooik",2066 - 1103,,132 m²,533 m²,,,,,,,Non,,,,,394 m²,,,,,,,,,,,27 m²,,,,,,,,,231 kWh/m²,,,,,,,,,,,,,,,,,Gaz,,,,,,,,,
122,Après la signature de l’acte,Brabant Flamand,,Bon,,4,1,,270 m²,18 m²,Oui,Équipée,4 m²,2,24 m²,17 m²,,,1,1,1,,8600 m²,,Non,231 kWh/m²,C,2280813,Non communiqué,Non communiqué,Mazout,Oui,,,Zone agricole,395.000 €,329 €,Non,"Avenue François Sebrechts 26
1080 - Molenbeek",4181869,,Non,,,,,,,,,,,,,,,,,,,,,,,8500 m²,Oui,Pays,,,,,,,,,,Non,Oui,Oui,,,,,Non,,,,,,Oui,,,,,,,,,,
123,Après la signature de l’acte,,1979,Bon,6.75 m,2,1,3,140 m²,30 m²,,Hyper équipée,10 m²,3,12 m²,12 m²,9 m²,,1,,1,,163 m²,Connecté,Oui,268 kWh/m²,C,246242,Non communiqué,Non communiqué,Gaz,,Non,Zone inondable potentielle,,279.000 €,704 €,Non,"Brusselbaan 110
1790 - Affligem",4514614,,Non,,,,,,,Oui,,,,,6.75 m,,,,,,,,,,,120 m²,,Urbain,,,,,,,20 m²,,,,,,,,,,,,,,,50 m²,,,,,,,,,,,
124,,,1977,À rafraîchir,,3,1,2,27 m²,1,,9 m²,3,14 m²,13 m²,10 m²,1,,1,,Oui,Non,840 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Oui,Zone inondable potentielle,,"Zone d'habitat (résidentiel, urbain ou rural)",360.000 €,882 €,Non,"Edingsesteenweg 144
1755 - Gooik",2068 - 1183,,121 m²,982 m²,,,,,,,,,,,,,,,,,,,,,,,18 m²,,,,,,Non communiqué,,,Oui,,,,,,,,,,,,,Équipée,,,,Gaz,,31 décembre 2021 - 00:00,,,,,,,
125,Après la signature de l’acte,,1874,À rafraîchir,,4,2,1,51 m²,Oui,Semi-équipée,16 m²,6,22 m²,22 m²,15 m²,15 m²,14 m²,1,2,Oui,Non,Oui,,353 m²,C,20170703-0001975378-1,Non communiqué,Non communiqué,Non,Oui,Non,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",419.000 €,Non,,"Edingsesteenweg 144
1755 - Gooik",2053 - 1174,,328 m²,625 m²,,,,,,,,,,,,,,,,,,,,,,,78 m²,,,,,,,1,,238 kWh/m²,,,,,,,,,,,,,,,,,Mazout,,,,,,,,,
126,Après la signature de l’acte,Brussel,,Bon,7 m,3,,,160 m²,,,Semi-équipée,16 m²,3,14 m²,15 m²,8 m²,,1,1,1,,282 m²,Connecté,Oui,302 kWh/m²,D,20210905-0002459423-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",325.000 €,542 €,Non,"Molenstraat 77
9300 - Aalst",,,,,,,,,,Oui,Non,Non,,,8.5 m,,,,,,,,,,,100 m²,,Urbain,,,,,,,20 m²,,,,,,,,,,,,,,,,Oui,,4518117,,,,,,,,
127,À définir,,,Excellent état,,4,5,10,1240 m²,,,Hyper équipée,,14,,,,,5,,6,Oui,153030 m²,Connecté,Non,594 kWh/m²,F,2379698,Non communiqué,Non communiqué,,,,,,3.950.000 €,5.352 €,Non,"Rue des Sablons 19
1000 - Bruxelles",,,Non,,,,,,,,,,,Oui,,,,Oui,,,,,,,,150000 m²,Oui,,,,,Oui,,,,,,Non,Oui,,,,,,Non,,,,,,Oui,,4408226,,,,,,,,
128,,,1960,À rafraîchir,8.8 m,,1,,,,,Équipée,12 m²,3,,,,,1,,,,1331 m²,Connecté,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",425.000 €,,Non,"Nieuwstraat 9
9450 - Denderhoutem",1740 Ternat - Statie,,,,,,,,,Oui,Non,Non,Non,Oui,14.5 m,,Non,,Oui,Non,Non,Non,Non,,Nord-est,1331 m²,,,16 m²,13 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Immédiatement,,,Excellent état,18 m,4,,,1788 m²,,Oui,,,4,,,,,2,1,3,,1788 m²,,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Mazout,Oui,,Zone non inondable,,695.000 €,,Non,,,,Non,Non,,Non,Non,Non,Non,,,,Non,Oui,,"Oui, conforme",,Oui,Oui,Oui,Non,Non,Oui,,,,,,,,,Oui,,Oui,,,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Villa,,Oui,,Oui,,,,,,,,,,
130,,,2020,,7.75 m,,,,152 m²,,Oui,Américaine hyper-équipée,,3,,,,,1,,1,,405 m²,Connecté,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",435.000 €,,Non,"Nieuwstraat 9
9450 - Denderhoutem",1740 Ternat Fossebaa,,Non,,35,,,,,Oui,Oui,Non,Non,Non,7.75 m,,Non,,,Non,Non,Non,Non,,Nord,405 m²,,,,,,,,,22 m²,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Après la signature de l’acte,,1963,À rénover,,2,,1,163 m²,32 m²,,Semi-équipée,16 m²,3,16 m²,14 m²,7 m²,,1,,,,194 m²,Connecté,Non,430 kWh/m²,E,2447639,Non communiqué,Non communiqué,Mazout,,Non,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",265.000 €,704 €,Non,"Assesteenweg 228
1742 - Ternat",4490383,,,,,,,,,Oui,Oui,Non,,,,"Oui, conforme",,,,,,,,,,,Oui,,,,48 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,1990,Bon,11 m,4,,,47 m²,14 m²,,,4,1,,,,,Non,,,,18 m,Oui,197 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,197,Non,Oui,Non,Zone agricole,545.000 €,1.559 €,Non,"Ninoofsesteenweg, 255
1700 - Dilbeek",,,208 m²,Non,2341 m²,"Oui, conforme",Non,Oui,Non,Oui,Villa,Non,Zone d'inondation reconnue,,,Connecté,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,
133,Après la signature de l’acte,,1918,,11 m,3,,,216 m²,53 m²,Oui,,14 m²,4,,,,,2,,,,756 m²,Connecté,Oui,634 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Mazout,Oui,Non,Zone d'inondation reconnue,"Zone d'habitat (résidentiel, urbain ou rural)",349.000 €,528 €,Non,"Ninoofsesteenweg, 255
1700 - Dilbeek",,,Non,Non,634,Non,Non,Non,Non,,Non,Non,,,19 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,1996,Bon,9 m,4,1,,33 m²,Hyper équipée,,14 m²,3,23 m²,19 m²,8 m²,1,,2,,Non,,18 m,,Oui,C,Non communiqué,Non communiqué,Non communiqué,Non,Oui,Non,Zone non inondable,Zone d'extension d'habitat,345.000 €,1.113 €,Non,"Edingsesteenweg 341
1755 - Kester",2861 - 21/000078/463,,125 m²,481 m²,,,,,,,,,,,,Oui,,,,,,,,,Sud,203 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaz,,,,,,,,,
135,Après la signature de l’acte,,1953,Bon,,3,1,,130 m²,33 m²,,,16 m²,3,17 m²,16 m²,19 m²,,1,,,,252 m²,Connecté,Oui,848 kWh/m²,F,2436374,Non communiqué,Non communiqué,Électrique,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",325.000 €,691 €,Non,"Assesteenweg 228
1742 - Ternat",4425456,,,,,,,,,Oui,Non,Non,,Oui,,,,,,,,,,,,,Oui,,6 m²,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,
136,Après la signature de l’acte,,1958,Bon,,3,,,195 m²,32 m²,Oui,,14 m²,3,,,,,1,,,,400 m²,Connecté,Oui,276 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",395.000 €,951 €,Non,"Ninoofsesteenweg, 255
1700 - Dilbeek",,,Non,Non,276,Non,Non,Non,Non,,Non,Non,,,,,,,,,,,,,,,,,,14 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,1964,À rénover,,4,1,,Semi-équipée,,,6,,2,,,,,2,,Non,,Oui,,Oui,F,20210925-00024686987-RES-1,Non communiqué,Non communiqué,Non,350.000 €,,,,,Non,,"Edingsesteenweg 341
1755 - Kester",2863 - 21/000077/463,,200 m²,1060 m²,,,,,,,,,,,,,Mazout,,,,,,,,,,,749 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,"Oui, pas conforme",,,,,,,,,
138,Après la signature de l’acte,,2006,Bon,7 m,3,1,3,21 m²,Oui,Hyper équipée,12 m²,4,25 m²,13 m²,12 m²,9 m²,1,2,,Non,,10 m,,20 m²,B,20210803-0002447696-RES-1,Non communiqué,Non communiqué,Non,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",350.000 €,1.242 €,Non,"Edingsesteenweg 341
1755 - Kester",2754 - 21/000061/463,,130 m²,895 m²,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,165 kWh/m²,,,,,,,,,,Gaz,,,,,,,,,
139,,,1930,,,3,,,248 m²,25 m²,,,16 m²,4,,,,,2,,,,465 m²,Connecté,Oui,434 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",309.000 €,842 €,Non,"Ninoofsesteenweg, 255
1700 - Dilbeek",,,Non,Non,434,Non,Non,Non,Non,Oui,Non,Non,,Oui,,,,,,,,,,,,,Oui,,25 m²,24 m²,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Après la signature de l’acte,,1998,Excellent état,16 m,4,2,6,850 m²,65 m²,Oui,Américaine équipée,65 m²,4,20 m²,16 m²,16 m²,16 m²,2,,3,,1650 m²,Connecté,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.250.000 €,1.800 €,Non,,,,Oui,Non,,Non,Oui,Non,Non,Oui,Oui,Non,Oui,Oui,,,Oui,,Oui,Oui,Non,Non,Non,,Sud,800 m²,,,130 m²,50 m²,150 m²,Oui,,Oui,75 m²,Sud,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Villa,,Oui,1650 m²,,,,,,,,,,,
141,,,2021,,7 m,2,,,198 m²,38 m²,,,11 m²,3,,,,,1,,,,313 m²,Connecté,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",425.000 €,,Non,"Ninoofsesteenweg, 255
1700 - Dilbeek",,,Non,Non,,Non,Non,Oui,Non,Oui,Non,Non,,,7 m,,,,,,,,,,,177 m²,,,,,,,,,14 m²,,,,,,,,,,,,,,,,,,,,,,,,,,
142,À la livraison,,2020,,,2,,,125 m²,,Oui,Hyper équipée,,3,,,,,1,,,,186 m²,Connecté,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Solaire,Oui,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",375.000 €,,Non,"Ninoofsesteenweg, 255
1700 - Dilbeek",,,Non,Non,,Oui,Oui,Oui,Non,Oui,Non,Non,,,,"Oui, conforme",,,,,,,,,,35 m²,,,,,,,,,27 m²,,,,,,,,,,,,,,,,,,,,,,,,,,
143,À la livraison,,2019,,,2,,,89 m²,,Oui,Hyper équipée,,1,,,,,1,,,,48 m²,Connecté,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",285.000 €,,Non,"Ninoofsesteenweg, 255
1700 - Dilbeek",,,Non,Non,,Non,Non,Non,Non,Oui,Non,Non,,,,"Oui, conforme",,,,,,,,,,,,,,,,,,,7 m²,,,,,,,,,,,,,,,,,,,,,,,,,,
144,À la livraison,,2021,,7 m,2,,1,198 m²,24 m²,Oui,,12 m²,3,10 m²,14 m²,16 m²,,1,,2,,302 m²,Connecté,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",425.000 €,,Non,,,,Non,Non,,Non,Oui,Non,Non,Oui,Oui,,Non,Non,7 m,,,,Oui,Non,Non,Non,Non,,Nord-est,1 m²,,"Zone d'habitat (résidentiel, urbain ou rural)",,,50 m²,Non,,Non,,,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,,,Oui,,,,,,,,,,,,
145,,,,,,,,,,,,,,4,,,,,,,,,570 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,,,Autre type de zone,424.166 €,,Non,"Avenue Paul Gilson, 49
1601 - Ruisbroek",9709,,Non,,,Non,,,,,,,Non,Non,11.3 m,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Après la signature de l’acte,Ternat,1962,,9.8 m,3,1,1,410 m²,118 m²,Oui,,,5,19 m²,17 m²,17 m²,19 m²,2,,3,,405 m²,Connecté,,367 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,Zone inondable potentielle,,439.000 €,1.377 €,Non,"Ninoofsesteenweg 84
1750 - Lennik",4368162,,,,,,,,,,,,,,9 m,,,,,,,,,,,,,Pays,,,,,11 m²,,22 m²,,,,,,,Oui,,,,,,,,,,,,,,,,,,,
147,,,1979,Excellent état,,,1,,115 m²,,,Équipée,11 m²,3,14 m²,10 m²,7 m²,,1,,1,,232 m²,Connecté,Oui,458 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",345.000 €,718 €,Non,"Capucienenlaan 106
9300 - Aalst",FAZANTLAAN1-TK-MDRC,,,,,,,,,Oui,,Non,Non,Non,,,Non,,,Non,Non,Non,Non,,,65 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,,1993,,,,1,3,240 m²,,,Hyper équipée,,3,,,,,2,,2,,400 m²,Connecté,Oui,154 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",495.000 €,,Non,"Keizersplein 21
9300 - Aalst",tekei52,,,,,,,,,Oui,Non,,Non,Oui,,,Non,Oui,,Non,Non,Non,Non,Oui,Sud,,,Pays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,,,Bon,,,,,,,,Équipée,,3,,,,,,,2,,347 m²,,,533 kWh/m²,F,20210519-0002417326-res-1,Non communiqué,Non communiqué,Mazout,Oui,Non,Bien immobilier situé tout ou en partie dans une zone inondable délimitée,"Zone d'habitat (résidentiel, urbain ou rural)",395.000 €,,Non,"Leuvensestraat 170
1800 - Vilvoorde",Steenvoorde,,Non,,,Non,,,,Oui,Non,Non,Non,Non,,Non,Non,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
