,À partir de,État du bâtiment,Nombre de façades,Surface habitable,Surface du salon,Type de cuisine,Chambres,Salles de bains,Toilettes,Cave,Meublé,Surface du jardin,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Double vitrage,Prix,Immeuble de rapport,Adresse,Site internet,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Année de construction,Largeur de la façade à rue,Parkings intérieurs,Parkings extérieurs,Salon,Surface de la chambre 1,Surface de la chambre 2,Salles de douche,Surface du terrain,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Terrasse,Parlophone,Interphone vidéo,Surface constructible totale au sol,Revenu cadastral,Surface de la terrasse,Type d’environnement,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Référence externe,Disponible le,Quartier ou lieu-dit,Salle à manger,Surface de la cuisine,Surface de la chambre 3,Surface de la chambre 4,Surface de la cave,Surface du grenier,Ascenseur,Orientation du jardin,Surface de bureau,Bureau,Porte blindée,Surface de la chambre 5,Terrain à front de rue,Nom de l'agent,Grenier,Surface de l'espace professionnel,Dressing,Espace professionnel,Terrain boisé,Terrain arrière,Terrain plat,Type de construction,Orientation de la terrasse,Accès sécurisé / alarme,Jacuzzi,Sauna,Piscine,Internet,Attestation de conformité des citernes à mazout,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Obligation de construire,Visite virtuelle,Jardin,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Durée maximale de la rente,Âge des rentiers,Buanderie,Niveau E (performance énergétique globale),Nom du bien,Combien de feux ouverts ?,Isolé,Concierge,Accessible aux personnes avec un handicap,Climatisation,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Nombre d'annexes
90,,Bon,2,60 m²,32 m²,Équipée,1,1,1,,Non,,65 kWh/m²,A,11002-G-2015-168525/GP00148/A001/D01/SD006,Non communiqué,Non communiqué,,,Oui,249.000 €,Non,"Bredabaan 661
2930 - Brasschaat",,Oui,Oui,Non,Non,2017,9 m,,,,,,,,,Non connecté,Non,,,,,608 €,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",3593,,,,,,,3 m²,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Après la signature de l’acte,Bon,2,,37 m²,Équipée,3,2,2,,Non,,297 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,324.000 €,Non,"Theo Verellenlaan 19
2990 - Wuustwezel",1172185 -,Oui,,,,,6 m,1,,,,,,205 m²,6 m,,Oui,,,,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
92,,,2,180 m²,,Équipée,4,1,,,Non,54 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,325.000 €,Non,"Paalstraat 70
2900 - Schoten",19464 - 691,,Non,Non,Non,,6 m,,,,,,,150 m²,,,,,,,,,15 m²,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,Ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,
93,,À rafraîchir,,,,,4,1,1,,,,263 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,,Non,319.000 €,Non,"Doggenhoutstraat 11
2520 - Ranst",PHL86,Oui,Oui,Non,Non,1969,,1,,Oui,,,,280 m²,,Non connecté,Oui,,,,,1.103 €,,,Zone d'inondation reconnue,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,Non,,,Non,,,,Non,,Non,Non,Non,,,,,,,,,,,,,Non,,,,,,,,,,,,Oui,,,,,,,,,,,,
94,À la livraison,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,"Bischoppenhoflaan 284
2100 - Deurne",,Oui,Non,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Immédiatement,,3,204 m²,,,3,1,,Oui,Non,,518 kWh/m²,F,20201025-0002332007-RES-1,Non communiqué,Non communiqué,,Gaz,Oui,399.000 €,Non,"Vrijheid 147
2320 - Hoogstraten",,Oui,Non,Non,Non,1958,,,,,,,,959 m²,12 m,Connecté,Oui,,,,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Oui,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,518,,,,,,,,,,,
96,,À rénover,,,,,2,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Non,225.000 €,Non,"Bredabaan 859
2930 - Brasschaat",Schoonbroek 22 Ekere,Oui,Non,Non,Non,,3.5 m,,,,,,,242 m²,5 m,Non connecté,Non,,,,,213 €,,Urbain,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,Sud-est,,Non,,,Non,,,,Non,,Non,Non,Non,,,,,,,,,,,,,Non,,Oui,,,,,,,,,,,,,,,,,,,,,,
97,,,2,200 m²,40 m²,Équipée,4,1,1,,Non,500 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,395.000 €,Non,"Het Schoemeken 37
2970 - Schilde",TK/0080,,,Non,Non,,6 m,,1,,,,,630 m²,6 m,Non connecté,Non,,,,100 m²,,50 m²,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,12 m²,,,10 m²,,,Est,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,À définir,Excellent état,4,264 m²,,Équipée,5,2,5,Oui,Non,,131 kWh/m²,B,20210518-0002416689-RES-1,Non communiqué,Non communiqué,Non,Mazout,Oui,1.150.000 €,Non,"Bredabaan 260
2930 - Brasschaat",32665 - HER-21-PME-0,Oui,Oui,Non,Non,1999,,3,5,,19 m²,19 m²,1,2303 m²,33.3 m,,Oui,,,,,2.193 €,,,Zone inondable potentielle,Zone d'extension d'habitat,,,,Oui,14 m²,19 m²,,,,,Sud-est,,,,,,,,,,,,,,,,,,,Oui,,"Oui, conforme",,,,,,,Oui,,,,,,,,,,,,,1,,,,,,,,,
99,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,"Bergstraat 184
2220 - Heist op den Berg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Après la signature de l’acte,,4,235 m²,25 m²,Hyper équipée,3,2,3,Oui,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,Oui,859.500 €,Non,"Bredabaan 260
2930 - Brasschaat",36717 - HER-21-DHE-0,Oui,Non,Non,Non,2020,,2,,,18 m²,12 m²,1,2684 m²,,,Oui,Oui,,,,,,,Zone non inondable,Zone agricole,,,,,36 m²,12 m²,,,,,Sud-ouest,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,Oui,,,,,,,,,,,45,,,,,Oui,,,,,,
101,Après la signature de l’acte,,4,222 m²,20 m²,Hyper équipée,3,2,2,Oui,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,Oui,907.500 €,Non,"Bredabaan 260
2930 - Brasschaat",36721 - HER-21-DHE-0,Oui,Non,Non,Non,2020,,2,,,21 m²,12 m²,1,2613 m²,,,Oui,Oui,,,,,,,Zone non inondable,Zone agricole,,,,Oui,15 m²,11 m²,,,,,Sud-ouest,10 m²,Oui,,,,,,,,,,,,,,Oui,,,,,,,,,,,,Oui,,,,,,,,,,,41,,,,,Oui,,,,,,
102,Après la signature de l’acte,Bon,2,145 m²,,,2,1,2,,Non,178 m²,289 kWh/m²,C,20210629-0002434671-RES-1,Non communiqué,Non communiqué,,Gaz,Oui,310.000 €,Non,,,,,Non,,,6 m,1,,,,,,270 m²,,Connecté,Oui,,,,,,22 m²,"Zone d'habitat (résidentiel, urbain ou rural)",Zone non inondable,,,,,,,,,,,,Sud-ouest,,Non,Non,,Non,,,,Non,Non,Non,Non,Non,,Sud-ouest,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,
103,1964,,100 m²,1,,,187 m²,310 kWh/m²,,,,,20150314-0001740730-1,Non communiqué,Non communiqué,Non,Non,,,,,Elies VOLDERS,,,,Zone non inondable,125.000 €,,2,,,,,,,,D,,,,,,,,"Morkhovenseweg, 101
2200 - HERENTALS",,,411 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,Non,"nl :
elke zat. van 13u-15u, en dit vanaf 18 september 2021 tot en met 9 oktober 2021. Ondergetekende notaris houdt zich het recht voor bijkomende bezoeken in te lassen en/of de bezoekuren te wijzigen in het belang van de verkoop.",Après la signature de l’acte,Non,
104,,,1,,,1,871 m²,480 kWh/m²,,,,,20201101-0002334888-RES-1,Non communiqué,Non communiqué,Non,Non,,,,,Myrthe VAN ETTEN,,,,Zone non inondable,323.000 €,,3,,Oui,,4,,,,E,,,,,,,,"Nederrij, 43
2200 - HERENTALS",,,462 €,,,1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Équipée,,,,,,,,,,,,,,,,,,,Non,"nl :
vanaf 28/9 tem 30/10: elke din. van 18u-19u en elke zon. van 11u-13u",3 janvier 2022 - 00:00,Non,
105,À la livraison,Bon,4,161 m²,,,3,2,,,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Non,324.629 €,Non,"Fraikinstraat 7
2200 - Herentals",,Oui,Non,Non,Non,2022,,,,,,,,170 m²,,Connecté,Oui,,,,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,"Oui, conforme",Oui,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,
106,1936,,,,,1,Oui,62 m²,,,,,20201006-0002324373-RES-1,Non communiqué,Non communiqué,Non,Non,,,,,Jannes VAN THIELEN,,,,Zone non inondable,90.000 €,,Oui,,,,3,,,,F,,,,,,,,"Markt, 2
2290 - VORSELAAR",,,535 €,,,,,,,,,,,,,,,,,,,684 kWh/m²,,,,,,,,,,,,,,,,,,,,Équipée,,,,,,,,,,,,,,,,,,,Non,"nl :
elke zat. van 10u-12u, en dit vanaf zat. 11/09 tem zat. 2/10/2021",Après la signature de l’acte,Non,
107,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Non,"Generaal Lemanstraat 55
2018 - Antwerpen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,À définir,Bon,2,201 m²,,Hyper équipée,2,1,2,Oui,Non,,276 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,225.000 €,Oui,"Grote Markt 10
2200 - HERENTALS",38307 - HER-21-CVH-0,Oui,Non,Non,Non,,5 m,,,,,,,71 m²,,,Oui,,,,,638 €,,Rue commerçante,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,
109,Après la signature de l’acte,Bon,2,114 m²,,Américaine équipée,3,1,2,Oui,Non,,174 kWh/m²,B,20210512-0002414522-RES-1,Non communiqué,Non communiqué,Non,Gaz,Oui,240.000 €,Non,"Grote Markt 10
2200 - HERENTALS",39942 - HER-21-BST-1,,Non,Non,Non,1960,,,,,,,,153 m²,,,Oui,,,,,574 €,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,Ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
110,Après la signature de l’acte,Bon,2,385 m²,,Hyper équipée,3,1,3,Oui,Non,,786 kWh/m²,F,20200722-0002296631-RES-1,Non communiqué,Non communiqué,Non,Gaz,Oui,420.000 €,Oui,"Grote Markt 10
2200 - HERENTALS",38303 - HER-21-PME-0,Oui,Non,Non,Non,1918,8 m,,,,,,,480 m²,,,Oui,Oui,,,,,,Urbain,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Après la signature de l’acte,Bon,4,130 m²,,Équipée,2,1,1,,Non,,1013 kWh/m²,F,20210727-0002445388-RES-1,Non communiqué,Non communiqué,Non,Électrique,Oui,349.000 €,Non,"Grote Markt 10
2200 - HERENTALS",40590 - HER-21-BST-1,Oui,Non,Non,Non,1982,,1,,,,,,702 m²,18 m,,Oui,,,,,736 €,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,1,,,,,,,,,
