,À partir de,État du bâtiment,Nombre de façades,Surface habitable,Surface du salon,Type de cuisine,Chambres,Salles de bains,Toilettes,Cave,Meublé,Surface du jardin,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Double vitrage,Prix,Immeuble de rapport,Adresse,Site internet,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Année de construction,Largeur de la façade à rue,Parkings intérieurs,Parkings extérieurs,Salon,Surface de la chambre 1,Surface de la chambre 2,Salles de douche,Surface du terrain,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Terrasse,Parlophone,Interphone vidéo,Surface constructible totale au sol,Revenu cadastral,Surface de la terrasse,Type d’environnement,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Référence externe,Disponible le,Quartier ou lieu-dit,Salle à manger,Surface de la cuisine,Surface de la chambre 3,Surface de la chambre 4,Surface de la cave,Surface du grenier,Ascenseur,Orientation du jardin,Surface de bureau,Bureau,Porte blindée,Surface de la chambre 5,Terrain à front de rue,Nom de l'agent,Grenier,Surface de l'espace professionnel,Dressing,Espace professionnel,Terrain boisé,Terrain arrière,Terrain plat,Type de construction,Orientation de la terrasse,Accès sécurisé / alarme,Jacuzzi,Sauna,Piscine,Internet,Attestation de conformité des citernes à mazout,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Obligation de construire,Visite virtuelle,Jardin,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Durée maximale de la rente,Âge des rentiers,Buanderie,Niveau E (performance énergétique globale),Nom du bien,Combien de feux ouverts ?,Isolé,Concierge,Accessible aux personnes avec un handicap,Climatisation,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Nombre d'annexes
112,Après la signature de l’acte,Bon,3,183 m²,,Équipée,4,1,1,,Non,,257 kWh/m²,C,20211007-0002471440-RES-1,Non communiqué,Non communiqué,Non,Gaz,Oui,375.000 €,Non,"Grote Markt 10
2200 - HERENTALS",40372 - HER-21-BST-2,Oui,Non,Non,Non,1969,,1,,,,,,533 m²,9.5 m,,Oui,,,,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
113,Après la signature de l’acte,Excellent état,2,218 m²,,Équipée,4,2,2,Oui,Non,,451 kWh/m²,E,20210512-0002414616-RES-1,Non communiqué,Non communiqué,Non,Gaz,Oui,347.000 €,Oui,"Grote Markt 10
2200 - HERENTALS",40701 - HER-21-BST-1,Oui,Non,Non,Non,2000,,,,,,,,112 m²,,,Oui,,,,,,,Urbain,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Après la signature de l’acte,À rénover,2,195 m²,45 m²,Équipée,3,1,2,Oui,Non,,599 kWh/m²,F,20200707-0002291209-RES-1,Non communiqué,Non communiqué,Non,Mazout,,259.000 €,Non,"Grote Markt 10
2200 - HERENTALS",39408 - HER-21-BST-1,,Non,Non,Non,1936,,,1,,,,,310 m²,5.6 m,,Oui,,,,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,Nord-ouest,10 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
115,Après la signature de l’acte,Bon,4,297 m²,,Semi-équipée,4,1,1,Oui,Non,,412 kWh/m²,E,20210921-0002466899-RES-1,Non communiqué,Non communiqué,Non,Gaz,,475.000 €,Non,"Grote Markt 10
2200 - HERENTALS",39424 - HER-21-PME-1,Oui,Non,Non,Non,1900,,,2,,,,,1410 m²,38 m,,Oui,,,,,1.334 €,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,Ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
116,Après la signature de l’acte,À rafraîchir,2,133 m²,,Semi-équipée,3,1,1,Oui,Non,,714 kWh/m²,F,20210816-0002451773-RES-1,Non communiqué,Non communiqué,Non,Mazout,,249.000 €,Non,"Grote Markt 10
2200 - HERENTALS",36655 - HER-21-PME-0,Oui,Oui,Oui,Non,1967,,1,,,,,,281 m²,,,Oui,,,,,743 €,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,Nord-est,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
117,Après la signature de l’acte,Excellent état,2,122 m²,,Équipée,2,1,1,Oui,Non,,178 kWh/m²,B,20210907-0002461051-RES-1,Non communiqué,Non communiqué,Non,Gaz,,289.000 €,Non,"Grote Markt 10
2200 - HERENTALS",39098 - HER-21-BST-1,Oui,Non,Non,Non,,,,,,,,,87 m²,450 m,,Oui,,,,,360 €,,Urbain,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Après la signature de l’acte,Bon,2,157 m²,,Semi-équipée,3,1,1,Oui,Non,,645 kWh/m²,F,20210911-0002462778-RES-1,Non communiqué,Non communiqué,Non,Gaz,Oui,550.000 €,Non,"Grote Markt 10
2200 - HERENTALS",38955 - HER-21-BST-1,Oui,Non,Non,Non,,,15,,,,,,825 m²,6.8 m,,Oui,,,,,1.315 €,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,1,,,,,,,,,
119,Après la signature de l’acte,Bon,2,409 m²,,,4,1,3,Oui,Non,,369 kWh/m²,D,20201130-0002345440-RES-1,Non communiqué,Non communiqué,Non,Gaz,,449.000 €,Non,"Grote Markt 10
2200 - HERENTALS",40054 - HER-21-BST-2,Oui,Non,Non,Non,1966,,3,,,,,,360 m²,,,Oui,,,,,,,Urbain,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Après la signature de l’acte,À rafraîchir,3,160 m²,,,3,1,1,Oui,Non,,678 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Non,,,275.000 €,Non,"Grote Markt 10
2200 - HERENTALS",38292 - HER-21-PME-0,Oui,Oui,Non,Non,1968,,1,,,,,,492 m²,,,Oui,,,,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,Ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
121,Après la signature de l’acte,Bon,2,201 m²,,Équipée,4,1,2,Oui,Non,,369 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,,299.000 €,Non,"Grote Markt 10
2200 - HERENTALS",38708 - HER-21-PME-0,Oui,Non,Non,Non,,,2,,,,,,433 m²,,,Oui,Oui,,,,,,Urbain,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Après la signature de l’acte,Bon,,,,Semi-équipée,2,1,2,,Non,,405 kWh/m²,E,20210928-0002469878-RES-1,Non communiqué,Non communiqué,Non,Gaz,,365.000 €,Non,"Grote Markt 10
2200 - HERENTALS",39498 - HER-21-PME-1,Oui,Non,Non,Non,1969,,3,,,,,,373 m²,,,,,,,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
123,Après la signature de l’acte,Bon,3,150 m²,32 m²,Américaine semi-équipée,3,2,,Oui,Non,,432 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,Gaz,,249.000 €,Non,"Belgïelaan 4
2200 - Herentals",,,,,,1952,6.5 m,,1,,15 m²,17 m²,,150 m²,10.3 m,Connecté,Oui,Oui,,,,,,Urbain,,,4531140,,,,13 m²,5 m²,,,26 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Après la signature de l’acte,À rafraîchir,2,115 m²,47 m²,,2,1,2,,Non,,329 kWh/m²,D,20130623-0001396013-00000005-6,Non communiqué,Non communiqué,,Gaz,Non,212.000 €,Non,,,,,Non,Non,1931,5 m,,,,19 m²,12 m²,,115 m²,5 m,Connecté,Oui,,Non,Non,,288 €,45 m²,"Zone d'habitat (résidentiel, urbain ou rural)",Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Oui,,,,8 m²,,Non,,,Non,Non,,Oui,,Oui,,Non,Non,Non,Non,Oui,,Sud-ouest,Non,Non,Non,Non,Oui,,Non,Non,Non,Non,Non,,,,,,,,,,,,Oui,,,,,Non,Non,Non,,,,,
125,À la livraison,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,"Grote Markt 10
2200 - HERENTALS",,Oui,Oui,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Après la signature de l’acte,Bon,2,84 m²,,Équipée,2,1,1,Oui,Non,,426 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,249.000 €,Non,"Grote Markt 10
2200 - HERENTALS",38869 - HER-21-BST-1,,Non,Non,Non,,,,,,,,,60 m²,,,Oui,,,Oui,,,,Urbain,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,1,,,Oui,,,,,,
127,Après la signature de l’acte,Bon,2,147 m²,,Équipée,4,2,2,Oui,Non,,527 kWh/m²,F,20210706-0002438596-RES-1,Non communiqué,Non communiqué,Non,Gaz,,275.000 €,Oui,"Grote Markt 10
2200 - HERENTALS",39236 - HER-21-BST-1,Oui,Non,Non,Non,,,,,,,,,98 m²,5.25 m,,Oui,,,,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
128,Après la signature de l’acte,À rénover,3,225 m²,,,3,1,2,,Non,,756 kWh/m²,F,20190426-0002154243-RES-1,Non communiqué,Non communiqué,Non,,,279.000 €,Non,"Grote Markt 10
2200 - HERENTALS",38318 - HER-21-PME-0,,Non,Non,Non,1960,,,,,,,,460 m²,,,,,,,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Après la signature de l’acte,À rénover,4,616 m²,,,5,2,3,Oui,Non,,1042 kWh/m²,F,20181230-0002121052-1,Non communiqué,Non communiqué,Non,,,524.000 €,Non,"Grote Markt 10
2200 - HERENTALS",39876 - HER-21-BST-0,,Non,Non,Non,1870,,2,,,,,,5996 m²,,,,,,,,,,Rue commerçante,Zone non inondable,Zone agricole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Après la signature de l’acte,Excellent état,2,183 m²,44 m²,Américaine hyper-équipée,3,2,2,,,,218 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,414.000 €,Non,"Belgïelaan 4
2200 - Herentals",,,,,,1970,6.8 m,1,1,,14 m²,15 m²,1,189 m²,6.8 m,Connecté,Oui,Oui,,,80 m²,1.041 €,,Urbain,,,4185902,,,,16 m²,22 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Après la signature de l’acte,À rafraîchir,2,,,,3,1,2,,Non,,254 kWh/m²,C,20210727-002445729-RES-1,Non communiqué,Non communiqué,Non,,,319.000 €,Non,"Grote Markt 10
2200 - HERENTALS",36205 - HER-21-PME-0,Oui,Non,Non,Non,1979,,2,,,,,1,291 m²,,,,,,,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
132,Après la signature de l’acte,Bon,2,185 m²,,Équipée,4,1,1,Oui,Non,,575 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,Mazout,Oui,295.000 €,Non,,,Oui,,,,,6 m,,,Oui,,,,261 m²,,Connecté,Oui,,Non,Non,,728 €,,"Zone d'habitat (résidentiel, urbain ou rural)",Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Oui,,,,,,Non,,,Non,Non,,Non,,Oui,,Non,Non,Non,Non,Non,,,Non,Non,Non,Non,Oui,"Oui, conforme",Non,Non,Non,Non,,,,,,,,,,,,,Oui,,,,,Non,Non,Non,,,,,
133,Après la signature de l’acte,À rafraîchir,4,283 m²,22 m²,Équipée,4,1,2,,Non,800 m²,220 kWh/m²,C,20210916-0002457428-RES-1,Non communiqué,Non communiqué,,Gaz,Oui,430.000 €,Non,,,Oui,,Non,Non,1984,8 m,1,1,,13 m²,15 m²,,1188 m²,14 m,Connecté,Oui,,Non,Non,,,40 m²,Aménagé,Zone non inondable,,,,,Oui,12 m²,15 m²,11 m²,108 m²,,Non,Nord-ouest,,Non,Non,,Oui,,Oui,12 m²,Non,Non,Non,Non,Oui,Toutes sortes,Nord-ouest,Non,Non,Non,Non,Oui,,Non,Oui,Non,Non,,,,,,,,,,,,,Oui,220,,1,Oui,Non,Non,Non,,,,,1
134,Après la signature de l’acte,Bon,4,142 m²,28 m²,,3,1,1,Oui,,,578 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,244.000 €,Non,"Belgïelaan 4
2200 - Herentals",,Oui,Non,Non,,1960,8.2 m,2,1,,14 m²,14 m²,,574 m²,14.5 m,Connecté,Oui,,,,,,,Urbain,,"Zone d'habitat (résidentiel, urbain ou rural)",4380394,,,,18 m²,6 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Après la signature de l’acte,Bon,3,157 m²,26 m²,Américaine semi-équipée,5,1,2,,,,379 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,324.000 €,Non,"Belgïelaan 4
2200 - Herentals",,,,Non,,1979,,1,4,,10 m²,10 m²,,481 m²,,Connecté,Oui,Oui,,,,793 €,,Isolé,,"Zone d'habitat (résidentiel, urbain ou rural)",4447941,,,,8 m²,13 m²,16 m²,,,,,,,,26 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Après la signature de l’acte,Excellent état,2,138 m²,28 m²,Hyper équipée,2,1,2,,Non,90 m²,178 kWh/m²,B,20160427-0001857602-1,Non communiqué,Non communiqué,Non,Gaz,Oui,345.000 €,Non,,,Oui,Non,Non,Non,1918,,,1,,12 m²,11 m²,,188 m²,,Connecté,Oui,,,,,623 €,,"Zone d'habitat (résidentiel, urbain ou rural)",Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Oui,10 m²,,,17 m²,14 m²,,Sud-ouest,,Non,Non,,Oui,,,,Non,Non,Non,Non,Oui,,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,Oui,,,,,,,,
137,Après la signature de l’acte,Bon,3,162 m²,,,4,1,,,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,349.000 €,Non,"Grote Markt 10
2200 - HERENTALS",4881 - HER-21-PME-10,,Non,Non,Non,1960,,,,,,,,591 m²,,,,,,Oui,,,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,1,,,Oui,,,,,,
138,,Bon,2,234 m²,,,3,1,2,Oui,Non,50 m²,411 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,,Non,349.000 €,Non,,,Oui,,,,1965,7 m,1,,Oui,,,1,235 m²,,,Oui,,Oui,Non,235 m²,,20 m²,,Zone non inondable,,,,,Oui,,,,,,Non,,,Oui,Non,,Non,,Oui,,Non,Oui,Non,Non,Non,Maison bel-étage,,Non,Non,Non,Non,Non,,Non,Non,Non,Non,,,,,,,,,,,,,Oui,,,,,Non,Non,Non,,,,,
139,Après la signature de l’acte,Fraîchement rénové,2,,32 m²,Équipée,2,1,2,,Non,21 m²,207 kWh/m²,C,20200623-0002279406-RES-1,Non communiqué,Non communiqué,,Gaz,Oui,263.000 €,Non,,,,,,,,4 m,,,,16 m²,12 m²,1,80 m²,4 m,,Oui,,Non,Non,,,,,Zone non inondable,,,,,,14 m²,,,6 m²,,Non,Sud-est,,Non,Non,,Oui,,,,Non,Non,Non,Non,Non,,,Non,Non,Non,Non,Oui,,Non,Non,Non,Non,,,,,,,,,,,,,Oui,,,,,Non,Non,Non,,,,,
140,Après la signature de l’acte,Bon,2,156 m²,31 m²,Semi-équipée,3,1,1,Oui,,,464 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,Mazout,,249.000 €,Non,"Belgïelaan 4
2200 - Herentals",,,,Non,,1958,6 m,,,,15 m²,18 m²,,585 m²,,Connecté,Non,Oui,,,97 m²,397 €,,Urbain,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",4366657,,,,8 m²,5 m²,,,31 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,3,,,,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Non,354.287 €,Non,"Avenue Paul Gilson, 49
1601 - Ruisbroek",9357,,,,,,,,,,,,,493 m²,10.78 m,,,,,,,,,,,Autre type de zone,,,,,,,,,,,,,Non,,,,,,,Non,,,,,,,,,,,,Non,Non,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,
142,,,1,,,,3,,,,,60 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,299.500 €,Non,"Generaal Lemanstraat 55
2018 - Antwerpen",,,,,,,,,,,,,,190 m²,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,Oui,,,,,,,,,,,,,,,,De Groene Poort,,,,,,,,,,
143,Après la signature de l’acte,À rénover,3,147 m²,29 m²,,4,1,,,Non,,424 kWh/m²,E,20210823-0002455039-RES-1,Non communiqué,Non communiqué,,Gaz,Oui,260.000 €,Non,"Fraikinstraat 7
2200 - Herentals",,,Non,Non,Non,1951,7 m,,,,,,,259 m²,11 m,Connecté,Oui,,,,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Oui,7 m²,,,30 m²,,,,,,Non,,,,,,,,,,,,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,424,,,,,,,,,,,
144,Après la signature de l’acte,,3,222 m²,,Semi-équipée,4,2,3,,Non,,35 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,399.800 €,Oui,"Zwaluwenlaan 2/1
2390 - Malle",394 - 1399,Oui,Oui,Non,Non,2021,,2,,,29 m²,26 m²,,408 m²,10.5 m,,Oui,,,,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,14 m²,14 m²,,,,Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,35,,,,,,,,,,,
145,Après la signature de l’acte,À rénover,3,300 m²,39 m²,,6,2,,Oui,Non,,736 kWh/m²,F,20210817-0002452711-RES-1,Non communiqué,Non communiqué,,Mazout,Non,487.000 €,Non,"Fraikinstraat 7
2200 - Herentals",,Oui,Non,Non,Non,1962,,,,,,,,2009 m²,,Non connecté,Oui,,,,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,25 m²,,,,,,,14 m²,Oui,Non,,,,,,,Oui,,,,,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,736,,,,,,,,,,,
146,,Fraîchement rénové,2,100 m²,,Équipée,2,1,1,Oui,Non,,248 kWh/m²,C,20110811-0000896000-00000001-8,Non communiqué,Non communiqué,Non,Gaz,Oui,275.000 €,Non,"Bevelsesteenweg 40 B
2560 - Nijlen",,,Non,Non,,1910,,,,,,,,,,,,,,,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1048 - 1642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,À rénover,3,135 m²,34 m²,,3,1,,Oui,Non,,Non communiqué,Non communiqué,20210817-0002452711-RES-1,Non communiqué,Non communiqué,,Mazout,Non,238.000 €,Non,"Fraikinstraat 7
2200 - Herentals",,Oui,Non,Non,Non,1962,,,,,,,,872 m²,10 m,Non connecté,Oui,,,,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,10 m²,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,
148,,À rénover,3,165 m²,39 m²,,3,1,,,Non,,Non communiqué,Non communiqué,20210817-0002452700-RES-1,Non communiqué,Non communiqué,,Mazout,Non,249.000 €,Non,"Fraikinstraat 7
2200 - Herentals",,Oui,Non,Non,Non,1962,,,,,,,,1137 m²,19 m,Non connecté,Oui,,,,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,15 m²,,,,,,,14 m²,Oui,Non,,,,,,,Oui,,,,,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,
149,À définir,À rafraîchir,,150 m²,,Semi-équipée,2,,1,Oui,Non,,690 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,Mazout,Oui,269.000 €,Non,"Statiestraat 47
2400 - Mol",,,Non,Non,Non,,,,,,,,,2280 m²,,Connecté,Oui,,,,,694 €,,,Zone non inondable,Zone agricole,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,À définir,Excellent état,2,,,Hyper équipée,3,2,,Oui,Non,10 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,399.000 €,Non,,,Oui,,,,2015,5 m,,,Oui,,,1,180 m²,,Connecté,Oui,,Non,Non,,,5 m²,Centre commercial,,,,,,Oui,,,,,,Non,,,Oui,Non,,Oui,,Oui,,Non,Oui,Non,Non,Non,Toutes sortes,,Non,Non,Non,Non,Oui,,Non,Non,Non,Non,,,,,,,,,,,,,Oui,,,,,Non,Non,Non,,,,,
151,,Excellent état,4,135 m²,60 m²,Hyper équipée,2,1,2,,Non,,175 kWh/m²,B,20210722-0002439166-RES-2,Non communiqué,Non communiqué,,Gaz,Oui,545.000 €,Non,"Grote Markt 7
2200 - Herentals",4401258,Oui,Non,Non,Non,2012,,,4,,28 m²,10 m²,1,1000 m²,,,,Oui,,,,875 €,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Après la signature de l’acte,À rénover,3,127 m²,27 m²,,3,1,,,Non,,496 kWh/m²,E,2431166-RES-1,Non communiqué,Non communiqué,,Gaz,Non,248.000 €,Non,"Fraikinstraat 7
2200 - Herentals",,,Non,Non,Non,1951,6 m,,,,,,,387 m²,10 m,Connecté,Oui,,,,,,12 m²,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",2021N149,,,,8 m²,,,17 m²,,,,,,Non,,,,,,,,,,,,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,496,,,,,,,,,,,
153,À définir,Bon,4,155 m²,,,3,1,2,Oui,,,518 kWh/m²,F,Non communiqué,1 kg CO₂/m²,Non communiqué,,Gaz,Oui,380.000 €,,"Lierseweg 1
2200 - Herentals",,,,,Non,1950,,1,3,,,,,964 m²,,Connecté,Oui,Oui,,,,,,Urbain,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,Est,,,,,,Tom Goossens,Oui,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,Oui,,,,Oui,,,,,,,,
154,Après la signature de l’acte,Bon,4,,,Semi-équipée,3,1,1,,Non,,720 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,287.500 €,Non,"Leopoldlei 3
2220 - Heist-op-den-Berg",,,Non,Non,Non,1953,,1,1,,,,1,930 m²,,,,,,,,518 €,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",2021/431,,,,,,,,,,Ouest,,Non,,,,,,,Non,,,,,,,,,,,,Non,Non,,,,Non,,Oui,,,,,,,,,,,,,,,,,,,,,,
